Target,Response,Informant
from the south,,NY1
from the south,,NY2A
from the south,,NY2B
from the south,,NY2C
from the south,to the southward,NY3A
from the south,to the southward,NY3B
from the south,to the southward,NY3C
from the south,to the southward,NY3D
from the south,from the south,NY4A
from the south,southward,NY4B
from the south,southward,NY4B
from the south,northward,NY4B
from the south,to the southward,NY4C
from the south,from the south,NY5A
from the south,from the south,NY5B
from the south,from the south,NY5C
from the south,from the south,NY5D
from the south,from the south,NY5E
from the south,to the southward,NY5F
from the south,from the south,NY5F
from the south,from the south,NY5G
from the south,from the south,NY5H!
from the south,from the south,NY5I!
from the south,to the southward,NY6A
from the south,from the south,NY6B
from the south,from the south,NY7A
from the south,from the south,NY7B
from the south,from the south,NY7C
from the south,from the south,NY7D
from the south,from the south,NY7E
from the south,from the south,NY7F
from the south,from the south,NY7G
from the south,from the south,NY7H
from the south,from the south,NY7I
from the south,from the south,NY7J!
from the south,from the south,NY7K!
from the south,from the south,NY7L!
from the south,from the south,NY7M!
from the south,from the south,NY8
from the south,from the south,NY9A
from the south,from the south,NY9B
from the south,from the south,NY9C
from the south,from the south,NY10A
from the south,from the south,NY10B!
from the south,from the south,NY11
from the south,from the south,NY12A
from the south,from the south,NY12B
from the south,from the south,NY12C!
from the south,from the south,NY13A
from the south,from the south,NY13B!
from the south,from the south,NY14A
from the south,from the south,NY14B
from the south,from the south,NY15A
from the south,from the south,NY15B
from the south,from the south,NY16A
from the south,from the south,NY16B
from the south,from the south,NY17A
from the south,from the south,NY17B
from the south,from the south,NY18A
from the south,from the south,NY18B
from the south,from the south,NY18C!
from the south,from the south,NY19
from the south,from the south,NY20A
from the south,from the south,NY20B
from the south,from the south,NY21
from the south,from the south,NY22
from the south,,NY23A
from the south,south,NY23B
from the south,from the north,NY23B
from the south,from the north,NY23C
from the south,raking winds,NY23C
from the south,from the south,NY23C
from the south,from the south,NY24A
from the south,from the south,NY24B!
from the south,from the south,NY25A
from the south,from the west,NY25A
from the south,in the west,NY25B
from the south,it gathers,NY25B
from the south,south,NY25B
from the south,south,NY26A
from the south,from the west,NY26A
from the south,from the west,NY26B
from the south,,NY26C
from the south,south,NY27A
from the south,from the west,NY27A
from the south,,NY27B
from the south,south,NY27C
from the south,from the north,NY27C
from the south,from the south,NY28A
from the south,from the west,NY28A
from the south,turns south,NY28B
from the south,a hard south wind,NY28B
from the south,is south,NY28B
from the south,,NY28C
from the south,from the south,NY29A
from the south,from the west,NY29A
from the south,from the east,NY29A
from the south,from the south,NY29B
from the south,from the south,NY29C
from the south,south,NY29C
from the south,the wind's west,NY29C
from the south,from the west,NY30A
from the south,in the west,NY30A
from the south,from the south,NY30A
from the south,from the southwest,NY30B
from the south,south wind,NY30B
from the south,south,NY30B
from the south,,NY30C
from the south,,NY30D
from the south,from the south,NY30E
from the south,from the southwest,NY31A
from the south,from the south,NY31A
from the south,in the south,NY31B
from the south,from the southwest,NY31B
from the south,from the south,NY31B
from the south,from the west,NY31B
from the south,from the north,NY31B
from the south,in the south,NY32A
from the south,from the west,NY32A
from the south,from the south,NY32B
from the south,,NY33A
from the south,from the south,NY33B
from the south,south,NY33B
from the south,a southernly wind,NY33B
from the south,from the south,NY33C
from the south,from the south,NY34A
from the south,in a southerly direction,NY34A
from the south,,NY34B
from the south,,NY34C
from the south,from the south,NY34D!
from the south,southerly wind,NY34D!
from the south,from the south,NY35A
from the south,from the south,NY35B
from the south,,NY35C!
from the south,from the south,NY36A
from the south,from the south,NY36B
from the south,from the south,NY37A
from the south,from the south,NY37B
from the south,from the south,NY37C!
from the south,from the south,NY38A
from the south,from the south,NY38B
from the south,,NY38C
from the south,from the south,NY39A
from the south,from the south,NY39B
from the south,from the south,NY40A
from the south,from the south,NY40B
from the south,from the south,NY41
from the south,from the south,NY42A
from the south,from the south,NY42B
from the south,,NY43A
from the south,from the south,NY43B
from the south,from the south,NY43C!
from the south,from the south,NY44A
from the south,from the south,NY44B
from the south,from the south,NY45A
from the south,from the northwest,NY45A
from the south,,NY45B
from the south,,NY45C
from the south,in the east,NY45D!
from the south,south,NY45D!
from the south,from the southeast,NY45D!
from the south,south wind,NY46A
from the south,from the west,NY46A
from the south,in the north,NY46A
from the south,in the south,NY46B
from the south,coming from northwest,NY46B
from the south,in the west,NY46B
from the south,from the west,NY46C
from the south,from the south,NY46C
from the south,from the southwest,NY46C
from the south,from the north,NY47A
from the south,from the south,NY47A
from the south,from the south,NY47B
from the south,from the west,NY48A
from the south,in the south,NY48A
from the south,,NY48B
from the south,in the west,NY48C
from the south,from the south,NY48C
from the south,a westerly,NY48C
from the south,from the south,NY48D
from the south,in the south,NY48D
from the south,,NY49A
from the south,,NY49B
from the south,from the south,NY49C
from the south,from the north,NY49C
from the south,from the south,NY49D
from the south,in the west,NY50A
from the south,,NY50A
from the south,from the west,NY50A
from the south,a cold south wind's a north wind come back,NY50A
from the south,south,NY50B
from the south,from the east,NY50B
from the south,from the east,NY50B
from the south,from the south,NY51A
from the south,from the east,NY51A
from the south,from the south,NY51B
from the south,south,NY51B
from the south,in the east,NY51B
from the south,from the south,NY51C
from the south,,NY51D
from the south,,NY51E!
from the south,from the west,NY52A
from the south,from the south,NY52A
from the south,,NY52B
from the south,wind's south,NY52C
from the south,from the northwest,NY53A
from the south,in the south,NY53A
from the south,in the southeast,NY53A
from the south,from the west,NY53B!
from the south,from the west,NY53B!
from the south,south,NY54A
from the south,from the east or the south,NY54A
from the south,from the south,NY54B
from the south,in the south,NY55A
from the south,from the west,NY55A
from the south,the wind is in the north,NY55B
from the south,in the south,NY55B
from the south,from the west,NY56A
from the south,in the south,NY56B
from the south,from the west,NY56B
from the south,from the south,NY57A
from the south,from the east,NY57A
from the south,from the west,NY57A
from the south,in the west,NY57A
from the south,,NY57B
from the south,from the southwest,NY57C!
from the south,from the south,NY58A
from the south,from the east,NY58B
from the south,from the west,NY58B
from the south,,NY58C
from the south,from the south,NY58D!
from the south,from the west,NY58D!
from the south,from the southwest,NY58E!
from the south,from the west,NY58E!
from the south,from the west,NY58E!
from the south,,NY58F!
from the south,from the south,NY59A
from the south,in the south,NY59A
from the south,from the south,NY59B
from the south,in the west,NY60A
from the south,from the east,NY60A
from the south,from the south,NY60B!
from the south,south,NY60B!
from the south,from the southwest,NY60B!
from the south,from the west,NY61A
from the south,from the southwest,NY61B
from the south,from the north,NY61B
from the south,from the south,NY62A
from the south,from the south,NY62B
from the south,from the south,NY62B
from the south,from the west,NY62C
from the south,from the south,NY62D!
from the south,out of the north,NY63A
from the south,from the west,NY63A
from the south,from the west,NY63B
from the south,from the south,NY63B
from the south,from the south,NY63C
from the south,from the south,NY63D!
from the south,from the west,NY63D!
from the south,from the north,NY63D!
from the south,from the west,NY64A
from the south,from the south,NY64A
from the south,from the north,NY64B
from the south,in the west,NY64B
from the south,winds are west and south,NY64B
from the south,south wind,NY64C!
from the south,from the south,NY64C!
from the south,from the north,NY64C!
from the south,to the southward,NJ1A
from the south,to the southward,NJ1B
from the south,to the southward,NJ2A
from the south,to the southward,NJ2B
from the south,to the southward,NJ2B
from the south,to the southward,NJ3A
from the south,to the southward,NJ3B
from the south,to the southward,NJ4A
from the south,to the southward,NJ4B
from the south,to the southward,NJ5A
from the south,to the southward,NJ5B
from the south,to the southward,NJ6A
from the south,to the southward,NJ6B
from the south,to the southward,NJ7A
from the south,from the south,NJ7B!
from the south,to the westward,NJ8A
from the south,to the southward,NJ8A
from the south,to the southward,NJ8B
from the south,from the south,NJ9A
from the south,from the south,NJ9B
from the south,to the southward,NJ10A
from the south,from the south,NJ10A
from the south,from the south,NJ10B
from the south,from the south,NJ10C
from the south,from the south,NJ10D!
from the south,from the south,NJ11A
from the south,from the south,NJ11B
from the south,from the south,NJ11C
from the south,from the south,NJ12A
from the south,from the south,NJ12B
from the south,from the south,NJ13A
from the south,from the south,NJ13B
from the south,from the south,NJ14A
from the south,from the south,NJ14B
from the south,from the south,NJ15A
from the south,from the south,NJ15B
from the south,from the south,NJ16A
from the south,from the south,NJ16B
from the south,from the south,NJ17A
from the south,from the south,NJ17B
from the south,from the south,NJ18A
from the south,from the south,NJ18B
from the south,from the south,NJ18C!
from the south,from the south,NJ18D!
from the south,from the south,NJ19A
from the south,from the south,NJ19B!
from the south,from the south,NJ20A
from the south,from the south,NJ20B
from the south,from the south,NJ21A
from the south,from the south,NJ21B
from the south,from the south,PA1A
from the south,from the south,PA1B
from the south,from the south,PA1C
from the south,from the south,PA1D
from the south,from the south,PA1E!
from the south,from the south,PA1F!
from the south,from the south,PA1G!
from the south,from the south,PA1H!
from the south,from the south,PA2A
from the south,from the south,PA2B
from the south,from the south,PA3A
from the south,from the south,PA3B
from the south,from the south,PA3C
from the south,from the south,PA4A
from the south,from the south,PA4B!
from the south,from the south,PA5A
from the south,from the south,PA5B
from the south,from the south,PA5C
from the south,from the south,PA5D
from the south,from the south,PA5E!
from the south,from the south,PA6A
from the south,from the south,PA6B
from the south,from the south,PA6C
from the south,from the south,PA6D!
from the south,from the south,PA7A
from the south,from the south,PA7B
from the south,from the south,PA7C
from the south,from the south,PA7D!
from the south,from the south,PA8A
from the south,from the south,PA8B
from the south,from the south,PA8C
from the south,from the south,PA8D!
from the south,from the south,PA9A
from the south,from the south,PA9B
from the south,from the south,PA9C!
from the south,from the south,PA10
from the south,from the south,PA11A
from the south,from the south,PA11B
from the south,from the south,PA12A
from the south,from the south,PA12B
from the south,from the south,PA13A
from the south,from the south,PA13B
from the south,from the south,PA14A
from the south,from the south,PA14B
from the south,,PA14C
from the south,from the south,PA15A
from the south,in the south,PA15B
from the south,from the south,PA15C!
from the south,from the south,PA16A
from the south,from the south,PA16B
from the south,,PA16C
from the south,from the south,PA17A
from the south,from the south,PA17B
from the south,from the south,PA18A
from the south,from the south,PA18B!
from the south,from the south,PA19A
from the south,from the south,PA19B
from the south,from the south,PA20A
from the south,from the south,PA20B
from the south,from the south,PA21A
from the south,from the south,PA21B
from the south,from the south,PA22A
from the south,from the south,PA22B
from the south,from the south,PA23A
from the south,from the south,PA23B
from the south,from the south,PA24A
from the south,from the south,PA24B
from the south,in the south,PA25A
from the south,from the south,PA25B
from the south,from the south,PA26A
from the south,from the south,PA26B
from the south,from the south,PA27A
from the south,from the south,PA27B
from the south,from the south,PA28A
from the south,from the south,PA28B!
from the south,from the south,PA29A
from the south,from the south,PA29B
from the south,from the south,PA30A
from the south,from the south,PA30B
from the south,from the south,PA31A
from the south,from the south,PA31B
from the south,from the south,PA32A
from the south,from the south,PA32B
from the south,from the south,PA33A
from the south,from the south,PA33B
from the south,from the south,PA34A
from the south,from the south,PA34B
from the south,,PA34C!
from the south,from the south,PA35A
from the south,from the south,PA35B
from the south,,PA35C
from the south,from the south,PA36A
from the south,from the south,PA36B
from the south,from the south,PA37A
from the south,from the south,PA37B
from the south,,PA37C
from the south,from the south,PA38A
from the south,from the south,PA38B
from the south,from the south,PA39A
from the south,from the south,PA39B
from the south,from the south,PA40A
from the south,from the south,PA40B
from the south,from the south,PA41A
from the south,from the south,PA41B
from the south,from the south,PA42A
from the south,from the south,PA42B
from the south,from the south,PA43A
from the south,from the south,PA43B
from the south,from the south,PA44A
from the south,from the south,PA44B
from the south,from the south,PA45A
from the south,from the south,PA45B
from the south,from the south,PA46A
from the south,from the south,PA46B
from the south,from the south,PA47A
from the south,from the south,PA47B
from the south,from the south,PA48A
from the south,from the south,PA48B
from the south,from the south,PA48C
from the south,from the south,PA49A
from the south,from the south,PA49B
from the south,,PA50A
from the south,from the south,PA50B
from the south,from the south,PA50C!
from the south,from the south,PA51A
from the south,from the south,PA51B
from the south,from the south,PA52A
from the south,from the south,PA52B!
from the south,from the south,PA53A
from the south,from the south,PA53B
from the south,from the south,PA54A
from the south,from the south,PA54B
from the south,from the south,PA55A
from the south,from the south,PA55B
from the south,from the south,PA56A
from the south,from the south,PA56B
from the south,from the south,PA57A
from the south,from the south,PA57B
from the south,to the south,PA58A
from the south,from the south,PA58B
from the south,from the south,PA59A
from the south,from the south,PA59B
from the south,from the south,PA60A
from the south,from the south,PA60B
from the south,from the south,PA61A
from the south,from the south,PA61B
from the south,from the south,PA62A
from the south,from the south,PA62B
from the south,from the south,PA63A
from the south,from the south,PA63B
from the south,from the south,PA64A
from the south,from the south,PA64B
from the south,from the south,PA65A
from the south,from the south,PA65B
from the south,from the south,PA66A
from the south,from the south,PA66B
from the south,from the south,PA67A
from the south,from the south,PA67B
from the south,from the south,WV1!
from the south,from the south,WV2
from the south,from the south,WV3
from the south,from the south,WV4A
from the south,from the south,WV4B
from the south,from the south,WV5
from the south,from the south,WV6A
from the south,from the south,WV6B
from the south,from the south,WV7A
from the south,from the south,WV7B
from the south,from the south,WV8A
from the south,from the south,WV8B
from the south,from the south,WV9A
from the south,from the south,WV9B
from the south,from the south,WV10A
from the south,from the south,WV10B
from the south,from the south,WV10C
from the south,from the south,WV11A
from the south,from the south,WV11B!
from the south,from the south,WV12A
from the south,from the south,WV12B
from the south,from the south,WV13A
from the south,from the south,WV13B
from the south,from the south,WV14A
from the south,from the south,WV14B
from the south,from the south,WV15A
from the south,from the south,WV15B
from the south,from the south,WV16A
from the south,from the south,WV16B
from the south,,WV17A
from the south,from the south,WV17B
from the south,from the south,WV17C
from the south,from the south,WV18A
from the south,from the south,WV18B
from the south,from the south,WV19A
from the south,from the south,WV19B
from the south,from the south,WV20A
from the south,from the south,WV20B
from the south,from the south,WV21A
from the south,from the south,WV21B
from the south,from the south,WV22A
from the south,from the south,WV22B
from the south,from the south,WV23A
from the south,from the south,WV23B
from the south,from the south,WV24A
from the south,from the south,WV24B
from the south,from the south,WV25A
from the south,from the south,WV25B
from the south,from the south,WV26A
from the south,from the south,WV26B
from the south,from the south,WV27A
from the south,from the south,WV27B
from the south,from the south,WV28A
from the south,from the south,WV28B
from the south,from the south,WV29A
from the south,from the south,WV29B
from the south,from the south,WV30A
from the south,from the south,WV30B
from the south,from the south,WV31A
from the south,from the south,WV31B
from the south,from the south,WV32A
from the south,from the south,WV32B
from the south,from the south,WV33A
from the south,from the south,WV33B
from the south,from the south,WV34A
from the south,from the south,WV34B
from the south,from the south,WV35A
from the south,from the south,WV35B
from the south,from the south,WV36A
from the south,from the south,WV36B
from the south,from the south,WV37A
from the south,from the south,WV37B!
from the south,from the south,WV38A
from the south,from the south,WV38B
from the south,from the south,WV39A
from the south,from the south,WV39B
from the south,from the south,WV39C!
from the south,from the south,WV40A
from the south,from the south,WV40B
from the south,from the south,WV41A
from the south,from the south,WV41B
from the south,from the south,WV42A
from the south,from the south,WV42B
from the south,from the south,WV43A
from the south,from the south,WV43B
from the south,from the south,WV44A
from the south,from the south,WV44B
from the south,from the south,WV45A
from the south,from the south,WV45B
from the south,from the south,WV46A
from the south,from the south,WV46B
from the south,from the south,WV47A
from the south,from the south,WV47B
from the south,from the south,WV48A
from the south,,WV48B
from the south,,WV48C
from the south,from the south,WV48D
from the south,from the south,WV49A
from the south,from the south,WV49B
from the south,from the south,WV50A
from the south,from the south,WV50B
from the south,from the south,WV51A
from the south,from the south,WV51B
from the south,from the south,WV52A
from the south,from the south,WV52B
from the south,from the south,WV52C!
from the south,from the south,WV53A
from the south,,WV53B
