Target,Response,Informant
froze over,skimmed over,NY1
froze over,froze over,NY1
froze over,skum over,NY2A
froze over,froze up,NY2A
froze over,skimmed over,NY2B
froze over,froze,NY2B
froze over,skimmed over,NY2C
froze over,froze over,NY2C
froze over,skum over,NY2C
froze over,froze,NY3A
froze over,frozen over,NY3B
froze over,froze over,NY3C
froze over,froze over,NY3D
froze over,froze up,NY4A
froze over,froze up,NY4B
froze over,froze over,NY4C
froze over,froze over,NY5A
froze over,froze,NY5B
froze over,froze over,NY5C
froze over,froze over,NY5D
froze over,froze over,NY5E
froze over,froze over,NY5F
froze over,froze,NY5G
froze over,froze over,NY5H!
froze over,froze over,NY5I!
froze over,froze over,NY6A
froze over,froze over,NY6B
froze over,froze,NY7A
froze over,froze,NY7B
froze over,froze over,NY7C
froze over,froze up,NY7D
froze over,froze over,NY7E
froze over,froze over,NY7F
froze over,froze over,NY7G
froze over,froze up,NY7H
froze over,froze,NY7I
froze over,froze over,NY7J!
froze over,froze over,NY7K!
froze over,froze,NY7L!
froze over,froze,NY7M!
froze over,froze over,NY8
froze over,froze,NY9A
froze over,froze over,NY9B
froze over,froze over,NY9C
froze over,froze over,NY10A
froze over,froze over,NY10B!
froze over,froze over,NY11
froze over,froze up,NY12A
froze over,froze over,NY12A
froze over,froze over,NY12B
froze over,froze over,NY12C!
froze over,,NY13A
froze over,froze up,NY13B!
froze over,froze up,NY14A
froze over,froze over,NY14B
froze over,froze over,NY15A
froze over,froze over,NY15B
froze over,froze up,NY16A
froze over,froze over,NY16B
froze over,froze,NY17A
froze over,froze up,NY17A
froze over,anchor iced,NY17A
froze over,froze,NY17B
froze over,froze over,NY18A
froze over,froze up,NY18B
froze over,froze over,NY18C!
froze over,froze over,NY19
froze over,froze up,NY20A
froze over,froze over,NY20B
froze over,froze over,NY21
froze over,froze over,NY22
froze over,,NY23A
froze over,skummed over,NY23B
froze over,froze over,NY23B
froze over,anchor ice,NY23B
froze over,froze ice,NY23C
froze over,skimmed over,NY23C
froze over,froze over,NY24A
froze over,froze over,NY24B!
froze over,froze over,NY25A
froze over,skimmed over,NY25A
froze over,scaled over,NY25A
froze over,anchor ice,NY25A
froze over,froze over,NY25B
froze over,scaled over,NY25B
froze over,edges,NY26A
froze over,frozen over,NY26A
froze over,skimmed over,NY26A
froze over,soddered up,NY26A
froze over,skimmed over,NY26B
froze over,froze over,NY26B
froze over,anchor ice,NY26B
froze over,,NY26C
froze over,scaled over,NY27A
froze over,,NY27B
froze over,skummed over,NY27C
froze over,froze over,NY27C
froze over,skimmed over,NY28A
froze over,froze over,NY28A
froze over,skimmed over,NY28B
froze over,froze over,NY28B
froze over,,NY28C
froze over,froze over,NY29A
froze over,skummed over,NY29A
froze over,froze over,NY29B
froze over,a scum of ice,NY29B
froze over,iced over,NY29C
froze over,froze over,NY29C
froze over,skimmed over,NY29C
froze over,froze,NY30A
froze over,froze over,NY30A
froze over,scaled over,NY30A
froze over,froze over,NY30B
froze over,scaled over,NY30B
froze over,,NY30C
froze over,froze,NY30D
froze over,froze over,NY30E
froze over,scaled over,NY30E
froze over,froze over,NY31A
froze over,skimmed over,NY31A
froze over,froze ice,NY31A
froze over,froze over,NY31B
froze over,skummed over,NY31B
froze over,skimmed over,NY31B
froze over,iced over,NY32A
froze over,froze over,NY32A
froze over,scaled over,NY32B
froze over,froze over,NY32B
froze over,freezes over,NY33A
froze over,froze over,NY33A
froze over,shelled over,NY33B
froze over,froze over,NY33B
froze over,skummed over,NY33B
froze over,froze,NY33C
froze over,anchor ice,NY33C
froze over,froze over,NY33C
froze over,scaled over,NY33C
froze over,froze over,NY34A
froze over,just a scale,NY34A
froze over,,NY34B
froze over,,NY34C
froze over,froze over,NY34D!
froze over,it wasn't froze over,NY34D!
froze over,froze over,NY35A
froze over,froze over,NY35B
froze over,froze,NY35C!
froze over,froze up,NY36A
froze over,froze over,NY36B
froze over,froze over,NY37A
froze over,froze over,NY37B
froze over,froze,NY37C!
froze over,froze over,NY38A
froze over,froze up,NY38B
froze over,froze over,NY38C
froze over,froze,NY39A
froze over,froze,NY39B
froze over,froze over,NY40A
froze over,froze over,NY40B
froze over,froze up,NY41
froze over,froze over,NY42A
froze over,froze over,NY42B
froze over,froze over,NY43A
froze over,froze over,NY43B
froze over,froze,NY43C!
froze over,froze over,NY44A
froze over,froze,NY44B
froze over,froze over,NY45A
froze over,skummed over,NY45A
froze over,,NY45B
froze over,,NY45C
froze over,froze,NY45D!
froze over,skimmed over,NY46A
froze over,froze over,NY46A
froze over,it froze up,NY46B
froze over,froze,NY46B
froze over,frozen over,NY46C
froze over,it froze ice,NY47A
froze over,iced over,NY47A
froze over,froze over,NY47A
froze over,froze hard,NY47A
froze over,skimmed over,NY47A
froze over,anchor ice,NY47A
froze over,froze over,NY47B
froze over,skimmed over,NY48A
froze over,froze over,NY48A
froze over,,NY48B
froze over,froze over,NY48C
froze over,froze over,NY48D
froze over,skimmed over,NY48D
froze over,,NY49A
froze over,froze over,NY49B
froze over,froze over,NY49C
froze over,crusted over,NY49D
froze over,froze,NY49D
froze over,skimmed over,NY50A
froze over,froze over,NY50A
froze over,a skim of ice,NY50A
froze over,froze over,NY50B
froze over,a skim of ice,NY50B
froze over,froze over,NY51A
froze over,skimmed over,NY51A
froze over,froze over,NY51B
froze over,froze over,NY51B
froze over,froze over,NY51C
froze over,froze over,NY51D
froze over,,NY51E!
froze over,froze up,NY52A
froze over,froze over,NY52A
froze over,iced over,NY52A
froze over,,NY52B
froze over,froze over,NY52C
froze over,froze over,NY53A
froze over,froze over,NY53A
froze over,skimmed over,NY53A
froze over,froze over,NY53B!
froze over,froze up,NY54A
froze over,froze over,NY54A
froze over,froze over,NY54B
froze over,froze over,NY55A
froze over,a skim of ice,NY55A
froze over,skimmed over,NY55A
froze over,skimmed over,NY55B
froze over,froze over,NY55B
froze over,a skim of ice,NY55B
froze over,froze over,NY56A
froze over,scaled over,NY56A
froze over,froze over,NY56B
froze over,skimmed,NY57A
froze over,froze over,NY57A
froze over,,NY57B
froze over,froze over,NY57C!
froze over,skimmed over,NY58A
froze over,frozen over,NY58A
froze over,froze over,NY58B
froze over,froze,NY58B
froze over,skimmed over,NY58B
froze over,,NY58C
froze over,skimmed over,NY58D!
froze over,froze over,NY58D!
froze over,froze over,NY58E!
froze over,,NY58F!
froze over,skimmed over,NY59A
froze over,froze over,NY59A
froze over,froze over,NY59B
froze over,froze over,NY60A
froze over,skummed,NY60A
froze over,skimmed over,NY60A
froze over,a skim of ice,NY60B!
froze over,froze over,NY60B!
froze over,froze,NY60B!
froze over,froze,NY60B!
froze over,froze over,NY61A
froze over,glazed over,NY61A
froze over,froze over,NY61B
froze over,coated over,NY61B
froze over,is froze over,NY61B
froze over,clothes was froze stiff,NY62A
froze over,froze over,NY62A
froze over,scaled over,NY62A
froze over,froze up,NY62B
froze over,frozen over,NY62B
froze over,skated over,NY62B
froze over,froze over,NY62C
froze over,froze over,NY62D!
froze over,scaled over,NY63A
froze over,froze over,NY63A
froze over,scaled over,NY63B
froze over,froze over,NY63B
froze over,froze over,NY63C
froze over,froze,NY63D!
froze over,was frozen over,NY63D!
froze over,scaled over,NY63D!
froze over,just a film of ice,NY63D!
froze over,froze over,NY64A
froze over,a skim of ice,NY64A
froze over,skimmed over,NY64A
froze over,a skim of ice,NY64B
froze over,froze over,NY64B
froze over,froze over,NY64C!
froze over,froze over,NJ1A
froze over,froze up,NJ1B
froze over,froze up,NJ2A
froze over,froze over,NJ2A
froze over,froze up,NJ2B
froze over,froze up,NJ3A
froze over,froze over,NJ3B
froze over,froze over,NJ4A
froze over,froze over,NJ4B
froze over,,NJ5A
froze over,froze over,NJ5B
froze over,froze up,NJ6A
froze over,froze,NJ6B
froze over,froze over,NJ7A
froze over,froze over,NJ7B!
froze over,froze up,NJ8A
froze over,froze up,NJ8B
froze over,froze over,NJ9A
froze over,froze over,NJ9B
froze over,froze over,NJ10A
froze over,froze over,NJ10B
froze over,froze over,NJ10C
froze over,froze,NJ10D!
froze over,froze over,NJ11A
froze over,froze over,NJ11B
froze over,froze over,NJ11C
froze over,froze over,NJ12A
froze over,froze over,NJ12B
froze over,froze over,NJ13A
froze over,froze over,NJ13B
froze over,froze over,NJ14A
froze over,froze over,NJ14B
froze over,froze over,NJ15A
froze over,froze over,NJ15B
froze over,froze over,NJ16A
froze over,froze over,NJ16B
froze over,froze over,NJ17A
froze over,froze over,NJ17B
froze over,froze,NJ18A
froze over,froze,NJ18B
froze over,froze,NJ18C!
froze over,froze over,NJ18D!
froze over,froze over,NJ19A
froze over,froze over,NJ19B!
froze over,was frozen,NJ20A
froze over,froze,NJ20B
froze over,froze over,NJ21A
froze over,froze over,NJ21B
froze over,froze over,PA1A
froze over,froze over,PA1B
froze over,froze over,PA1C
froze over,froze over,PA1D
froze over,froze,PA1E!
froze over,froze over,PA1F!
froze over,froze over,PA1G!
froze over,froze over,PA1H!
froze over,froze over,PA2A
froze over,froze over,PA2B
froze over,froze up,PA3A
froze over,froze over,PA3B
froze over,froze over,PA3C
froze over,froze over,PA4A
froze over,froze over,PA4B!
froze over,froze up,PA5A
froze over,froze over,PA5A
froze over,froze over,PA5B
froze over,froze over,PA5C
froze over,froze over,PA5D
froze over,froze over,PA5E!
froze over,is frozen,PA6A
froze over,froze over,PA6B
froze over,froze up,PA6C
froze over,froze over,PA6D!
froze over,froze over,PA7A
froze over,froze over,PA7B
froze over,froze up,PA7C
froze over,froze over,PA7D!
froze over,froze over,PA8A
froze over,froze over,PA8B
froze over,froze over,PA8C
froze over,froze,PA8D!
froze over,froze shut,PA9A
froze over,froze over,PA9B
froze over,froze over,PA9C!
froze over,froze over,PA10
froze over,froze over,PA11A
froze over,froze over,PA11B
froze over,froze over,PA11B
froze over,froze over,PA12A
froze over,froze over,PA12B
froze over,froze over,PA13A
froze over,froze over,PA13B
froze over,froze over,PA14A
froze over,froze over,PA14B
froze over,froze up,PA14C
froze over,,PA15A
froze over,froze over,PA15B
froze over,froze over,PA15C!
froze over,froze,PA16A
froze over,froze over,PA16B
froze over,froze over,PA16C
froze over,freezed up,PA17A
froze over,,PA17B
froze over,froze,PA18A
froze over,froze over,PA18B!
froze over,froze up,PA19A
froze over,froze over,PA19B
froze over,froze over,PA20A
froze over,froze over,PA20B
froze over,froze over,PA21A
froze over,froze over,PA21B
froze over,froze over,PA22A
froze over,froze over,PA22B
froze over,froze over,PA23A
froze over,froze over,PA23B
froze over,froze over,PA24A
froze over,froze over,PA24B
froze over,froze over,PA25A
froze over,froze over,PA25B
froze over,froze over,PA26A
froze over,froze over,PA26B
froze over,froze over,PA27A
froze over,froze over,PA27B
froze over,froze over,PA28A
froze over,froze over,PA28B!
froze over,froze over,PA29A
froze over,froze over,PA29A
froze over,froze over,PA29B
froze over,froze over,PA30A
froze over,,PA30B
froze over,froze over,PA31A
froze over,froze up,PA31B
froze over,froze over,PA32A
froze over,froze over,PA32B
froze over,froze over,PA33A
froze over,froze over,PA33B
froze over,froze over,PA34A
froze over,froze over,PA34B
froze over,froze over,PA34C!
froze over,froze over,PA35A
froze over,,PA35B
froze over,freezed over,PA35C
froze over,froze over,PA36A
froze over,froze up,PA36B
froze over,froze over,PA37A
froze over,froze over,PA37B
froze over,froze over,PA37C
froze over,froze over,PA38A
froze over,froze over,PA38B
froze over,froze over,PA39A
froze over,froze over,PA39B
froze over,froze over,PA40A
froze over,froze over,PA40B
froze over,froze over,PA41A
froze over,froze over,PA41B
froze over,froze over,PA42A
froze over,froze over,PA42B
froze over,froze over,PA43A
froze over,,PA43B
froze over,froze over,PA44A
froze over,froze over,PA44B
froze over,froze over,PA45A
froze over,froze over,PA45B
froze over,froze over,PA46A
froze over,froze over,PA46B
froze over,froze over,PA47A
froze over,froze over,PA47B
froze over,froze over,PA48A
froze over,froze over,PA48B
froze over,,PA48C
froze over,froze over,PA49A
froze over,froze over,PA49B
froze over,froze over,PA50A
froze over,froze over,PA50B
froze over,froze over,PA50C!
froze over,froze over,PA51A
froze over,froze over,PA51B
froze over,froze over,PA52A
froze over,froze over,PA52B!
froze over,froze over,PA53A
froze over,froze over,PA53B
froze over,froze over,PA54A
froze over,froze over,PA54B
froze over,froze up,PA55A
froze over,froze over,PA55B
froze over,froze over,PA56A
froze over,froze over,PA56A
froze over,froze over,PA56B
froze over,froze over,PA57A
froze over,froze over,PA57B
froze over,froze up,PA58A
froze over,froze over,PA58B
froze over,froze up,PA59A
froze over,froze over,PA59B
froze over,froze over,PA60A
froze over,froze over,PA60B
froze over,froze over,PA61A
froze over,froze over,PA61B
froze over,froze over,PA62A
froze over,froze over,PA62B
froze over,froze over,PA63A
froze over,froze up,PA63B
froze over,froze over,PA64A
froze over,froze over,PA64B
froze over,froze over,PA65A
froze over,froze over,PA65B
froze over,froze over,PA66A
froze over,froze over,PA66B
froze over,froze over,PA67A
froze over,froze over,PA67B
froze over,froze over,WV1!
froze over,froze,WV2
froze over,froze over,WV3
froze over,froze over,WV4A
froze over,froze over,WV4B
froze over,froze over,WV5
