Target,Response,Informant
furniture,,NY1
furniture,,NY2A
furniture,,NY2B
furniture,,NY2C
furniture,furniture,NY3A
furniture,furniture,NY3B
furniture,furniture,NY3C
furniture,furniture,NY3D
furniture,furniture,NY4A
furniture,furniture,NY4B
furniture,furniture,NY4C
furniture,furniture,NY5A
furniture,furniture,NY5B
furniture,furniture,NY5C
furniture,furniture,NY5D
furniture,furniture,NY5E
furniture,furniture,NY5F
furniture,furniture,NY5G
furniture,furniture,NY5H!
furniture,furniture,NY5I!
furniture,furniture,NY6A
furniture,furniture,NY6B
furniture,furniture,NY7A
furniture,furniture,NY7B
furniture,furniture,NY7C
furniture,furniture,NY7D
furniture,furniture,NY7E
furniture,furniture,NY7F
furniture,furniture,NY7G
furniture,furniture,NY7H
furniture,furniture,NY7I
furniture,furniture,NY7J!
furniture,furniture,NY7K!
furniture,furniture,NY7L!
furniture,furniture,NY7M!
furniture,furniture,NY8
furniture,furniture,NY9A
furniture,furniture,NY9B
furniture,furniture,NY9C
furniture,furniture,NY10A
furniture,furniture,NY10B!
furniture,furniture,NY11
furniture,furniture,NY12A
furniture,furniture,NY12A
furniture,furniture,NY12B
furniture,furniture,NY12C!
furniture,furniture,NY13A
furniture,furniture,NY13B!
furniture,furniture,NY14A
furniture,furniture,NY14B
furniture,furniture,NY15A
furniture,furniture,NY15B
furniture,furniture,NY16A
furniture,furniture,NY16B
furniture,furniture,NY17A
furniture,furniture,NY17A
furniture,furniture,NY17B
furniture,furniture,NY18A
furniture,furniture,NY18B
furniture,furniture,NY18C!
furniture,furniture,NY19
furniture,furniture,NY20A
furniture,furniture,NY20B
furniture,furniture,NY21
furniture,furniture,NY22
furniture,furniture,NY23A
furniture,furniture,NY23B
furniture,furniture,NY23C
furniture,furniture,NY24A
furniture,furniture,NY24B!
furniture,furniture,NY25A
furniture,furniture,NY25B
furniture,furniture,NY26A
furniture,furniture,NY26B
furniture,furniture,NY26C
furniture,furniture,NY27A
furniture,furniture,NY27B
furniture,furniture,NY27C
furniture,furniture,NY28A
furniture,furniture,NY28B
furniture,furniture,NY28B
furniture,furniture,NY28C
furniture,furniture,NY29A
furniture,furniture,NY29B
furniture,furniture,NY29C
furniture,furniture,NY30A
furniture,furniture,NY30B
furniture,furniture,NY30B
furniture,furniture,NY30B
furniture,furniture,NY30C
furniture,furniture,NY30D
furniture,furniture,NY30E
furniture,furniture,NY31A
furniture,furniture,NY31A
furniture,furniture,NY31B
furniture,furniture,NY32A
furniture,furniture,NY32B
furniture,furniture,NY33A
furniture,furniture,NY33B
furniture,stuff,NY33C
furniture,furniture,NY33C
furniture,furniture,NY34A
furniture,furniture,NY34B
furniture,furniture,NY34B
furniture,furniture,NY34C
furniture,furniture,NY34D!
furniture,furniture,NY34D!
furniture,a vessel,NY34D!
furniture,furniture,NY35A
furniture,furniture,NY35B
furniture,furniture,NY35C!
furniture,furniture,NY36A
furniture,furniture,NY36B
furniture,furniture,NY37A
furniture,furniture,NY37B
furniture,furniture,NY37C!
furniture,furniture,NY38A
furniture,furniture,NY38B
furniture,furniture,NY38C
furniture,furniture,NY39A
furniture,furniture,NY39B
furniture,furniture,NY40A
furniture,furniture,NY40B
furniture,furniture,NY41
furniture,furniture,NY42A
furniture,furniture,NY42B
furniture,furniture,NY43A
furniture,furniture,NY43B
furniture,furniture,NY43C!
furniture,furniture,NY44A
furniture,furniture,NY44B
furniture,furniture,NY45A
furniture,furniture,NY45B
furniture,furniture,NY45C
furniture,furniture,NY45C
furniture,furniture,NY45D!
furniture,furniture,NY46A
furniture,furniture,NY46A
furniture,furniture,NY46B
furniture,furniture,NY46C
furniture,furniture,NY47A
furniture,furniture,NY47A
furniture,furniture,NY47B
furniture,furniture,NY48A
furniture,furniture,NY48B
furniture,furniture,NY48C
furniture,furniture,NY48C
furniture,furniture,NY48D
furniture,furniture,NY49A
furniture,furniture,NY49B
furniture,furniture,NY49C
furniture,furniture,NY49D
furniture,furniture,NY50A
furniture,furniture,NY50B
furniture,furniture,NY51A
furniture,furniture,NY51A
furniture,furniture,NY51A
furniture,furniture,NY51B
furniture,furniture,NY51C
furniture,furniture,NY51D
furniture,furniture,NY51E!
furniture,furniture,NY51E!
furniture,furniture,NY52A
furniture,furniture,NY52B
furniture,furniture,NY52C
furniture,furniture,NY53A
furniture,furniture,NY53A
furniture,furniture,NY53B!
furniture,furniture,NY53B!
furniture,furniture,NY53B!
furniture,furniture,NY54A
furniture,utensils,NY54A
furniture,household goods,NY54B
furniture,furniture,NY55A
furniture,furniture,NY55A
furniture,furniture,NY55B
furniture,furniture,NY56A
furniture,furniture,NY56A
furniture,furniture,NY56A
furniture,furniture,NY56B
furniture,furniture,NY56B
furniture,furniture,NY57A
furniture,furniture,NY57A
furniture,furniture,NY57B
furniture,furniture,NY57C!
furniture,furniture,NY57C!
furniture,furniture,NY58A
furniture,furniture,NY58B
furniture,furniture,NY58C
furniture,furniture,NY58D!
furniture,furniture,NY58D!
furniture,furniture,NY58E!
furniture,furniture,NY58E!
furniture,furniture,NY58F!
furniture,furniture,NY59A
furniture,furniture,NY59B
furniture,furniture,NY60A
furniture,furniture,NY60A
furniture,furniture,NY60B!
furniture,furniture,NY61A
furniture,furniture,NY61A
furniture,furniture,NY61B
furniture,furniture,NY62A
furniture,furniture,NY62A
furniture,furniture,NY62B
furniture,furniture,NY62C
furniture,furniture,NY62C
furniture,furnitures,NY62D!
furniture,furniture factory,NY63A
furniture,furniture,NY63A
furniture,furniture,NY63B
furniture,furniture,NY63C
furniture,furniture,NY63D!
furniture,furniture,NY64A
furniture,furniture,NY64B
furniture,furniture,NY64C!
furniture,furniture,NJ1A
furniture,furniture,NJ1B
furniture,furniture,NJ2A
furniture,furniture,NJ2A
furniture,furniture,NJ2B
furniture,furniture,NJ3A
furniture,furniture,NJ3B
furniture,furniture,NJ4A
furniture,furniture,NJ4B
furniture,furniture,NJ5A
furniture,furniture,NJ5B
furniture,furniture,NJ6A
furniture,furniture,NJ6B
furniture,furniture,NJ7A
furniture,furniture,NJ7B!
furniture,furniture,NJ8A
furniture,furniture,NJ8B
furniture,furniture,NJ9A
furniture,furniture,NJ9B
furniture,furniture,NJ10A
furniture,furniture,NJ10B
furniture,furniture,NJ10C
furniture,furniture,NJ10D!
furniture,furniture,NJ11A
furniture,furniture,NJ11B
furniture,furniture,NJ11C
furniture,furniture,NJ12A
furniture,furniture,NJ12B
furniture,furniture,NJ13A
furniture,furniture,NJ13B
furniture,furniture,NJ14A
furniture,furniture,NJ14B
furniture,furniture,NJ15A
furniture,furniture,NJ15B
furniture,furniture,NJ16A
furniture,furniture,NJ16B
furniture,furniture,NJ17A
furniture,furniture,NJ17B
furniture,furniture,NJ18A
furniture,furniture,NJ18B
furniture,furniture,NJ18C!
furniture,furniture,NJ18D!
furniture,furniture,NJ19A
furniture,furniture,NJ19B!
furniture,furniture,NJ20A
furniture,furniture,NJ20B
furniture,furniture,NJ21A
furniture,furniture,NJ21B
furniture,furniture,PA1A
furniture,furniture,PA1B
furniture,furniture,PA1C
furniture,furniture,PA1D
furniture,furniture,PA1E!
furniture,furniture,PA1F!
furniture,furniture,PA1G!
furniture,furniture,PA1H!
furniture,furniture,PA2A
furniture,furniture,PA2B
furniture,furniture,PA3A
furniture,furniture,PA3B
furniture,furniture,PA3C
furniture,furniture,PA4A
furniture,furniture,PA4B!
furniture,furniture,PA5A
furniture,furniture,PA5B
furniture,furniture,PA5C
furniture,furniture,PA5D
furniture,furniture,PA5E!
furniture,furniture,PA6A
furniture,furniture,PA6B
furniture,furniture,PA6C
furniture,furniture,PA6D!
furniture,furniture,PA7A
furniture,furniture,PA7B
furniture,furniture,PA7C
furniture,furniture,PA7D!
furniture,furniture,PA8A
furniture,furniture,PA8B
furniture,furniture,PA8C
furniture,furniture,PA8D!
furniture,furniture,PA9A
furniture,furniture,PA9B
furniture,furniture,PA9C!
furniture,furniture,PA10
furniture,furniture,PA11A
furniture,furniture,PA11B
furniture,furniture,PA11B
furniture,furniture,PA12A
furniture,furniture,PA12B
furniture,furniture,PA13A
furniture,furniture,PA13B
furniture,furniture,PA14A
furniture,furniture,PA14B
furniture,furniture,PA14C
furniture,furniture,PA15A
furniture,furniture,PA15B
furniture,furniture,PA15C!
furniture,furniture,PA16A
furniture,furniture,PA16B
furniture,furniture,PA16C
furniture,furniture,PA17A
furniture,furniture,PA17B
furniture,furniture,PA18A
furniture,furniture,PA18B!
furniture,furniture,PA19A
furniture,furniture,PA19B
furniture,furniture,PA20A
furniture,furniture,PA20B
furniture,furniture,PA21A
furniture,furniture,PA21B
furniture,furniture,PA22A
furniture,furniture,PA22B
furniture,furniture,PA23A
furniture,furniture,PA23B
furniture,furniture,PA24A
furniture,furniture,PA24B
furniture,furniture,PA25A
furniture,furniture,PA25B
furniture,furniture,PA26A
furniture,furniture,PA26B
furniture,furniture,PA27A
furniture,furniture,PA27B
furniture,furniture,PA28A
furniture,furniture,PA28B!
furniture,furniture,PA29A
furniture,furniture,PA29A
furniture,furniture,PA29B
furniture,furniture,PA30A
furniture,furniture,PA30B
furniture,furniture,PA31A
furniture,furniture,PA31B
furniture,furniture,PA32A
furniture,furniture,PA32B
furniture,furniture,PA33A
furniture,furniture,PA33B
furniture,furniture,PA34A
furniture,furniture,PA34B
furniture,furniture,PA34C!
furniture,furniture,PA35A
furniture,furniture,PA35B
furniture,,PA35C
furniture,furniture,PA36A
furniture,furniture,PA36B
furniture,furniture,PA37A
furniture,furniture,PA37B
furniture,furniture,PA37C
furniture,furniture,PA38A
furniture,furniture,PA38B
furniture,furniture,PA39A
furniture,furniture,PA39B
furniture,furniture,PA40A
furniture,furniture,PA40B
furniture,furniture,PA41A
furniture,furniture,PA41B
furniture,furniture,PA42A
furniture,furniture,PA42B
furniture,furniture,PA43A
furniture,furniture,PA43B
furniture,furniture,PA44A
furniture,furniture,PA44B
furniture,furniture,PA45A
furniture,furniture,PA45B
furniture,furniture,PA46A
furniture,furniture,PA46B
furniture,furniture,PA47A
furniture,furniture,PA47B
furniture,furniture,PA48A
furniture,furniture,PA48B
furniture,furniture,PA48C
furniture,furniture,PA49A
furniture,furniture,PA49B
furniture,furniture,PA50A
furniture,furniture,PA50B
furniture,furniture,PA50C!
furniture,furniture,PA51A
furniture,furniture,PA51B
furniture,furniture,PA52A
furniture,furniture,PA52B!
furniture,furniture,PA53A
furniture,furniture,PA53B
furniture,furniture,PA54A
furniture,furniture,PA54B
furniture,furniture,PA55A
furniture,furniture,PA55B
furniture,furniture,PA56A
furniture,furniture,PA56A
furniture,furniture,PA56B
furniture,furniture,PA57A
furniture,furniture,PA57B
furniture,furniture,PA58A
furniture,furniture,PA58B
furniture,furniture,PA59A
furniture,furniture,PA59B
furniture,furniture,PA60A
furniture,furniture,PA60B
furniture,furniture,PA61A
furniture,furniture,PA61B
furniture,furniture,PA62A
furniture,furniture,PA62B
furniture,furniture,PA63A
furniture,furniture,PA63B
furniture,furniture,PA64A
furniture,furniture,PA64B
furniture,furniture,PA65A
furniture,furniture,PA65B
furniture,furniture,PA66A
furniture,furniture,PA66B
furniture,furniture,PA67A
furniture,furniture,PA67B
furniture,furniture,WV1!
