Target,Response,Informant
garden,garden,NY1
garden,garden,NY2A
garden,garden,NY2B
garden,kitchen garden,NY2C
garden,garden,NY3A
garden,garden,NY3B
garden,garden,NY3C
garden,garden,NY3D
garden,garden,NY4A
garden,garden,NY4B
garden,garden,NY4C
garden,garden,NY5A
garden,garden,NY5B
garden,garden,NY5C
garden,kitchen garden,NY5D
garden,garden,NY5E
garden,garden,NY5F
garden,garden,NY5G
garden,garden,NY5H!
garden,garden,NY5I!
garden,garden,NY6A
garden,garden,NY6B
garden,garden,NY7A
garden,garden,NY7B
garden,garden,NY7C
garden,vegetable garden,NY7D
garden,garden,NY7D
garden,garden,NY7E
garden,garden,NY7F
garden,garden,NY7G
garden,garden,NY7G
garden,garden,NY7H
garden,garden,NY7I
garden,vegetable garden,NY7I
garden,kitchen garden,NY7J!
garden,garden,NY7K!
garden,vegetable garden,NY7L!
garden,vegetable garden,NY7M!
garden,garden,NY8
garden,garden,NY9A
garden,garden,NY9B
garden,garden,NY9C
garden,garden,NY10A
garden,garden,NY10B!
garden,garden,NY11
garden,garden,NY12A
garden,garden,NY12A
garden,garden,NY12B
garden,garden,NY12C!
garden,garden,NY13A
garden,garden,NY13B!
garden,garden,NY14A
garden,garden,NY14B
garden,garden,NY15A
garden,garden,NY15B
garden,garden,NY16A
garden,garden,NY16B
garden,garden,NY17A
garden,garden,NY17B
garden,garden,NY18A
garden,garden,NY18B
garden,garden,NY18C!
garden,garden,NY18C!
garden,garden,NY19
garden,garden,NY20A
garden,garden,NY20B
garden,garden,NY21
garden,garden,NY22
garden,garden,NY23A
garden,garden stuff,NY23B
garden,garden,NY23B
garden,garden,NY23B
garden,garden truck,NY23C
garden,garden,NY23C
garden,garden,NY24A
garden,garden,NY24B!
garden,garden,NY25A
garden,garden stuff,NY25B
garden,garden,NY25B
garden,garden stuff,NY26A
garden,garden,NY26A
garden,garden,NY26B
garden,vegetable garden,NY26B
garden,,NY26C
garden,garden,NY27A
garden,garden,NY27B
garden,garden,NY27C
garden,garden,NY28A
garden,garden,NY28B
garden,,NY28C
garden,garden,NY29A
garden,flower garden,NY29B
garden,garden,NY29B
garden,garden,NY29C
garden,garden,NY30A
garden,vegetable garden,NY30B
garden,garden,NY30B
garden,,NY30C
garden,,NY30D
garden,flower garden,NY30E
garden,garden,NY30E
garden,garden,NY31A
garden,garden,NY31A
garden,garden,NY31B
garden,garden,NY31B
garden,garden,NY32A
garden,garden,NY32B
garden,garden,NY33A
garden,garden,NY33B
garden,truck garden,NY33C
garden,garden,NY34A
garden,,NY34B
garden,garden,NY34C
garden,truck garden,NY34D!
garden,garden,NY34D!
garden,garden,NY35A
garden,garden,NY35B
garden,garden,NY35C!
garden,garden,NY36A
garden,garden,NY36B
garden,garden,NY37A
garden,garden,NY37B
garden,garden,NY37C!
garden,garden,NY38A
garden,garden,NY38B
garden,garden,NY38C
garden,garden,NY39A
garden,garden,NY39B
garden,garden,NY40A
garden,garden,NY40B
garden,garden,NY41
garden,garden,NY42A
garden,garden,NY42B
garden,garden,NY43A
garden,garden,NY43B
garden,garden,NY43C!
garden,garden,NY44A
garden,garden,NY44B
garden,garden,NY45A
garden,garden,NY45A
garden,truck garden,NY45A
garden,garden,NY45B
garden,garden,NY45C
garden,vegetable garden,NY45D!
garden,garden,NY46A
garden,garden patch,NY46B
garden,garden,NY46B
garden,dooryard,NY46B
garden,meal,NY46B
garden,dooryard,NY46B
garden,vegetable garden,NY46C
garden,garden,NY47A
garden,garden,NY47B
garden,garden,NY48A
garden,,NY48B
garden,dooryard,NY48C
garden,garden,NY48C
garden,garden,NY48D
garden,garden,NY49A
garden,a garden of flowers,NY49A
garden,garden,NY49B
garden,garden,NY49C
garden,garden,NY49D
garden,garden,NY50A
garden,garden,NY50B
garden,flower garden,NY50B
garden,vegetable garden,NY50B
garden,garden,NY51A
garden,garden,NY51A
garden,dooryard,NY51B
garden,garden,NY51B
garden,garden,NY51C
garden,garden,NY51D
garden,garden,NY51E!
garden,garden,NY51E!
garden,garden,NY52A
