Target,Response,Informant
genuine,genuine,NY1
genuine,genuine,NY1
genuine,genuine,NY2A
genuine,genuine,NY2B
genuine,genuine,NY2C
genuine,genuine,NY2C
genuine,genuine,NY3A
genuine,genuine,NY3B
genuine,genuine,NY3C
genuine,genuine,NY3D
genuine,genuine,NY4A
genuine,genuine,NY4B
genuine,genuine,NY4C
genuine,genuine,NY5A
genuine,genuine,NY5B
genuine,genuine,NY5C
genuine,genuine,NY5D
genuine,genuine,NY5E
genuine,genuine,NY5F
genuine,genuine,NY5G
genuine,genuine,NY5H!
genuine,genuine,NY5I!
genuine,genuine,NY6A
genuine,genuine,NY6B
genuine,genuine,NY7A
genuine,genuine,NY7B
genuine,genuine,NY7C
genuine,genuine,NY7D
genuine,genuine,NY7E
genuine,genuine,NY7F
genuine,genuine,NY7G
genuine,genuine,NY7H
genuine,genuine,NY7I
genuine,genuine,NY7J!
genuine,genuine,NY7K!
genuine,genuine,NY7L!
genuine,genuine,NY7M!
genuine,genuine,NY8
genuine,genuine,NY9A
genuine,genuine,NY9B
genuine,genuine,NY9C
genuine,genuine,NY10A
genuine,genuine,NY10B!
genuine,genuine,NY11
genuine,genuine,NY12A
genuine,genuine,NY12A
genuine,genuine,NY12B
genuine,genuine,NY12C!
genuine,genuine,NY13A
genuine,genuine,NY13B!
genuine,genuine,NY14A
genuine,genuine,NY14B
genuine,genuine,NY15A
genuine,genuine,NY15B
genuine,genuine,NY16A
genuine,genuine,NY16B
genuine,genuine,NY17A
genuine,genuine,NY17B
genuine,genuine,NY18A
genuine,genuine,NY18B
genuine,genuine,NY18C!
genuine,genuine,NY19
genuine,genuine,NY20A
genuine,genuine,NY20B
genuine,genuine,NY21
genuine,genuine,NY22
genuine,genuine,NY23A
genuine,genuine falls,NY23A
genuine,genuine,NY23B
genuine,genuine,NY23C
genuine,genuine,NY24A
genuine,genuine,NY24B!
genuine,genuine maple syrup,NY25A
genuine,genuine,NY25B
genuine,real,NY26A
genuine,real,NY26B
genuine,genuine,NY26B
genuine,,NY26C
genuine,genuine,NY27A
genuine,real,NY27B
genuine,genuine,NY27C
genuine,the real thing,NY28A
genuine,genuine leather,NY28A
genuine,the pure thing,NY28A
genuine,pure syrup,NY28B
genuine,,NY28C
genuine,pure stuff,NY29A
genuine,real,NY29A
genuine,real syrup,NY29B
genuine,pure maple syrup,NY29B
genuine,real stuff,NY29C
genuine,pure cane,NY29C
genuine,genuine,NY30A
genuine,the real article,NY30B
genuine,the pure article,NY30B
genuine,,NY30C
genuine,genuine,NY30D
genuine,pure,NY30E
genuine,genuine,NY31A
genuine,genuine,NY31B
genuine,the real goods,NY32A
genuine,genuine,NY32B
genuine,pure,NY32B
genuine,genuine,NY33A
genuine,,NY33B
genuine,genuine,NY33C
genuine,the real thing,NY33C
genuine,pure,NY34A
genuine,,NY34B
genuine,genuine,NY34C
genuine,genuine,NY34D!
genuine,genuine,NY35A
genuine,genuine,NY35B
genuine,genuine,NY35C!
genuine,genuine,NY36A
genuine,genuine,NY36B
genuine,genuine,NY37A
genuine,genuine,NY37B
genuine,genuine,NY37C!
