Target,Response,Informant
Georgia,Georgia,NY1
Georgia,,NY2A
Georgia,Georgia,NY2B
Georgia,,NY2C
Georgia,Georgia,NY3A
Georgia,Georgia,NY3B
Georgia,Georgia,NY3C
Georgia,Georgia,NY3D
Georgia,Georgia,NY4A
Georgia,Georgia,NY4B
Georgia,Georgia,NY4C
Georgia,Georgia,NY5A
Georgia,Georgia,NY5B
Georgia,Georgia,NY5C
Georgia,Georgia,NY5D
Georgia,Georgia,NY5E
Georgia,Georgia,NY5F
Georgia,Georgia,NY5G
Georgia,Georgia,NY5H!
Georgia,Georgia,NY5I!
Georgia,Georgia,NY6A
Georgia,Georgia,NY6B
Georgia,Georgia,NY7A
Georgia,Georgia,NY7B
Georgia,Georgia,NY7C
Georgia,Georgia,NY7D
Georgia,Georgia,NY7E
Georgia,Georgia,NY7F
Georgia,Georgia,NY7G
Georgia,Georgia,NY7H
Georgia,Georgia,NY7I
Georgia,Georgia,NY7J!
Georgia,Georgia,NY7K!
Georgia,Georgia,NY7L!
Georgia,Georgia,NY7M!
Georgia,Georgia,NY8
Georgia,Georgia,NY9A
Georgia,Georgia,NY9B
Georgia,Georgia,NY9C
Georgia,Georgia,NY10A
Georgia,Georgia,NY10B!
Georgia,Georgia,NY11
Georgia,Georgia,NY12A
Georgia,Georgia,NY12B
Georgia,Georgia,NY12C!
Georgia,Georgia,NY13A
Georgia,Georgia,NY13B!
Georgia,Georgia,NY14A
Georgia,Georgia,NY14B
Georgia,Georgia,NY15A
Georgia,Georgia,NY15B
Georgia,Georgia,NY16A
Georgia,Georgia,NY16B
Georgia,Georgia,NY17A
Georgia,Georgia,NY17B
Georgia,Georgia,NY18A
Georgia,Georgia,NY18B
Georgia,Georgia,NY18C!
Georgia,Georgia,NY19
Georgia,Georgia,NY20A
Georgia,Georgia,NY20B
Georgia,Georgia,NY21
Georgia,Georgia,NY22
Georgia,,NY23A
Georgia,Georgia,NY23B
Georgia,Georgia,NY23C
Georgia,Georgia,NY24A
Georgia,Georgia,NY24B!
Georgia,Georgia,NY25A
Georgia,Georgia,NY25A
Georgia,Georgia,NY25B
Georgia,Georgia,NY26A
Georgia,Georgia,NY26B
Georgia,,NY26C
Georgia,Georgia,NY27A
Georgia,,NY27B
Georgia,Georgia,NY27C
Georgia,Georgia,NY28A
Georgia,Georgia,NY28B
Georgia,,NY28C
Georgia,,NY29A
Georgia,Georgia,NY29B
Georgia,Georgia,NY29C
Georgia,Georgia,NY29C
Georgia,Georgia,NY30A
Georgia,Georgia,NY30B
Georgia,,NY30C
Georgia,,NY30D
Georgia,Georgia,NY30E
Georgia,Georgia,NY31A
Georgia,Georgia,NY31B
Georgia,Georgia,NY32A
Georgia,Georgia,NY32B
Georgia,,NY33A
Georgia,Georgia,NY33B
Georgia,Georgia,NY33C
Georgia,Georgia,NY34A
Georgia,,NY34B
Georgia,,NY34C
Georgia,Georgia,NY34D!
Georgia,Georgia,NY35A
Georgia,Georgia,NY35B
Georgia,,NY35C!
Georgia,Georgia,NY36A
Georgia,Georgia,NY36B
Georgia,Georgia,NY37A
Georgia,Georgia,NY37B
Georgia,Georgia,NY37C!
Georgia,Georgia,NY38A
Georgia,Georgia,NY38B
Georgia,,NY38C
Georgia,Georgia,NY39A
Georgia,Georgia,NY39B
Georgia,Georgia,NY40A
Georgia,Georgia,NY40B
Georgia,Georgia,NY41
Georgia,Georgia,NY42A
Georgia,Georgia,NY42B
Georgia,Georgia,NY43A
Georgia,Georgia,NY43B
Georgia,Georgia,NY43C!
Georgia,Georgia,NY44A
Georgia,Georgia,NY44B
Georgia,,NY45A
Georgia,,NY45B
Georgia,,NY45C
Georgia,Georgia,NY45D!
Georgia,Georgia,NY46A
Georgia,,NY46B
Georgia,Georgia,NY46C
Georgia,Georgia,NY47A
Georgia,Georgia,NY47A
Georgia,Georgia,NY47B
Georgia,Georgia,NY48A
Georgia,,NY48B
Georgia,Georgia,NY48C
Georgia,Georgia,NY48C
Georgia,Georgia,NY48D
Georgia,Georgia,NY48D
Georgia,,NY49A
Georgia,,NY49B
Georgia,Georgia,NY49C
Georgia,Georgia,NY49D
Georgia,Georgia,NY50A
Georgia,Georgia,NY50B
Georgia,Georgia,NY51A
Georgia,Georgia,NY51B
Georgia,Georgia,NY51C
Georgia,,NY51D
Georgia,,NY51E!
Georgia,Georgia,NY52A
Georgia,Georgia,NY52B
Georgia,Georgia,NY52C
Georgia,Georgia,NY53A
Georgia,Georgia,NY53B!
Georgia,Georgia,NY54A
Georgia,Georgia,NY54B
Georgia,Georgia,NY55A
Georgia,Georgia,NY55B
Georgia,Georgia,NY56A
Georgia,Georgia,NY56B
Georgia,Georgia,NY57A
Georgia,,NY57B
Georgia,Georgia,NY57C!
Georgia,Georgia,NY58A
Georgia,Georgia,NY58B
Georgia,,NY58C
Georgia,Georgia,NY58D!
Georgia,Georgia,NY58E!
Georgia,,NY58F!
Georgia,Georgia,NY59A
Georgia,Georgia,NY59A
Georgia,Georgia,NY59B
Georgia,Georgia,NY60A
Georgia,Georgia,NY60B!
Georgia,Georgia,NY61A
Georgia,Georgia,NY61B
Georgia,,NY62A
Georgia,Georgia,NY62B
Georgia,Georgia,NY62C
Georgia,Georgia,NY62D!
Georgia,Georgia,NY63A
Georgia,Georgia,NY63B
Georgia,Georgia,NY63B
Georgia,Georgia,NY63C
Georgia,Georgia,NY63D!
Georgia,Georgia,NY64A
Georgia,Georgia,NY64B
Georgia,,NY64C!
Georgia,Georgia,NJ1A
Georgia,Georgia,NJ1B
Georgia,Georgia,NJ2A
Georgia,Georgia,NJ2B
Georgia,Georgia,NJ3A
Georgia,Georgia,NJ3B
Georgia,Georgia,NJ4A
Georgia,Georgia,NJ4B
Georgia,Georgia,NJ5A
