Target,Response,Informant
give me an apple,give me an apple,NY1
give me an apple,give me an apple,NY2A
give me an apple,give me an apple,NY2B
give me an apple,give me an apple,NY2C
give me an apple,give me an apple,NY3A
give me an apple,give me an apple,NY3B
give me an apple,give me an apple,NY3C
give me an apple,give me an apple,NY3D
give me an apple,give me an apple,NY4A
give me an apple,give me an apple,NY4B
give me an apple,give me an apple,NY4C
give me an apple,give me an apple,NY5A
give me an apple,give me an apple,NY5B
give me an apple,give me an apple,NY5C
give me an apple,give me an apple,NY5D
give me an apple,give me an apple,NY5E
give me an apple,give me an apple,NY5F
give me an apple,give me an apple,NY5G
give me an apple,give me an apple,NY5H!
give me an apple,give me an apple,NY5I!
give me an apple,give me an apple,NY6A
give me an apple,give me an apple,NY6B
give me an apple,give me an apple,NY7A
give me an apple,give me an apple,NY7B
give me an apple,give me an apple,NY7C
give me an apple,give me an apple,NY7D
give me an apple,give me an apple,NY7E
give me an apple,give me an apple,NY7F
give me an apple,give me an apple,NY7G
give me an apple,give me an apple,NY7H
give me an apple,give me an apple,NY7I
give me an apple,give me an apple,NY7J!
give me an apple,give me an apple,NY7K!
give me an apple,give me an apple,NY7L!
give me an apple,give me an apple,NY7M!
give me an apple,give me an apple,NY8
give me an apple,give me an apple,NY9A
give me an apple,give me an apple,NY9B
give me an apple,give me an apple,NY9C
give me an apple,give me an apple,NY10A
give me an apple,give me an apple,NY10B!
give me an apple,give me an apple,NY11
give me an apple,give me an apple,NY12A
give me an apple,give me an apple,NY12A
give me an apple,give me an apple,NY12B
give me an apple,give me an apple,NY12C!
give me an apple,give me an apple,NY13A
give me an apple,give me an apple,NY13B!
give me an apple,give me an apple,NY14A
give me an apple,give me an apple,NY14B
give me an apple,give me an apple,NY15A
give me an apple,give me an apple,NY15B
give me an apple,give me an apple,NY16A
give me an apple,give me an apple,NY16B
give me an apple,give me an apple,NY17A
give me an apple,give me an apple,NY17B
give me an apple,give me an apple,NY18A
give me an apple,give me an apple,NY18B
give me an apple,give me an apple,NY18C!
give me an apple,give me an apple,NY19
give me an apple,give me an apple,NY20A
give me an apple,give me an apple,NY20B
give me an apple,give me an apple,NY21
give me an apple,give me an apple,NY22
give me an apple,give me an apple,NY23B
give me an apple,give me an apple,NY23C
give me an apple,apple,NY23C
give me an apple,give me an apple,NY24A
give me an apple,give me an apple,NY24B!
give me an apple,give me an apple,NY25A
give me an apple,apple,NY25A
give me an apple,give me an apple,NY25B
give me an apple,give me an apple,NY26A
give me an apple,give me an apple,NY26B
give me an apple,,NY26C
give me an apple,give me an apple,NY27A
give me an apple,apple tree,NY27A
give me an apple,give me an apple,NY27B
give me an apple,give me an apple,NY27C
give me an apple,give me an apple,NY28A
give me an apple,give me an apple,NY28B
give me an apple,,NY28C
give me an apple,apples,NY29A
give me an apple,give me an apple,NY29A
give me an apple,plums,NY29A
give me an apple,give me an apple,NY29B
give me an apple,give me an apple,NY29C
give me an apple,give me an apple,NY30A
give me an apple,give me an apple,NY30B
give me an apple,,NY30C
give me an apple,,NY30D
give me an apple,apple orchard,NY30E
give me an apple,give me an apple,NY30E
give me an apple,an apple,NY31A
give me an apple,apple trees,NY31A
give me an apple,apples,NY31A
give me an apple,give me an apple,NY31A
give me an apple,a oven,NY31A
give me an apple,give me an apple,NY31B
give me an apple,give me an apple,NY32A
give me an apple,apples,NY32A
give me an apple,a acre of peas,NY32B
give me an apple,give me an apple,NY32B
give me an apple,an organ,NY32B
give me an apple,give me an apple,NY33A
give me an apple,apples,NY33A
give me an apple,,NY33B
give me an apple,an open can,NY33C
give me an apple,give me an apple,NY33C
give me an apple,apple,NY34A
give me an apple,give me an egg,NY34A
give me an apple,,NY34B
give me an apple,apples,NY34C
give me an apple,give me an apple,NY34D!
give me an apple,apples,NY34D!
give me an apple,I ate it,NY34D!
give me an apple,give me an apple,NY35A
give me an apple,give me an apple,NY35B
give me an apple,give me an apple,NY35C!
give me an apple,give me an apple,NY36A
give me an apple,give me an apple,NY36B
give me an apple,give me an apple,NY37A
give me an apple,give me an apple,NY37B
give me an apple,give me an apple,NY37C!
give me an apple,give me an apple,NY38A
give me an apple,give me an apple,NY38B
give me an apple,give me an apple,NY38C
give me an apple,give me an apple,NY39A
give me an apple,give me an apple,NY39B
give me an apple,give me an apple,NY40A
give me an apple,give me an apple,NY40B
give me an apple,give me an apple,NY41
give me an apple,give me an apple,NY42A
give me an apple,give me an apple,NY42B
give me an apple,give me an apple,NY43A
give me an apple,give me an apple,NY43B
give me an apple,give me an apple,NY43C!
give me an apple,give me an apple,NY44A
give me an apple,give me an apple,NY44B
give me an apple,give me an apple,NY45A
give me an apple,,NY45B
give me an apple,,NY45C
give me an apple,apples,NY45D!
give me an apple,give me an apple,NY45D!
give me an apple,apples,NY46A
give me an apple,give me an apple,NY46A
give me an apple,apples,NY46B
give me an apple,give me an apple,NY46B
give me an apple,give me an apple,NY46C
give me an apple,give me an apple,NY47A
