Target,Response,Informant
glass of water,tumbler,NY1
glass of water,glass of water,NY1
glass of water,tumbler,NY2A
glass of water,glass of water,NY2A
glass of water,glass of water,NY2B
glass of water,glass of water,NY2C
glass of water,glass of water,NY3A
glass of water,glass of water,NY3B
glass of water,glass of water,NY3C
glass of water,tumbler of water,NY3D
glass of water,glass of water,NY3D
glass of water,glass of water,NY4A
glass of water,glass of water,NY4B
glass of water,glass of water,NY4C
glass of water,glass of water,NY5A
glass of water,glass of water,NY5B
glass of water,glass of water,NY5C
glass of water,tumbler of water,NY5D
glass of water,glass of water,NY5D
glass of water,glass of water,NY5E
glass of water,glass of water,NY5F
glass of water,glass of water,NY5G
glass of water,glass of water,NY5H!
glass of water,glass of water,NY5I!
glass of water,tumbler,NY5I!
glass of water,glass of water,NY6A
glass of water,glass water,NY6B
glass of water,glass of water,NY7A
glass of water,glass of water,NY7B
glass of water,glass of water,NY7C
glass of water,glass of water,NY7D
glass of water,tumbler of water,NY7D
glass of water,glass of water,NY7E
glass of water,glass of water,NY7F
glass of water,glass of water,NY7G
glass of water,glass of water,NY7H
glass of water,glass of water,NY7I
glass of water,glass of water,NY7J!
glass of water,glass of water,NY7K!
glass of water,tumbler,NY7L!
glass of water,glass of water,NY7L!
glass of water,glass of water,NY7M!
glass of water,glass of water,NY8
glass of water,tumbler of water,NY8
glass of water,glass of water,NY9A
glass of water,used to be,NY9B
glass of water,tumbler,NY9B
glass of water,glass water,NY9B
glass of water,glass of water,NY9C
glass of water,glass of water,NY10A
glass of water,glass of water,NY10B!
glass of water,glass of water,NY11
glass of water,glass of water,NY12A
glass of water,glass of water,NY12A
glass of water,glass of water,NY12B
glass of water,tumbler,NY12B
glass of water,tumbler,NY12C!
glass of water,glass of water,NY12C!
glass of water,glass of water,NY13A
glass of water,glass of water,NY13B!
glass of water,tumbler of water,NY14A
glass of water,glass of water,NY14A
glass of water,glass of water,NY14B
glass of water,glass of water,NY15A
glass of water,glass of water,NY15B
glass of water,glass of water,NY16A
glass of water,glass of water,NY16B
glass of water,glass of water,NY17A
glass of water,glass of water,NY17B
glass of water,glass of water,NY18A
glass of water,tumbler of water,NY18A
glass of water,glass of water,NY18B
glass of water,glass of water,NY18C!
glass of water,glass of water,NY19
glass of water,glass of water,NY20A
glass of water,tumbler of water,NY20A
glass of water,glass of water,NY20B
glass of water,glass water,NY21
glass of water,glass of water,NY22
glass of water,goblet,NY23A
glass of water,tumbler,NY23A
glass of water,a glass of water,NY23B
glass of water,tumbler,NY23B
glass of water,a glass of water,NY23B
glass of water,goblet,NY23B
glass of water,a glass of milk,NY23C
glass of water,glass of water,NY23C
glass of water,water,NY23C
glass of water,tumbler,NY23C
glass of water,glass,NY24A
glass of water,tumbler of water,NY24A
glass of water,glass of water,NY24B!
glass of water,water,NY25A
glass of water,goblets,NY25A
glass of water,tumbler,NY25A
glass of water,tin cups,NY25A
glass of water,glasses of water,NY25A
glass of water,a drink of water,NY25B
glass of water,glass,NY25B
glass of water,water,NY25B
glass of water,tumbler,NY25B
glass of water,water glass,NY25B
glass of water,water,NY26A
