Target,Response,Informant
going on,,NY1
going on,,NY2A
going on,,NY2B
going on,,NY2C
going on,,NY3A
going on,,NY3B
going on,,NY3C
going on,,NY3D
going on,,NY4A
going on,,NY4B
going on,,NY4C
going on,,NY5A
going on,,NY5B
going on,,NY5C
going on,,NY5D
going on,,NY5E
going on,,NY5F
going on,,NY5G
going on,,NY5H!
going on,,NY5I!
going on,,NY6A
going on,,NY6B
going on,,NY7A
going on,,NY7B
going on,,NY7C
going on,,NY7D
going on,,NY7E
going on,,NY7F
going on,,NY7G
going on,,NY7H
going on,,NY7I
going on,,NY7J!
going on,,NY7K!
going on,,NY7L!
going on,,NY7M!
going on,,NY8
going on,,NY9A
going on,,NY9B
going on,,NY9C
going on,,NY10A
going on,,NY10B!
going on,,NY11
going on,,NY12A
going on,,NY12B
going on,,NY12C!
going on,,NY13A
going on,,NY13B!
going on,,NY14A
going on,,NY14B
going on,,NY15A
going on,,NY15B
going on,,NY16A
going on,,NY16B
going on,,NY17A
going on,,NY17B
going on,,NY18A
going on,,NY18B
going on,,NY18C!
going on,,NY19
going on,,NY20A
going on,,NY20B
going on,,NY21
going on,,NY22
going on,,NY23A
going on,,NY23B
going on,,NY23C
going on,,NY24A
going on,,NY24B!
going on,,NY25A
going on,,NY25B
going on,,NY26A
going on,,NY26B
going on,,NY26C
going on,,NY27A
going on,,NY27B
going on,,NY27C
going on,,NY28A
going on,,NY28B
going on,,NY28C
going on,,NY29A
going on,,NY29B
going on,,NY29C
going on,,NY30A
going on,,NY30B
going on,,NY30C
going on,,NY30D
going on,,NY30E
going on,,NY31A
going on,,NY31B
going on,,NY32A
going on,,NY32B
going on,,NY33A
going on,,NY33B
going on,,NY33C
going on,,NY34A
going on,,NY34B
going on,,NY34C
going on,,NY34D!
going on,,NY35A
going on,,NY35B
going on,,NY35C!
going on,,NY36A
going on,,NY36B
going on,,NY37A
going on,,NY37B
going on,,NY37C!
going on,,NY38A
going on,,NY38B
going on,,NY38C
going on,,NY39A
going on,,NY39B
going on,,NY40A
going on,,NY40B
going on,,NY41
going on,,NY42A
going on,,NY42B
going on,,NY43A
going on,,NY43B
going on,,NY43C!
going on,,NY44A
going on,,NY44B
going on,,NY45A
going on,,NY45B
going on,,NY45C
going on,,NY45D!
going on,,NY46A
going on,,NY46B
going on,,NY46C
going on,,NY47A
going on,,NY47B
going on,,NY48A
going on,,NY48B
going on,,NY48C
going on,,NY48D
going on,,NY49A
going on,,NY49B
going on,,NY49C
going on,,NY49D
going on,,NY50A
going on,,NY50B
going on,,NY51A
going on,,NY51B
going on,,NY51C
going on,,NY51D
going on,,NY51E!
going on,,NY52A
going on,,NY52B
going on,,NY52C
going on,,NY53A
going on,,NY53B!
going on,,NY54A
going on,,NY54B
going on,,NY55A
going on,,NY55B
going on,,NY56A
going on,,NY56B
going on,,NY57A
going on,,NY57B
going on,,NY57C!
going on,,NY58A
going on,,NY58B
going on,,NY58C
going on,,NY58D!
going on,,NY58E!
going on,,NY58F!
going on,,NY59A
going on,,NY59B
going on,,NY60A
going on,,NY60B!
going on,,NY61A
going on,,NY61B
going on,,NY62A
going on,,NY62B
going on,,NY62C
going on,,NY62D!
going on,,NY63A
going on,,NY63B
going on,,NY63C
going on,,NY63D!
going on,,NY64A
going on,,NY64B
going on,,NY64C!
going on,,NJ1A
going on,,NJ1B
going on,,NJ2A
going on,,NJ2B
going on,,NJ3A
going on,,NJ3B
going on,,NJ4A
going on,,NJ4B
going on,,NJ5A
going on,,NJ5B
going on,,NJ6A
going on,,NJ6B
going on,,NJ7A
going on,,NJ7B!
going on,,NJ8A
going on,,NJ8B
going on,,NJ9A
going on,,NJ9B
going on,,NJ10A
going on,,NJ10B
going on,,NJ10C
going on,,NJ10D!
going on,,NJ11A
going on,,NJ11B
going on,,NJ11C
going on,,NJ12A
going on,,NJ12B
going on,,NJ13A
going on,,NJ13B
going on,,NJ14A
going on,,NJ14B
going on,,NJ15A
going on,,NJ15B
going on,,NJ16A
going on,,NJ16B
going on,,NJ17A
going on,,NJ17B
going on,,NJ18A
going on,,NJ18B
going on,,NJ18C!
going on,,NJ18D!
going on,,NJ19A
going on,,NJ19B!
going on,,NJ20A
going on,,NJ20B
going on,,NJ21A
going on,,NJ21B
going on,,PA1A
going on,,PA1B
going on,,PA1C
going on,,PA1D
going on,,PA1E!
going on,,PA1F!
going on,,PA1G!
going on,,PA1H!
going on,,PA2A
going on,,PA2B
going on,,PA3A
going on,,PA3B
going on,,PA3C
going on,,PA4A
going on,,PA4B!
going on,,PA5A
going on,,PA5B
going on,,PA5C
going on,,PA5D
going on,,PA5E!
going on,,PA6A
going on,,PA6B
going on,,PA6C
going on,,PA6D!
going on,,PA7A
going on,,PA7B
going on,,PA7C
going on,,PA7D!
going on,,PA8A
going on,,PA8B
going on,,PA8C
going on,,PA8D!
going on,,PA9A
going on,,PA9B
going on,,PA9C!
going on,,PA10
going on,,PA11A
going on,,PA11B
going on,,PA12A
going on,,PA12B
going on,,PA13A
going on,,PA13B
going on,,PA14A
going on,,PA14B
going on,,PA14C
going on,,PA15A
going on,,PA15B
going on,,PA15C!
going on,,PA16A
going on,,PA16B
going on,,PA16C
going on,,PA17A
going on,,PA17B
going on,,PA18A
going on,,PA18B!
going on,,PA19A
going on,,PA19B
going on,,PA20A
going on,,PA20B
going on,,PA21A
going on,,PA21B
going on,,PA22A
going on,,PA22B
going on,,PA23A
going on,,PA23B
going on,,PA24A
going on,,PA24B
going on,,PA25A
going on,,PA25B
going on,,PA26A
going on,,PA26B
going on,,PA27A
going on,,PA27B
going on,,PA28A
going on,,PA28B!
going on,,PA29A
going on,,PA29B
going on,,PA30A
going on,,PA30B
going on,,PA31A
going on,,PA31B
going on,,PA32A
going on,,PA32B
going on,,PA33A
going on,,PA33B
going on,,PA34A
going on,,PA34B
going on,,PA34C!
going on,,PA35A
going on,,PA35B
going on,,PA35C
going on,,PA36A
going on,,PA36B
going on,,PA37A
going on,,PA37B
going on,,PA37C
going on,,PA38A
going on,,PA38B
going on,,PA39A
going on,,PA39B
going on,,PA40A
going on,,PA40B
going on,,PA41A
going on,,PA41B
going on,,PA42A
going on,,PA42B
going on,,PA43A
going on,,PA43B
going on,,PA44A
going on,,PA44B
going on,,PA45A
going on,,PA45B
going on,,PA46A
going on,,PA46B
going on,,PA47A
going on,,PA47B
going on,,PA48A
going on,,PA48B
going on,,PA48C
going on,,PA49A
going on,,PA49B
going on,,PA50A
going on,,PA50B
going on,,PA50C!
going on,,PA51A
going on,,PA51B
going on,,PA52A
going on,,PA52B!
going on,,PA53A
going on,,PA53B
going on,,PA54A
going on,,PA54B
going on,,PA55A
going on,,PA55B
going on,,PA56A
going on,,PA56B
going on,,PA57A
going on,,PA57B
going on,,PA58A
going on,,PA58B
going on,,PA59A
going on,,PA59B
going on,,PA60A
going on,,PA60B
going on,,PA61A
going on,,PA61B
going on,,PA62A
going on,,PA62B
going on,,PA63A
going on,,PA63B
going on,,PA64A
going on,,PA64B
going on,,PA65A
going on,,PA65B
going on,,PA66A
going on,,PA66B
going on,,PA67A
going on,,PA67B
going on,,WV1!
going on,,WV2
going on,,WV3
going on,,WV4A
going on,going on,WV4B
going on,,WV5
going on,,WV6A
going on,,WV6B
going on,,WV7A
going on,,WV7B
going on,,WV8A
going on,,WV8B
going on,,WV9A
going on,,WV9B
going on,,WV10A
going on,,WV10B
going on,,WV10C
going on,,WV11A
going on,,WV11B!
going on,,WV12A
going on,,WV12B
going on,,WV13A
going on,,WV13B
going on,,WV14A
going on,,WV14B
going on,,WV15A
going on,,WV15B
going on,,WV16A
going on,,WV16B
going on,,WV17A
going on,,WV17B
going on,,WV17C
going on,,WV18A
going on,,WV18B
going on,,WV19A
going on,,WV19B
going on,,WV20A
going on,,WV20B
going on,,WV21A
going on,,WV21B
going on,,WV22A
going on,,WV22B
going on,,WV23A
going on,,WV23B
going on,,WV24A
going on,,WV24B
going on,,WV25A
going on,,WV25B
going on,,WV26A
going on,,WV26B
going on,,WV27A
going on,,WV27B
going on,,WV28A
going on,,WV28B
going on,,WV29A
going on,,WV29B
going on,,WV30A
going on,,WV30B
going on,,WV31A
going on,,WV31B
going on,,WV32A
going on,,WV32B
going on,,WV33A
going on,,WV33B
going on,,WV34A
going on,,WV34B
going on,,WV35A
going on,,WV35B
going on,,WV36A
going on,,WV36B
going on,,WV37A
going on,,WV37B!
going on,,WV38A
going on,,WV38B
going on,,WV39A
going on,,WV39B
going on,,WV39C!
going on,,WV40A
going on,,WV40B
going on,,WV41A
going on,,WV41B
going on,,WV42A
going on,,WV42B
going on,,WV43A
going on,,WV43B
going on,,WV44A
going on,,WV44B
going on,,WV45A
going on,,WV45B
going on,,WV46A
going on,,WV46B
going on,,WV47A
going on,,WV47B
going on,,WV48A
going on,,WV48B
going on,,WV48C
going on,,WV48D
going on,,WV49A
going on,,WV49B
going on,,WV50A
going on,,WV50B
going on,,WV51A
going on,,WV51B
going on,,WV52A
going on,,WV52B
going on,,WV52C!
going on,,WV53A
going on,,WV53B
going on,,WV53C!
going on,,WV54A
going on,,WV54B
going on,,DE1A
going on,,DE1B
going on,,DE1C!
going on,ten out,DE2A
going on,going on,DE2A
going on,,DE2B
going on,,DE2C
going on,,DE3A
going on,,DE3B
going on,,DE3C!
going on,,DE4
going on,going on,DE5A
going on,ten out,DE5A
going on,,DE5B
going on,,DE6A
going on,,DE6B
going on,,MD1A
going on,,MD1B
going on,,MD2A
going on,,MD2B
going on,,MD3A
going on,,MD3B
going on,,MD4A
going on,,MD4B
going on,ten out,MD4C
going on,going in his ten,MD4C
going on,,MD5A
going on,,MD5B
going on,,MD6A
going on,,MD6B
going on,,MD7A
going on,,MD7B
going on,,MD7C!
going on,,MD8A
going on,,MD8B
going on,going on,MD9N
going on,ten out,MD9N
going on,,MD9A
going on,,MD9B
going on,,MD10A
going on,,MD10B
going on,,MD11
going on,,MD12A
going on,,MD12B
going on,,MD13A
going on,,MD13B
going on,,MD13C
going on,,MD13D!
going on,going on,MD13E!
going on,,MD13F!
going on,,MD13G
going on,,MD14
going on,,MD15A
going on,,MD15B
going on,going on,MD16
going on,,MD17A
going on,,MD17B
going on,,MD18A
going on,,MD18B
going on,,MD19A
going on,,MD19B
going on,going on ten,MD20A
going on,,MD20B
going on,,MD20C!
going on,,MD21A
going on,,MD21B
going on,,MD22N
going on,,MD22M
going on,a-going in,MD22A
going on,,MD22B
going on,,MD22C!
going on,,MD23A
going on,,MD23B
going on,,MD23C
going on,,MD24
going on,,MD25
going on,,MD26A
going on,,MD26B
going on,,MD27A
going on,,MD27B
going on,going on,DC1A
going on,,DC1B!
going on,,VA1!
going on,,VA2A
going on,,VA2B
going on,,VA3A
going on,,VA3B
going on,,VA3C
going on,,VA4N
going on,,VA5A
going on,,VA5B
going on,,VA6A
going on,,VA6B
going on,,VA7A
going on,,VA7B
going on,going on,VA8A
going on,,VA8B
going on,,VA8C!
going on,,VA9A
going on,,VA9B!
going on,,VA10A
going on,,VA10B
going on,,VA11A
going on,,VA11B
going on,,VA12N
going on,,VA12A
going on,,VA12B!
going on,,VA13A
going on,,VA13B
going on,going on,VA14A
going on,,VA14B
going on,,VA14C
going on,,VA15N
going on,,VA15A
going on,,VA15B
going on,,VA16A
going on,,VA16B
going on,,VA17A
going on,,VA17B
going on,,VA18
going on,,VA19A
going on,,VA19B
going on,,VA19C!
going on,,VA20A
going on,,VA20B
going on,,VA20C
going on,,VA21N
going on,,VA21A
going on,,VA21B
going on,,VA22
going on,,VA23A
going on,going on,VA23B
going on,,VA24
going on,,VA25
going on,,VA26A
going on,,VA26B
going on,,VA26C
going on,,VA27
going on,,VA28A
going on,,VA28B
going on,,VA29
going on,,VA30A
going on,,VA30B!
going on,going on,VA30C!
going on,,VA30D!
going on,,VA30E!
going on,,VA31A
going on,,VA31B
going on,,VA31C
going on,,VA32!
going on,,VA33A
going on,,VA33B
going on,going on ten,VA34A
going on,,VA34B
going on,,VA35A
going on,,VA35B
going on,,VA36A
going on,,VA36B
going on,,VA37
going on,going on,VA38
going on,ten up,VA38
going on,in his ten,VA38
going on,,VA39!
going on,,VA40A
going on,,VA40B
going on,,VA41A
going on,,VA41B
going on,,VA42A
going on,,VA42B
going on,,VA43N
going on,,VA43A
going on,,VA43B
going on,,VA44A
going on,,VA44B
going on,going on,VA45A
going on,,VA45B
going on,,VA46N
going on,going on,VA46A
going on,,VA46B!
going on,,VA47
going on,,VA48A
going on,,VA48B
going on,,VA49A
going on,,VA49B
going on,,VA50A
going on,,VA50B
going on,,VA51A
going on,,VA51B
going on,,VA51C
going on,,VA52A
going on,,VA52B
going on,,VA52C!
going on,,VA53A
going on,,VA53B
going on,going on,VA54A
going on,,VA54B
going on,going on ten,VA55A
going on,,VA55B
going on,,VA56A
going on,,VA56B
going on,,VA57A
going on,,VA57B
going on,,VA58
going on,going on,VA59N
going on,,VA59A
going on,,VA59B!
going on,,VA60
going on,going on,VA61A
going on,,VA61B!
going on,,VA61C
going on,,VA62A
going on,,VA62B
going on,,VA63A
going on,,VA63B
going on,,VA64A
going on,,VA64B
going on,,VA65A
going on,going on,VA65B
going on,,VA65C!
going on,,VA66A
going on,,VA66B
going on,,VA67A
going on,,VA67B
going on,,VA68A
going on,,VA68B
going on,,VA69A
going on,,VA69B
going on,going on,VA70A
going on,,VA70B
going on,,VA71A
going on,,VA71B
going on,,VA72A
going on,,VA72B
going on,,VA73
going on,,VA74A
going on,,VA74B!
going on,,VA75A
going on,,VA75B
going on,,NC1
going on,ten out,NC2A
going on,going on,NC2A
going on,,NC2B
going on,,NC3A
going on,,NC3B
