Target,Response,Informant
good day,good day,NY1
good day,,NY2A
good day,good day,NY2B
good day,,NY2C
good day,good day,NY3A
good day,good day,NY3B
good day,good day,NY3C
good day,good day,NY3D
good day,,NY4A
good day,good day,NY4B
good day,good day,NY4C
good day,,NY5A
good day,good day,NY5B
good day,,NY5C
good day,good day,NY5D
good day,,NY5E
good day,good day,NY5F
good day,good day,NY5G
good day,,NY5H!
good day,,NY5I!
good day,good day,NY6A
good day,good day,NY6B
good day,good day,NY7A
good day,,NY7B
good day,good day,NY7C
good day,good day,NY7D
good day,good day,NY7E
good day,good day,NY7F
good day,good day,NY7G
good day,good day,NY7H
good day,good day,NY7I
good day,good day,NY7J!
good day,good day,NY7K!
good day,,NY7L!
good day,good day,NY7M!
good day,,NY8
good day,good day,NY9A
good day,good day,NY9B
good day,good day,NY9C
good day,good day,NY10A
good day,good day,NY10B!
good day,,NY11
good day,good day,NY12A
good day,good day,NY12B
good day,,NY12C!
good day,good day,NY13A
good day,good day,NY13B!
good day,good day,NY14A
good day,good day,NY14B
good day,good day,NY15A
good day,good day,NY15B
good day,good day,NY16A
good day,,NY16B
good day,good day,NY17A
good day,good day,NY17B
good day,good day,NY18A
good day,good day,NY18B
good day,good day,NY18C!
good day,,NY19
good day,good day,NY20A
good day,good day,NY20B
good day,good day,NY21
good day,good day,NY22
good day,good day,NY23A
good day,goodbye,NY23B
good day,good day,NY23B
good day,good day,NY23C
good day,good day,NY23C
good day,goodbye,NY23C
good day,good day,NY24A
good day,good day,NY24B!
good day,good day,NY25A
good day,goodbye,NY25A
good day,goodbye,NY25B
good day,goodbye,NY26A
good day,good day,NY26A
good day,goodbye,NY26B
good day,good day,NY26B
good day,,NY26C
good day,goodbye,NY27A
good day,,NY27B
good day,good day,NY27C
good day,goodbye,NY27C
good day,good day,NY28A
good day,goodbye,NY28A
good day,good day,NY28B
good day,goodbye,NY28B
good day,,NY28C
good day,good day,NY29A
good day,goodbye,NY29B
good day,good day,NY29B
good day,goodbye,NY29B
good day,good day,NY29C
good day,good day,NY30A
good day,good day,NY30B
good day,goodbye,NY30B
good day,,NY30C
good day,,NY30D
good day,good day,NY30E
good day,goodbye,NY31A
good day,good day,NY31A
good day,goodbye,NY31B
good day,so long,NY31B
good day,good day,NY31B
good day,goodbye,NY31B
good day,good day,NY32A
good day,good day,NY32B
good day,so long,NY32B
good day,goodbye,NY32B
good day,,NY33A
good day,good day,NY33B
good day,,NY33B
good day,good day,NY33B
good day,,NY33B
good day,goodbye,NY33C
good day,goodbye,NY34A
good day,,NY34B
good day,,NY34C
good day,goodbye,NY34D!
good day,good day,NY35A
good day,good day,NY35B
good day,,NY35C!
good day,good day,NY36A
good day,good day,NY36B
good day,good day,NY37A
good day,good day,NY37B
good day,,NY37C!
good day,good day,NY38A
good day,good day,NY38B
good day,,NY38C
good day,good day,NY39A
good day,good day,NY39B
good day,good day,NY40A
good day,good day,NY40B
good day,good day,NY41
good day,good day,NY42A
good day,good day,NY42B
good day,,NY43A
good day,good day,NY43B
good day,good day,NY43C!
good day,good day,NY44A
good day,good day,NY44B
good day,so long,NY45A
good day,,NY45B
good day,,NY45C
good day,good day,NY45D!
good day,goodbye,NY45D!
good day,so long,NY46A
good day,goodbye,NY46A
good day,,NY46B
good day,good day,NY46C
good day,good day,NY46C
good day,good day,NY47A
good day,goodbye,NY47A
good day,good day,NY47B
good day,so long,NY48A
good day,,NY48B
good day,goodbye,NY48C
good day,good day,NY48C
good day,goodbye,NY48D
good day,,NY49A
good day,,NY49B
good day,good day,NY49C
good day,,NY49D
