Target,Response,Informant
good morning,good morning,NY1
good morning,,NY2A
good morning,good morning,NY2B
good morning,,NY2C
good morning,good morning,NY3A
good morning,good morning,NY3B
good morning,good morning,NY3C
good morning,good morning,NY3D
good morning,good morning,NY4A
good morning,good morning,NY4B
good morning,good morning,NY4C
good morning,good morning,NY5A
good morning,good morning,NY5B
good morning,good morning,NY5C
good morning,good morning,NY5D
good morning,good morning,NY5E
good morning,good morning,NY5F
good morning,good morning,NY5G
good morning,good morning,NY5H!
good morning,good morning,NY5I!
good morning,good morning,NY6A
good morning,good morning,NY6B
good morning,good morning,NY7A
good morning,good morning,NY7B
good morning,good morning,NY7C
good morning,good morning,NY7D
good morning,good morning,NY7E
good morning,good morning,NY7F
good morning,good morning,NY7G
good morning,good morning,NY7H
good morning,good morning,NY7I
good morning,good morning,NY7J!
good morning,good morning,NY7K!
good morning,good morning,NY7L!
good morning,good morning,NY7M!
good morning,good morning,NY8
good morning,good morning,NY9A
good morning,good morning,NY9B
good morning,good morning,NY9C
good morning,good morning,NY10A
good morning,good morning,NY10B!
good morning,good morning,NY11
good morning,good morning,NY12A
good morning,good morning,NY12B
good morning,good morning,NY12C!
good morning,good morning,NY13A
good morning,good morning,NY13B!
good morning,good morning,NY14A
good morning,good morning,NY14B
good morning,good morning,NY15A
good morning,good morning,NY15B
good morning,good morning,NY16A
good morning,good morning,NY16B
good morning,good morning,NY17A
good morning,good morning,NY17B
good morning,good morning,NY18A
good morning,good morning,NY18B
good morning,good morning,NY18C!
good morning,good morning,NY19
good morning,good morning,NY20A
good morning,good morning,NY20B
good morning,good morning,NY21
good morning,good morning,NY22
good morning,,NY23A
good morning,forenoon,NY23B
good morning,good morning,NY23B
good morning,forenoon,NY23C
good morning,good morning,NY23C
good morning,good morning,NY24A
good morning,good morning,NY24B!
good morning,morning,NY25A
good morning,good morning,NY25A
good morning,morning,NY25B
good morning,good morning,NY25B
good morning,forenoon,NY25B
good morning,good morning,NY26A
good morning,the morning,NY26A
good morning,good morning,NY26B
good morning,the morning,NY26B
good morning,,NY26C
good morning,forenoon,NY27A
good morning,good morning,NY27A
good morning,morning,NY27A
good morning,good morning,NY27B
good morning,good morning,NY27C
good morning,good morning,NY28A
good morning,morning,NY28A
good morning,Sunday morning,NY28B
good morning,good morning,NY28B
good morning,forenoon,NY28B
good morning,this morning,NY28C
good morning,forenoon,NY29A
good morning,good morning,NY29A
good morning,the morning,NY29B
good morning,morning,NY29B
good morning,good morning,NY29B
good morning,forenoon,NY29C
good morning,good morning,NY29C
good morning,good morning,NY30A
good morning,morning,NY30B
good morning,good morning,NY30B
good morning,,NY30C
good morning,,NY30D
good morning,good morning,NY30E
good morning,good morning,NY31A
good morning,good morning,NY31A
good morning,good morning,NY31B
good morning,forenoon,NY31B
good morning,morning,NY31B
good morning,good morning,NY32A
good morning,the forenoon,NY32A
good morning,good morning,NY32A
good morning,the morning,NY32A
good morning,good morning,NY32B
good morning,good morning,NY33A
good morning,good morning,NY33B
good morning,good morning,NY33B
good morning,good morning,NY33C
good morning,good morning,NY34A
good morning,goodbye,NY34A
good morning,good morning,NY34A
good morning,,NY34B
good morning,morning,NY34C
good morning,good morning,NY34D!
good morning,good morning,NY35A
good morning,good morning,NY35B
good morning,,NY35C!
good morning,good morning,NY36A
good morning,good morning,NY36B
good morning,good morning,NY37A
good morning,good morning,NY37B
good morning,good morning,NY37C!
good morning,good morning,NY38A
good morning,good morning,NY38B
good morning,,NY38C
good morning,good morning,NY39A
good morning,good morning,NY39B
good morning,good morning,NY40A
good morning,good morning,NY40B
good morning,good morning,NY41
good morning,good morning,NY42A
good morning,good morning,NY42B
good morning,,NY43A
good morning,good morning,NY43B
good morning,good morning,NY43C!
good morning,good morning,NY44A
good morning,good morning,NY44B
good morning,good morning,NY45A
good morning,morning,NY45B
good morning,morning,NY45B
good morning,forenoon,NY45C
good morning,till noon,NY45D!
good morning,good morning,NY45D!
good morning,forenoon,NY46A
good morning,good morning,NY46A
good morning,morning,NY46A
good morning,good morning,NY46B
good morning,good morning,NY46B
good morning,morning,NY46B
good morning,till twelve o'clock,NY46C
good morning,good morning,NY46C
good morning,good morning,NY47A
good morning,good morning,NY47A
good morning,good morning,NY47A
good morning,good morning,NY47B
good morning,good morning,NY48A
good morning,forenoon,NY48A
good morning,till ten o'clock,NY48A
good morning,,NY48B
good morning,good morning,NY48C
good morning,this morning,NY48C
good morning,good morning,NY48D
good morning,morning,NY49A
good morning,,NY49B
good morning,good morning,NY49C
good morning,hi,NY49C
good morning,good morning,NY49D
good morning,hi,NY49D
good morning,good morning,NY50A
good morning,good morning,NY50A
good morning,good morning,NY50B
good morning,good morning,NY50B
good morning,forenoon,NY51A
good morning,morning,NY51A
good morning,good morning,NY51A
good morning,morning,NY51A
good morning,forenoon,NY51B
good morning,good morning,NY51B
good morning,good morning,NY51C
good morning,,NY51D
good morning,,NY51E!
good morning,good morning,NY52A
good morning,morning,NY52B
good morning,good morning,NY52C
good morning,twelve noon,NY52C
good morning,good morning,NY53A
good morning,good morning,NY53B!
good morning,morning,NY53B!
good morning,till noon,NY53B!
good morning,good morning,NY54A
good morning,morning,NY54B
good morning,good morning,NY54B
good morning,morning,NY54B
good morning,good morning,NY55A
good morning,good morning,NY55A
good morning,good morning,NY55A
good morning,one morning,NY55A
good morning,the forenoon,NY55A
good morning,noons,NY55A
good morning,good morning,NY55B
good morning,morning,NY55B
good morning,forenoon,NY55B
good morning,good morning,NY56A
good morning,morning,NY56A
good morning,forenoon,NY56B
good morning,good morning,NY56B
good morning,good morning,NY56B
good morning,good morning,NY57A
good morning,forenoon,NY57A
good morning,forenoon,NY57A
good morning,morning,NY57B
good morning,good morning,NY57C!
good morning,forenoon,NY57C!
good morning,good morning,NY58A
good morning,the morning,NY58A
good morning,good morning,NY58A
good morning,the forenoon,NY58A
good morning,morning,NY58B
good morning,morning,NY58B
good morning,good morning,NY58B
good morning,dark,NY58B
good morning,morning,NY58C
good morning,good morning,NY58D!
good morning,good morning,NY58E!
good morning,,NY58F!
good morning,morning,NY59A
good morning,good morning,NY59A
good morning,good morning,NY59B
good morning,good morning,NY60A
good morning,good morning,NY60B!
good morning,morning,NY60B!
good morning,morning,NY60B!
good morning,forenoon,NY61A
good morning,good morning,NY61A
good morning,morning,NY61B
good morning,good morning,NY61B
good morning,this morning,NY61B
good morning,good morning,NY61B
good morning,morning,NY62A
good morning,good morning,NY62A
good morning,good morning,NY62B
good morning,morning,NY62B
good morning,good morning,NY62C
good morning,good morning,NY62D!
good morning,morning,NY62D!
good morning,good morning,NY62D!
good morning,forenoon,NY62D!
good morning,good morning,NY63A
good morning,morning,NY63A
good morning,good morning,NY63A
good morning,forenoon,NY63A
good morning,good morning,NY63B
good morning,good morning,NY63B
good morning,good morning,NY63C
good morning,the morning,NY63D!
good morning,good morning,NY63D!
good morning,good morning,NY64A
good morning,good morning,NY64B
good morning,good morning,NY64B
good morning,good morning,NY64C!
good morning,good morning,NJ1A
good morning,good morning,NJ1B
good morning,good morning,NJ2A
good morning,good morning,NJ2B
good morning,good morning,NJ3A
good morning,good morning,NJ3B
good morning,good morning,NJ4A
good morning,good morning,NJ4B
good morning,good morning,NJ5A
good morning,good morning,NJ5B
good morning,good morning,NJ6A
good morning,good morning,NJ6B
good morning,good morning,NJ7A
good morning,good morning,NJ7B!
good morning,good morning,NJ8A
good morning,good morning,NJ8B
good morning,good morning,NJ9A
good morning,good morning,NJ9B
good morning,good morning,NJ10A
good morning,good morning,NJ10B
good morning,good morning,NJ10C
good morning,good morning,NJ10D!
good morning,good morning,NJ11A
good morning,good morning,NJ11B
good morning,good morning,NJ11C
good morning,good morning,NJ12A
good morning,good morning,NJ12B
good morning,good morning,NJ13A
good morning,good morning,NJ13B
good morning,good morning,NJ14A
good morning,good morning,NJ14B
good morning,good morning,NJ15A
good morning,good morning,NJ15B
good morning,good morning,NJ16A
good morning,good morning,NJ16B
good morning,good morning,NJ17A
good morning,good morning,NJ17B
