Target,Response,Informant
grits,,NY1
grits,,NY2A
grits,,NY2B
grits,,NY2C
grits,,NY3A
grits,,NY3B
grits,,NY3C
grits,,NY3D
grits,,NY4A
grits,,NY4B
grits,,NY4C
grits,samp,NY5A
grits,,NY5B
grits,samp,NY5C
grits,,NY5D
grits,,NY5E
grits,,NY5F
grits,,NY5G
grits,,NY5H!
grits,,NY5I!
grits,samp,NY6A
grits,,NY6B
grits,,NY7A
grits,,NY7B
grits,,NY7C
grits,,NY7D
grits,,NY7E
grits,,NY7F
grits,,NY7G
grits,,NY7H
grits,,NY7I
grits,samp,NY7J!
grits,samp,NY7K!
grits,,NY7L!
grits,,NY7M!
grits,,NY8
grits,samp,NY9A
grits,,NY9B
grits,samp,NY9C
grits,,NY10A
grits,,NY10B!
grits,samp,NY11
grits,,NY12A
grits,samp,NY12B
grits,,NY12C!
grits,,NY13A
grits,,NY13B!
grits,samp,NY14A
grits,,NY14B
grits,samp,NY15A
grits,samp,NY15B
grits,samp,NY16A
grits,cracked corn,NY16B
grits,samp,NY17A
grits,hulled corn,NY17A
grits,cracked corn,NY17B
grits,hulled corn,NY18A
grits,samp,NY18A
grits,,NY18B
grits,,NY18C!
grits,,NY19
grits,samp,NY20A
grits,,NY20B
grits,,NY21
grits,samp,NY22
grits,,NY23A
grits,supawn milk,NY23B
grits,samp,NY23C
grits,samp,NY24A
grits,,NY24B!
grits,crack corn,NY25A
grits,samp,NY25B
grits,hull corn,NY25B
grits,,NY26A
grits,coarse,NY26B
grits,samp,NY26B
grits,samp,NY26C
grits,samp,NY27A
grits,cracked corn,NY27A
grits,hide,NY27A
grits,samp,NY27A
grits,hide?,NY27A
grits,samp,NY27B
grits,samp,NY27C
grits,hominy,NY28A
grits,,NY28A
grits,supawn milk,NY28B
grits,samp,NY28B
grits,,NY28C
grits,,NY29A
grits,,NY29B
grits,samp,NY29C
grits,samp,NY30A
grits,samp,NY30B
grits,,NY30C
grits,samp,NY30D
grits,samp,NY30E
grits,samp,NY31A
grits,samp,NY31B
grits,,NY32A
grits,,NY32B
grits,,NY33A
grits,,NY33B
grits,grits,NY33C
grits,samp,NY34A
grits,,NY34B
grits,samp,NY34C
grits,samp,NY34D!
grits,samp,NY35A
grits,,NY35B
grits,,NY35C!
grits,samp,NY36A
grits,,NY36B
grits,samp,NY37A
grits,,NY37B
grits,,NY37C!
grits,,NY38A
grits,,NY38B
grits,,NY38C
grits,hominy,NY39A
grits,samp,NY39A
grits,,NY39B
grits,samp,NY40A
grits,,NY40B
grits,samp,NY41
grits,samp,NY42A
grits,,NY42B
grits,,NY43A
grits,,NY43B
grits,samp,NY43C!
grits,samp,NY44A
grits,,NY44B
grits,,NY45A
grits,,NY45B
grits,,NY45C
grits,,NY45D!
grits,,NY46A
grits,,NY46B
grits,,NY46C
grits,samp,NY47A
grits,samp,NY47B
grits,,NY48A
grits,,NY48B
grits,samp,NY48C
grits,,NY48D
grits,,NY49A
grits,,NY49B
grits,,NY49C
grits,,NY49D
grits,grits,NY50A
