Target,Response,Informant
gully,gully,NY1
gully,gully,NY2A
gully,run,NY2A
gully,gully,NY2B
gully,gully,NY2C
gully,gully,NY3A
gully,gully,NY3B
gully,gully,NY3C
gully,gully,NY3D
gully,gully,NY4A
gully,gutter,NY4B
gully,gully,NY4C
gully,gully,NY5A
gully,gully,NY5B
gully,gully,NY5C
gully,gully,NY5D
gully,gully,NY5E
gully,gully,NY5F
gully,gully,NY5G
gully,gully,NY5H!
gully,,NY5I!
gully,gully,NY6A
gully,gully,NY6B
gully,gully,NY7A
gully,gully,NY7B
gully,,NY7C
gully,washout,NY7D
gully,gutter,NY7D
gully,gully,NY7E
gully,gully,NY7F
gully,gutter,NY7G
gully,gully,NY7H
gully,gully,NY7I
gully,gully,NY7J!
gully,gully,NY7K!
gully,gully,NY7L!
gully,gully,NY7M!
gully,gully,NY8
gully,gully,NY9A
gully,gully,NY9B
gully,gully,NY9C
gully,gully,NY10A
gully,gully,NY10B!
gully,gully,NY11
gully,ditch,NY12A
gully,gully,NY12A
gully,gully,NY12A
gully,gully,NY12B
gully,gully,NY12C!
gully,gully,NY13A
gully,gully,NY13B!
gully,gully,NY14A
gully,gully,NY14B
gully,gully,NY15A
gully,gully,NY15B
gully,gully,NY16A
gully,gully,NY16B
gully,gully,NY17A
gully,washout,NY17A
gully,gully,NY17B
gully,gully,NY18A
gully,gully,NY18B
gully,gully,NY18C!
gully,gully,NY19
gully,gutter,NY19
gully,gully,NY20A
gully,gully,NY20B
gully,gully,NY21
gully,gully,NY22
gully,washout,NY23A
gully,gullies,NY23B
gully,gully,NY23C
gully,ravine,NY23C
gully,gully,NY24A
gully,gully,NY24B!
gully,gully,NY25A
gully,washed out,NY25B
gully,gully,NY25B
gully,dugout,NY26A
gully,gully,NY26B
gully,,NY26C
gully,gully,NY27A
gully,ravine,NY27B
gully,rut,NY27B
gully,gully,NY27C
gully,trench,NY28A
gully,washed,NY28A
gully,gully,NY28A
gully,gully,NY28B
gully,,NY28C
gully,gully,NY29A
gully,gully,NY29A
gully,gully,NY29B
gully,ravine,NY29B
gully,gully,NY29B
gully,gully,NY29C
gully,run,NY30A
gully,gully,NY30A
gully,washout,NY30A
gully,washout,NY30B
gully,gully,NY30C
gully,gully,NY30D
gully,gully,NY30E
gully,washout,NY30E
gully,gully,NY31A
gully,gully,NY31B
gully,washout,NY32A
gully,gullied out,NY32B
gully,washout,NY33A
gully,,NY33B
gully,a wash,NY33C
gully,gullies,NY34A
gully,,NY34B
gully,gully,NY34C
gully,gully,NY34D!
gully,ditch,NY35A
gully,gully,NY35A
gully,gully,NY35B
gully,gully,NY35C!
gully,gutter,NY35C!
gully,gully,NY36A
gully,gutter,NY36A
gully,gully,NY36B
gully,gully,NY37A
gully,gully,NY37B
gully,gully,NY37C!
gully,gully,NY38A
gully,gully,NY38B
gully,,NY38C
gully,gully,NY39A
gully,gully,NY39B
gully,gully,NY40A
gully,gully,NY40B
gully,gully,NY41
gully,gully,NY42A
gully,gully,NY42B
gully,ditch,NY42B
gully,gully,NY43A
gully,gully,NY43B
gully,gully,NY43C!
gully,gully,NY44A
gully,gully,NY44B
gully,gullies,NY45A
gully,washout,NY45A
gully,ditch,NY45B
gully,ravine,NY45B
gully,gully,NY45B
gully,Panther Lick,NY45B
gully,gullies,NY45C
gully,gullies,NY45D!
gully,slides,NY46A
gully,gutter,NY46A
gully,washout,NY46B
gully,,NY46C
gully,gutter,NY47A
gully,gully,NY47A
gully,gully,NY47A
gully,ravines,NY47A
gully,gully,NY47B
gully,gully,NY48A
gully,,NY48B
gully,gully,NY48C
gully,washout,NY48D
gully,gully,NY48D
gully,gullies,NY49A
gully,gully,NY49B
gully,gullies,NY49C
gully,washout,NY49C
gully,wash,NY49C
gully,landslide,NY49C
gully,gully,NY49D
gully,groove,NY49D
gully,gully,NY50A
gully,gully,NY50B
gully,gullies,NY51A
gully,Mill Gully,NY51A
gully,washout,NY51A
gully,gully,NY51B
gully,gullies,NY51C
gully,ravines,NY51C
gully,,NY51D
gully,ravine,NY51E!
gully,gully,NY51E!
gully,ravine,NY51E!
gully,gutters,NY52A
gully,gully out,NY52B
gully,gully,NY52B
gully,gullies,NY52C
gully,gullies,NY52C
gully,washouts,NY52C
gully,gully,NY53A
gully,gully,NY53B!
gully,washout,NY54A
gully,gully,NY54B
gully,gullies,NY55A
gully,gully,NY55B
gully,gully,NY56A
gully,gully,NY56B
gully,gully,NY57A
gully,washout,NY57B
gully,gall,NY57B
gully,gully,NY57B
gully,ravine,NY57B
gully,gullies,NY57C!
gully,washouts,NY58A
gully,gullies,NY58B
gully,gully,NY58C
gully,gully,NY58D!
gully,gullies,NY58E!
gully,,NY58F!
gully,washed out,NY59A
gully,gully,NY59A
gully,ditch,NY59B
gully,gully,NY59B
gully,ravine,NY59B
gully,gully,NY60A
gully,gully,NY60B!
gully,washout,NY61A
gully,washout,NY61B
gully,gully,NY62A
gully,gully,NY62B
gully,gully,NY62C
gully,gully,NY62D!
gully,gullied out,NY63A
gully,gully,NY63A
gully,ravine,NY63B
gully,gully,NY63B
gully,gulch,NY63C
gully,sluice,NY63D!
gully,gully,NY63D!
gully,gullies,NY64A
gully,gullies,NY64B
gully,wash,NY64C!
gully,gully,NJ1A
gully,washout,NJ1A
