Target,Response,Informant
haf past seven,half past seven,NY1
haf past seven,,NY2A
haf past seven,half past seven,NY2B
haf past seven,half after seven,NY2B
haf past seven,,NY2C
haf past seven,half past seven,NY3A
haf past seven,half past seven,NY3B
haf past seven,half past seven,NY3C
haf past seven,half past seven,NY3D
haf past seven,half past seven,NY4A
haf past seven,half past seven,NY4B
haf past seven,half past seven,NY4C
haf past seven,half past seven,NY5A
haf past seven,half past seven,NY5B
haf past seven,half past seven,NY5C
haf past seven,half past seven,NY5D
haf past seven,half past seven,NY5E
haf past seven,half past seven,NY5F
haf past seven,half past seven,NY5G
haf past seven,half past seven,NY5H!
haf past seven,half past seven,NY5I!
haf past seven,half past seven,NY6A
haf past seven,half past seven,NY6B
haf past seven,half past seven,NY7A
haf past seven,half past seven,NY7B
haf past seven,half past seven,NY7C
haf past seven,half past seven,NY7D
haf past seven,half past seven,NY7E
haf past seven,half past seven,NY7F
haf past seven,half past seven,NY7G
haf past seven,half past seven,NY7H
haf past seven,half past seven,NY7I
haf past seven,half past seven,NY7J!
haf past seven,half past seven,NY7K!
haf past seven,half after seven,NY7L!
haf past seven,half past seven,NY7L!
haf past seven,half past seven,NY7M!
haf past seven,half past seven,NY8
haf past seven,half past seven,NY9A
haf past seven,half past seven,NY9B
haf past seven,half past seven,NY9C
haf past seven,half past seven,NY10A
haf past seven,half past seven,NY10B!
haf past seven,half past seven,NY11
haf past seven,half past seven,NY12A
haf past seven,half past seven,NY12B
haf past seven,half past seven,NY12C!
haf past seven,half past seven,NY13A
haf past seven,half past seven,NY13B!
haf past seven,half past seven,NY14A
haf past seven,half past seven,NY14B
haf past seven,half past seven,NY15A
haf past seven,half past seven,NY15B
haf past seven,half past seven,NY16A
haf past seven,half past seven,NY16B
haf past seven,half past seven,NY17A
haf past seven,half past seven,NY17B
haf past seven,half past seven,NY18A
haf past seven,half past seven,NY18B
haf past seven,half past seven,NY18C!
haf past seven,half past seven,NY19
haf past seven,half past seven,NY20A
haf past seven,half past seven,NY20B
haf past seven,half past seven,NY21
haf past seven,half past seven,NY22
haf past seven,,NY23A
haf past seven,half past seven,NY23B
haf past seven,half past seven,NY23B
haf past seven,seven thirty,NY23C
haf past seven,half past seven,NY23C
haf past seven,half past seven,NY24A
haf past seven,half past seven,NY24B!
haf past seven,half after seven,NY25A
haf past seven,half past seven,NY25A
haf past seven,half,NY25A
haf past seven,half past seven,NY25A
haf past seven,half past seven,NY25B
haf past seven,half past seven,NY26A
haf past seven,half past seven,NY26B
haf past seven,seven thirty,NY26B
haf past seven,,NY26C
haf past seven,half after seven,NY27A
haf past seven,half past seven,NY27A
haf past seven,half past eight,NY27B
haf past seven,half past seven,NY27C
haf past seven,seven thirty,NY27C
haf past seven,half past seven,NY28A
haf past seven,half past eight,NY28B
haf past seven,half past seven,NY28B
haf past seven,seven thirty,NY28B
haf past seven,,NY28C
haf past seven,half past seven,NY29A
haf past seven,half past seven,NY29B
haf past seven,seven thirty,NY29B
haf past seven,half past seven,NY29C
haf past seven,half past seven,NY30A
haf past seven,half past six,NY30B
haf past seven,seven thirty,NY30B
haf past seven,half past seven,NY30B
haf past seven,,NY30C
haf past seven,,NY30D
haf past seven,half past seven,NY30E
haf past seven,half past seven,NY30E
haf past seven,seven thirty,NY30E
haf past seven,half past seven,NY31A
haf past seven,half past seven,NY31B
haf past seven,seven thirty,NY32A
haf past seven,half past seven,NY32A
haf past seven,half past seven,NY32B
haf past seven,half,NY33A
haf past seven,seven thirty,NY33B
haf past seven,half past seven,NY33B
haf past seven,seven thirty,NY33C
haf past seven,half past seven,NY33C
haf past seven,half past seven,NY34A
haf past seven,,NY34B
haf past seven,,NY34C
haf past seven,half past five,NY34D!
haf past seven,half past seven,NY35A
haf past seven,half past seven,NY35B
haf past seven,,NY35C!
haf past seven,half past seven,NY36A
haf past seven,half past seven,NY36B
haf past seven,half past seven,NY37A
haf past seven,half past seven,NY37B
haf past seven,half past seven,NY37C!
haf past seven,half past seven,NY38A
haf past seven,half past seven,NY38B
haf past seven,,NY38C
haf past seven,half past seven,NY39A
haf past seven,half past seven,NY39B
haf past seven,half past seven,NY40A
haf past seven,half past seven,NY40B
haf past seven,half past seven,NY41
haf past seven,half past seven,NY42A
haf past seven,half past seven,NY42B
haf past seven,,NY43A
haf past seven,half past seven,NY43B
haf past seven,half past seven,NY43C!
haf past seven,half after seven,NY44A
haf past seven,half past seven,NY44B
haf past seven,half past seven,NY45A
haf past seven,,NY45B
haf past seven,,NY45C
haf past seven,half past seven,NY45D!
haf past seven,half past eleven,NY46A
haf past seven,half past seven,NY46B
haf past seven,half past,NY46B
haf past seven,half past two,NY46C
haf past seven,half past seven,NY47A
haf past seven,half past seven,NY47A
haf past seven,half past seven,NY47B
haf past seven,half past seven,NY48A
haf past seven,seven thirty,NY48A
haf past seven,,NY48B
haf past seven,half past seven,NY48C
haf past seven,half past seven,NY48C
haf past seven,seven thirty,NY48C
haf past seven,half past seven,NY48D
haf past seven,seven thirty,NY48D
haf past seven,,NY49A
haf past seven,,NY49B
haf past seven,seven thirty,NY49C
haf past seven,seven o'clock,NY49C
haf past seven,half past seven,NY49C
haf past seven,half past one,NY49C
haf past seven,half past seven,NY49D
haf past seven,nine eleven,NY49D
haf past seven,seven thirty,NY49D
haf past seven,half past seven,NY50A
haf past seven,seven thirty,NY50B
haf past seven,half past seven,NY50B
haf past seven,quarter past ten,NY50B
haf past seven,half past seven,NY51A
haf past seven,seven thirty,NY51A
haf past seven,half past,NY51A
haf past seven,quarter past ten,NY51A
haf past seven,half past seven,NY51B
haf past seven,half past seven,NY51C
haf past seven,half past six,NY51D
haf past seven,half past eleven,NY51D
haf past seven,half past seven,NY51E!
