Target,Response,Informant
hearth,hearth,NY1
hearth,hearth,NY2A
hearth,hearth,NY2B
hearth,hearth,NY2C
hearth,hearth,NY2C
hearth,hearth,NY3A
hearth,hearth,NY3B
hearth,hearth,NY3C
hearth,hearth,NY3D
hearth,hearth,NY4A
hearth,hearth,NY4B
hearth,hearth,NY4C
hearth,hearth,NY5A
hearth,hearth,NY5B
hearth,hearth,NY5C
hearth,hearth,NY5D
hearth,hearth,NY5E
hearth,hearth,NY5E
hearth,hearth,NY5F
hearth,hearth,NY5G
hearth,hearth,NY5H!
hearth,hearth,NY5I!
hearth,hearth,NY6A
hearth,hearth,NY6B
hearth,hearth,NY7A
hearth,hearth,NY7B
hearth,hearth,NY7C
hearth,hearth,NY7D
hearth,hearth,NY7E
hearth,hearth,NY7F
hearth,hearth,NY7G
hearth,hearth,NY7H
hearth,hearth,NY7I
hearth,hearth,NY7J!
hearth,hearth,NY7K!
hearth,hearth,NY7L!
hearth,hearth,NY7M!
hearth,hearth,NY8
hearth,hearth,NY9A
hearth,hearth,NY9B
hearth,hearth,NY9C
hearth,hearth,NY10A
hearth,hearth,NY10B!
hearth,hearth,NY11
hearth,hearth,NY12A
hearth,hearth,NY12A
hearth,hearth,NY12B
hearth,hearth,NY12C!
hearth,hearth,NY12C!
hearth,hearth,NY13A
hearth,hearth,NY13B!
hearth,hearth,NY14A
hearth,hearth,NY14B
hearth,hearth,NY15A
hearth,hearth,NY15B
hearth,hearth,NY16A
hearth,hearth,NY16B
hearth,hearth,NY16B
hearth,hearth,NY17A
hearth,hearth,NY17A
hearth,hearth,NY17B
hearth,hearth,NY18A
hearth,hearth,NY18B
hearth,hearth,NY18C!
hearth,hearth,NY19
hearth,hearth,NY20A
hearth,hearth,NY20B
hearth,hearth,NY21
hearth,hearth,NY22
hearth,hearth,NY23A
hearth,fireplace,NY23B
hearth,hearth,NY23B
hearth,false fireplace,NY23C
hearth,hearth,NY23C
hearth,hearth,NY24A
hearth,hearth,NY24B!
hearth,hearth,NY24B!
hearth,hearth,NY25A
hearth,fireplace,NY25A
hearth,fireplace stone,NY25A
hearth,fireplace,NY25B
hearth,fireplace,NY25B
hearth,hearth,NY25B
hearth,fire,NY25B
hearth,fireplaces,NY26A
hearth,hearth,NY26A
hearth,fireplace,NY26B
hearth,hearth,NY26B
hearth,fireplace,NY26B
hearth,hearth,NY26B
hearth,hearth,NY26C
hearth,fireplaces,NY26C
hearth,hearth,NY27A
hearth,fireplace,NY27A
hearth,dog,NY27A
hearth,stove hearth,NY27A
hearth,kettle,NY27A
hearth,hearth,NY27B
hearth,hearth,NY27C
hearth,hearth,NY28A
hearth,hearth,NY28A
hearth,fireplace,NY28A
hearth,hearth,NY28B
hearth,ash pan,NY28B
hearth,fireplaces,NY28B
hearth,hearth,NY28C
hearth,hearth,NY29A
hearth,ash pan,NY29B
hearth,hearth,NY29B
hearth,fireplaces,NY29B
hearth,hearth,NY29C
hearth,pipe shelf,NY29C
hearth,hearth,NY30A
hearth,hearth,NY30B
hearth,fireplace,NY30B
hearth,hearth,NY30B
hearth,fireplace,NY30B
hearth,fireplace,NY30C
hearth,hearth,NY30C
hearth,hearth,NY30D
hearth,fireplace,NY30E
hearth,hearth stone,NY30E
hearth,fireplace,NY31A
hearth,hearth,NY31A
hearth,fireplace,NY31A
hearth,hearth,NY31B
hearth,hearth,NY32A
hearth,hearth,NY32B
hearth,hearth,NY33A
hearth,hearth,NY33B
hearth,fireplace,NY33C
hearth,hearth,NY33C
hearth,hearth,NY34A
hearth,hearth,NY34B
hearth,hearth,NY34C
hearth,hearth,NY34D!
hearth,fireplace,NY34D!
