Target,Response,Informant
help yourself,help yourself,NY1
help yourself,help yourself,NY2A
help yourself,help yourself,NY2B
help yourself,help yourself,NY2C
help yourself,help yourself,NY3A
help yourself,help yourself,NY3B
help yourself,help yourself,NY3C
help yourself,help yourself,NY3D
help yourself,help yourself,NY4A
help yourself,help yourself,NY4B
help yourself,help yourself,NY4C
help yourself,help yourself,NY5A
help yourself,help yourself,NY5B
help yourself,help yourself,NY5C
help yourself,help yourself,NY5D
help yourself,help yourself,NY5E
help yourself,help yourself,NY5F
help yourself,help yourself,NY5G
help yourself,help yourself,NY5H!
help yourself,help yourself,NY5I!
help yourself,help yourself,NY6A
help yourself,help yourself,NY6B
help yourself,help yourself,NY7A
help yourself,help yourself,NY7B
help yourself,help yourself,NY7C
help yourself,help yourself,NY7D
help yourself,help yourself,NY7E
help yourself,help yourself,NY7F
help yourself,help yourself,NY7G
help yourself,help yourself,NY7H
help yourself,help yourself,NY7I
help yourself,help yourself,NY7J!
help yourself,help yourself,NY7K!
help yourself,help yourself,NY7L!
help yourself,help yourself,NY7M!
help yourself,help yourself,NY8
help yourself,help yourself,NY9A
help yourself,help yourself,NY9B
help yourself,help yourself,NY9C
help yourself,help yourself,NY10A
help yourself,help yourself,NY10B!
help yourself,help yourself,NY11
help yourself,help yourself,NY12A
help yourself,help yourself,NY12A
help yourself,help yourself,NY12B
help yourself,help yourself,NY12C!
help yourself,help yourself,NY13A
help yourself,help yourself,NY13B!
help yourself,help yourself,NY14A
help yourself,help yourself,NY14B
help yourself,help yourself,NY15A
help yourself,help yourself,NY15B
help yourself,help yourself,NY16A
help yourself,help yourself,NY16B
help yourself,help yourself,NY17A
help yourself,help yourself,NY17B
help yourself,help yourself,NY18A
help yourself,help yourself,NY18B
help yourself,help yourself,NY18C!
help yourself,help yourself,NY19
help yourself,help yourself,NY20A
help yourself,help yourself,NY20B
help yourself,help yourself,NY21
help yourself,help yourself,NY22
help yourself,,NY23A
help yourself,helped yourself,NY23B
help yourself,help yourself,NY23C
help yourself,help yourself,NY24A
help yourself,help yourself,NY24B!
help yourself,help yourself,NY25A
help yourself,help yourself,NY25B
help yourself,help yourself,NY26A
help yourself,help yourself,NY26B
help yourself,,NY26C
help yourself,help yourself,NY27A
help yourself,help yourself,NY27B
help yourself,help yourself,NY27C
help yourself,help yourself,NY27C
help yourself,help yourself,NY28A
help yourself,help yourself,NY28B
help yourself,,NY28C
help yourself,help yourself,NY29A
help yourself,help yourself,NY29B
help yourself,help yourself,NY29C
help yourself,help yourself,NY30A
help yourself,help yourself,NY30B
help yourself,we set there,NY30B
help yourself,,NY30C
help yourself,help yourself,NY30D
help yourself,help yourself,NY30E
help yourself,help yourself,NY31A
help yourself,helped him,NY31A
help yourself,help us,NY31A
help yourself,help yourself,NY31B
help yourself,help yourself,NY32A
help yourself,help yourself,NY32B
help yourself,help yourself,NY33A
help yourself,help yourself,NY33B
help yourself,help yourself,NY33C
help yourself,help yourself,NY34A
help yourself,,NY34B
help yourself,help yourself,NY34C
help yourself,help yourself,NY34D!
help yourself,help yourself,NY35A
help yourself,help yourself,NY35B
help yourself,help yourself,NY35C!
help yourself,help yourself,NY36A
help yourself,help yourself,NY36B
help yourself,help yourself,NY37A
help yourself,help yourself,NY37B
help yourself,help yourself,NY37C!
help yourself,help yourself,NY38A
help yourself,help yourself,NY38B
help yourself,help yourself,NY38C
help yourself,help yourself,NY39A
help yourself,help yourself,NY39B
help yourself,help yourself,NY40A
help yourself,help yourself,NY40B
help yourself,help yourself,NY41
help yourself,help yourself,NY42A
help yourself,help yourself,NY42B
help yourself,help yourself,NY43A
help yourself,help yourself,NY43B
help yourself,help yourself,NY43C!
help yourself,help yourself,NY44A
help yourself,help yourself,NY44B
help yourself,help yourself,NY45A
help yourself,,NY45B
help yourself,take some of them,NY45C
help yourself,help yourself,NY45D!
help yourself,helping,NY46A
help yourself,help yourself,NY46A
help yourself,help,NY46B
help yourself,help yourself,NY46B
help yourself,help yourself,NY46C
help yourself,help yourself,NY47A
help yourself,helping,NY47A
help yourself,help yourself,NY47B
help yourself,help yourself,NY48A
help yourself,,NY48B
help yourself,help yourself,NY48C
help yourself,help yourself,NY48D
help yourself,,NY49A
help yourself,help yourself,NY49B
help yourself,help yourself,NY49C
help yourself,won't you have some,NY49C
help yourself,help yourself,NY49D
help yourself,help yourself,NY50A
help yourself,help yourself,NY50B
help yourself,help,NY50B
help yourself,help yourself,NY51A
help yourself,help yourself,NY51B
help yourself,help yourself,NY51C
help yourself,help yourself,NY51D
help yourself,help yourself,NY51E!
help yourself,help yourself,NY52A
help yourself,help yourself,NY52B
help yourself,help yourself,NY52C
help yourself,help yourself,NY53A
help yourself,yourself,NY53B!
help yourself,help yourself,NY53B!
help yourself,help yourself,NY54A
help yourself,help yourself,NY54B
help yourself,make yourself at home,NY54B
help yourself,pass it,NY54B
help yourself,help yourself,NY55A
help yourself,have some potatoes,NY55B
help yourself,help yourself,NY55B
help yourself,help yourself,NY56A
help yourself,help yourself,NY56B
help yourself,help yourself,NY57A
help yourself,help yourself,NY57B
help yourself,help yourself,NY57B
help yourself,help yourself,NY57C!
help yourself,help yourself,NY58A
help yourself,help yourself,NY58B
help yourself,,NY58C
help yourself,help yourself,NY58D!
help yourself,help yourself,NY58E!
help yourself,help yourself,NY58E!
help yourself,serve yourself,NY58F!
help yourself,help yourself,NY58F!
help yourself,self,NY58F!
help yourself,help yourself,NY59A
help yourself,help yourself,NY59B
help yourself,help yourself,NY60A
help yourself,help yourself,NY60B!
help yourself,dish out,NY61A
help yourself,help yourself,NY61A
help yourself,help yourself,NY61B
help yourself,help yourself,NY62A
help yourself,help yourself,NY62B
help yourself,help yourself,NY62C
help yourself,help yourself,NY62D!
help yourself,help yourself,NY63A
help yourself,help yourself,NY63B
help yourself,help yourself,NY63C
help yourself,help yourself,NY63D!
help yourself,help yourself,NY64A
