Target,Response,Informant
helped myself,,NY1
helped myself,,NY2A
helped myself,,NY2B
helped myself,,NY2C
helped myself,helped myself,NY3A
helped myself,helped myself,NY3B
helped myself,helped myself,NY3C
helped myself,helped myself,NY3D
helped myself,helped myself,NY4A
helped myself,helped myself,NY4B
helped myself,helped myself,NY4C
helped myself,helped myself,NY5A
helped myself,helped myself,NY5B
helped myself,helped myself,NY5C
helped myself,helped myself,NY5D
helped myself,helped myself,NY5E
helped myself,helped myself,NY5F
helped myself,helped myself,NY5G
helped myself,helped myself,NY5H!
helped myself,helped myself,NY5I!
helped myself,helped myself,NY6A
helped myself,helped myself,NY6B
helped myself,helped myself,NY7A
helped myself,helped myself,NY7B
helped myself,helped myself,NY7C
helped myself,helped myself,NY7D
helped myself,helped myself,NY7E
helped myself,helped myself,NY7F
helped myself,helped myself,NY7G
helped myself,helped myself,NY7H
helped myself,helped myself,NY7I
helped myself,helped myself,NY7J!
helped myself,helped myself,NY7K!
helped myself,helped myself,NY7L!
helped myself,helped myself,NY7M!
helped myself,helped myself,NY8
helped myself,helped myself,NY9A
helped myself,helped myself,NY9B
helped myself,helped myself,NY9C
helped myself,helped myself,NY10A
helped myself,helped myself,NY10B!
helped myself,helped myself,NY11
helped myself,helped myself,NY12A
helped myself,helped myself,NY12A
helped myself,helped myself,NY12B
helped myself,helped myself,NY12C!
helped myself,helped myself,NY13A
helped myself,helped myself,NY13B!
helped myself,helped myself,NY14A
helped myself,helped myself,NY14B
helped myself,helped myself,NY15A
helped myself,helped myself,NY15B
helped myself,helped myself,NY16A
helped myself,helped myself,NY16B
helped myself,helped myself,NY17A
helped myself,helped myself,NY17B
helped myself,helped myself,NY18A
helped myself,helped myself,NY18B
helped myself,helped myself,NY18C!
helped myself,helped myself,NY19
helped myself,helped myself,NY20A
helped myself,helped myself,NY20B
helped myself,helped myself,NY21
helped myself,helped myself,NY22
helped myself,,NY23A
helped myself,I helped myself,NY23B
helped myself,I helped myself,NY23B
helped myself,help myself,NY23C
helped myself,helped myself,NY24A
helped myself,helped myself,NY24B!
helped myself,help them,NY25A
helped myself,I help myself,NY25A
helped myself,help myself,NY25B
helped myself,I help myself,NY26A
helped myself,I don't care for it,NY26A
helped myself,help myself,NY26B
helped myself,,NY26C
helped myself,I help myself,NY27A
helped myself,,NY27B
helped myself,I help myself,NY27C
helped myself,help himself,NY28A
helped myself,help themselves,NY28B
helped myself,,NY28C
helped myself,I help myself,NY29A
helped myself,help myself,NY29B
helped myself,helped yourself,NY29C
helped myself,I help,NY30A
helped myself,I help,NY30B
helped myself,I help myself,NY30B
helped myself,,NY30C
helped myself,I help myself,NY30D
helped myself,helped himself,NY30E
helped myself,help themselves,NY31A
helped myself,they help themselves,NY31A
helped myself,help themselves,NY31B
helped myself,they help,NY31B
helped myself,helped,NY31B
helped myself,helped themselves,NY32A
helped myself,help themselves,NY32B
helped myself,,NY33A
helped myself,took some,NY33B
helped myself,helped themselves,NY33B
helped myself,I help myself,NY33C
helped myself,helped,NY33C
helped myself,helped,NY33C
helped myself,help myself,NY34A
helped myself,,NY34B
helped myself,,NY34C
helped myself,helped himself,NY34D!
helped myself,helped myself,NY35A
helped myself,helped himself,NY35B
helped myself,helped myself,NY35C!
helped myself,helped myself,NY36A
helped myself,helped myself,NY36B
helped myself,help myself,NY37A
helped myself,helped myself,NY37B
helped myself,helped myself,NY37C!
helped myself,helped myself,NY38A
helped myself,helped myself,NY38B
helped myself,helped myself,NY38C
helped myself,helped myself,NY39A
helped myself,helped myself,NY39B
helped myself,helped myself,NY40A
helped myself,helped myself,NY40B
helped myself,helped myself,NY41
helped myself,helped myself,NY42A
helped myself,helped myself,NY42B
helped myself,helped myself,NY43A
helped myself,helped myself,NY43B
helped myself,helped myself,NY43C!
helped myself,helped myself,NY44A
helped myself,helped myself,NY44B
helped myself,,NY45A
helped myself,,NY45B
helped myself,,NY45C
helped myself,helped themselves,NY45D!
helped myself,I help pull,NY46A
helped myself,helped themselves,NY46A
helped myself,helped themselves,NY46B
helped myself,helped himself,NY46C
helped myself,help,NY47A
helped myself,helped myself,NY47B
helped myself,help themselves,NY48A
helped myself,,NY48B
helped myself,help themselves,NY48C
helped myself,help themselves,NY48D
helped myself,help,NY48D
helped myself,,NY49A
helped myself,helped myself,NY49B
helped myself,I help myself,NY49C
helped myself,helped you,NY49C
helped myself,helped myself,NY49D
helped myself,help themselves,NY50A
helped myself,help themselves,NY50B
helped myself,helped themselves,NY51A
helped myself,help themselves,NY51B
helped myself,I help myself,NY51C
helped myself,,NY51D
helped myself,,NY51E!
helped myself,I help myself,NY52A
helped myself,I holped her,NY52B
helped myself,helped himself,NY52B
helped myself,help myself,NY52C
helped myself,help themselves,NY53A
helped myself,help myself,NY53B!
helped myself,help,NY53B!
helped myself,helped myself,NY54A
helped myself,help myself,NY54B
helped myself,help themselves,NY55A
helped myself,help,NY55A
helped myself,it help them,NY55A
helped myself,help themselves,NY55B
helped myself,helped themselves,NY56A
helped myself,helped themselves,NY56B
helped myself,I help myself,NY57A
helped myself,helped them,NY57A
helped myself,,NY57B
helped myself,ourselves,NY57C!
helped myself,help himself,NY57C!
helped myself,I help myself,NY58A
helped myself,help themselves,NY58B
helped myself,myself,NY58B
helped myself,,NY58C
helped myself,help themselves,NY58D!
helped myself,help themselves,NY58E!
helped myself,I help myself,NY58F!
helped myself,help themselves,NY59A
helped myself,helped myself,NY59B
helped myself,help themselves,NY60A
helped myself,help themselves,NY60B!
helped myself,help myself,NY61A
helped myself,help myself,NY61B
helped myself,myself,NY61B
helped myself,I help myself,NY62A
helped myself,I help myself,NY62B
