Target,Response,Informant
himself,himself,NY1
himself,himself,NY2A
himself,hisself,NY2A
himself,himself,NY2B
himself,himself,NY2C
himself,himself,NY3A
himself,himself,NY3B
himself,himself,NY3C
himself,himself,NY3D
himself,himself,NY4A
himself,himself,NY4B
himself,himself,NY4C
himself,himself,NY5A
himself,himself,NY5B
himself,himself,NY5C
himself,himself,NY5D
himself,himself,NY5E
himself,himself,NY5F
himself,himself,NY5G
himself,himself,NY5H!
himself,himself,NY5I!
himself,himself,NY6A
himself,himself,NY6B
himself,for himself,NY7A
himself,himself,NY7B
himself,himself,NY7C
himself,himself,NY7D
himself,himself,NY7E
himself,himself,NY7F
himself,himself,NY7G
himself,himself,NY7H
himself,himself,NY7I
himself,himself,NY7J!
himself,himself,NY7K!
himself,himself,NY7L!
himself,himself,NY8
himself,himself,NY9A
himself,himself,NY9B
himself,himself,NY9C
himself,himself,NY10A
himself,himself,NY10B!
himself,himself,NY11
himself,himself,NY12A
himself,hisself,NY12A
himself,himself,NY12B
himself,himself,NY12C!
himself,himself,NY13A
himself,himself,NY13B!
himself,himself,NY14A
himself,himself,NY14B
himself,himself,NY15A
himself,himself,NY15B
himself,himself,NY16A
himself,himself,NY16B
himself,himself,NY17A
himself,himself,NY17B
himself,himself,NY18A
himself,himself,NY18B
himself,himself,NY18C!
himself,hisself,NY19
himself,himself,NY20A
himself,himself,NY20B
himself,himself,NY21
himself,himself,NY22
himself,,NY23A
himself,himself,NY23B
himself,himself,NY23C
himself,himself,NY24A
himself,himself,NY24B!
himself,himself,NY25A
himself,himself,NY25B
himself,himself,NY26A
himself,himself,NY26B
himself,,NY26C
himself,himself,NY27A
himself,,NY27B
himself,himself,NY27C
himself,yourself,NY28A
himself,himself,NY28A
himself,himself,NY28B
himself,himself,NY28B
himself,,NY28C
himself,himself,NY29A
himself,himself,NY29B
himself,himself,NY29C
himself,by himself,NY30A
himself,himself,NY30B
himself,,NY30C
himself,himself,NY30D
himself,himself,NY30E
himself,himself,NY31A
himself,himself,NY31B
himself,himself,NY32A
himself,itself,NY32B
himself,himself,NY32B
himself,himself,NY33A
himself,himself,NY33B
himself,himself,NY33B
himself,himself,NY33C
himself,himself,NY34A
himself,,NY34B
himself,himself,NY34C
himself,himself,NY34D!
himself,himself,NY35A
himself,himself,NY35B
himself,himself,NY35C!
himself,himself,NY36A
himself,himself,NY36B
himself,himself,NY37A
himself,himself,NY37B
himself,himself,NY37C!
himself,himself,NY38A
himself,himself,NY38B
himself,himself,NY38C
himself,himself,NY39A
himself,himself,NY39B
himself,himself,NY40A
himself,himself,NY40B
himself,himself,NY41
himself,himself,NY42A
himself,himself,NY42B
himself,himself,NY43A
himself,himself,NY43B
himself,himself,NY43C!
himself,himself,NY44A
himself,himself,NY44B
himself,himself,NY45A
himself,,NY45B
himself,himself,NY45C
himself,himself,NY45D!
himself,himself,NY46A
himself,himself,NY46B
himself,himself,NY46C
himself,himself,NY46C
himself,by hisself,NY46C
himself,hisself,NY47A
himself,himself,NY47A
himself,himself,NY47B
himself,himself,NY48A
himself,himself,NY48C
himself,himself,NY48D
himself,,NY49A
himself,himself,NY49B
himself,himself,NY49C
himself,himself,NY49D
himself,himself,NY50A
himself,himself,NY50B
himself,himself,NY51A
himself,himself,NY51B
himself,himself,NY51C
himself,,NY51D
himself,himself,NY51E!
himself,presented himself,NY52A
himself,,NY52B
himself,himself,NY52C
himself,yourself,NY52C
himself,himself,NY53A
himself,for himself,NY53A
himself,himself,NY53B!
himself,himself,NY53B!
himself,himself,NY54A
himself,himself,NY54B
himself,himself,NY55A
himself,myself,NY55A
himself,himself,NY55A
himself,himself,NY55A
himself,himself,NY55B
himself,for himself,NY56A
himself,himself,NY56B
himself,himself,NY57A
himself,,NY57B
himself,herself,NY57C!
himself,himself,NY57C!
himself,himself,NY58A
himself,himself,NY58B
himself,,NY58C
himself,himself,NY58D!
himself,do it himself,NY58E!
himself,,NY58F!
himself,himself,NY59A
himself,himself,NY59B
himself,himself,NY60A
himself,himself,NY60B!
himself,himself,NY61A
himself,himself,NY61B
himself,himself,NY62A
himself,himself,NY62B
himself,himself,NY62C
himself,himself,NY62D!
himself,himself,NY63A
himself,himself,NY63B
himself,himself,NY63C
himself,himself,NY63D!
himself,himself,NY63D!
himself,herself,NY64A
himself,himself,NY64A
himself,himself,NY64B
himself,yourself,NY64B
himself,,NY64C!
himself,hisself,NJ1A
himself,himself,NJ1B
himself,himself,NJ2A
himself,himself,NJ2B
himself,himself,NJ3A
himself,himself,NJ3B
himself,himself,NJ4A
himself,himself,NJ4B
himself,himself,NJ5A
himself,hisself,NJ5B
himself,himself,NJ6A
himself,hisself,NJ6B
himself,himself,NJ7A
himself,himself,NJ7B!
himself,himself,NJ8A
himself,himself,NJ8B
himself,himself,NJ9A
himself,himself,NJ9B
himself,himself,NJ10A
himself,himself,NJ10B
himself,himself,NJ10C
himself,himself,NJ10D!
