Target,Response,Informant
hog pen,pig pen,NY1
hog pen,hog house,NY2A
hog pen,pig house,NY2B
hog pen,pen,NY2B
hog pen,hog house,NY2C
hog pen,pen,NY2C
hog pen,hog pen,NY3A
hog pen,pig house,NY3B
hog pen,pig pen,NY3B
hog pen,pig pen,NY3C
hog pen,hog house,NY3D
hog pen,hog pen,NY3D
hog pen,pig pen,NY4A
hog pen,hog pen,NY4B
hog pen,pig pen,NY4C
hog pen,pig pen,NY5A
hog pen,pig sty,NY5B
hog pen,pig sty,NY5C
hog pen,pig pen,NY5D
hog pen,pig sty,NY5E
hog pen,pig sty,NY5F
hog pen,pig pen,NY5G
hog pen,pig sty,NY5H!
hog pen,sty,NY5I!
hog pen,pig pen,NY6A
hog pen,pig pen,NY6B
hog pen,pig sty,NY6B
hog pen,sty,NY7A
hog pen,pig sty,NY7B
hog pen,pig pen,NY7C
hog pen,pig pen,NY7D
hog pen,pig pen,NY7E
hog pen,pig sty,NY7F
hog pen,pig sty,NY7G
hog pen,pig sty,NY7H
hog pen,hog pen,NY7I
hog pen,pig sty,NY7J!
hog pen,,NY7K!
hog pen,pig sty,NY7L!
hog pen,pig pen,NY7M!
hog pen,pig pen,NY8
hog pen,hog pen,NY9A
hog pen,hog house,NY9A
hog pen,hog pen,NY9B
hog pen,pig pen,NY9C
hog pen,hog pen,NY10A
hog pen,pig pen,NY10A
hog pen,pig pen,NY10B!
hog pen,pig pen,NY11
hog pen,hog pen,NY12A
hog pen,hog pen,NY12A
hog pen,pig pen,NY12B
hog pen,pig pen,NY12C!
hog pen,sty,NY13A
hog pen,pig pen,NY13B!
hog pen,pig pen,NY14A
hog pen,pig pen,NY14B
hog pen,pig pen,NY15A
hog pen,pig pen,NY15B
hog pen,pig pen,NY16A
hog pen,hog pen,NY16B
hog pen,hog pen,NY17A
hog pen,sty,NY17A
hog pen,pig pen,NY17A
hog pen,pig pen,NY17B
hog pen,pig pen,NY18A
hog pen,hog pen,NY18A
hog pen,hog pen,NY18B
hog pen,hog pen,NY18C!
hog pen,pig pen,NY19
hog pen,pig pen,NY20A
hog pen,pig pen,NY20B
hog pen,hog pen,NY21
hog pen,pig pen,NY22
hog pen,hog pen,NY22
hog pen,pig pen,NY23A
hog pen,hog house,NY23B
hog pen,pig house,NY23B
hog pen,hog house,NY23B
hog pen,hog house,NY23C
hog pen,pig pen,NY24A
hog pen,pig pen,NY24B!
hog pen,pig pen,NY25A
hog pen,pig pen,NY25B
hog pen,pig barn,NY25B
hog pen,hog house,NY26A
hog pen,pig pen,NY26B
hog pen,pig pen,NY26C
hog pen,hog yard,NY27A
hog pen,large pen,NY27A
hog pen,hog pen,NY27A
hog pen,pig pen,NY27B
hog pen,hog house,NY27C
hog pen,pig pen,NY28A
hog pen,pig pen,NY28B
hog pen,,NY28C
hog pen,pig pen,NY29A
hog pen,hog house,NY29B
hog pen,pig pen,NY29C
hog pen,pig pen,NY30A
hog pen,hog pen,NY30B
hog pen,hog pen,NY30C
hog pen,hog pen,NY30D
hog pen,pig sty,NY30E
hog pen,pig pen,NY30E
hog pen,hog yard,NY31A
hog pen,hog pen,NY31A
hog pen,hog pen,NY31A
hog pen,hog house,NY31B
hog pen,hog pen,NY31B
hog pen,hog pen,NY32A
hog pen,hog house,NY32B
hog pen,,NY33A
hog pen,,NY33B
hog pen,pig pen,NY33C
hog pen,hog pen,NY33C
hog pen,pig pen,NY34A
hog pen,pig sty,NY34B
hog pen,sty,NY34B
hog pen,pig sty,NY34B
hog pen,pig pen,NY34C
hog pen,pig sty,NY34D!
hog pen,pig pen,NY35A
hog pen,pig pen,NY35B
hog pen,pig pen,NY35C!
