Target,Response,Informant
hominy,,NY1
hominy,,NY2A
hominy,,NY2B
hominy,,NY2C
hominy,,NY3A
hominy,,NY3B
hominy,,NY3C
hominy,,NY3D
hominy,,NY4A
hominy,,NY4B
hominy,,NY4C
hominy,,NY5A
hominy,,NY5B
hominy,,NY5C
hominy,,NY5D
hominy,,NY5E
hominy,,NY5F
hominy,,NY5G
hominy,,NY5H!
hominy,,NY5I!
hominy,,NY6A
hominy,hominy,NY6B
hominy,,NY7A
hominy,,NY7B
hominy,,NY7C
hominy,,NY7D
hominy,,NY7E
hominy,,NY7F
hominy,,NY7G
hominy,,NY7H
hominy,,NY7I
hominy,,NY7J!
hominy,hominy,NY7K!
hominy,,NY7L!
hominy,,NY7M!
hominy,,NY8
hominy,hominy,NY9A
hominy,,NY9B
hominy,hominy,NY9C
hominy,hominy,NY10A
hominy,hominy,NY10B!
hominy,hulled corn,NY10B!
hominy,hominy,NY11
hominy,hominy,NY12A
hominy,cracked corn,NY12B
hominy,hominy,NY12C!
hominy,hominy,NY13A
hominy,hulled corn,NY13A
hominy,hominy,NY13B!
hominy,hulled corn,NY14A
hominy,hominy,NY14A
hominy,hulled corn,NY14B
hominy,hominy,NY14B
hominy,whole corn,NY15A
hominy,hominy,NY15A
hominy,hominy,NY15B
hominy,hominy,NY16A
hominy,,NY16B
hominy,,NY17A
hominy,,NY17B
hominy,,NY18A
hominy,hominy,NY18B
hominy,whole corn,NY18B
hominy,hominy,NY18C!
hominy,whole corn,NY19
hominy,hominy,NY20A
hominy,hominy,NY20B
hominy,hominy,NY21
hominy,hulled corn,NY22
hominy,,NY23A
hominy,hominy,NY23B
hominy,hulled corn,NY23B
hominy,,NY23C
hominy,hominy,NY24A
hominy,hulled corn,NY24B!
hominy,hominy,NY24B!
hominy,,NY25A
hominy,,NY25B
hominy,,NY26A
hominy,hulled corn,NY26B
hominy,fried corn meal,NY26C
hominy,hulled corn,NY27A
hominy,Indian gravey,NY27A
hominy,,NY27B
hominy,,NY27C
hominy,meal porridge,NY28A
hominy,,NY28B
hominy,,NY28C
hominy,crack corn,NY29A
hominy,hulled corn,NY29A
hominy,,NY29B
hominy,hominy,NY29C
hominy,hulled corn,NY29C
hominy,,NY30A
hominy,hulled corn,NY30B
hominy,whole corn,NY30B
hominy,,NY30C
hominy,,NY30D
hominy,,NY30E
hominy,shelled out of the middle,NY31A
hominy,hulled corn,NY31A
hominy,hominy,NY31A
hominy,hull corn,NY31B
hominy,,NY32A
hominy,,NY32B
hominy,,NY33A
hominy,,NY33B
hominy,hull corn,NY33C
hominy,hominy grits,NY33C
hominy,hull corn,NY33C
hominy,hulled corn,NY34A
hominy,,NY34B
hominy,hulled corn,NY34C
hominy,,NY34D!
hominy,,NY35A
hominy,hominy,NY35B
hominy,,NY35C!
hominy,hominy,NY36A
hominy,,NY36B
hominy,,NY37A
hominy,,NY37B
hominy,hominy,NY37C!
hominy,hominy,NY38A
hominy,,NY38B
hominy,hominy,NY38C
