Target,Response,Informant
in bulk,loose,NY1
in bulk,bulk,NY1
in bulk,loose,NY2A
in bulk,in bulk,NY2A
in bulk,in bulk,NY2B
in bulk,bulk,NY2C
in bulk,in bulk,NY3A
in bulk,loose,NY3B
in bulk,in bulk,NY3C
in bulk,loose,NY3D
in bulk,loose,NY4A
in bulk,loose,NY4B
in bulk,loose,NY4C
in bulk,in bulk,NY5A
in bulk,by the bulk,NY5B
in bulk,loose,NY5C
in bulk,loose,NY5D
in bulk,loose,NY5E
in bulk,in bulk,NY5E
in bulk,loose,NY5F
in bulk,loose,NY5G
in bulk,bulk,NY5H!
in bulk,in bulk,NY5I!
in bulk,in bulks,NY6A
in bulk,loose,NY6B
in bulk,loose,NY7A
in bulk,in bulk,NY7B
in bulk,in bulk,NY7C
in bulk,loose,NY7D
in bulk,loose,NY7E
in bulk,loose,NY7F
in bulk,in bulk,NY7G
in bulk,loose,NY7H
in bulk,in bulk,NY7I
in bulk,loose,NY7J!
in bulk,loose,NY7K!
in bulk,loose,NY7L!
in bulk,in bulk,NY7L!
in bulk,loose,NY7M!
in bulk,loose,NY8
in bulk,loose,NY9A
in bulk,loose,NY9B
in bulk,in bulk,NY9B
in bulk,loose,NY9C
in bulk,in bulk,NY9C
in bulk,loose,NY10A
in bulk,in bulk,NY10A
in bulk,in bulk,NY10B!
in bulk,loose,NY11
in bulk,loose,NY12A
in bulk,loose,NY12A
in bulk,loose,NY12B
in bulk,loose,NY12C!
in bulk,loose,NY13A
in bulk,loose,NY13B!
in bulk,loose,NY14A
in bulk,in bulk,NY14B
in bulk,loose,NY15A
in bulk,in bulk,NY15B
in bulk,loose,NY16A
in bulk,loose,NY16B
in bulk,loose,NY17A
in bulk,loose,NY17B
in bulk,in bulk,NY17B
in bulk,loose,NY18A
in bulk,in bulk,NY18A
in bulk,loose,NY18B
in bulk,loose,NY18C!
in bulk,in bulk,NY19
in bulk,in bulk,NY20A
in bulk,in bulk,NY20B
in bulk,loose,NY21
in bulk,loose,NY22
in bulk,in bulk,NY23A
in bulk,bulky,NY23B
in bulk,in bulk,NY23B
in bulk,in bulk,NY23C
in bulk,in bulk,NY24A
in bulk,in bulk,NY24B!
in bulk,loose,NY24B!
in bulk,in bulk,NY25A
in bulk,in bulk,NY25B
in bulk,loose sugar,NY26A
in bulk,loose,NY26B
in bulk,sugar,NY26B
in bulk,loose,NY26C
in bulk,in bulk,NY27A
in bulk,in the bulk,NY27B
in bulk,loose,NY27B
in bulk,in bulk,NY27C
in bulk,bulk,NY28A
in bulk,the bulk,NY28B
in bulk,,NY28C
in bulk,bulk,NY29A
in bulk,in bulk,NY29B
in bulk,in bulk,NY29C
in bulk,in bales,NY29C
in bulk,bulk,NY30A
in bulk,in a bale,NY30A
in bulk,in bulk,NY30B
in bulk,,NY30C
in bulk,,NY30D
in bulk,in bulk,NY30E
in bulk,in bulk,NY31A
in bulk,in bulk,NY31B
in bulk,bulk,NY32A
in bulk,in bulk,NY32B
in bulk,in bulk,NY33A
in bulk,in a lump,NY33A
in bulk,,NY33B
in bulk,in bulk,NY33C
in bulk,the bulk,NY33C
in bulk,in bulk,NY34A
in bulk,,NY34B
in bulk,bulk,NY34C
in bulk,bulk,NY34D!
in bulk,in bulk,NY34D!
in bulk,bulk,NY35A
in bulk,in bulk,NY35B
