Target,Response,Informant
jelly,,NY1
jelly,,NY2A
jelly,,NY2B
jelly,,NY2C
jelly,jelly,NY3A
jelly,jelly,NY3B
jelly,jelly,NY3C
jelly,jelly,NY3D
jelly,jelly,NY4A
jelly,jelly,NY4B
jelly,jelly,NY4C
jelly,jelly,NY5A
jelly,jelly,NY5B
jelly,jelly,NY5C
jelly,jelly,NY5D
jelly,jelly,NY5E
jelly,jelly,NY5F
jelly,jelly,NY5G
jelly,jelly,NY5H!
jelly,jelly,NY5I!
jelly,jelly,NY6A
jelly,jelly,NY6B
jelly,jelly,NY7A
jelly,jelly,NY7B
jelly,jelly,NY7C
jelly,jelly,NY7D
jelly,jelly,NY7E
jelly,jelly,NY7F
jelly,jelly,NY7G
jelly,jelly,NY7H
jelly,jelly,NY7I
jelly,jelly,NY7J!
jelly,jelly,NY7K!
jelly,jelly,NY7L!
jelly,sweetmeats,NY7L!
jelly,jelly,NY7M!
jelly,jelly,NY8
jelly,jelly,NY9A
jelly,jelly,NY9B
jelly,jelly,NY9C
jelly,jelly,NY10A
jelly,jelly,NY10B!
jelly,jelly,NY11
jelly,jelly,NY12A
jelly,jelly,NY12A
jelly,jelly,NY12B
jelly,jelly,NY12C!
jelly,jelly,NY13A
jelly,jelly,NY13B!
jelly,jelly,NY14A
jelly,,NY14B
jelly,jelly,NY15A
jelly,jelly,NY15B
jelly,jelly,NY16A
jelly,in bulk,NY16A
jelly,jelly,NY16B
jelly,jell,NY17A
jelly,jelly,NY17B
jelly,jell,NY18A
jelly,jell,NY18B
jelly,jelly,NY18C!
jelly,jell,NY19
jelly,jelly,NY20A
jelly,jelly,NY20B
jelly,jelly,NY21
jelly,jelly,NY22
jelly,jelly,NY23A
jelly,cider,NY23B
jelly,jelly,NY23B
jelly,preserved,NY23B
jelly,mincemeat,NY23B
jelly,cane,NY23B
jelly,apple jack,NY23C
jelly,conserve,NY23C
jelly,belly,NY23C
jelly,cider,NY23C
jelly,preserves,NY23C
jelly,apple jelly,NY23C
jelly,jelly,NY24A
jelly,jelly,NY24B!
jelly,jell,NY25A
jelly,cider,NY25B
jelly,apple butter,NY25B
jelly,apple sauce,NY25B
jelly,jelly,NY25B
jelly,apple jelly,NY26A
jelly,glass cans,NY26A
jelly,jelly,NY26B
jelly,jell,NY26B
jelly,,NY26C
jelly,jelly,NY27A
jelly,jelly,NY27B
jelly,? fruit,NY27B
jelly,jelly,NY27C
jelly,jellies,NY28A
jelly,preserves,NY28A
jelly,jams,NY28A
jelly,glass cans,NY28B
jelly,canned jelly,NY28B
jelly,,NY28C
jelly,jelly,NY29A
jelly,a jell,NY29B
jelly,jell,NY29C
jelly,applesauce,NY30A
jelly,jell,NY30A
jelly,apple jelly,NY30B
jelly,mince meats,NY30B
jelly,cane,NY30B
jelly,,NY30C
jelly,,NY30D
jelly,canned,NY30E
jelly,pickled them,NY30E
jelly,jelly,NY30E
jelly,jelly,NY31A
jelly,crabapple jell,NY31A
jelly,jelly,NY31B
jelly,jelly,NY32A
jelly,currant jell,NY32B
jelly,cane,NY33A
jelly,grape jell,NY33A
jelly,,NY33B
jelly,cans,NY33C
jelly,jelly,NY33C
jelly,can peaches,NY33C
jelly,a jellied mass,NY33C
jelly,jelly,NY34A
jelly,quince  jelly,NY34A
jelly,,NY34B
jelly,jelly,NY34C
jelly,jelly,NY34D!
jelly,jell,NY35A
jelly,jelly,NY35B
jelly,jelly,NY35C!
jelly,jell,NY36A
jelly,jelly,NY36B
jelly,jelly,NY37A
jelly,jell,NY37B
jelly,jelly,NY37C!
jelly,jell,NY38A
jelly,jelly,NY38B
jelly,jelly,NY38C
jelly,jelly,NY39A
jelly,jell,NY39B
