Target,Response,Informant
Kentucky,,NY1
Kentucky,,NY2A
Kentucky,,NY2B
Kentucky,,NY2C
Kentucky,Kentucky,NY3A
Kentucky,Kentucky,NY3B
Kentucky,Kentucky,NY3C
Kentucky,Kentucky,NY3D
Kentucky,Kentucky,NY4A
Kentucky,Kentucky,NY4B
Kentucky,Kentucky,NY4C
Kentucky,Kentucky,NY5A
Kentucky,Kentucky,NY5B
Kentucky,Kentucky,NY5C
Kentucky,Kentucky,NY5D
Kentucky,Kentucky,NY5E
Kentucky,Kentucky,NY5F
Kentucky,Kentucky,NY5G
Kentucky,Kentucky,NY5H!
Kentucky,Kentucky,NY5I!
Kentucky,Kentucky,NY6A
Kentucky,Kentucky,NY6B
Kentucky,Kentucky,NY7A
Kentucky,Kentucky,NY7B
Kentucky,Kentucky,NY7C
Kentucky,Kentucky,NY7D
Kentucky,Kentucky,NY7E
Kentucky,Kentucky,NY7F
Kentucky,Kentucky,NY7G
Kentucky,Kentucky,NY7H
Kentucky,Kentucky,NY7I
Kentucky,Kentucky,NY7J!
Kentucky,Kentucky,NY7K!
Kentucky,Kentucky,NY7L!
Kentucky,Kentucky,NY7M!
Kentucky,Kentucky,NY8
Kentucky,Kentucky,NY9A
Kentucky,Kentucky,NY9B
Kentucky,Kentucky,NY9C
Kentucky,Kentucky,NY10A
Kentucky,Kentucky,NY10B!
Kentucky,Kentucky,NY11
Kentucky,Kentucky,NY12A
Kentucky,Kentucky,NY12B
Kentucky,Kentucky,NY12C!
Kentucky,Kentucky,NY13A
Kentucky,Kentucky,NY13B!
Kentucky,Kentucky,NY14A
Kentucky,Kentucky,NY14B
Kentucky,Kentucky,NY15A
Kentucky,Kentucky,NY15B
Kentucky,Kentucky,NY16A
Kentucky,Kentucky,NY16B
Kentucky,Kentucky,NY17A
Kentucky,Kentucky,NY17B
Kentucky,Kentucky,NY18A
Kentucky,Kentucky,NY18B
Kentucky,Kentucky,NY18C!
Kentucky,Kentucky,NY19
Kentucky,Kentucky,NY20A
Kentucky,Kentucky,NY20B
Kentucky,Kentucky,NY21
Kentucky,Kentucky,NY22
Kentucky,,NY23A
Kentucky,Kentucky,NY23B
Kentucky,Kentucky,NY23C
Kentucky,Kentucky,NY24A
Kentucky,Kentucky,NY24B!
Kentucky,Kentucky,NY25A
Kentucky,Kentucky,NY25A
Kentucky,Kentucky,NY25B
Kentucky,Kentucky,NY26A
Kentucky,Kentucky,NY26B
Kentucky,,NY26C
Kentucky,Kentucky,NY27A
Kentucky,,NY27B
Kentucky,Kentucky,NY27C
Kentucky,Kentucky,NY28A
Kentucky,Kentucky,NY28B
