Target,Response,Informant
lightwood,,NY1
lightwood,,NY2A
lightwood,,NY2B
lightwood,,NY2C
lightwood,,NY3A
lightwood,,NY3B
lightwood,,NY3C
lightwood,,NY3D
lightwood,,NY4A
lightwood,,NY4B
lightwood,,NY4C
lightwood,,NY5A
lightwood,,NY5B
lightwood,,NY5C
lightwood,,NY5D
lightwood,,NY5E
lightwood,,NY5F
lightwood,,NY5G
lightwood,,NY5H!
lightwood,,NY5I!
lightwood,,NY6A
lightwood,,NY6B
lightwood,,NY7A
lightwood,,NY7B
lightwood,,NY7C
lightwood,,NY7D
lightwood,,NY7E
lightwood,,NY7F
lightwood,,NY7G
lightwood,,NY7H
lightwood,,NY7I
lightwood,,NY7J!
lightwood,,NY7K!
lightwood,,NY7L!
lightwood,,NY7M!
lightwood,,NY8
lightwood,,NY9A
lightwood,,NY9B
lightwood,,NY9C
lightwood,,NY10A
lightwood,,NY10B!
lightwood,,NY11
lightwood,,NY12A
lightwood,,NY12B
lightwood,,NY12C!
lightwood,,NY13A
lightwood,,NY13B!
lightwood,,NY14A
lightwood,,NY14B
lightwood,,NY15A
lightwood,,NY15B
lightwood,,NY16A
lightwood,,NY16B
lightwood,,NY17A
lightwood,,NY17B
lightwood,,NY18A
lightwood,,NY18B
lightwood,,NY18C!
lightwood,,NY19
lightwood,,NY20A
lightwood,,NY20B
lightwood,,NY21
lightwood,,NY22
lightwood,,NY23A
lightwood,,NY23B
lightwood,,NY23C
lightwood,,NY24A
lightwood,,NY24B!
lightwood,,NY25A
lightwood,,NY25B
lightwood,,NY26A
lightwood,,NY26B
lightwood,,NY26C
lightwood,kindling wood,NY27A
lightwood,,NY27B
lightwood,,NY27C
lightwood,,NY28A
lightwood,,NY28B
lightwood,,NY28C
lightwood,kindling wood,NY29A
lightwood,,NY29B
lightwood,,NY29C
lightwood,,NY30A
lightwood,,NY30B
lightwood,,NY30C
lightwood,,NY30D
lightwood,,NY30E
lightwood,,NY31A
lightwood,,NY31B
lightwood,,NY32A
lightwood,,NY32B
lightwood,,NY33A
lightwood,,NY33B
lightwood,,NY33C
lightwood,,NY34A
lightwood,,NY34B
lightwood,,NY34C
lightwood,,NY34D!
lightwood,,NY35A
lightwood,,NY35B
lightwood,,NY35C!
lightwood,,NY36A
lightwood,,NY36B
lightwood,,NY37A
lightwood,,NY37B
lightwood,,NY37C!
lightwood,,NY38A
lightwood,,NY38B
lightwood,,NY38C
lightwood,,NY39A
lightwood,,NY39B
lightwood,,NY40A
lightwood,,NY40B
lightwood,,NY41
lightwood,,NY42A
lightwood,,NY42B
lightwood,,NY43A
lightwood,,NY43B
lightwood,,NY43C!
lightwood,,NY44A
lightwood,,NY44B
lightwood,,NY45A
lightwood,,NY45B
lightwood,,NY45C
lightwood,,NY45D!
lightwood,,NY46A
lightwood,shavings,NY46B
lightwood,kindling,NY46C
lightwood,,NY47A
lightwood,,NY47B
lightwood,,NY48A
lightwood,,NY48B
lightwood,kindling wood,NY48C
lightwood,,NY48D
lightwood,,NY49A
lightwood,,NY49B
lightwood,,NY49C
lightwood,,NY49D
lightwood,kindling,NY50A
lightwood,,NY50B
lightwood,,NY51A
lightwood,,NY51B
lightwood,,NY51C
lightwood,,NY51D
lightwood,,NY51E!
lightwood,,NY52A
lightwood,,NY52B
lightwood,,NY52C
lightwood,,NY53A
lightwood,,NY53B!
lightwood,,NY54A
lightwood,,NY54B
lightwood,,NY55A
lightwood,,NY55B
lightwood,,NY56A
lightwood,,NY56B
lightwood,,NY57A
lightwood,,NY57B
lightwood,,NY57C!
lightwood,,NY58A
lightwood,kindling wood,NY58B
lightwood,,NY58C
lightwood,,NY58D!
lightwood,kindling,NY58E!
lightwood,,NY58F!
lightwood,,NY59A
lightwood,,NY59B
lightwood,,NY60A
lightwood,,NY60B!
lightwood,,NY61A
lightwood,,NY61B
lightwood,,NY62A
lightwood,,NY62B
lightwood,,NY62C
lightwood,,NY62D!
lightwood,,NY63A
lightwood,,NY63B
lightwood,,NY63C
lightwood,,NY63D!
lightwood,,NY64A
lightwood,,NY64B
lightwood,,NY64C!
lightwood,fat pine,NJ1A
lightwood,pitch pine,NJ1B
lightwood,fat pine kindling,NJ2A
lightwood,kindling,NJ2A
lightwood,heart pine,NJ2B
lightwood,kindling,NJ3A
lightwood,,NJ3B
lightwood,fat pine,NJ4A
lightwood,kindling,NJ4B
lightwood,fat pine,NJ5A
lightwood,fat pine,NJ5B
lightwood,,NJ6A
lightwood,heart pine,NJ6B
lightwood,kindling,NJ7A
lightwood,,NJ7B!
lightwood,,NJ8A
lightwood,,NJ8B
lightwood,,NJ9A
lightwood,,NJ9B
lightwood,,NJ10A
lightwood,,NJ10B
lightwood,,NJ10C
lightwood,,NJ10D!
lightwood,,NJ11A
lightwood,,NJ11B
lightwood,,NJ11C
lightwood,,NJ12A
lightwood,,NJ12B
lightwood,,NJ13A
lightwood,,NJ13B
lightwood,,NJ14A
lightwood,,NJ14B
lightwood,,NJ15A
lightwood,,NJ15B
lightwood,,NJ16A
lightwood,,NJ16B
lightwood,,NJ17A
lightwood,,NJ17B
lightwood,,NJ18A
lightwood,,NJ18B
lightwood,,NJ18C!
lightwood,,NJ18D!
lightwood,,NJ19A
lightwood,,NJ19B!
lightwood,,NJ20A
lightwood,,NJ20B
lightwood,,NJ21A
lightwood,,NJ21B
lightwood,pitch pine,PA1A
lightwood,,PA1B
lightwood,kindling,PA1C
lightwood,pitch pine,PA1D
lightwood,kindling,PA1E!
lightwood,,PA1F!
lightwood,kindling,PA1G!
lightwood,lightwood,PA1G!
lightwood,fat pine,PA1H!
lightwood,,PA2A
lightwood,,PA2B
lightwood,kindling,PA3A
lightwood,pitch pine,PA3B
lightwood,pitch pine,PA3C
lightwood,,PA4A
lightwood,kindling,PA4B!
lightwood,kindlings,PA5A
lightwood,fat pine,PA5B
lightwood,pitch pine,PA5C
lightwood,yellow pine,PA5C
lightwood,,PA5D
lightwood,,PA5E!
lightwood,pitch pine,PA6A
lightwood,kindling wood,PA6A
lightwood,pitch pine,PA6B
lightwood,,PA6C
lightwood,pitch pine,PA6D!
lightwood,kindling,PA6D!
lightwood,,PA7A
lightwood,kindling,PA7B
lightwood,pitch pine,PA7C
lightwood,kindling wood,PA7D!
lightwood,,PA8A
lightwood,kindling,PA8B
lightwood,kindling,PA8C
lightwood,kindling wood,PA8D!
lightwood,tar pine,PA9A
lightwood,pitch pine,PA9B
lightwood,pitch pine,PA9C!
lightwood,,PA10
lightwood,rich pine,PA11A
lightwood,rich pine,PA11B
lightwood,rich pine,PA11B
lightwood,pitch pine,PA12A
lightwood,pitch pine,PA12B
lightwood,pitch pine,PA13A
lightwood,pitch pine,PA13B
lightwood,pitch pine,PA14A
lightwood,pitch pine,PA14B
lightwood,pitch pine,PA14C
lightwood,rich pine,PA15A
lightwood,pitch pine,PA15B
lightwood,pitch pine,PA15C!
lightwood,pitch pine,PA16A
lightwood,pitch pine,PA16B
lightwood,pitch wood,PA16C
lightwood,tinkling wood,PA17A
lightwood,kindling,PA17B
lightwood,,PA18A
lightwood,kindling,PA18B!
lightwood,pitch pine,PA19A
lightwood,bull pine,PA19B
lightwood,pitch pine,PA20A
lightwood,pine knot,PA20B
lightwood,pitch pine,PA20B
lightwood,pitch pine,PA21A
lightwood,kindling,PA21B
lightwood,pitch pine,PA21B
lightwood,fat pine,PA22A
lightwood,pitch pine,PA22A
lightwood,pitch pine,PA22B
lightwood,pitch pine,PA23A
lightwood,pitch pine,PA23B
lightwood,kindling wood,PA24A
lightwood,pitch pine,PA24B
lightwood,pitch pine,PA25A
lightwood,fat pine,PA25A
lightwood,pitch pine,PA25B
lightwood,kindling wood,PA25B
lightwood,pitch pine,PA26A
lightwood,fat pine,PA26B
lightwood,pitch pine,PA27A
lightwood,pitch pine,PA27B
lightwood,pitch pine,PA28A
lightwood,kindle wood,PA28B!
lightwood,pitch pine,PA29A
lightwood,rich pine,PA29A
lightwood,pitch pine,PA29A
lightwood,rich pine,PA29B
lightwood,pitch pine,PA30A
lightwood,pitch pine,PA30B
lightwood,,PA31A
lightwood,,PA31B
lightwood,,PA32A
lightwood,,PA32B
lightwood,,PA33A
lightwood,pitch pine,PA33B
lightwood,jack pine,PA33B
lightwood,rich pine,PA34A
lightwood,kindling,PA34B
lightwood,rich pine,PA34B
lightwood,pitch pine,PA34C!
lightwood,,PA35A
lightwood,rich pine,PA35B
lightwood,,PA35C
lightwood,rich pine,PA36A
lightwood,pitch pine,PA36B
lightwood,pitch pine,PA37A
lightwood,pitch pine,PA37B
lightwood,fat pine,PA37C
lightwood,,PA38A
lightwood,,PA38B
lightwood,rich pine,PA39A
lightwood,,PA39B
lightwood,pitch pine,PA40A
lightwood,kindle,PA40B
lightwood,pitch pine,PA41A
lightwood,,PA41B
lightwood,yellow pine,PA42A
lightwood,pitch pine,PA42A
lightwood,pine pitch,PA42B
lightwood,,PA43A
lightwood,rich pine,PA43B
lightwood,pitch pine,PA44A
lightwood,rich pine,PA44B
lightwood,,PA45A
lightwood,,PA45B
lightwood,,PA46A
lightwood,kindling,PA46B
lightwood,,PA47A
lightwood,,PA47B
lightwood,,PA48A
lightwood,,PA48B
lightwood,,PA48C
lightwood,,PA49A
lightwood,,PA49B
lightwood,,PA50A
lightwood,,PA50B
lightwood,,PA50C!
lightwood,,PA51A
lightwood,,PA51B
lightwood,,PA52A
lightwood,,PA52B!
lightwood,,PA53A
lightwood,,PA53B
lightwood,,PA54A
lightwood,,PA54B
lightwood,,PA55A
lightwood,,PA55B
lightwood,,PA56A
lightwood,,PA56B
lightwood,,PA57A
lightwood,,PA57B
lightwood,,PA58A
lightwood,,PA58B
lightwood,,PA59A
lightwood,,PA59B
lightwood,,PA60A
lightwood,,PA60B
lightwood,,PA61A
lightwood,,PA61B
lightwood,,PA62A
lightwood,,PA62B
lightwood,,PA63A
lightwood,,PA63B
lightwood,,PA64A
lightwood,,PA64B
lightwood,fat pine,PA65A
lightwood,,PA65B
lightwood,,PA66A
lightwood,,PA66B
