Target,Response,Informant
Louisiana,,NY1
Louisiana,,NY2A
Louisiana,,NY2B
Louisiana,,NY2C
Louisiana,Louisiana,NY3A
Louisiana,Louisiana,NY3B
Louisiana,Louisiana,NY3C
Louisiana,Louisiana,NY3D
Louisiana,Louisiana,NY4A
Louisiana,Louisiana,NY4B
Louisiana,Louisiana,NY4C
Louisiana,Louisiana,NY5A
Louisiana,Louisiana,NY5B
Louisiana,Louisiana,NY5C
Louisiana,Louisiana,NY5D
Louisiana,Louisiana,NY5E
Louisiana,Louisiana,NY5F
Louisiana,Louisiana,NY5G
Louisiana,Louisiana,NY5H!
Louisiana,Louisiana,NY5I!
Louisiana,Louisiana,NY6A
Louisiana,Louisiana,NY6B
Louisiana,Louisiana,NY7A
Louisiana,Louisiana,NY7B
Louisiana,Louisiana,NY7C
Louisiana,Louisiana,NY7D
Louisiana,Louisiana,NY7D
Louisiana,Louisiana,NY7E
Louisiana,Louisiana,NY7F
Louisiana,Louisiana,NY7G
Louisiana,Louisiana,NY7H
Louisiana,Louisiana,NY7I
Louisiana,Louisiana,NY7J!
Louisiana,Louisiana,NY7K!
Louisiana,Louisiana,NY7L!
Louisiana,Louisiana,NY7M!
Louisiana,Louisiana,NY7M!
Louisiana,Louisiana,NY8
Louisiana,,NY9A
Louisiana,Louisiana,NY9B
Louisiana,Louisiana,NY9C
Louisiana,Louisiana,NY10A
Louisiana,Louisiana,NY10B!
Louisiana,Louisiana,NY11
Louisiana,Louisiana,NY12A
Louisiana,Louisiana,NY12B
Louisiana,Louisiana,NY12C!
Louisiana,Louisiana,NY13A
Louisiana,Louisiana,NY13B!
Louisiana,Louisiana,NY14A
Louisiana,Louisiana,NY14B
Louisiana,Louisiana,NY15A
Louisiana,Louisiana,NY15B
Louisiana,Louisiana,NY16A
Louisiana,Louisiana,NY16B
Louisiana,Louisiana,NY17A
Louisiana,Louisiana,NY17B
Louisiana,Louisiana,NY18A
Louisiana,Louisiana,NY18B
Louisiana,Louisiana,NY18C!
Louisiana,Louisiana,NY19
Louisiana,Louisiana,NY20A
Louisiana,Louisiana,NY20A
Louisiana,Louisiana,NY20B
Louisiana,Louisiana,NY21
Louisiana,Louisiana,NY22
Louisiana,,NY23A
Louisiana,Louisiana,NY23B
Louisiana,Louisiana,NY23C
Louisiana,Louisiana,NY24A
Louisiana,Louisiana,NY24B!
Louisiana,Louisiana,NY25A
Louisiana,Louisiana,NY25A
Louisiana,Louisiana,NY25B
Louisiana,Louisiana,NY25B
Louisiana,Louisiana,NY26A
Louisiana,Louisiana,NY26B
Louisiana,,NY26C
Louisiana,Louisiana,NY27A
Louisiana,,NY27B
Louisiana,Louisiana,NY27C
Louisiana,Louisiana,NY28A
Louisiana,Louisiana,NY28B
Louisiana,,NY28C
Louisiana,,NY29A
Louisiana,Louisiana,NY29B
Louisiana,Louisiana,NY29C
Louisiana,Louisiana,NY30A
Louisiana,Louisiana,NY30B
Louisiana,,NY30C
Louisiana,,NY30D
Louisiana,Louisiana,NY30E
Louisiana,Louisiana,NY31A
Louisiana,Louisiana,NY31B
Louisiana,Louisiana,NY32A
Louisiana,Louisiana,NY32B
Louisiana,,NY33A
Louisiana,Louisiana,NY33B
Louisiana,Louisiana,NY33C
Louisiana,Louisiana,NY33C
Louisiana,Louisiana,NY34A
Louisiana,,NY34B
Louisiana,Louisiana,NY34C
Louisiana,Louisiana,NY34D!
Louisiana,Louisiana,NY35A
Louisiana,Louisiana,NY35B
Louisiana,,NY35C!
Louisiana,Louisiana,NY36A
Louisiana,Louisiana,NY36B
Louisiana,Louisiana,NY37A
Louisiana,Louisiana,NY37B
Louisiana,Louisiana,NY37C!
Louisiana,Louisiana,NY38A
Louisiana,Louisiana,NY38B
Louisiana,,NY38C
Louisiana,Louisiana,NY39A
Louisiana,Louisiana,NY39B
Louisiana,Louisiana,NY40A
Louisiana,Louisiana,NY40B
Louisiana,Louisiana,NY41
Louisiana,Louisiana,NY42A
Louisiana,Louisiana,NY42B
Louisiana,Louisiana,NY43A
Louisiana,Louisiana,NY43B
Louisiana,Louisiana,NY43C!
Louisiana,Louisiana,NY44A
Louisiana,Louisiana,NY44B
Louisiana,,NY45A
Louisiana,,NY45B
Louisiana,,NY45C
Louisiana,Louisiana,NY45D!
Louisiana,Louisiana,NY46A
Louisiana,,NY46B
Louisiana,Louisiana,NY46C
Louisiana,Louisiana,NY47A
Louisiana,Louisiana,NY47B
Louisiana,Louisiana,NY48A
Louisiana,,NY48B
Louisiana,Louisiana,NY48C
Louisiana,Louisiana,NY48D
Louisiana,,NY49A
Louisiana,,NY49B
Louisiana,Louisiana,NY49C
Louisiana,Louisiana,NY49C
Louisiana,Louisiana,NY49D
Louisiana,Louisiana,NY49D
