Target,Response,Informant
Louisville,,NY1
Louisville,,NY2A
Louisville,,NY2B
Louisville,,NY2C
Louisville,Louisville,NY3A
Louisville,Louisville,NY3B
Louisville,Louisville,NY3C
Louisville,Louisville,NY3D
Louisville,Louisville,NY4A
Louisville,Louisville,NY4B
Louisville,Louisville,NY4C
Louisville,Louisville,NY5A
Louisville,Louisville,NY5B
Louisville,Louisville,NY5C
Louisville,Louisville,NY5D
Louisville,Louisville,NY5E
Louisville,Louisville,NY5F
Louisville,Louisville,NY5G
Louisville,Louisville,NY5H!
Louisville,Louisville,NY5I!
Louisville,Louisville,NY6A
Louisville,Louisville,NY6B
Louisville,Louisville,NY7A
Louisville,Louisville,NY7B
Louisville,Louisville,NY7C
Louisville,Louisville,NY7D
Louisville,Louisville,NY7E
Louisville,Louisville,NY7F
Louisville,Louisville,NY7G
Louisville,Louisville,NY7H
Louisville,Louisville,NY7I
Louisville,Louisville,NY7J!
Louisville,Louisville,NY7K!
Louisville,Louisville,NY7L!
Louisville,Louisville,NY7M!
Louisville,Louisville,NY8
Louisville,Louisville,NY9A
Louisville,Louisville,NY9B
Louisville,Louisville,NY9C
Louisville,Louisville,NY10A
Louisville,Louisville,NY10B!
Louisville,Louisville,NY11
Louisville,Louisville,NY12A
Louisville,Louisville,NY12B
Louisville,Louisville,NY12C!
Louisville,Louisville,NY13A
Louisville,Louisville,NY13B!
Louisville,Louisville,NY14A
Louisville,Louisville,NY14B
Louisville,Louisville,NY15A
Louisville,Louisville,NY15B
Louisville,Louisville,NY16A
Louisville,Louisville,NY16B
Louisville,Louisville,NY17A
Louisville,Louisville,NY17B
Louisville,Louisville,NY18A
Louisville,Louisville,NY18B
Louisville,Louisville,NY18C!
Louisville,Louisville,NY19
Louisville,Louisville,NY20A
Louisville,Louisville,NY20B
Louisville,Louisville,NY21
Louisville,Louisville,NY22
Louisville,,NY23A
Louisville,Louisville,NY23B
Louisville,Louisville,NY23C
Louisville,Lexington,NY23C
Louisville,Louisville,NY24A
Louisville,Louisville,NY24B!
Louisville,Louisville,NY25A
Louisville,Louisville,NY25B
Louisville,Louisville,NY26A
Louisville,Louisville,NY26B
Louisville,,NY26C
Louisville,Louisville,NY27A
Louisville,,NY27B
Louisville,Louisville,NY27C
Louisville,Louisville,NY27C
Louisville,Louisville,NY28A
Louisville,Louisville,NY28B
Louisville,,NY28C
Louisville,,NY29A
Louisville,Louisville,NY29B
Louisville,Louisville,NY29C
Louisville,Louisville,NY30A
Louisville,Louisville,NY30B
Louisville,,NY30C
Louisville,,NY30D
Louisville,Louisville,NY30E
Louisville,Lexington,NY30E
Louisville,Louisville,NY31A
Louisville,Louisville,NY31A
Louisville,Louisville,NY31B
Louisville,Louisville,NY32A
Louisville,Louisville,NY32B
Louisville,,NY33A
Louisville,Louisville,NY33B
Louisville,Louisville,NY33C
Louisville,Louisville,NY34A
Louisville,,NY34B
Louisville,,NY34C
Louisville,Louisville,NY34D!
Louisville,Louisville,NY34D!
Louisville,Lexington,NY34D!
Louisville,Louisville,NY35A
Louisville,Louisville,NY35B
Louisville,,NY35C!
Louisville,Louisville,NY36A
Louisville,Louisville,NY36B
Louisville,Louisville,NY37A
Louisville,Louisville,NY37B
Louisville,Louisville,NY37C!
Louisville,Louisville,NY38A
Louisville,Louisville,NY38B
Louisville,,NY38C
Louisville,Louisville,NY39A
Louisville,Louisville,NY39B
Louisville,Louisville,NY40A
Louisville,Louisville,NY40B
Louisville,Louisville,NY41
Louisville,Louisville,NY42A
Louisville,Louisville,NY42B
Louisville,Louisville,NY43A
Louisville,Louisville,NY43B
Louisville,Louisville,NY43C!
Louisville,Louisville,NY44A
Louisville,Louisville,NY44B
Louisville,,NY45A
Louisville,,NY45B
Louisville,,NY45C
Louisville,Louisville,NY45D!
Louisville,Louisville,NY46A
Louisville,Louisville,NY46A
Louisville,,NY46B
Louisville,Louisville,NY46C
Louisville,Louisville,NY47A
Louisville,Louisville,NY47B
Louisville,Louisville,NY48A
Louisville,Lexington,NY48A
Louisville,,NY48B
Louisville,Louisville,NY48C
Louisville,Louisville,NY48D
Louisville,Frankfort,NY48D
Louisville,,NY49A
Louisville,,NY49B
Louisville,Louisville,NY49C
Louisville,Louisville,NY49D
Louisville,Louisville,NY50A
Louisville,Louisville,NY50B
Louisville,Louisville,NY51A
Louisville,Louisville,NY51B
Louisville,,NY51C
Louisville,,NY51D
Louisville,,NY51E!
Louisville,Louisville,NY52A
Louisville,,NY52B
Louisville,Louisville,NY52C
Louisville,Louisville,NY52C
Louisville,Louisville,NY53A
Louisville,Louisville,NY53A
Louisville,Louisville,NY53B!
Louisville,Louisville,NY54A
Louisville,Louisville,NY54B
Louisville,Louisville,NY55A
Louisville,Louisville,NY55B
Louisville,Louisville,NY55B
Louisville,Louisville,NY56A
Louisville,Louisville,NY56B
Louisville,Louisville,NY57A
Louisville,Frankfort,NY57A
Louisville,Louisville,NY57A
Louisville,,NY57B
Louisville,Louisville,NY57C!
Louisville,Louisburg,NY57C!
Louisville,Louisville,NY58A
Louisville,Louisville,NY58B
Louisville,,NY58C
Louisville,Lexington,NY58D!
Louisville,Louisville,NY58D!
Louisville,Louisville,NY58E!
Louisville,Louisville,NY58E!
Louisville,,NY58F!
Louisville,Louisville,NY59A
Louisville,Louisville,NY59B
Louisville,Louisville,NY60A
Louisville,Louisville,NY60B!
Louisville,Louisville,NY61A
Louisville,Louisville,NY61B
Louisville,,NY62A
Louisville,Louisville,NY62B
Louisville,Louisville,NY62B
Louisville,Louisville,NY62C
Louisville,Lexington,NY62D!
Louisville,Louisville,NY62D!
Louisville,Frankfort,NY63A
Louisville,Louisville,NY63A
Louisville,Louisville,NY63B
Louisville,Louisville,NY63C
Louisville,Louisville,NY63D!
Louisville,Louisville,NY64A
Louisville,Lexington,NY64A
Louisville,Louisville,NY64B
Louisville,Frankfort,NY64B
Louisville,,NY64C!
Louisville,Louisville,NJ1A
Louisville,Louisville,NJ1B
Louisville,Louisville,NJ2A
Louisville,Louisville,NJ2B
Louisville,Louisville,NJ3A
Louisville,Louisville,NJ3B
Louisville,Louisville,NJ4A
Louisville,Louisville,NJ4B
Louisville,Louisville,NJ5A
Louisville,Louisville,NJ5B
Louisville,Louisville,NJ6A
Louisville,Louisville,NJ6B
Louisville,Louisville,NJ7A
Louisville,Louisville,NJ7B!
Louisville,Louisville,NJ8A
Louisville,Louisville,NJ8B
Louisville,Louisville,NJ9A
Louisville,Louisville,NJ9B
Louisville,Louisville,NJ10A
Louisville,Louisville,NJ10B
Louisville,Louisville,NJ10C
Louisville,Louisville,NJ10D!
Louisville,Louisville,NJ11A
Louisville,Louisville,NJ11B
Louisville,Louisville,NJ11C
Louisville,Louisville,NJ12A
Louisville,Louisville,NJ12B
Louisville,Louisville,NJ13A
Louisville,Louisville,NJ13B
Louisville,Louisville,NJ14A
Louisville,Louisville,NJ14B
Louisville,Louisville,NJ15A
Louisville,Louisville,NJ15B
Louisville,Louisville,NJ16A
Louisville,Louisville,NJ16B
Louisville,Louisville,NJ17A
Louisville,Louisville,NJ17B
Louisville,Louisville,NJ18A
Louisville,Louisville,NJ18B
Louisville,Louisville,NJ18C!
Louisville,Louisville,NJ18D!
Louisville,Louisville,NJ19A
Louisville,Louisville,NJ19B!
Louisville,Louisville,NJ20A
Louisville,Louisville,NJ20B
Louisville,Louisville,NJ21A
Louisville,Louisville,NJ21B
Louisville,Louisville,PA1A
Louisville,Louisville,PA1B
Louisville,Louisville,PA1C
Louisville,Louisville,PA1D
Louisville,Louisville,PA1E!
Louisville,Louisville,PA1F!
Louisville,Louisville,PA1G!
Louisville,Louisville,PA1H!
Louisville,Louisville,PA2A
Louisville,Louisville,PA2B
Louisville,Louisville,PA3A
Louisville,Louisville,PA3B
Louisville,Louisville,PA3C
Louisville,Louisville,PA3C
Louisville,Louisville,PA4A
Louisville,Louisville,PA4B!
Louisville,Louisville,PA5A
Louisville,Louisville,PA5B
Louisville,Louisville,PA5C
Louisville,Louisville,PA5D
Louisville,Louisville,PA5E!
Louisville,Louisville,PA6A
Louisville,Louisville,PA6B
Louisville,Louisville,PA6C
Louisville,Louisville,PA6D!
Louisville,Louisville,PA7A
Louisville,Louisville,PA7B
Louisville,Louisville,PA7C
Louisville,Louisville,PA7D!
Louisville,Louisville,PA8A
Louisville,Louisville,PA8B
Louisville,Louisville,PA8C
Louisville,Louisville,PA8D!
Louisville,Louisville,PA9A
Louisville,Louisville,PA9B
Louisville,Louisville,PA9C!
Louisville,Louisville,PA10
Louisville,Louisville,PA11A
Louisville,Louisville,PA11B
Louisville,Louisville,PA12A
Louisville,Louisville,PA12B
Louisville,Louisville,PA13A
Louisville,Louisville,PA13B
Louisville,Louisville,PA14A
Louisville,Louisville,PA14B
Louisville,,PA14C
Louisville,Louisville,PA15A
Louisville,Louisville,PA15B
Louisville,Louisville,PA15C!
Louisville,Louisville,PA16A
Louisville,Louisville,PA16B
Louisville,,PA16C
Louisville,Louisville,PA17A
Louisville,Louisville,PA17B
Louisville,Louisville,PA18A
Louisville,Louisville,PA18B!
Louisville,Louisville,PA19A
Louisville,Louisville,PA19B
Louisville,Louisville,PA20A
Louisville,Louisville,PA20B
Louisville,Louisville,PA21A
Louisville,Louisville,PA21B
Louisville,Louisville,PA22A
Louisville,Louisville,PA22B
Louisville,Louisville,PA23A
Louisville,Louisville,PA23B
Louisville,Louisville,PA24A
Louisville,Louisville,PA24B
Louisville,Louisville,PA25A
Louisville,Louisville,PA25B
Louisville,Louisville,PA26A
Louisville,Louisville,PA26B
Louisville,Louisville,PA27A
Louisville,Louisville,PA27B
Louisville,Louisville,PA28A
Louisville,Louisville,PA28B!
Louisville,Louisville,PA29A
Louisville,Louisville,PA29B
Louisville,Louisville,PA30A
Louisville,Louisville,PA30B
Louisville,Louisville,PA31A
Louisville,Louisville,PA31B
Louisville,Louisville,PA32A
Louisville,Louisville,PA32B
Louisville,Louisville,PA33A
Louisville,Louisville,PA33B
Louisville,Louisville,PA34A
Louisville,Louisville,PA34B
Louisville,Louisville,PA34C!
Louisville,Louisville,PA35A
Louisville,Louisville,PA35B
Louisville,,PA35C
Louisville,Louisville,PA36A
Louisville,Louisville,PA36B
Louisville,Louisville,PA37A
Louisville,Louisville,PA37B
Louisville,,PA37C
Louisville,Louisville,PA38A
Louisville,Louisville,PA38B
Louisville,Louisville,PA38B
Louisville,Louisville,PA39A
Louisville,Louisville,PA39B
Louisville,Louisville,PA40A
Louisville,Louisville,PA40B
