Target,Response,Informant
make some coffee,make some coffee,NY1
make some coffee,draw some coffee,NY2A
make some coffee,when I get me coffee drawed,NY2A
make some coffee,boil some coffee,NY2B
make some coffee,make some coffee,NY2C
make some coffee,boil some coffee,NY3A
make some coffee,make some coffee,NY3A
make some coffee,boil some coffee,NY3B
make some coffee,coffee,NY3B
make some coffee,make some coffee,NY3C
make some coffee,make some coffee,NY3D
make some coffee,boil some coffee,NY3D
make some coffee,make some coffee,NY4A
make some coffee,fix some coffee,NY4A
make some coffee,make some coffee,NY4B
make some coffee,make some coffee,NY4C
make some coffee,make coffee,NY5A
make some coffee,make some coffee,NY5B
make some coffee,make some coffee,NY5C
make some coffee,make coffee,NY5D
make some coffee,boil some coffee,NY5E
make some coffee,coffee,NY5E
make some coffee,make some coffee,NY5E
make some coffee,boil,NY5E
make some coffee,make some coffee,NY5F
make some coffee,coffee,NY5G
make some coffee,make some coffee,NY5H!
make some coffee,make some coffee,NY5I!
make some coffee,make some coffee,NY6A
make some coffee,make some coffee,NY6B
make some coffee,cook some coffee,NY7A
make some coffee,make some coffee,NY7A
make some coffee,make some coffee,NY7B
make some coffee,make some coffee,NY7C
make some coffee,boil some coffee,NY7C
make some coffee,make some coffee,NY7D
make some coffee,make some coffee,NY7E
make some coffee,coffee,NY7F
make some coffee,make some coffee,NY7F
make some coffee,make some coffee,NY7G
make some coffee,make some coffee,NY7H
make some coffee,make some coffee,NY7I
make some coffee,make some coffee,NY7J!
make some coffee,make some coffe,NY7K!
make some coffee,fix some coffee,NY7K!
make some coffee,make some coffee,NY7L!
make some coffee,make some coffee,NY7M!
make some coffee,brew some coffee,NY9A
make some coffee,make some coffee,NY9B
make some coffee,make some coffee,NY9C
make some coffee,make some coffee,NY10A
make some coffee,make some coffee,NY10B!
make some coffee,make some coffee,NY11
make some coffee,make some coffee,NY12A
make some coffee,make some coffee,NY12A
make some coffee,make some coffee,NY12B
make some coffee,make some coffee,NY12C!
make some coffee,make some coffee,NY13B!
make some coffee,make some coffee,NY14A
make some coffee,make some coffee,NY14B
make some coffee,brew some coffee,NY15A
make some coffee,make some coffee,NY15B
make some coffee,make some coffee,NY16A
make some coffee,boil some coffee,NY16B
make some coffee,make,NY16B
make some coffee,fix,NY16B
make some coffee,make some coffee,NY17A
make some coffee,make some coffee,NY17B
make some coffee,make some coffee,NY18A
make some coffee,make some coffee,NY18B
make some coffee,percolate coffee,NY18C!
make some coffee,boil some coffee,NY18C!
make some coffee,make coffee,NY18C!
make some coffee,make some coffee,NY19
make some coffee,boil,NY20A
make some coffee,make some coffee,NY20A
make some coffee,make some coffee,NY20B
make some coffee,make some coffee,NY21
make some coffee,make some coffee,NY22
make some coffee,coffee,NY23A
make some coffee,make tea,NY23A
make some coffee,make the coffee,NY23A
make some coffee,a pot of coffee,NY23B
make some coffee,make a cup of tea,NY23B
make some coffee,coffee,NY23B
make some coffee,brewing coffee,NY23C
make some coffee,coffee,NY23C
make some coffee,make the coffee,NY23C
make some coffee,boiled,NY23C
make some coffee,,NY24A
make some coffee,make some coffee,NY24B!
make some coffee,make coffee,NY25A
make some coffee,coffee,NY25A
make some coffee,coffee,NY25A
make some coffee,boil it,NY25A
make some coffee,boil coffee,NY25B
make some coffee,making coffee,NY25B
make some coffee,coffee,NY25B
make some coffee,make the coffee,NY25B
make some coffee,fix it,NY26A
make some coffee,coffee,NY26A
make some coffee,boil it,NY26A
make some coffee,coffee,NY27A
make some coffee,coffee,NY27A
make some coffee,coffee,NY27A
make some coffee,made coffee,NY27A
make some coffee,steep it,NY27A
make some coffee,brewing coffee,NY27B
make some coffee,coffee,NY27B
make some coffee,boil,NY27B
make some coffee,coffee,NY27C
make some coffee,steep it,NY27C
make some coffee,fix it,NY28A
make some coffee,boil,NY28A
make some coffee,coffee,NY28A
make some coffee,making the coffee,NY28A
make some coffee,to make the coffee,NY28B
make some coffee,coffee,NY28B
make some coffee,percolate,NY28B
make some coffee,,NY28C
make some coffee,boil the coffee,NY29A
make some coffee,coffee,NY29A
make some coffee,boil the coffee,NY29B
make some coffee,coffee,NY29B
make some coffee,make the coffee,NY29B
make some coffee,coffee,NY29C
make some coffee,boil the coffee,NY29C
make some coffee,steep the coffee,NY29C
make some coffee,brew the coffee,NY29C
make some coffee,coffee,NY30A
make some coffee,steeping coffee,NY30A
make some coffee,coffee,NY30B
make some coffee,steep the coffee,NY30B
make some coffee,fix the coffee,NY30B
make some coffee,,NY30C
make some coffee,coffee,NY30D
make some coffee,make coffee,NY30D
make some coffee,steeped coffee,NY30D
make some coffee,coffee,NY30E
make some coffee,coffee,NY30E
make some coffee,brewed it,NY30E
make some coffee,coffee,NY31A
make some coffee,coffee pot,NY31A
make some coffee,coffee,NY31A
make some coffee,coffee,NY31A
make some coffee,we made coffee,NY31A
make some coffee,coffee,NY31B
make some coffee,coffee,NY31B
make some coffee,make coffee,NY31B
make some coffee,coffee,NY32A
make some coffee,cook the coffee,NY32A
make some coffee,coffee,NY32A
make some coffee,coffee,NY32B
make some coffee,making coffee,NY32B
make some coffee,coffee,NY33A
make some coffee,boiling coffee,NY33A
make some coffee,make coffee,NY33B
make some coffee,making the coffee,NY33C
make some coffee,coffee,NY33C
make some coffee,brewing the coffee,NY33C
make some coffee,water,NY34A
make some coffee,boiled coffee,NY34A
make some coffee,coffee,NY34A
make some coffee,,NY34B
make some coffee,coffee,NY34C
make some coffee,boil it,NY34C
make some coffee,steep it,NY34C
make some coffee,brew it,NY34D!
make some coffee,coffee,NY34D!
make some coffee,make some coffee,NY35A
make some coffee,make some coffee,NY35B
make some coffee,make some coffee,NY35C!
make some coffee,make some coffee,NY36A
make some coffee,make some coffee,NY36B
make some coffee,brew some coffee,NY37A
make some coffee,make some coffee,NY37B
make some coffee,make some coffee,NY37C!
make some coffee,steep some coffee,NY38A
make some coffee,make some coffee,NY38B
make some coffee,boil,NY38B
make some coffee,make some coffee,NY38C
make some coffee,make some coffee,NY39A
make some coffee,make some coffee,NY39B
make some coffee,make some coffee,NY40A
make some coffee,make some coffee,NY40B
make some coffee,make some coffe,NY41
make some coffee,brew,NY41
make some coffee,steep some coffee,NY42A
make some coffee,make,NY42A
make some coffee,make some coffee,NY42B
make some coffee,make some coffee,NY43A
make some coffee,make some coffee,NY43B
make some coffee,make some cofee,NY43C!
make some coffee,make some coffee,NY44A
make some coffee,make some coffee,NY44B
make some coffee,coffee,NY45A
make some coffee,steep some coffee,NY45A
make some coffee,brew you some coffee,NY45A
make some coffee,steep your tea,NY45A
make some coffee,,NY45B
make some coffee,coffee,NY45C
make some coffee,boil the coffee,NY45C
make some coffee,percolate it,NY45C
make some coffee,coffee,NY45D!
make some coffee,boil some,NY45D!
make some coffee,coffee,NY45D!
make some coffee,coffee,NY46A
make some coffee,camp coffee,NY46A
make some coffee,coffee,NY46A
make some coffee,boiled,NY46A
make some coffee,make some,NY46A
make some coffee,coffee,NY46B
make some coffee,steep some coffee,NY46B
make some coffee,coffee,NY46C
make some coffee,make some coffee,NY46C
make some coffee,brewing coffee,NY47A
make some coffee,make coffee,NY47A
make some coffee,coffee,NY47A
make some coffee,boil coffee,NY47A
make some coffee,steep tea,NY47A
make some coffee,make some coffee,NY47B
make some coffee,steep coffee,NY48A
make some coffee,coffee,NY48A
make some coffee,brew,NY48A
make some coffee,,NY48B
make some coffee,make it,NY48C
make some coffee,coffee,NY48C
make some coffee,fix some coffee,NY48C
make some coffee,boil coffee,NY48D
make some coffee,make the coffee,NY48D
make some coffee,coffee,NY48D
make some coffee,make coffee,NY48D
make some coffee,,NY49A
make some coffee,make,NY49B
make some coffee,boil some coffee,NY49B
make some coffee,percolate some coffee,NY49C
make some coffee,coffee,NY49C
make some coffee,fix a pot of coffee,NY49D
make some coffee,make some coffee,NY50A
make some coffee,coffee,NY50A
make some coffee,coffee,NY50B
make some coffee,coffee,NY50B
make some coffee,make the coffee,NY50B
make some coffee,coffee,NY50B
make some coffee,coffee,NY51A
make some coffee,boil it,NY51A
make some coffee,make the,NY51A
make some coffee,brew the tea,NY51A
make some coffee,fix it,NY51B
make some coffee,make it,NY51B
make some coffee,coffee,NY51B
make some coffee,coffee,NY51C
make some coffee,steep the tea,NY51C
make some coffee,brew the coffee,NY51C
make some coffee,,NY51D
make some coffee,to boil coffee,NY51E!
make some coffee,spill coffee,NY51E!
make some coffee,boil coffees  ?,NY51E!
make some coffee,set some over,NY52A
make some coffee,fix it,NY52A
make some coffee,coffee,NY52A
make some coffee,steep it,NY52A
make some coffee,fix it,NY52B
make some coffee,coffee,NY52B
make some coffee,boil it,NY52B
make some coffee,put the pot on,NY52C
make some coffee,brew some coffee,NY52C
make some coffee,coffee,NY53A
make some coffee,boil it,NY53A
make some coffee,brew some coffee,NY53B!
make some coffee,coffee,NY53B!
make some coffee,make a pot of coffee,NY54A
make some coffee,coffee,NY54B
make some coffee,get a cup of coffee,NY54B
make some coffee,make a cup of coffee,NY54B
make some coffee,coffee,NY55A
make some coffee,brew it,NY55A
make some coffee,steep it,NY55A
make some coffee,make it,NY55A
make some coffee,making the coffee,NY55B
make some coffee,coffee,NY55B
make some coffee,make some,NY56A
make some coffee,sugar,NY56A
make some coffee,boiled it,NY56A
make some coffee,coffee,NY56A
make some coffee,coffee,NY56A
make some coffee,made coffee,NY56B
make some coffee,coffee,NY56B
make some coffee,make coffee,NY57A
make some coffee,brew the tea,NY57A
make some coffee,coffee,NY57A
make some coffee,steep the tea,NY57A
make some coffee,boiled it,NY57B
make some coffee,make it,NY57B
make some coffee,brew it,NY57B
make some coffee,coffee,NY57B
make some coffee,make some,NY57C!
make some coffee,coffee,NY57C!
make some coffee,boil it,NY57C!
make some coffee,coffee,NY58A
make some coffee,boil the coffee,NY58A
make some coffee,coffee,NY58A
make some coffee,a cup of coffee,NY58B
make some coffee,make coffee,NY58B
make some coffee,coffee,NY58B
make some coffee,boil it,NY58B
make some coffee,,NY58C
make some coffee,coffee,NY58D!
make some coffee,boil coffee,NY58D!
make some coffee,make some,NY58E!
make some coffee,coffee,NY58E!
make some coffee,make some coffee,NY58F!
make some coffee,brew,NY59A
make some coffee,boiled it,NY59A
make some coffee,coffee,NY59A
make some coffee,make some coffee,NY59B
make some coffee,make coffee,NY60A
make some coffee,boil it,NY60A
make some coffee,coffee,NY60A
make some coffee,make the coffee,NY60B!
make some coffee,coffee,NY60B!
make some coffee,boil coffee,NY61A
make some coffee,boil the coffee,NY61B
make some coffee,coffee,NY61B
make some coffee,steep the coffee,NY62A
make some coffee,coffee,NY62A
make some coffee,make it,NY62B
make some coffee,coffee,NY62B
make some coffee,boil it,NY62B
make some coffee,coffee,NY62C
make some coffee,boiling coffee,NY62C
make some coffee,coffee,NY62D!
make some coffee,boiling coffee,NY62D!
make some coffee,coffee,NY63A
make some coffee,make some,NY63A
make some coffee,settle coffee,NY63B
