Target,Response,Informant
mantel,mantelpiece,NY1
mantel,mantel,NY1
mantel,mantelpiece,NY2A
mantel,mantel,NY2B
mantel,mantelpiece,NY2B
mantel,mantel,NY2C
mantel,mantelpiece,NY2C
mantel,mantel,NY3A
mantel,mantelpiece,NY3B
mantel,mantel,NY3C
mantel,mantelpiece,NY3D
mantel,mantelpiece,NY4A
mantel,shelf,NY4B
mantel,mantel,NY4B
mantel,mantelpiece,NY4C
mantel,mantelpiece,NY5A
mantel,lambrequin,NY5A
mantel,mantelpiece,NY5B
mantel,mantel,NY5C
mantel,mantelpiece,NY5D
mantel,mantelpiece,NY5E
mantel,mantelpiece,NY5F
mantel,mantel,NY5G
mantel,mantel,NY5H!
mantel,mantelpiece,NY5I!
mantel,mantelpiece,NY6A
mantel,mantel,NY6B
mantel,mantelpiece,NY7A
mantel,mantelpiece,NY7B
mantel,mantelpiece,NY7C
mantel,mantel,NY7D
mantel,mantelpiece,NY7E
mantel,mantel,NY7F
mantel,mantelpiece,NY7G
mantel,mantel,NY7H
mantel,mantel,NY7I
mantel,mantel,NY7J!
mantel,mantel,NY7K!
mantel,mantelpiece,NY7L!
mantel,mantelpiece,NY7M!
mantel,mantel,NY8
mantel,shelf,NY8
mantel,mantel,NY9A
mantel,mantel,NY9B
mantel,mantel,NY9C
mantel,mantel,NY10A
mantel,mantel,NY10B!
mantel,mantel,NY11
mantel,mantel,NY12A
mantel,shelf,NY12A
mantel,shelf,NY12A
mantel,mantelshelf,NY12A
mantel,mantel,NY12B
mantel,mantel,NY12C!
mantel,mantel,NY13A
mantel,mantelpiece,NY13B!
mantel,mantel,NY14A
mantel,mantel,NY14B
mantel,mantelpiece,NY15A
mantel,mantel,NY15B
mantel,mantelpiece,NY16A
mantel,mantel,NY16B
mantel,mantelpiece,NY17A
mantel,mantel,NY17A
mantel,mantel,NY17B
mantel,manteltree shelf,NY18A
mantel,shelf,NY18B
mantel,mantel,NY18B
mantel,mantel,NY18C!
mantel,mantel,NY19
mantel,mantelpiece,NY20A
mantel,mantel,NY20B
mantel,clock shelf,NY21
mantel,shelf,NY21
mantel,mantel,NY22
mantel,shelf,NY23A
mantel,clock shelf,NY23A
mantel,mantelpiece,NY23B
mantel,clock,NY23B
mantel,mantel,NY23C
mantel,shelves,NY23C
mantel,mantelpiece,NY24A
mantel,mantelshelf,NY24A
mantel,mantel,NY24A
