Target,Response,Informant
marsh,marsh,NY1
marsh,marsh,NY2A
marsh,marsh,NY2B
marsh,marsh,NY2B
marsh,,NY2C
marsh,marsh,NY2C
marsh,marsh,NY2C
marsh,,NY2C
marsh,meadows,NY3A
marsh,meadows,NY3B
marsh,meadow,NY3C
marsh,meadows,NY3D
marsh,salt meadows,NY4A
marsh,meadow,NY4B
marsh,marsh,NY4C
marsh,,NY5A
marsh,marsh,NY5B
marsh,marsh,NY5C
marsh,marsh,NY5D
marsh,meadows,NY5E
marsh,meadows,NY5F
marsh,marsh,NY5G
marsh,salt meadows,NY5H!
marsh,marsh,NY5H!
marsh,meadows,NY5H!
marsh,meadows,NY5I!
marsh,marsh,NY5I!
marsh,meadow,NY6A
marsh,meadow,NY6B
marsh,meadow,NY7A
marsh,meadows,NY7B
marsh,meadow,NY7C
marsh,meadows,NY7D
marsh,marsh,NY7E
marsh,marsh,NY7F
marsh,marsh,NY7G
marsh,marsh,NY7H
marsh,marsh,NY7I
marsh,marsh,NY7J!
marsh,meadows,NY7J!
marsh,marsh,NY7K!
marsh,meadow,NY7K!
marsh,marsh,NY7L!
marsh,salt meadows,NY7L!
marsh,marsh,NY7M!
marsh,marsh,NY8
marsh,meadow,NY8
marsh,marsh,NY9A
marsh,marsh,NY9B
marsh,marsh,NY9C
marsh,marsh,NY10A
marsh,marsh,NY10B!
marsh,,NY11
marsh,marsh,NY12A
marsh,marsh,NY12A
marsh,,NY12B
marsh,,NY12C!
marsh,marsh,NY13A
marsh,marsh,NY13B!
marsh,marsh,NY14A
marsh,marsh,NY14B
marsh,marsh,NY15A
marsh,,NY15B
marsh,marsh,NY16A
marsh,marsh,NY16B
marsh,marsh,NY17A
marsh,marsh,NY17A
marsh,marsh,NY17B
marsh,marsh,NY18A
marsh,marsh,NY18B
marsh,marsh,NY18C!
marsh,marsh,NY19
marsh,marsh,NY20A
marsh,marsh,NY20B
marsh,marsh,NY21
marsh,marsh,NY22
marsh,marsh,NY23A
marsh,marsh land,NY23B
marsh,,NY23C
marsh,marsh,NY24A
marsh,marsh,NY24B!
marsh,marsh,NY25A
marsh,marshes,NY25A
marsh,marsh,NY25B
marsh,marsh,NY25B
marsh,shrubs,NY26A
marsh,marsh,NY26A
marsh,,NY26B
marsh,,NY26C
marsh,marshes,NY27A
marsh,marsh land,NY27B
marsh,marsh land,NY27C
marsh,marsh grass,NY28A
marsh,marsh land,NY28A
marsh,marshy land,NY28B
marsh,marsh,NY28B
marsh,,NY28C
marsh,marsh,NY29A
marsh,marsh hay,NY29B
marsh,marsh,NY29B
marsh,marsh,NY29C
marsh,,NY30A
marsh,,NY30B
marsh,,NY30C
marsh,,NY30D
marsh,get out very damned easy,NY30D
marsh,you get in there and you can't,NY30D
marsh,marsh,NY30D
marsh,marsh,NY30E
marsh,,NY31A
marsh,,NY31B
marsh,,NY32A
marsh,,NY32B
marsh,marshes,NY33A
marsh,,NY33B
marsh,marsh,NY33C
marsh,,NY34A
marsh,,NY34B
marsh,,NY34C
marsh,,NY34D!
marsh,marsh,NY35A
marsh,marsh,NY35B
marsh,marsh,NY35C!
marsh,,NY36A
marsh,marsh,NY36B
marsh,marsh,NY37A
marsh,marsh,NY37B
marsh,marsh,NY37C!
marsh,marsh,NY38A
marsh,marsh,NY38B
marsh,marsh,NY38C
marsh,marsh,NY39A
marsh,marsh,NY39B
marsh,marsh,NY40A
marsh,marsh,NY40B
marsh,marsh,NY41
marsh,marsh,NY42A
marsh,,NY42B
marsh,,NY43A
marsh,marsh,NY43B
marsh,marsh,NY43C!
marsh,marsh,NY44A
marsh,marsh,NY44B
marsh,marsh land,NY45A
marsh,swale grass,NY45A
marsh,swale marsh,NY45A
marsh,,NY45B
marsh,,NY45C
marsh,marshes,NY45D!
marsh,marsh land,NY45D!
marsh,,NY46A
marsh,marsh,NY46B
marsh,quagmire,NY46C
marsh,marshes,NY46C
marsh,marshes,NY46C
marsh,marsh,NY47A
marsh,marsh,NY47B
marsh,marshy land,NY48A
marsh,marsh,NY48A
marsh,,NY48B
marsh,slough hole,NY48C
marsh,Montezuma Marshes,NY48C
marsh,a sloughs,NY48C
marsh,quicksand,NY48C
marsh,marsh,NY48C
marsh,marsh,NY48D
marsh,,NY49A
marsh,marsh,NY49B
marsh,marsh land,NY49C
marsh,marsh,NY49D
marsh,marsh,NY49D
marsh,marsh,NY50A
marsh,marsh hay,NY50A
marsh,marsh,NY50B
marsh,marsh land,NY50B
marsh,,NY51A
marsh,,NY51B
marsh,marsh,NY51C
marsh,,NY51D
marsh,,NY51E!
marsh,marsh,NY52A
marsh,,NY52B
