Target,Response,Informant
Maryland,,NY1
Maryland,,NY2A
Maryland,,NY2B
Maryland,,NY2C
Maryland,Maryland,NY3A
Maryland,Maryland,NY3B
Maryland,Maryland,NY3C
Maryland,Maryland,NY3D
Maryland,Maryland,NY4A
Maryland,Maryland,NY4B
Maryland,Maryland,NY4C
Maryland,Maryland,NY5A
Maryland,Maryland,NY5B
Maryland,Maryland,NY5C
Maryland,Maryland,NY5D
Maryland,Maryland,NY5E
Maryland,Maryland,NY5F
Maryland,Maryland,NY5G
Maryland,Maryland,NY5H!
Maryland,Maryland,NY5I!
Maryland,Maryland,NY6A
Maryland,Maryland,NY6B
Maryland,Maryland,NY7A
Maryland,Maryland,NY7B
Maryland,Maryland,NY7C
Maryland,Maryland,NY7D
Maryland,Maryland,NY7E
Maryland,Maryland,NY7F
Maryland,Maryland,NY7G
Maryland,Maryland,NY7H
Maryland,Maryland,NY7I
Maryland,Maryland,NY7J!
Maryland,Maryland,NY7K!
Maryland,Maryland,NY7L!
Maryland,Maryland,NY7M!
Maryland,Maryland,NY8
Maryland,Maryland,NY9A
Maryland,Maryland,NY9B
Maryland,Maryland,NY9C
Maryland,Maryland,NY10A
Maryland,Maryland,NY10B!
Maryland,Maryland,NY11
Maryland,Maryland,NY12A
Maryland,Maryland,NY12B
Maryland,Maryland,NY12C!
Maryland,Maryland,NY13A
Maryland,Maryland,NY13B!
Maryland,Maryland,NY14A
Maryland,Maryland,NY14B
Maryland,Maryland,NY15A
Maryland,Maryland,NY15B
Maryland,Maryland,NY16A
Maryland,Maryland,NY16B
Maryland,Maryland,NY17A
Maryland,Maryland,NY17B
Maryland,Maryland,NY18A
Maryland,Maryland,NY18B
Maryland,Maryland,NY18C!
Maryland,Maryland,NY19
Maryland,Maryland,NY20A
Maryland,Maryland,NY20B
Maryland,Maryland,NY21
Maryland,Maryland,NY22
Maryland,,NY23A
Maryland,Maryland,NY23B
Maryland,Maryland,NY23C
Maryland,Maryland,NY24A
Maryland,Maryland,NY24B!
Maryland,Maryland,NY25A
Maryland,Maryland,NY25B
Maryland,Maryland,NY26A
Maryland,Maryland,NY26B
Maryland,,NY26C
Maryland,,NY27A
Maryland,,NY27B
Maryland,Maryland,NY27C
Maryland,Maryland,NY28A
Maryland,Maryland,NY28B
Maryland,,NY28C
Maryland,,NY29A
Maryland,Maryland,NY29B
Maryland,Maryland,NY29C
Maryland,Maryland,NY30A
Maryland,Maryland,NY30B
Maryland,,NY30C
Maryland,,NY30D
Maryland,Maryland,NY30E
Maryland,Maryland,NY31A
Maryland,Maryland,NY31B
Maryland,Maryland,NY32A
Maryland,Maryland,NY32B
Maryland,,NY33A
