Target,Response,Informant
Massachusetts,Massachusetts,NY1
Massachusetts,Massachusetts,NY1
Massachusetts,,NY2A
Massachusetts,Massachusetts,NY2B
Massachusetts,,NY2C
Massachusetts,Massachusetts,NY3A
Massachusetts,Massachusetts,NY3B
Massachusetts,Massachusetts,NY3C
Massachusetts,Massachusetts,NY3D
Massachusetts,Massachusetts,NY4A
Massachusetts,Massachusetts,NY4B
Massachusetts,Massachusetts,NY4C
Massachusetts,Massachusetts,NY5A
Massachusetts,Massachusetts,NY5B
Massachusetts,Massachusetts,NY5C
Massachusetts,Massachusetts,NY5D
Massachusetts,Massachusetts,NY5E
Massachusetts,Massachusetts,NY5F
Massachusetts,Massachusetts,NY5G
Massachusetts,Massachusetts,NY5H!
Massachusetts,Massachusetts,NY5I!
Massachusetts,Massachusetts,NY6A
Massachusetts,Massachusetts,NY6B
Massachusetts,Massachusetts,NY7A
Massachusetts,Massachusetts,NY7B
Massachusetts,Massachusetts,NY7C
Massachusetts,Massachusetts,NY7D
Massachusetts,Massachusetts,NY7E
Massachusetts,Massachusetts,NY7F
Massachusetts,Massachusetts,NY7G
Massachusetts,Massachusetts,NY7H
Massachusetts,Massachusetts,NY7I
Massachusetts,Massachusetts,NY7J!
Massachusetts,Massachusetts,NY7K!
Massachusetts,Massachusetts,NY7L!
Massachusetts,Massachusetts,NY7M!
Massachusetts,Massachusetts,NY8
Massachusetts,Massachusetts,NY9A
Massachusetts,Massachusetts,NY9B
Massachusetts,Massachusetts,NY9C
Massachusetts,Massachusetts,NY10A
Massachusetts,Massachusetts,NY10B!
Massachusetts,Massachusetts,NY11
Massachusetts,Massachusetts,NY12A
Massachusetts,Massachusetts,NY12B
Massachusetts,Massachusetts,NY12C!
Massachusetts,Massachusetts,NY13A
Massachusetts,Massachusetts,NY13B!
Massachusetts,Massachusetts,NY14A
Massachusetts,Massachusetts,NY14B
Massachusetts,Massachusetts,NY15A
Massachusetts,Massachusetts,NY15B
Massachusetts,Massachusetts,NY16A
Massachusetts,Massachusetts,NY16B
Massachusetts,Massachusetts,NY17A
Massachusetts,Massachusetts,NY17B
Massachusetts,Massachusetts,NY18A
Massachusetts,Massachusetts,NY18B
Massachusetts,Massachusetts,NY18C!
Massachusetts,Massachusetts,NY19
Massachusetts,Massachusetts,NY20A
Massachusetts,Massachusetts,NY20B
Massachusetts,Massachusetts,NY21
Massachusetts,Massachusetts,NY22
Massachusetts,,NY23A
Massachusetts,Massachusetts,NY23B
Massachusetts,Massachusetts,NY23C
Massachusetts,Massachusetts,NY23C
Massachusetts,Massachusetts,NY23C
Massachusetts,Massachusetts,NY24A
Massachusetts,Massachusetts,NY24B!
Massachusetts,Massachusetts,NY25A
Massachusetts,Massachusetts,NY25B
Massachusetts,Massachusetts,NY26A
Massachusetts,Massachusetts,NY26B
Massachusetts,,NY26C
Massachusetts,Massachusetts,NY27A
Massachusetts,,NY27B
Massachusetts,Massachusetts,NY27C
Massachusetts,Massachusetts,NY28A
Massachusetts,Massachusetts,NY28B
Massachusetts,,NY28C
Massachusetts,,NY29A
Massachusetts,Massachusetts,NY29B
Massachusetts,Massachusetts,NY29C
Massachusetts,Massachusetts,NY30A
Massachusetts,Massachusetts,NY30B
Massachusetts,,NY30C
Massachusetts,,NY30D
Massachusetts,Massachusetts,NY30E
Massachusetts,Massachusetts,NY31A
Massachusetts,Massachusetts,NY31B
Massachusetts,Massachusetts,NY31B
Massachusetts,Massachusetts,NY31B
Massachusetts,Massachusetts,NY31B
Massachusetts,Massachusetts,NY32A
Massachusetts,Massachusetts,NY32A
Massachusetts,Massachusetts,NY32B
Massachusetts,,NY33A
Massachusetts,Massachusetts,NY33B
Massachusetts,Massachusetts,NY33C
Massachusetts,Massachusetts,NY34A
Massachusetts,,NY34B
Massachusetts,Massachusetts,NY34C
Massachusetts,Massachusetts,NY34D!
Massachusetts,Massachusetts,NY35A
Massachusetts,Massachusetts,NY35B
Massachusetts,,NY35C!
Massachusetts,Massachusetts,NY36A
Massachusetts,Massachusetts,NY36B
Massachusetts,Massachusetts,NY37A
Massachusetts,Massachusetts,NY37B
Massachusetts,Massachusetts,NY37C!
Massachusetts,Massachusetts,NY38A
Massachusetts,Massachusetts,NY38B
Massachusetts,,NY38C
Massachusetts,Massachusetts,NY39A
Massachusetts,Massachusetts,NY39B
Massachusetts,Massachusetts,NY40A
Massachusetts,Massachusetts,NY40B
Massachusetts,Massachusetts,NY41
Massachusetts,Massachusetts,NY42A
Massachusetts,Massachusetts,NY42B
Massachusetts,Massachusetts,NY43A
Massachusetts,Massachusetts,NY43B
Massachusetts,Massachusetts,NY43C!
Massachusetts,Massachusetts,NY44A
Massachusetts,Massachusetts,NY44B
Massachusetts,,NY45A
Massachusetts,,NY45B
Massachusetts,,NY45C
Massachusetts,Massachusetts,NY45D!
Massachusetts,Massachusetts,NY46A
Massachusetts,Massachusetts,NY46B
Massachusetts,Massachusetts,NY46B
Massachusetts,Massachusetts,NY46C
Massachusetts,Massachusetts,NY46C
Massachusetts,Massachusetts,NY47A
Massachusetts,Massachusetts,NY47B
Massachusetts,Massachusetts,NY48A
Massachusetts,,NY48B
Massachusetts,Massachusetts,NY48C
Massachusetts,Massachusetts,NY48C
Massachusetts,Massachusetts,NY48D
Massachusetts,,NY49A
Massachusetts,,NY49B
Massachusetts,Massachusetts,NY49C
Massachusetts,Massachusetts,NY49D
Massachusetts,Massachusetts,NY49D
Massachusetts,Massachusetts,NY50A
Massachusetts,Massachusetts,NY50A
Massachusetts,Massachusetts,NY50B
Massachusetts,Massachusetts,NY51A
Massachusetts,Massachusetts,NY51B
Massachusetts,,NY51C
Massachusetts,,NY51D
Massachusetts,,NY51E!
Massachusetts,Massachusetts,NY52A
Massachusetts,,NY52B
Massachusetts,Massachusetts,NY52C
Massachusetts,Massachusetts,NY53A
Massachusetts,Massachusetts,NY53B!
Massachusetts,Massachusetts,NY54A
Massachusetts,Massachusetts,NY54A
Massachusetts,Massachusetts,NY54B
Massachusetts,Massachusetts,NY55A
Massachusetts,Massachusetts,NY55B
Massachusetts,Massachusetts,NY56A
Massachusetts,Massachusetts,NY56A
Massachusetts,Massachusetts,NY56B
Massachusetts,Massachusetts,NY57A
Massachusetts,,NY57B
Massachusetts,Massachusetts,NY57C!
Massachusetts,Massachusetts,NY58A
Massachusetts,Massachusetts,NY58B
Massachusetts,,NY58C
Massachusetts,Massachusetts,NY58D!
Massachusetts,Massachusetts,NY58D!
Massachusetts,Massachusetts,NY58E!
Massachusetts,Massachusetts,NY58E!
Massachusetts,,NY58F!
Massachusetts,Massachusetts,NY59A
Massachusetts,Massachusetts,NY59B
Massachusetts,Massachusetts,NY60A
Massachusetts,Massachusetts,NY60B!
Massachusetts,Massachusetts,NY61A
Massachusetts,Massachusetts,NY61B
Massachusetts,,NY62A
Massachusetts,Massachusetts,NY62B
Massachusetts,Massachusetts,NY62C
Massachusetts,Massachusetts,NY62D!
Massachusetts,Massachusetts,NY63A
Massachusetts,Massachusetts,NY63A
Massachusetts,Massachusetts,NY63A
Massachusetts,Massachusetts,NY63B
Massachusetts,Massachusetts,NY63C
Massachusetts,Massachusetts,NY63D!
Massachusetts,Massachusetts,NY64A
Massachusetts,Massachusetts,NY64B
Massachusetts,,NY64C!
Massachusetts,Massachusetts,NJ1A
Massachusetts,Massachusetts,NJ1B
