Target,Response,Informant
meadow,,NY1
meadow,,NY2A
meadow,,NY2B
meadow,,NY2C
meadow,hayfield,NY3A
meadow,hayfield,NY3B
meadow,meadow,NY3C
meadow,,NY3C
meadow,hayfield,NY3D
meadow,hay lot,NY4A
meadow,grass meadows,NY4A
meadow,hay lot,NY4B
meadow,meadow,NY4C
meadow,,NY5A
meadow,meadow,NY5B
meadow,field,NY5B
meadow,hayfield,NY5C
meadow,meadow,NY5D
meadow,hayfield,NY5E
meadow,hayfield,NY5F
meadow,meadow,NY5G
meadow,meadow,NY5H!
meadow,hayfield,NY5I!
meadow,hayfield,NY6A
meadow,hayfield,NY6B
meadow,,NY7A
meadow,,NY7B
meadow,,NY7C
meadow,meadows,NY7D
meadow,field,NY7E
meadow,meadows,NY7E
meadow,meadow,NY7F
meadow,meadow,NY7G
meadow,meadow,NY7H
meadow,meadow,NY7I
meadow,,NY7J!
meadow,hayfield,NY7K!
meadow,meadow,NY7L!
meadow,meadow,NY7M!
meadow,hayfield,NY8
meadow,meadow,NY9A
meadow,meadow,NY9B
meadow,swale,NY9B
meadow,meadow,NY9C
meadow,meadow,NY10A
meadow,swale,NY10A
meadow,meadow,NY10B!
meadow,swale,NY10B!
meadow,meadow,NY11
meadow,swale,NY12A
meadow,swale,NY12A
meadow,meadow,NY12A
meadow,meadow,NY12A
meadow,hayfield,NY12B
meadow,meadow,NY12B
meadow,meadow,NY12C!
meadow,swale,NY13A
meadow,meadow,NY13A
meadow,meadow,NY13B!
meadow,hayfield,NY13B!
meadow,swale,NY14A
meadow,meadow,NY14A
meadow,meadow,NY14B
meadow,swale,NY14B
meadow,swale,NY15A
meadow,meadow,NY15A
meadow,meadows,NY15B
meadow,swale,NY15B
meadow,plaatsje,NY15B
meadow,swale,NY16A
meadow,meadow,NY16A
meadow,meadow,NY16B
meadow,meadow,NY17A
meadow,meadow,NY17A
meadow,hayfield,NY17A
meadow,meadow,NY17B
meadow,meadow,NY18A
meadow,swale,NY18A
meadow,meadow,NY18B
meadow,meadow,NY18C!
meadow,meadow,NY19
meadow,swale,NY19
meadow,swale,NY20A
meadow,meadow,NY20A
meadow,swale,NY20B
meadow,meadow,NY20B
meadow,swale,NY21
meadow,meadow,NY21
meadow,meadow,NY22
meadow,swale,NY22
meadow,meadow,NY23A
meadow,swale,NY23A
meadow,meadows,NY23B
meadow,swale,NY23C
meadow,meadow land,NY23C
meadow,meadow,NY24A
meadow,swale,NY24A
meadow,meadow,NY24B!
meadow,hayfield,NY24B!
meadow,swale,NY24B!
meadow,meadows,NY25A
meadow,beaver meadow,NY25A
meadow,meadows,NY25A
meadow,swale,NY25A
meadow,meadow,NY25B
meadow,swale,NY25B
meadow,meadow,NY25B
meadow,ravine,NY25B
meadow,meadow,NY26A
meadow,swale,NY26A
meadow,fly,NY26A
meadow,hay ground,NY26A
meadow,swale grass,NY26A
meadow,fly hay,NY26A
meadow,new-seeded meadow,NY26B
meadow,prairies,NY26B
meadow,,NY26C
meadow,mire hole,NY27A
meadow,meadow,NY27A
meadow,hay land,NY27A
meadow,swale,NY27A
meadow,swale,NY27B
meadow,meadow,NY27B
meadow,meadow,NY27C
meadow,swale,NY27C
meadow,swale,NY28A
meadow,meadow,NY28A
meadow,swale,NY28B
meadow,meadow,NY28B
meadow,,NY28C
meadow,swale,NY29A
meadow,meadow,NY29A
meadow,hayfield,NY29B
meadow,swale,NY29B
meadow,meadow,NY29B
meadow,meadow,NY29C
meadow,swale,NY29C
meadow,meadow,NY30A
meadow,,NY30A
meadow,swale,NY30A
meadow,swale,NY30B
meadow,swaley,NY30B
meadow,meadow,NY30B
meadow,beaver meadow,NY30C
meadow,swale,NY30C
meadow,meadow,NY30C
meadow,beaver meadow,NY30C
meadow,swale,NY30D
meadow,meadow,NY30D
meadow,beaver meadow,NY30D
meadow,swale,NY30E
meadow,meadow,NY30E
meadow,meadow,NY31A
meadow,swale,NY31A
meadow,greensward,NY31B
meadow,pond holes,NY31B
meadow,meadows,NY31B
meadow,swale,NY31B
meadow,mire,NY31B
meadow,meadow land,NY32A
meadow,swale,NY32A
meadow,creek bottoms,NY32B
meadow,swale,NY32B
meadow,meadow,NY32B
meadow,swale grass,NY32B
meadow,,NY33A
meadow,,NY33B
meadow,meadow,NY33C
meadow,swale,NY33C
meadow,beaver meadow,NY33C
meadow,meadow,NY34A
meadow,swale,NY34A
meadow,hayfield,NY34A
meadow,,NY34B
meadow,swale,NY34C
meadow,meadow,NY34C
meadow,meadow,NY34D!
meadow,meadow,NY35A
meadow,swale,NY35A
meadow,meadow,NY35B
meadow,swale hole,NY35B
meadow,swale,NY35C!
meadow,hayfield,NY35C!
meadow,meadow,NY36A
meadow,swale,NY36A
meadow,swale,NY36B
meadow,meadow,NY36B
meadow,swale,NY37A
meadow,meadow,NY37A
meadow,meadow,NY37B
meadow,swale,NY37B
meadow,hayfield,NY37C!
meadow,meadow,NY38A
meadow,swale,NY38A
meadow,swale,NY38B
meadow,meadow,NY38B
meadow,meadow,NY38C
meadow,swale,NY38C
meadow,meadow,NY39A
meadow,swale,NY39A
meadow,meadow,NY39B
meadow,swale,NY39B
meadow,meadow,NY40A
meadow,swale,NY40A
meadow,swale,NY40B
meadow,meadow,NY40B
meadow,swale,NY41
meadow,meadow,NY41
meadow,swale,NY42A
meadow,meadow,NY42A
meadow,meadow,NY42B
meadow,meadow,NY43A
meadow,swale,NY43A
meadow,meadow,NY43B
meadow,swale,NY43B
meadow,swale,NY43C!
meadow,hayfield,NY43C!
meadow,meadow,NY44A
meadow,swale,NY44A
meadow,swale,NY44B
meadow,meadow,NY44B
meadow,meadow,NY45A
meadow,meadow,NY45B
meadow,swale,NY45B
meadow,mire hole,NY45B
meadow,hayfield,NY45C
meadow,pond,NY45C
meadow,meadow,NY45C
meadow,hay land,NY45C
meadow,springs,NY45C
meadow,swale,NY45D!
meadow,hay meadows,NY45D!
meadow,frog pond,NY46A
meadow,meadow,NY46A
meadow,swale grass,NY46A
meadow,pond,NY46A
meadow,swale,NY46A
meadow,meadows,NY46B
meadow,ponds,NY46C
meadow,meadow,NY46C
meadow,hayfields,NY47A
meadow,meadow,NY47A
meadow,meadows,NY47A
meadow,prairie,NY47A
meadow,swale,NY47A
meadow,swale,NY47B
meadow,meadow,NY47B
meadow,swale,NY48A
meadow,meadow,NY48A
meadow,,NY48B
meadow,marshy,NY48C
meadow,swale,NY48C
meadow,grass,NY48C
meadow,meadow,NY48C
meadow,swale hole,NY48C
meadow,low,NY48C
meadow,swale,NY48D
meadow,meadow,NY48D
meadow,swale grass,NY48D
meadow,meadow,NY49A
meadow,swale,NY49A
meadow,hayfield,NY49B
meadow,swale,NY49B
meadow,meadow,NY49C
meadow,meadow,NY49C
meadow,hayfield,NY49C
meadow,meadow,NY49D
meadow,hayfield,NY50A
meadow,meadow,NY50A
meadow,swale,NY50A
meadow,meadow land,NY50B
meadow,swale,NY50B
meadow,meadows,NY51A
meadow,swales,NY51A
meadow,swale,NY51B
meadow,meadow,NY51B
meadow,swale,NY51C
meadow,meadow,NY51C
meadow,meadow,NY51D
meadow,meadow,NY51E!
meadow,hay lot,NY51E!
meadow,swale,NY51E!
meadow,meadows,NY52A
meadow,swale,NY52A
meadow,off of it,NY52A
meadow,meadow,NY52B
meadow,down in the swale,NY52B
meadow,hayfield,NY52C
meadow,meadow,NY52C
meadow,swale,NY53A
meadow,meadow,NY53A
meadow,grassland,NY53A
meadow,meadows,NY53B!
meadow,meadow,NY53B!
meadow,swale,NY53B!
meadow,hay,NY54A
meadow,hayfield,NY54B
meadow,meadow,NY55A
meadow,swale grass,NY55A
meadow,prairie,NY55A
meadow,pond,NY55A
meadow,meadow land,NY55B
meadow,swales,NY55B
meadow,swale grass,NY56A
meadow,bog grass,NY56A
meadow,swale,NY56A
meadow,meadow,NY56A
meadow,bunch grass,NY56A
meadow,swale grass,NY56B
meadow,flat land,NY56B
meadow,rolling land,NY56B
meadow,meadows,NY56B
meadow,meadow,NY57A
meadow,swale,NY57A
meadow,meadow,NY57A
meadow,hayfield,NY57A
meadow,swale,NY57B
meadow,meadow,NY57B
meadow,swale grass,NY57B
meadow,hayfield,NY57C!
