Target,Response,Informant
Missouri,Missouri,NY1
Missouri,,NY2A
Missouri,Missouri,NY2B
Missouri,,NY2C
Missouri,Missouri,NY3A
Missouri,Missouri,NY3B
Missouri,Missouri,NY3C
Missouri,Missouri,NY3D
Missouri,Missouri,NY4A
Missouri,Missouri,NY4B
Missouri,Missouri,NY4C
Missouri,Missouri,NY5A
Missouri,Missouri,NY5B
Missouri,Missouri,NY5C
Missouri,Missouri,NY5D
Missouri,Missouri,NY5E
Missouri,Missouri,NY5F
Missouri,Missouri,NY5G
Missouri,Missouri,NY5H!
Missouri,Missouri,NY5I!
Missouri,Missouri,NY6A
Missouri,Missouri,NY6B
Missouri,Missouri,NY7A
Missouri,Missouri,NY7B
Missouri,Missouri,NY7C
Missouri,Missouri,NY7D
Missouri,Missouri,NY7E
Missouri,Missouri,NY7F
Missouri,Missouri,NY7G
Missouri,Missouri,NY7H
Missouri,Missouri,NY7I
Missouri,Missouri,NY7J!
Missouri,Missouri,NY7K!
Missouri,Missouri,NY7L!
Missouri,Missouri,NY7M!
Missouri,Missouri,NY8
Missouri,Missouri,NY9A
Missouri,Missouri,NY9B
Missouri,Missouri,NY9C
Missouri,Missouri,NY10A
Missouri,Missouri,NY10B!
Missouri,Missouri,NY11
Missouri,Missouri,NY12A
Missouri,Missouri,NY12B
Missouri,Missouri,NY12C!
Missouri,Missouri,NY13A
Missouri,Missouri,NY13B!
Missouri,Missouri,NY14A
Missouri,Missouri,NY14B
Missouri,Missouri,NY15A
Missouri,Missouri,NY15B
Missouri,Missouri,NY16A
Missouri,Missouri,NY16B
Missouri,Missouri,NY17A
Missouri,Missouri,NY17B
Missouri,Missouri,NY18A
Missouri,Missouri,NY18B
Missouri,Missouri,NY18C!
Missouri,Missouri,NY19
Missouri,Missouri,NY20A
Missouri,Missouri,NY20B
Missouri,Missouri,NY21
Missouri,Missouri,NY22
Missouri,,NY23A
Missouri,Missouri,NY23B
Missouri,Missouri,NY23C
Missouri,Missouri,NY24A
Missouri,Missouri,NY24B!
Missouri,Missouri,NY25A
Missouri,Missouri,NY25B
Missouri,Missouri,NY26A
Missouri,Missouri,NY26B
Missouri,,NY26C
Missouri,Missouri,NY27A
Missouri,,NY27B
Missouri,Missouri,NY27C
Missouri,Missouri,NY27C
Missouri,Missouri,NY28A
Missouri,Missouri,NY28B
Missouri,,NY28C
Missouri,,NY29A
Missouri,Missouri,NY29B
Missouri,Missouri,NY29C
Missouri,Missouri,NY30A
Missouri,Missouri,NY30B
Missouri,,NY30C
Missouri,,NY30D
Missouri,Missouri,NY30E
Missouri,Missouri,NY31A
Missouri,Missouri,NY31B
Missouri,Missouri,NY32A
Missouri,Missouri,NY32A
Missouri,Missouri,NY32A
Missouri,Missouri,NY32B
Missouri,,NY33A
Missouri,Missouri,NY33B
Missouri,Missouri,NY33C
Missouri,Missouri,NY34A
Missouri,,NY34B
Missouri,,NY34C
Missouri,Missouri,NY34D!
Missouri,Missouri,NY35A
Missouri,Missouri,NY35B
Missouri,,NY35C!
Missouri,Missouri,NY36A
Missouri,Missouri,NY36B
Missouri,Missouri,NY37A
Missouri,Missouri,NY37B
Missouri,Missouri,NY37C!
Missouri,Missouri,NY38A
Missouri,Missouri,NY38B
Missouri,,NY38C
Missouri,Missouri,NY39A
Missouri,Missouri,NY39B
Missouri,Missouri,NY40A
Missouri,Missouri,NY40B
Missouri,Missouri,NY41
Missouri,Missouri,NY42A
Missouri,Missouri,NY42B
Missouri,Missouri,NY43A
Missouri,Missouri,NY43B
Missouri,Missouri,NY43C!
Missouri,Missouri,NY44A
Missouri,Missouri,NY44B
Missouri,,NY45A
Missouri,,NY45B
Missouri,,NY45C
Missouri,Missouri,NY45D!
Missouri,Missouri,NY46A
Missouri,,NY46B
Missouri,Missouri,NY46C
Missouri,Missouri,NY47A
Missouri,Missouri,NY47B
Missouri,Missouri,NY48A
Missouri,,NY48B
Missouri,Missouri,NY48C
Missouri,Missouri,NY48D
Missouri,,NY49A
Missouri,,NY49B
Missouri,Missouri,NY49C
Missouri,Missouri,NY49D
Missouri,Missouri,NY50A
Missouri,Missouri,NY50A
Missouri,Missouri,NY50B
Missouri,Missouri,NY51A
Missouri,Missouri,NY51B
Missouri,,NY51C
Missouri,,NY51D
Missouri,,NY51E!
Missouri,Missouri,NY52A
Missouri,,NY52B
Missouri,Missouri,NY52C
Missouri,Missouri,NY53A
Missouri,Missouri,NY53B!
Missouri,Missouri,NY54A
Missouri,Michigan,NY54A
Missouri,Missouri,NY54B
Missouri,Missouri,NY55A
Missouri,Missouri,NY55B
Missouri,Missouri,NY56A
Missouri,Missouri,NY56B
Missouri,Missouri,NY57A
Missouri,,NY57B
Missouri,Missouri,NY57C!
Missouri,Missouri,NY58A
