Target,Response,Informant
molasses,,NY1
molasses,,NY2A
molasses,,NY2B
molasses,,NY2C
molasses,molasses,NY3A
molasses,molasses,NY3B
molasses,molasses,NY3C
molasses,molasses,NY3D
molasses,molasses,NY4A
molasses,molasses,NY4B
molasses,molasses,NY4C
molasses,molasses,NY5A
molasses,molasses,NY5B
molasses,molasses,NY5C
molasses,molasses,NY5D
molasses,molasses,NY5E
molasses,molasses,NY5F
molasses,molasses,NY5G
molasses,molasses,NY5H!
molasses,molasses,NY5I!
molasses,molasses,NY6A
molasses,molasses,NY6B
molasses,molasses,NY7A
molasses,molasses,NY7B
molasses,molasses,NY7C
molasses,molasses,NY7D
molasses,molasses,NY7E
molasses,molasses,NY7F
molasses,molasses,NY7G
molasses,molasses,NY7H
molasses,molasses,NY7I
molasses,molasses,NY7J!
molasses,the molasses,NY7K!
molasses,molasses,NY7L!
molasses,molasses,NY7M!
molasses,the molasses,NY8
molasses,molasses,NY9A
molasses,molasses,NY9B
molasses,molasses,NY9C
molasses,the molasses,NY10A
molasses,molasses,NY10B!
molasses,molasses,NY11
molasses,the molasses,NY12A
molasses,molasses,NY12A
molasses,molasses,NY12B
molasses,molasses,NY12C!
molasses,molasses,NY13A
molasses,molasses,NY13B!
molasses,molasses,NY14A
molasses,molasses,NY14B
molasses,the molasses are,NY15A
molasses,molasses,NY15B
molasses,molasses,NY16A
molasses,molasses,NY16B
molasses,molasses,NY17A
molasses,molasses,NY17B
molasses,molasses,NY18A
molasses,molasses,NY18B
molasses,molasses,NY18C!
molasses,molasses,NY19
molasses,molasses,NY20A
molasses,molasses,NY20B
molasses,molasses,NY21
molasses,molasses,NY22
molasses,molasses was,NY23A
molasses,that dark molasses,NY23B
molasses,maple syrup,NY23C
molasses,syrup,NY23C
molasses,molasses,NY24A
molasses,molasses,NY24B!
molasses,molasses is,NY25A
molasses,molasses was,NY25B
molasses,molasses,NY25B
molasses,molasses was thick,NY26A
molasses,molasses is,NY26B
molasses,,NY26C
molasses,black molasses,NY27A
molasses,molasses is,NY27B
molasses,molasses,NY27C
molasses,molasses was,NY28A
molasses,the molasses was,NY28B
molasses,molasses are,NY28B
molasses,,NY28C
molasses,molasses is,NY29A
molasses,molasses were,NY29B
molasses,molasses was,NY29C
molasses,black strap molasses was,NY30A
molasses,molasses was,NY30B
molasses,molasses,NY30C
molasses,molasses,NY30D
molasses,molasses was,NY30D
molasses,molasses was,NY30E
molasses,molasses was,NY31A
molasses,molasses was,NY31B
molasses,molasses is,NY32A
molasses,syrup molasses,NY32A
molasses,molasses was,NY32B
molasses,molasses is,NY33A
molasses,,NY33B
molasses,molasses,NY33C
molasses,molasses was,NY34A
molasses,New Orleans molasses,NY34A
molasses,molasses was,NY34B
molasses,molasses,NY34B
molasses,molasses was,NY34C
molasses,molasses is,NY34D!
molasses,molasses,NY35A
molasses,molasses,NY35B
