Target,Response,Informant
mop,,NY1
mop,,NY2A
mop,,NY2B
mop,,NY2C
mop,,NY3A
mop,,NY3B
mop,,NY3C
mop,,NY3D
mop,,NY4A
mop,,NY4B
mop,,NY4C
mop,,NY5A
mop,,NY5B
mop,,NY5C
mop,,NY5D
mop,,NY5E
mop,,NY5F
mop,,NY5G
mop,,NY5H!
mop,,NY5I!
mop,,NY6A
mop,,NY6B
mop,,NY7A
mop,,NY7B
mop,,NY7C
mop,,NY7D
mop,,NY7E
mop,,NY7F
mop,,NY7G
mop,,NY7H
mop,,NY7I
mop,,NY7J!
mop,,NY7K!
mop,,NY7L!
mop,,NY7M!
mop,,NY8
mop,,NY9A
mop,,NY9B
mop,,NY9C
mop,,NY10A
mop,,NY10B!
mop,,NY11
mop,,NY12A
mop,,NY12B
mop,file,NY12C!
mop,file,NY13A
mop,file,NY13B!
mop,file,NY14A
mop,,NY14B
mop,file,NY15A
mop,,NY15B
mop,file,NY16A
mop,file,NY16B
mop,,NY17A
mop,file,NY17B
mop,file,NY18A
mop,file,NY18B
mop,file,NY18C!
mop,file,NY19
mop,file,NY20A
mop,,NY20B
mop,,NY21
mop,file,NY22
mop,mopping,NY23A
mop,scrub,NY23B
mop,mop,NY23C
mop,,NY24A
mop,,NY24B!
mop,file,NY25A
mop,filing the floors,NY25B
mop,,NY26A
mop,file the floor,NY26B
mop,,NY26C
mop,,NY27A
mop,,NY27B
mop,,NY27C
mop,,NY28A
mop,scrub,NY28B
mop,scrub,NY28C
mop,mop,NY29A
mop,,NY29B
mop,scour,NY29C
mop,cleaning up,NY30A
mop,mopping,NY30B
mop,wipe,NY30B
mop,scrubbing,NY30C
mop,scrubbed,NY30D
mop,scrubbing,NY30E
mop,scrub it,NY31A
mop,filing the floor,NY31A
mop,sand the floor,NY31B
mop,scour,NY31B
mop,mop,NY32A
mop,mop,NY32B
mop,scrubbing,NY33A
mop,,NY33B
mop,scrubbing,NY33C
mop,mop,NY34A
mop,mop,NY34A
mop,scrub,NY34B
mop,mop,NY34C
mop,scrubbed,NY34D!
mop,,NY35A
mop,,NY35B
mop,,NY35C!
mop,,NY36A
mop,,NY36B
mop,,NY37A
mop,,NY37B
mop,,NY37C!
mop,file,NY38A
mop,,NY38B
mop,,NY38C
mop,file,NY39A
mop,,NY39B
mop,,NY40A
mop,,NY40B
mop,,NY41
mop,,NY42A
mop,,NY42B
mop,,NY43A
mop,,NY43B
mop,,NY43C!
mop,,NY44A
mop,,NY44B
mop,mop,NY45A
mop,scrub,NY45A
mop,mop,NY45B
