Target,Response,Informant
mush,mush,NY1
mush,hasty pudding,NY1
mush,mush,NY2A
mush,minute pudding,NY2A
mush,hasty pudding,NY2B
mush,corn pudding,NY2B
mush,corn mush,NY2B
mush,hasty pudding,NY2C
mush,mush,NY2C
mush,mush,NY3A
mush,mush,NY3B
mush,mush,NY3C
mush,mush,NY3D
mush,mush,NY4A
mush,mush,NY4B
mush,mush,NY4C
mush,mush,NY5A
mush,mush,NY5B
mush,mush,NY5C
mush,mush,NY5D
mush,supawn in milk,NY5E
mush,mush,NY5E
mush,mush,NY5F
mush,mush,NY5G
mush,mush,NY5H!
mush,mush,NY5I!
mush,spawned,NY6A
mush,spawn,NY6B
mush,mush,NY6B
mush,mush,NY7A
mush,mush,NY7B
mush,mush,NY7C
mush,spawn,NY7D
mush,mush,NY7E
mush,mush,NY7F
mush,mush,NY7G
mush,mush,NY7H
mush,porridge,NY7H
mush,hominy,NY7I
mush,mush,NY7I
mush,samp,NY7I
mush,mush,NY7J!
mush,mush,NY7K!
mush,mush,NY7L!
mush,mush,NY7M!
mush,supawn,NY7M!
mush,mush,NY8
mush,mush,NY9A
mush,supawn,NY9A
mush,mush,NY9C
mush,mush,NY10A
mush,buttermilk pop,NY10A
mush,spawn in milk,NY10A
mush,spawn,NY10B!
mush,mush,NY10B!
mush,mush,NY11
mush,Indian meal pudding,NY12A
mush,Indian meal pudding,NY12A
mush,corn meal pudding,NY12A
mush,mush,NY12A
mush,Indian pudding,NY12B
mush,mush,NY12B
mush,spawn,NY12C!
mush,mush,NY12C!
mush,supawn,NY13A
mush,mush,NY13A
mush,supawn,NY13B!
mush,mush,NY13B!
mush,pudding,NY14A
mush,mush,NY14A
mush,spawn in milk,NY14A
mush,mush,NY14B
mush,Indian meat pudding,NY15A
mush,mush,NY15A
mush,buttermilk pop,NY15A
mush,mush,NY15B
mush,supawn,NY16A
mush,mush,NY16A
mush,spawn in milk,NY16B
mush,samp,NY16B
mush,Indian meal pudding,NY17A
mush,corn meal pudding,NY17A
mush,mush in milk,NY17A
mush,mush,NY17B
mush,spawn,NY17B
mush,spawn,NY18A
mush,spawn in milk,NY18B
mush,spawn,NY18C!
mush,supawn in milk,NY18C!
mush,spawn,NY19
mush,pudding in milk,NY20A
mush,samp in milk,NY20A
mush,mush,NY20B
mush,spawn,NY20B
mush,spawn in milk,NY21
mush,spawn in milk,NY22
mush,pudding,NY23A
mush,Indian pudding,NY23B
mush,mush in milk,NY23B
mush,Indian pudding,NY23B
mush,spawn in milk,NY23B
mush,spawn  in milk,NY23C
mush,corn mush,NY23C
mush,Indian pudding,NY23C
mush,corn meal pudding,NY24A
mush,mush,NY24A
mush,pudding in milk,NY24B!
mush,fried mush,NY24B!
mush,Indian meal pudding,NY24B!
mush,mush,NY25A
mush,mush,NY25A
mush,pudding in milk,NY25A
mush,mush,NY25B
mush,corn meal pudding,NY25B
mush,corn meal mush,NY25B
mush,Indian meal pudding,NY25B
mush,scalded meal pudding and milk,NY26A
mush,a pudding,NY26B
mush,corn meal mush,NY26C
mush,mush,NY26C
mush,Indian pudding,NY27A
mush,pudding,NY27A
mush,hasty pudding,NY27A
mush,pudding,NY27B
mush,hasty pudding,NY27B
mush,steam pudding,NY27C
mush,corn meal mush,NY27C
mush,Indian meal pudding,NY27C
mush,mush,NY27C
mush,hasty pudding,NY27C
mush,porridge,NY28A
mush,corn meal pudding,NY28A
mush,pudding,NY28B
mush,Indian pudding,NY28B
mush,,NY28C
mush,hasty pudding,NY29A
mush,minute pudding,NY29A
mush,corn meal porridge,NY29B
mush,mush,NY29C
mush,pudding,NY30A
mush,corn mush,NY30B
mush,mush in milk,NY30B
mush,,NY30C
mush,pudding,NY30D
mush,mush,NY30D
mush,hasty pudding,NY30E
mush,Indian pudding,NY30E
mush,pudding,NY30E
mush,Indian pudding,NY30E
mush,pudding,NY31A
mush,mush,NY31B
mush,pudding,NY31B
mush,corn meal pudding,NY32A
mush,corn meal mush,NY32A
mush,corn meal pudding,NY32B
mush,corn meal mush,NY32B
mush,mush,NY32B
mush,mush in milk,NY33A
mush,,NY33B
mush,mush,NY33C
mush,corn meal mush,NY33C
mush,gruel,NY33C
mush,cornmeal pudding,NY34A
mush,steam pudding,NY34A
mush,mush,NY34A
mush,hasty pudding,NY34A
mush,bang pudding,NY34A
mush,corn meal mush,NY34A
mush,,NY34B
mush,mush,NY34D!
mush,pudding,NY35A
mush,mush,NY35A
mush,Indian meal pudding,NY35A
mush,mush,NY35B
mush,mush,NY35C!
mush,Indian pudding,NY35C!
mush,mush,NY36A
mush,Indian pudding,NY36A
mush,pudding,NY36A
mush,Indian pudding,NY36B
mush,mush,NY36B
mush,pudding,NY37A
mush,mush,NY37A
mush,corn meal pudding,NY37A
mush,mush,NY37B
mush,mush,NY37C!
mush,mush,NY38A
mush,Indian meal pudding,NY38A
mush,supawn in milk,NY38A
mush,mush,NY38B
mush,mush,NY38C
mush,pudding,NY39A
mush,mush,NY39A
mush,corn meal pudding,NY39A
mush,spawn,NY39A
mush,corn meal pudding,NY39B
mush,mush,NY39B
mush,pudding,NY40A
mush,Indian pudding,NY40A
mush,corn meal pudding,NY40A
mush,mush,NY40A
mush,mush,NY40B
mush,mush,NY41
mush,pudding,NY42A
mush,mush,NY42A
mush,mush,NY42B
mush,mush,NY43A
mush,meal pudding,NY43A
mush,mush,NY43B
mush,mush,NY43C!
mush,pudding in milk,NY44A
mush,mush,NY44B
mush,Indian pudding,NY44B
mush,mush,NY45A
mush,mush,NY45A
mush,,NY45B
mush,mush,NY45C
mush,Indian pudding,NY45D!
mush,mush,NY45D!
mush,corn meal mush,NY46A
mush,mush,NY46A
mush,mush,NY46B
mush,mush,NY46B
mush,milk,NY46C
mush,mush in milk,NY46C
mush,mush,NY46C
mush,corn meal mush,NY47A
mush,Indian meal pudding,NY47A
mush,mush,NY47B
mush,mush,NY48A
mush,,NY48B
mush,pudding and milk,NY48C
mush,mush,NY48C
mush,corn puddding,NY48C
mush,mush,NY48D
mush,mush and milk,NY48D
mush,,NY49A
mush,mush,NY49B
mush,mush,NY49C
mush,corn mush,NY49D
mush,Indian meal pudding,NY50A
mush,hasty pudding,NY50A
mush,mush,NY50B
mush,corn mush,NY50B
mush,corn meal,NY50B
mush,porridge,NY51A
mush,corn meal mush,NY51A
mush,porridge,NY51B
mush,mush,NY51B
mush,corn meal pudding,NY51C
mush,mush,NY51C
mush,mush in milk,NY51D
mush,corn mush,NY51E!
mush,mush,NY51E!
mush,gruel,NY51E!
mush,mash,NY52A
mush,mush,NY52A
mush,mush,NY52B
mush,mush,NY52C
mush,mush,NY53A
mush,I love it,NY53B!
mush,mush,NY53B!
mush,mush,NY54A
mush,corn meal mush,NY54B
mush,corn meal mush,NY54B
mush,mush,NY55A
mush,corn meal mush,NY55A
mush,a pudding,NY55A
mush,corn meal mush,NY55B
mush,corn meal pudding,NY55B
mush,mush,NY56A
mush,Indian pudding,NY56A
mush,currant pudding,NY56A
mush,pudding,NY56B
mush,pudding,NY56B
mush,mush,NY57A
mush,pudding stick,NY57B
mush,corn meal mush,NY57B
mush,corn meal mush,NY57C!
