Target,Response,Informant
New England,New England,NY1
New England,,NY2A
New England,New England,NY2B
New England,,NY2C
New England,New England,NY3A
New England,New England,NY3B
New England,New England,NY3C
New England,New England,NY3D
New England,New England,NY4A
New England,New England,NY4B
New England,New England,NY4C
New England,New England,NY5A
New England,eastern states,NY5A
New England,New England,NY5B
New England,New England,NY5C
New England,New England,NY5D
New England,New England,NY5E
New England,New England,NY5F
New England,New England,NY5G
New England,New England,NY5H!
New England,New England,NY5I!
New England,New England,NY6A
New England,New England,NY6B
New England,New England,NY7A
New England,New England,NY7B
New England,New England,NY7C
New England,New England,NY7D
New England,New England,NY7E
New England,New England,NY7F
New England,New England,NY7G
New England,New England,NY7H
New England,New England,NY7I
New England,New England,NY7J!
New England,eastern states,NY7J!
New England,New England,NY7K!
New England,New England,NY7L!
New England,New England,NY7M!
New England,New England,NY8
New England,New England,NY9A
New England,eastern states,NY9B
New England,New England,NY9B
New England,New England,NY9C
New England,New England,NY10A
New England,New England,NY10B!
New England,New England,NY11
New England,New England,NY12A
New England,New England,NY12B
New England,eastern states,NY12C!
New England,New England,NY12C!
New England,eastern states,NY13A
New England,New England,NY13A
New England,New England,NY13B!
New England,New England,NY14A
New England,eastern states,NY14A
New England,New England,NY14B
New England,New England,NY15A
New England,New England,NY15B
New England,New England,NY16A
New England,eastern states,NY16B
New England,New England,NY16B
New England,New England,NY17A
New England,New England,NY17B
New England,eastern states,NY18A
New England,New England,NY18A
New England,eastern states,NY18B
New England,New England,NY18B
New England,New England,NY18C!
New England,New England,NY19
New England,eastern states,NY20A
New England,New England,NY20A
New England,eastern states,NY20B
New England,New England,NY20B
New England,New England,NY21
New England,New England,NY22
New England,eastern states,NY22
New England,,NY23A
New England,New England,NY23B
New England,New England,NY23C
New England,New England,NY23C
New England,New England,NY24A
New England,eastern states,NY24A
New England,New England,NY24B!
New England,New England states,NY25A
New England,New England,NY25B
New England,Canada,NY25B
New England,eastern states,NY26A
New England,eastern states,NY26B
New England,New England states,NY26B
New England,,NY26C
New England,Vermont,NY27A
New England,New England states,NY27A
New England,,NY27B
New England,New England states,NY27C
New England,New England states,NY28A
New England,eastern states,NY28B
New England,English,NY28B
New England,,NY28C
New England,New England,NY29A
New England,New England states,NY29B
New England,down east,NY29B
New England,eastern states,NY29B
New England,New England,NY29C
New England,eastern states,NY30A
New England,New England state,NY30B
New England,,NY30C
New England,,NY30D
New England,New England,NY30E
New England,New England states,NY30E
New England,New England,NY30E
New England,eastern states,NY31A
New England,England,NY31A
New England,New England,NY31B
New England,New England,NY31B
New England,New England states,NY31B
New England,New England states,NY31B
New England,North Atlantic states,NY31B
New England,England,NY32A
New England,eastern states,NY32A
New England,New England states,NY32B
New England,,NY33A
New England,English,NY33B
New England,New England states,NY33B
New England,down east,NY33B
New England,New England,NY33C
New England,New England,NY34A
New England,New Englander,NY34C
New England,New England,NY34D!
New England,New England,NY34D!
New England,New England,NY34D!
New England,New England,NY35A
New England,eastern states,NY35A
New England,New England,NY35B
New England,eastern states,NY35B
New England,,NY35C!
New England,eastern states,NY36A
New England,New England,NY36A
New England,New England states,NY36B
New England,New England,NY37A
New England,eastern states,NY37A
New England,New England,NY37B
New England,New England,NY37C!
New England,New England,NY38A
New England,New England,NY38B
New England,,NY38C
New England,New England,NY39A
New England,New England,NY39B
New England,New England,NY40A
New England,New England,NY40B
New England,New England,NY41
New England,New England,NY42A
New England,New England,NY42B
New England,New England,NY43A
New England,New England,NY43B
New England,eastern states,NY43C!
New England,New England,NY43C!
New England,eastern states,NY44A
New England,New England,NY44A
New England,New England,NY44B
New England,,NY45A
New England,,NY45B
New England,,NY45C
New England,New England states,NY45D!
New England,New England states,NY46A
New England,New England states,NY46B
New England,New England states,NY46C
New England,New England states,NY47A
New England,New England,NY47B
New England,New England states,NY48A
New England,,NY48B
New England,New England,NY48C
New England,New England,NY48C
New England,New England states,NY48D
New England,eastern states,NY48D
New England,New England,NY48D
New England,England,NY48D
New England,,NY49A
New England,,NY49B
New England,New England states,NY49C
New England,New England,NY49D
New England,eastern seaboard,NY49D
New England,coast,NY49D
New England,New England,NY49D
New England,England,NY49D
New England,all along the eastern states,NY50A
New England,New England states,NY50B
New England,New England,NY50B
New England,New England states,NY51A
New England,eastern states,NY51B
New England,down easterner,NY51C
New England,,NY51D
New England,New England,NY51E!
New England,eastern states,NY52A
New England,,NY52B
New England,eastern states,NY52C
New England,North,NY52C
New England,eastern seaboard,NY52C
New England,eastern states,NY53A
New England,New England,NY53B!
New England,New England states,NY54A
New England,New England states,NY54B
New England,eastern part,NY54B
New England,New England states,NY55A
New England,New England,NY55A
New England,New England states,NY55A
New England,New England states,NY55B
New England,New England states,NY56A
New England,New England states,NY56B
New England,eastern states,NY57A
New England,,NY57B
New England,New England,NY57C!
New England,New England,NY57C!
New England,New England,NY58A
New England,Maine,NY58A
New England,New England,NY58A
New England,New England states,NY58B
New England,,NY58C
New England,New England,NY58D!
New England,New England,NY58D!
New England,New England states,NY58E!
New England,New England,NY58E!
New England,,NY58F!
New England,New England states,NY59A
New England,New England,NY59B
New England,eastern states,NY60A
New England,New England,NY60B!
New England,New England states,NY61A
New England,New England states,NY61B
New England,,NY62A
New England,eastern states,NY62B
New England,eastern states,NY62C
New England,New England states,NY62D!
New England,New England,NY62D!
New England,New England states,NY63A
New England,the East,NY63A
New England,New England states,NY63B
New England,New England,NY63C
New England,England,NY63D!
New England,New England,NY63D!
New England,English,NY63D!
New England,New England states,NY64A
New England,New England states,NY64B
New England,New England states,NY64C!
New England,New England,NY64C!
New England,New England,NJ1A
New England,New England,NJ1B
New England,New England,NJ2A
New England,New England,NJ2B
New England,New England,NJ3A
New England,New England,NJ3B
New England,New England,NJ4A
New England,New England,NJ4B
New England,New England,NJ5A
New England,New England,NJ5B
New England,New England,NJ6A
New England,New England,NJ6B
New England,New England,NJ7A
New England,New England,NJ7B!
New England,New England,NJ8A
New England,eastern states,NJ8B
New England,New England,NJ8B
New England,New England,NJ9A
New England,New England,NJ9B
New England,New England,NJ10A
New England,New England,NJ10B
New England,New England,NJ10C
New England,New England,NJ10D!
New England,New England,NJ11A
New England,New England,NJ11B
New England,New England,NJ11C
New England,New England,NJ12A
New England,New England,NJ12B
New England,New England,NJ13A
New England,New England,NJ13B
New England,New England,NJ14A
New England,New England,NJ14B
