Target,Response,Informant
New Orleans,,NY1
New Orleans,,NY2A
New Orleans,,NY2B
New Orleans,,NY2C
New Orleans,New Orleans,NY3A
New Orleans,New Orleans,NY3B
New Orleans,New Orleans,NY3C
New Orleans,New Orleans,NY3D
New Orleans,New Orleans,NY4A
New Orleans,New Orleans,NY4B
New Orleans,New Orleans,NY4C
New Orleans,New Orleans,NY5A
New Orleans,New Orleans,NY5B
New Orleans,New Orleans,NY5B
New Orleans,New Orleans,NY5C
New Orleans,New Orleans,NY5D
New Orleans,New Orleans,NY5E
New Orleans,New Orleans,NY5F
New Orleans,New Orleans,NY5G
New Orleans,New Orleans,NY5H!
New Orleans,New Orleans,NY5I!
New Orleans,New Orleans,NY6A
New Orleans,New Orleans,NY6B
New Orleans,New Orleans,NY7A
New Orleans,New Orleans,NY7A
New Orleans,New Orleans,NY7B
New Orleans,New Orleans,NY7C
New Orleans,New Orleans,NY7D
New Orleans,New Orleans,NY7E
New Orleans,New Orleans,NY7F
New Orleans,New Orleans,NY7G
New Orleans,New Orleans,NY7H
New Orleans,New Orleans,NY7I
New Orleans,New Orleans,NY7J!
New Orleans,New Orleans,NY7K!
New Orleans,New Orleans,NY7L!
New Orleans,New Orleans,NY7M!
New Orleans,New Orleans,NY8
New Orleans,New Orleans,NY9A
New Orleans,New Orleans,NY9B
New Orleans,New Orleans,NY9C
New Orleans,New Orleans,NY10A
New Orleans,New Orleans,NY10B!
New Orleans,New Orleans,NY11
New Orleans,New Orleans,NY12A
New Orleans,New Orleans,NY12B
New Orleans,New Orleans,NY12C!
New Orleans,New Orleans,NY13A
New Orleans,New Orleans,NY13B!
New Orleans,New Orleans,NY14A
New Orleans,New Orleans,NY14B
New Orleans,New Orleans,NY15A
New Orleans,New Orleans,NY15B
New Orleans,New Orleans,NY16A
New Orleans,New Orleans,NY16B
New Orleans,New Orleans,NY17A
New Orleans,New Orleans,NY17B
New Orleans,New Orleans,NY18A
New Orleans,New Orleans,NY18B
New Orleans,New Orleans,NY18C!
New Orleans,New Orleans,NY19
New Orleans,New Orleans,NY20A
New Orleans,New Orleans,NY20B
New Orleans,New Orleans,NY21
New Orleans,New Orleans,NY22
New Orleans,,NY23A
New Orleans,New Orleans,NY23B
New Orleans,New Orleans,NY23C
New Orleans,New Orleans,NY24A
New Orleans,New Orleans,NY24B!
New Orleans,New Orleans,NY25A
New Orleans,New Orleans,NY25B
New Orleans,New Orleans,NY25B
New Orleans,New Orleans,NY26A
New Orleans,New Orleans,NY26B
New Orleans,,NY26C
New Orleans,New Orleans,NY27A
New Orleans,New Orleans,NY27A
New Orleans,,NY27B
New Orleans,New Orleans,NY27C
New Orleans,New Orleans,NY28A
New Orleans,New Orleans,NY28B
New Orleans,,NY28C
New Orleans,,NY29A
New Orleans,New Orleans,NY29B
New Orleans,New Orleans,NY29C
New Orleans,New Orleans,NY30A
New Orleans,New Orleans,NY30B
New Orleans,,NY30C
New Orleans,,NY30D
New Orleans,New Orleans,NY30E
New Orleans,New Orleans,NY30E
New Orleans,New Orleans,NY31A
New Orleans,New Orleans,NY31B
New Orleans,New Orleans,NY32A
New Orleans,New Orleans,NY32A
New Orleans,New Orleans,NY32B
New Orleans,,NY33A
New Orleans,New Orleans,NY33B
New Orleans,New Orleans,NY33B
New Orleans,New Orleans,NY33C
New Orleans,New Orleans,NY34A
New Orleans,New Orleans,NY34A
New Orleans,New Orleans,NY34A
New Orleans,,NY34B
New Orleans,New Orleans,NY34C
New Orleans,New Orleans,NY34D!
New Orleans,New Orleans,NY35A
New Orleans,New Orleans,NY35B
New Orleans,,NY35C!
New Orleans,New Orleans,NY36A
New Orleans,New Orleans,NY36B
New Orleans,New Orleans,NY37A
New Orleans,New Orleans,NY37B
New Orleans,New Orleans,NY37C!
New Orleans,New Orleans,NY38A
New Orleans,New Orleans,NY38B
New Orleans,,NY38C
New Orleans,New Orleans,NY39A
New Orleans,New Orleans,NY39B
New Orleans,New Orleans,NY40A
New Orleans,New Orleans,NY40A
New Orleans,New Orleans,NY40B
New Orleans,New Orleans,NY41
New Orleans,New Orleans,NY42A
New Orleans,New Orleans,NY42B
New Orleans,New Orleans,NY43A
New Orleans,New Orleans,NY43B
New Orleans,New Orleans,NY43C!
New Orleans,New Orleans,NY44A
New Orleans,New Orleans,NY44B
New Orleans,,NY45A
New Orleans,,NY45B
New Orleans,,NY45C
New Orleans,New Orleans,NY45D!
New Orleans,New Orleans,NY46A
New Orleans,,NY46B
New Orleans,New Orleans,NY46C
New Orleans,New Orleans,NY47A
New Orleans,New Orleans,NY47B
New Orleans,New Orleans,NY48A
New Orleans,,NY48B
New Orleans,New Orleans,NY48C
New Orleans,New Orleans,NY48C
New Orleans,New Orleans,NY48D
New Orleans,New Orleans,NY49A
New Orleans,,NY49B
New Orleans,New Orleans,NY49C
New Orleans,New Orleans,NY49D
New Orleans,New Orleans,NY50A
New Orleans,New Orleans,NY50B
New Orleans,New Orleans,NY51A
New Orleans,New Orleans,NY51A
New Orleans,New Orleans,NY51A
New Orleans,New Orleans,NY51B
New Orleans,New Orleans,NY51C
New Orleans,,NY51D
New Orleans,New Orleans,NY51E!
New Orleans,New Orleans,NY51E!
New Orleans,New Orleans,NY52A
New Orleans,New Orleans molasses,NY52B
New Orleans,New Orleans,NY52C
New Orleans,New Orleans,NY53A
New Orleans,New Orleans,NY53B!
New Orleans,New Orleans,NY54A
New Orleans,New Orleans,NY54B
New Orleans,New Orleans,NY55A
New Orleans,New Orleans,NY55B
New Orleans,New Orleans,NY55B
New Orleans,New Orleans,NY56A
New Orleans,New Orleans,NY56B
New Orleans,Baton Rouge,NY57A
New Orleans,New Orleans,NY57A
New Orleans,,NY57B
New Orleans,New Orleans,NY57C!
New Orleans,New Orleans,NY58A
New Orleans,New Orleans,NY58B
New Orleans,New Orleans molasses,NY58B
New Orleans,,NY58C
New Orleans,New Orleans,NY58D!
New Orleans,New Orleans,NY58E!
New Orleans,New Orleans,NY58E!
New Orleans,,NY58F!
New Orleans,New Orleans,NY59A
New Orleans,New Orleans,NY59A
New Orleans,New Orleans,NY59B
New Orleans,New Orleans,NY60A
New Orleans,New Orleans,NY60B!
New Orleans,New Orleans,NY61A
New Orleans,New Orleans,NY61B
New Orleans,,NY62A
New Orleans,New Orleans,NY62B
New Orleans,New Orleans,NY62C
New Orleans,New Orleans,NY62D!
New Orleans,New Orleans,NY63A
New Orleans,New Orleans,NY63B
New Orleans,New Orleans,NY63C
New Orleans,New Orleans,NY63D!
New Orleans,New Orleans,NY64A
New Orleans,New Orleans,NY64B
New Orleans,New Orleans,NY64C!
New Orleans,New Orleans,NJ1A
New Orleans,New Orleans,NJ1B
New Orleans,New Orleans,NJ2A
New Orleans,New Orleans,NJ2B
New Orleans,New Orleans,NJ3A
New Orleans,New Orleans,NJ3B
New Orleans,New Orleans,NJ4A
New Orleans,New Orleans,NJ4B
New Orleans,New Orleans,NJ5A
New Orleans,New Orleans,NJ5B
New Orleans,New Orleans,NJ6A
New Orleans,New Orleans,NJ6B
New Orleans,New Orleans,NJ7A
New Orleans,New Orleans,NJ7B!
New Orleans,New Orleans,NJ7B!
New Orleans,New Orleans,NJ8A
New Orleans,New Orleans,NJ8B
New Orleans,New Orleans,NJ9A
New Orleans,New Orleans,NJ9B
New Orleans,New Orleans,NJ10A
New Orleans,New Orleans,NJ10B
New Orleans,New Orleans,NJ10C
New Orleans,New Orleans,NJ10D!
New Orleans,New Orleans,NJ11A
New Orleans,New Orleans,NJ11B
New Orleans,New Orleans,NJ11C
New Orleans,New Orleans,NJ12A
New Orleans,New Orleans,NJ12B
New Orleans,New Orleans,NJ13A
New Orleans,New Orleans,NJ13B
New Orleans,New Orleans,NJ14A
New Orleans,New Orleans,NJ14B
New Orleans,New Orleans,NJ14B
New Orleans,New Orleans,NJ15A
New Orleans,New Orleans,NJ15B
New Orleans,New Orleans,NJ16A
New Orleans,New Orleans,NJ16B
New Orleans,New Orleans,NJ17A
New Orleans,New Orleans,NJ17B
New Orleans,New Orleans,NJ18A
New Orleans,New Orleans,NJ18B
New Orleans,New Orleans,NJ18C!
New Orleans,New Orleans,NJ18D!
New Orleans,New Orleans,NJ19A
New Orleans,New Orleans,NJ19B!
New Orleans,New Orleans,NJ20A
New Orleans,New Orleans,NJ20B
