Target,Response,Informant
New York,New York,NY1
New York,,NY2A
New York,New York,NY2B
New York,,NY2C
New York,New York,NY3A
New York,New York,NY3B
New York,New York,NY3C
New York,New York,NY3D
New York,New York,NY4A
New York,New York,NY4B
New York,New York,NY4C
New York,New York,NY5A
New York,New York,NY5B
New York,New York,NY5C
New York,New York,NY5D
New York,New York,NY5E
New York,New York,NY5F
New York,New York,NY5G
New York,New York,NY5H!
New York,New York,NY5I!
New York,New York,NY6A
New York,New York,NY6B
New York,New York,NY7A
New York,New York,NY7B
New York,New York,NY7C
New York,New York,NY7D
New York,New York,NY7E
New York,New York,NY7F
New York,New York,NY7G
New York,New York,NY7H
New York,New York,NY7I
New York,New York,NY7J!
New York,New York,NY7K!
New York,New York,NY7L!
New York,New York,NY7M!
New York,New York,NY8
New York,New York,NY9A
New York,New York,NY9B
New York,New York,NY9C
New York,York State,NY10A
New York,New York,NY10B!
New York,New York,NY11
New York,New York,NY12A
New York,New York,NY12B
New York,New York,NY12C!
New York,York State,NY13A
New York,New York,NY13B!
New York,New York,NY14A
New York,New York,NY14B
New York,York State,NY15A
New York,New York,NY15B
New York,New York,NY16A
New York,New York,NY16B
New York,State of New York,NY17A
New York,York State,NY17A
New York,New York,NY17B
New York,New York,NY18A
New York,New York,NY18B
New York,New York,NY18C!
New York,New York,NY19
New York,New York,NY20A
New York,New York,NY20B
New York,New York,NY21
New York,New York,NY22
New York,,NY23A
New York,New York State,NY23B
New York,New York,NY23B
New York,New York,NY23B
New York,New York State,NY23C
New York,New York,NY24A
New York,New York,NY24B!
New York,York State,NY25A
New York,New York,NY25A
New York,New York,NY25A
New York,Empire State,NY25A
New York,New York State,NY25B
New York,New York,NY26A
New York,State of New York,NY26A
New York,New York,NY26B
New York,New York,NY26B
New York,upstate,NY26B
New York,,NY26C
New York,York State,NY27A
New York,New York,NY27A
New York,New York State,NY27A
New York,New York,NY27B
New York,New Yorkers,NY27C
New York,New York,NY27C
New York,New York City,NY27C
New York,New York City,NY28A
New York,New York,NY28B
New York,New York,NY28B
New York,New York,NY28B
New York,New York,NY28B
New York,York State,NY28B
New York,,NY28C
New York,New York,NY29A
New York,New York,NY29B
New York,New York State,NY29B
New York,New York,NY29C
New York,York State Shilling,NY29C
New York,New York,NY30A
New York,New York,NY30A
New York,New York State,NY30B
New York,New York,NY30B
New York,,NY30C
New York,,NY30D
New York,New York State,NY30E
New York,York State,NY30E
New York,State of New York,NY31A
New York,New York,NY31A
New York,New York,NY31A
New York,New York,NY31B
New York,New York State,NY31B
New York,York State,NY31B
New York,New York State,NY32A
New York,York State,NY32A
New York,York State,NY32B
New York,New York City,NY32B
New York,New York,NY32B
New York,,NY33A
New York,New York,NY33B
New York,New York,NY33B
New York,New York,NY33B
New York,New York State,NY33B
New York,New York,NY33C
New York,New York,NY34A
New York,New York,NY34A
New York,York State,NY34A
New York,,NY34B
New York,New York,NY34C
New York,York State,NY34D!
New York,New York State,NY34D!
New York,New York,NY35A
New York,New York,NY35B
New York,,NY35C!
New York,New York,NY36A
New York,New York,NY36B
New York,New York,NY37A
New York,New York,NY37B
New York,New York,NY37C!
New York,New York,NY38A
New York,New York,NY38B
New York,,NY38C
New York,New York,NY39A
New York,New York,NY39B
New York,New York,NY40A
New York,New York,NY40B
New York,New York,NY41
New York,New York,NY42A
New York,New York,NY42B
New York,York State,NY43A
New York,New York,NY43B
New York,New York,NY43C!
New York,New York,NY44A
New York,New York,NY44B
New York,New York State,NY45A
New York,,NY45B
New York,,NY45C
New York,New York State,NY45D!
New York,New York,NY45D!
New York,York State,NY45D!
New York,New York State,NY46A
New York,New York City,NY46A
New York,York State,NY46A
New York,New York State,NY46B
New York,New York,NY46B
New York,New York,NY46C
New York,New York,NY46C
New York,New York,NY47A
New York,Empire State,NY47A
New York,New York,NY47A
New York,York State,NY47A
New York,Yorkers,NY47A
New York,New York,NY47B
New York,New York State,NY48A
New York,State of New York,NY48B
New York,New York State,NY48C
New York,New York State,NY48D
New York,Empire State,NY48D
New York,York State,NY48D
New York,,NY49A
New York,,NY49B
New York,New York,NY49C
New York,New York,NY49C
New York,New York,NY49D
New York,New York,NY49D
New York,York State,NY50A
New York,New York,NY50A
