Target,Response,Informant
nice day,pleasant day,NY1
nice day,,NY2A
nice day,fine day,NY2B
nice day,lovely,NY2B
nice day,,NY2C
nice day,nice day,NY3A
nice day,nice day,NY3B
nice day,fine day,NY3C
nice day,fine day,NY3D
nice day,fine day,NY4A
nice day,fine day,NY4B
nice day,nice day,NY4C
nice day,lovely day,NY5A
nice day,fine day,NY5B
nice day,beautiful day,NY5C
nice day,lovely day,NY5D
nice day,beautiful day,NY5E
nice day,fine day,NY5F
nice day,pleasant day,NY5G
nice day,nice,NY5G
nice day,nice day,NY5H!
nice day,beautiful day,NY5I!
nice day,nice day,NY6A
nice day,fine day,NY6B
nice day,fine day,NY7A
nice day,fine day,NY7B
nice day,nice day,NY7B
nice day,fine day,NY7C
nice day,beautiful day,NY7D
nice day,nice,NY7D
nice day,beautiful day,NY7E
nice day,fine day,NY7F
nice day,lovely day,NY7G
nice day,nice day,NY7H
nice day,fine day,NY7I
nice day,nice day,NY7J!
nice day,gorgeous day,NY7J!
nice day,fine day,NY7K!
nice day,fine day,NY7L!
nice day,lovely day,NY7M!
nice day,fine,NY7M!
nice day,nice day,NY8
nice day,lovely day,NY9A
nice day,fine day,NY9B
nice day,fine day,NY9C
nice day,fine day,NY10A
nice day,lovely day,NY10B!
nice day,lovely day,NY11
nice day,nice day,NY12A
nice day,lovely day,NY12B
nice day,beautiful day,NY12C!
nice day,lovely day,NY12C!
nice day,fine day,NY13A
nice day,lovely day,NY13B!
nice day,nice day,NY14A
nice day,nice day,NY14B
nice day,fine day,NY14B
nice day,fine day,NY15A
nice day,nice day,NY15B
nice day,fine day,NY16A
nice day,nice day,NY16B
nice day,nice day,NY17A
nice day,nice day,NY17B
nice day,nice day,NY18A
nice day,fine day,NY18B
nice day,beautiful day,NY18C!
nice day,pleasant day,NY19
nice day,fine day,NY20A
nice day,fine day,NY20B
nice day,nice day,NY21
nice day,fine day,NY22
nice day,,NY23A
nice day,nice day,NY23B
nice day,beautiful day,NY23C
nice day,pleasant day,NY23C
nice day,nice day,NY24A
nice day,good day,NY24B!
nice day,nice day,NY24B!
nice day,grand day,NY24B!
nice day,beautiful,NY25A
nice day,nice,NY25A
nice day,grand day,NY25A
nice day,nice day,NY25B
nice day,nice,NY26A
nice day,fair day,NY26A
nice day,beautiful day,NY26B
nice day,pretty,NY26B
nice day,,NY26C
nice day,nice day,NY27A
nice day,lovely,NY27A
nice day,pretty,NY27A
nice day,,NY27B
nice day,nice day,NY27C
nice day,fair,NY27C
nice day,lovely day,NY28A
nice day,nice day,NY28B
nice day,pleasant,NY28B
nice day,beautiful,NY28B
nice day,lovely,NY28B
nice day,nice day,NY28C
nice day,nice day,NY29A
nice day,beautiful,NY29B
nice day,nice day,NY29B
nice day,pretty day,NY29C
nice day,nice,NY29C
nice day,pleasant,NY30A
nice day,good,NY30A
nice day,better day,NY30A
nice day,good day,NY30B
nice day,pleasant,NY30B
nice day,nice day,NY30C
nice day,good day,NY30D
nice day,nice,NY30E
nice day,fair,NY30E
nice day,good day,NY30E
nice day,bright,NY31A
nice day,fair day,NY31A
nice day,good day,NY31B
nice day,pretty nice day,NY32A
nice day,nice day,NY32B
nice day,bright,NY32B
nice day,good,NY32B
nice day,nice day,NY33A
nice day,nice day,NY33B
nice day,grand,NY33B
nice day,nice day,NY33C
nice day,beautiful,NY33C
nice day,pleasant day,NY34A
nice day,fine,NY34A
nice day,,NY34B
nice day,,NY34C
nice day,nice day,NY34D!
nice day,fair,NY34D!
nice day,clear,NY34D!
nice day,nice day,NY35A
nice day,fine day,NY35B
nice day,,NY35C!
nice day,fine day,NY36A
nice day,nice day,NY36B
nice day,nice day,NY37A
nice day,nice day,NY37B
nice day,beautiful day,NY37C!
nice day,fine day,NY38A
nice day,beautiful day,NY38B
nice day,,NY38C
nice day,fine day,NY39A
nice day,grand day,NY39B
nice day,nice day,NY40A
nice day,nice day,NY40B
nice day,fine day,NY41
nice day,fine day,NY42A
nice day,nice,NY42A
nice day,pleasant day,NY42B
nice day,fine,NY42B
nice day,,NY43A
nice day,fine day,NY43B
nice day,nice day,NY43C!
nice day,pleasant day,NY44A
nice day,nice,NY44A
nice day,nice day,NY44B
nice day,nice bright day,NY45A
nice day,nice day,NY45B
nice day,,NY45C
nice day,pleasant day,NY45D!
nice day,nice,NY45D!
nice day,pretty,NY45D!
nice day,fair day,NY46A
nice day,nice day,NY46A
nice day,real good day,NY46B
nice day,nice day,NY46C
nice day,nice day,NY47A
nice day,fair day,NY47A
nice day,nice day,NY47B
nice day,clear,NY48A
nice day,fine day,NY48A
nice day,,NY48B
nice day,clear day,NY48C
nice day,pleasant,NY48C
nice day,bright,NY48C
nice day,beautiful day,NY48D
nice day,nice day,NY48D
nice day,fair,NY48D
nice day,nice weather,NY49A
nice day,,NY49B
nice day,that's nice,NY49C
nice day,beautiful day,NY49C
nice day,a warm muggy day,NY49D
nice day,gorgeous day,NY49D
nice day,beautiful day,NY50A
nice day,nice day tomorrow,NY50B
nice day,beautiful day,NY50B
nice day,pleasant day,NY51A
nice day,good,NY51A
nice day,fair day,NY51B
nice day,fine,NY51B
nice day,good day,NY51C
nice day,,NY51D
nice day,,NY51E!
nice day,fair day,NY52A
nice day,pleasant,NY52A
nice day,mild,NY52A
nice day,nice morning,NY52B
nice day,nice day,NY52C
nice day,pleasant,NY53A
nice day,good day,NY53A
nice day,lovely,NY53B!
nice day,pleasant day,NY53B!
nice day,nice day,NY54A
nice day,nice day,NY54B
nice day,nice morning,NY55A
nice day,nice day,NY55A
nice day,beautiful day,NY55A
nice day,fine day,NY55B
nice day,pleasant day,NY56A
nice day,nice day,NY56B
nice day,fair day,NY57A
nice day,clear,NY57A
nice day,nice,NY57A
nice day,,NY57B
nice day,fair day,NY57C!
nice day,nice bright day,NY58A
nice day,clear day,NY58B
nice day,good day,NY58B
nice day,good day,NY58B
nice day,,NY58C
nice day,nice day,NY58D!
nice day,beautiful day,NY58E!
nice day,,NY58F!
nice day,pleasant day,NY59A
nice day,fair day,NY59A
nice day,decent day,NY59A
nice day,fine day,NY59B
nice day,good,NY60A
nice day,fair day,NY60A
nice day,nice day,NY60B!
nice day,good,NY60B!
nice day,pretty good day,NY61A
nice day,pleasant,NY61B
nice day,fair day,NY61B
nice day,nice day,NY61B
nice day,pleasant day,NY62A
nice day,nice day,NY62A
nice day,nice day,NY62B
nice day,clear,NY62C
nice day,bright,NY62C
nice day,nice day,NY62C
nice day,nice day,NY62D!
nice day,pleasant,NY62D!
nice day,fair day,NY63A
nice day,good day,NY63B
nice day,nice,NY63C
nice day,pleasant day,NY63C
nice day,nice,NY63D!
nice day,beautiful,NY63D!
nice day,a lovely time,NY63D!
nice day,pretty good day,NY63D!
nice day,fair day,NY63D!
nice day,nice day,NY64A
nice day,good day,NY64A
nice day,pleasant day,NY64B
