Target,Response,Informant
night,evening,NY1
night,,NY2A
night,evening,NY2B
night,,NY2C
night,night,NY3A
night,evening,NY3A
night,night,NY3B
night,evening,NY3B
night,night,NY3C
night,evening,NY3D
night,night,NY3D
night,evening,NY4A
night,night,NY4B
night,evening,NY4C
night,night,NY4C
night,evening,NY5A
night,night,NY5A
night,night,NY5B
night,night,NY5C
night,evening,NY5C
night,night,NY5D
night,evening,NY5D
night,night,NY5E
night,evening,NY5E
night,night,NY5F
night,night,NY5G
night,evening,NY5G
night,night,NY5H!
night,evening,NY5I!
night,night,NY6A
night,night,NY6B
night,night,NY7A
night,night,NY7B
night,night,NY7C
night,night,NY7D
night,night,NY7E
night,night,NY7F
night,evening,NY7F
night,night,NY7G
night,evening,NY7G
night,night,NY7H
night,night,NY7I
night,night,NY7J!
night,night,NY7K!
night,night,NY7L!
night,evening,NY7M!
night,night,NY7M!
night,evening,NY8
night,night,NY8
night,evening,NY9A
night,night,NY9A
night,evening,NY9B
night,night,NY9B
night,evening,NY9C
night,night,NY9C
night,evening,NY10A
night,night,NY10A
night,night,NY10B!
night,evening,NY10B!
night,night,NY11
night,evening,NY11
night,evening,NY12A
night,night,NY12A
night,night,NY12B
night,night,NY12C!
night,night,NY13A
night,evening,NY13A
night,evening,NY13B!
night,night,NY13B!
night,night,NY14A
night,evening,NY14B
night,night,NY14B
night,good night,NY14B
night,evening,NY15A
night,night,NY15A
night,night,NY15B
night,evening,NY15B
night,night,NY16A
night,night,NY16B
night,evening,NY16B
night,night,NY17A
night,evening,NY17A
night,night,NY17B
night,evening,NY18A
night,night,NY18A
night,night,NY18B
night,evening,NY18B
night,night,NY18C!
night,evening,NY19
night,night,NY19
night,evening,NY20A
night,night,NY20A
night,night,NY20B
night,evening,NY20B
night,night,NY21
night,evening,NY21
night,evening,NY22
night,night,NY22
night,,NY23A
night,evening,NY23B
night,good night,NY23B
night,night,NY23B
night,good evening,NY23B
night,at night,NY23B
night,evening,NY23C
night,nights,NY23C
night,good night,NY23C
night,nights,NY23C
night,good evening,NY23C
night,evening,NY24A
night,night,NY24A
night,evening,NY24B!
night,even at night,NY25A
night,evening,NY25A
night,good evening,NY25A
night,night,NY25A
night,good evening,NY25A
night,good night,NY25A
night,good evening,NY25B
night,at night,NY25B
night,good night,NY25B
night,evening,NY25B
night,evening,NY26A
night,good night,NY26A
night,night,NY26A
night,good evening,NY26A
night,good night,NY26A
night,at night,NY26B
night,good evening,NY26B
night,evening,NY26B
night,good night,NY26B
night,,NY26C
night,good night,NY27A
night,night,NY27A
night,this evening,NY27A
night,evening,NY27B
night,good night,NY27C
night,evening,NY27C
night,night,NY28A
night,good night,NY28A
night,night,NY28A
night,night,NY28A
night,night,NY28B
night,good night,NY28B
night,good evening,NY28B
night,evening,NY28B
night,nights,NY28B
night,till bed time,NY28B
night,evening,NY28C
night,night,NY28C
night,evening,NY29A
night,good night,NY29A
night,night,NY29A
night,good evening,NY29A
night,evening,NY29A
night,evening,NY29B
night,night,NY29B
night,good night,NY29B
night,night,NY29C
night,good night,NY29C
night,evening,NY30A
night,good evening,NY30A
night,night,NY30A
night,good night,NY30A
night,evening,NY30B
night,evening,NY30B
night,at night,NY30B
night,good evening,NY30B
night,evening,NY30C
night,night,NY30C
night,evening,NY30D
night,good night,NY30D
night,night,NY30E
night,good night,NY30E
night,evening,NY30E
night,good evening,NY30E
night,good evening,NY31A
night,evenings,NY31A
night,good night,NY31A
night,evening,NY31A
night,good night,NY31A
night,night,NY31B
night,good evening,NY31B
night,evening,NY31B
night,good night,NY31B
night,evening,NY32A
night,good evening,NY32A
night,good night,NY32A
night,night,NY32A
night,good night,NY32A
night,evening,NY32B
night,at night,NY32B
night,good night,NY32B
night,night,NY33A
night,good night,NY33A
night,evening,NY33A
night,evening,NY33B
night,good day,NY33B
night,night,NY33B
night,at night,NY33B
night,good night,NY33B
night,night,NY33C
night,night,NY33C
night,good night,NY33C
night,tonight,NY33C
night,evening,NY33C
night,good evening,NY33C
night,evening,NY34A
night,good night,NY34A
night,good night,NY34A
night,,NY34B
night,,NY34C
night,night,NY34D!
night,good night,NY34D!
night,evening,NY34D!
night,evening,NY34D!
night,good night,NY34D!
night,evening,NY35A
night,night,NY35A
night,night,NY35B
night,evening,NY35B
night,,NY35C!
night,night,NY36A
night,evening,NY36A
night,evening,NY36B
night,night,NY36B
night,evening,NY37A
night,night,NY37A
night,evening,NY37B
night,night,NY37B
night,evening,NY37C!
night,night,NY37C!
night,night,NY38A
night,evening,NY38A
night,night,NY38B
night,evening,NY38B
night,,NY38C
night,night,NY39A
night,evening,NY39A
night,evening,NY39B
night,night,NY39B
night,night,NY40A
night,evening,NY40A
night,evening,NY40B
night,night,NY40B
night,night,NY41
night,evening,NY41
night,evening,NY42A
night,night,NY42A
night,night,NY42B
night,,NY43A
night,evening,NY43B
night,night,NY43B
night,night,NY43C!
night,evening,NY43C!
night,night,NY44A
night,evening,NY44A
night,evening,NY44B
night,night,NY44B
night,night,NY45A
night,evening,NY45A
night,last night,NY45A
night,good night,NY45A
night,night,NY45B
night,at night,NY45B
night,Saturday night,NY45B
night,night,NY45C
night,evening,NY45D!
night,good night,NY45D!
night,good evening,NY45D!
night,night,NY46A
night,good night,NY46A
night,evening,NY46A
night,evening,NY46A
night,evening,NY46B
night,good evening,NY46C
night,good night,NY46C
night,good night,NY46C
night,good evening,NY46C
night,good night,NY47A
night,good night,NY47A
night,evening,NY47A
night,good evening,NY47A
night,evening,NY47B
night,night,NY47B
night,night,NY48A
night,good evening,NY48A
night,evening,NY48A
night,good night,NY48A
night,,NY48B
night,night,NY48C
night,good night,NY48C
night,evening,NY48C
night,at night,NY48D
night,good night,NY48D
night,evening,NY48D
night,good evening,NY48D
night,,NY49A
night,,NY49B
night,at night,NY49C
night,evening,NY49C
night,night,NY49C
night,good night,NY49C
night,evening,NY49C
night,evening,NY49D
night,good night,NY49D
night,night,NY49D
night,evening,NY50A
night,good evening,NY50A
night,night,NY50A
night,good night,NY50A
night,last night,NY50B
night,good night,NY50B
night,evening,NY50B
night,good evening,NY50B
night,night,NY50B
night,good evening,NY51A
night,this evening,NY51A
night,midnight,NY51A
night,good night,NY51A
night,evening,NY51B
night,night,NY51B
night,good night,NY51B
night,nights,NY51C
night,good night,NY51C
night,evenings,NY51C
night,evening,NY51D
night,nights,NY51D
night,evening,NY51E!
night,evening,NY52A
night,good night,NY52A
night,,NY52B
night,night,NY52C
night,evening,NY52C
night,evening,NY53A
night,night,NY53A
night,good night,NY53A
night,evening,NY53B!
night,good night,NY53B!
night,night,NY53B!
night,good evening,NY53B!
night,evening,NY54A
night,evening,NY54B
night,evening,NY54B
night,evening,NY54B
night,evening,NY55A
night,good night,NY55A
night,good night,NY55A
night,night,NY55A
night,good evening,NY55A
night,good night,NY55A
night,night,NY55B
night,good night,NY55B
night,evening,NY55B
night,good evening,NY55B
night,evening,NY56A
night,night,NY56A
night,good night,NY56A
night,evening,NY56B
night,good day,NY56B
night,good night,NY56B
night,goodbye,NY56B
night,nights,NY57A
night,evening,NY57A
night,good night,NY57A
night,night,NY57A
night,night before last,NY57A
night,night,NY57B
night,evening,NY57C!
night,good evening,NY57C!
night,good night,NY57C!
night,good evening,NY58A
night,Sunday evening,NY58A
night,night,NY58A
night,evening,NY58A
night,good night,NY58A
night,evening,NY58B
night,good evening,NY58B
night,good night,NY58B
night,night,NY58B
night,night,NY58B
night,good night,NY58B
night,night,NY58B
night,,NY58C
night,good evening,NY58D!
night,good night,NY58D!
night,night,NY58D!
night,good night,NY58D!
night,this evening,NY58D!
