Target,Response,Informant
northeast,,NY1
northeast,,NY2A
northeast,,NY2B
northeast,,NY2C
northeast,northeast,NY3A
northeast,northeast,NY3B
northeast,northeast,NY3C
northeast,northeast,NY3D
northeast,northeast,NY4A
northeast,northeast,NY4B
northeast,northeast,NY4B
northeast,northeast,NY4C
northeast,northeast,NY5A
northeast,northeast,NY5B
northeast,northeast,NY5C
northeast,northeast,NY5D
northeast,northeast,NY5E
northeast,northeast,NY5F
northeast,northeast,NY5G
northeast,northeast,NY5H!
northeast,northeast,NY5I!
northeast,northeast,NY5I!
northeast,northeast,NY6A
northeast,northeast,NY6B
northeast,northeast,NY7A
northeast,northeast,NY7B
northeast,northeast,NY7C
northeast,northeast,NY7D
northeast,northeast,NY7E
northeast,northeast,NY7F
northeast,northeast,NY7G
northeast,northeast,NY7H
northeast,northeast,NY7I
northeast,northeast,NY7J!
northeast,northeast,NY7K!
northeast,northeast,NY7L!
northeast,northeast,NY7M!
northeast,northeast,NY8
northeast,northeast,NY9A
northeast,northeast,NY9B
northeast,northeast,NY9C
northeast,northeast,NY10A
northeast,northeast,NY10B!
northeast,northeast,NY11
northeast,northeast,NY12A
northeast,northeast,NY12B
northeast,northeast,NY12C!
northeast,northeast,NY13A
northeast,northeast,NY13B!
northeast,northeast,NY14A
northeast,northeast,NY14B
northeast,northeast,NY15A
northeast,northeast,NY15B
northeast,northeast,NY16A
northeast,northeast,NY16B
northeast,northeast,NY17A
northeast,northeast,NY17B
northeast,northeast,NY18A
northeast,northeast,NY18B
northeast,northeast,NY18C!
northeast,northeast,NY19
northeast,northeast,NY20A
northeast,northeast,NY20B
northeast,northeast,NY21
northeast,northeast,NY22
northeast,,NY23A
northeast,northeaster,NY23B
northeast,northeast,NY23C
northeast,northeast,NY24A
northeast,northeast,NY24B!
northeast,northeast,NY25A
northeast,northeast,NY25B
northeast,northeast,NY25B
northeast,northeast,NY26A
northeast,northeaster,NY26B
northeast,,NY26C
northeast,northeaster,NY27A
northeast,northeast wind,NY27A
northeast,,NY27B
northeast,northeaster,NY27C
northeast,northeast,NY28A
northeast,northeast wind,NY28B
northeast,,NY28C
northeast,northeast,NY29A
northeast,north-and-east wind,NY29B
northeast,northeast,NY29C
northeast,northeast,NY30A
northeast,northeaster,NY30B
northeast,northeast,NY30B
northeast,,NY30C
northeast,,NY30D
northeast,northeaster,NY30E
northeast,northeast,NY30E
northeast,northeast,NY31A
northeast,northeast,NY31B
northeast,northeaster,NY31B
northeast,northeast,NY32A
northeast,northeast,NY32B
northeast,,NY33A
northeast,northeaster,NY33B
northeast,northeast,NY33C
northeast,northeast rain,NY34A
northeast,,NY34B
northeast,,NY34C
northeast,northeast,NY34D!
northeast,northeast,NY35A
northeast,northeast,NY35B
northeast,,NY35C!
northeast,northeast,NY36A
northeast,northeast,NY36B
northeast,northeast,NY37A
northeast,northeast,NY37B
northeast,northeast,NY37C!
northeast,northeast,NY38A
northeast,northeast,NY38B
northeast,,NY38C
northeast,northeast,NY39A
northeast,northeast,NY39B
northeast,northeast,NY40A
northeast,northeast,NY40B
northeast,northeast,NY41
northeast,northeast,NY42A
northeast,northeast,NY42B
northeast,,NY43A
northeast,northeast,NY43B
northeast,northeast,NY43C!
northeast,northeast,NY44A
northeast,northeast,NY44B
northeast,northeast,NY45A
northeast,,NY45B
northeast,,NY45C
northeast,northeast,NY45D!
northeast,northeast,NY46A
northeast,northeast,NY46B
northeast,,NY46C
northeast,northeast,NY47A
northeast,northeast,NY47B
northeast,northeast,NY48A
northeast,,NY48B
northeast,northeast,NY48C
northeast,northeast,NY48D
northeast,,NY49A
northeast,,NY49B
northeast,northeast,NY49C
northeast,northeast,NY49D
northeast,northeast,NY50A
northeast,northeast,NY50B
northeast,northeast,NY51A
northeast,northeast,NY51B
northeast,,NY51C
northeast,,NY51D
northeast,northeast,NY51E!
northeast,northeast,NY51E!
northeast,northeast,NY52A
northeast,northeast,NY52B
northeast,northeast,NY52C
northeast,northeast,NY53A
northeast,northeast,NY53B!
northeast,northeast,NY53B!
northeast,northeast,NY54A
northeast,northeast wind,NY54B
northeast,northeast,NY55A
northeast,northeast wind,NY55B
northeast,northeaster,NY55B
northeast,northeaster,NY55B
northeast,snows,NY56A
northeast,northeast,NY56A
northeast,northeast,NY56B
northeast,northeast,NY57A
northeast,,NY57B
northeast,northeast,NY57C!
northeast,northeast,NY58A
northeast,northeast,NY58B
northeast,,NY58C
northeast,northeast,NY58D!
northeast,northeaster,NY58E!
northeast,northeast,NY58E!
northeast,,NY58F!
northeast,northeast,NY59A
northeast,northeast,NY59B
northeast,northeast storm,NY60A
northeast,northeast,NY60B!
northeast,northeast,NY61A
northeast,northeast,NY61B
northeast,northeasters,NY61B
northeast,northeast,NY62A
northeast,northeast,NY62A
northeast,northeast,NY62B
northeast,northeast wind,NY62B
northeast,northeast,NY62B
northeast,northeast,NY62C
