Target,Response,Informant
northwest,,NY1
northwest,,NY2A
northwest,,NY2B
northwest,,NY2C
northwest,northwest,NY3A
northwest,northwest,NY3B
northwest,northwest,NY3C
northwest,northwest,NY3D
northwest,northwest,NY4A
northwest,northwest,NY4B
northwest,northwest,NY4C
northwest,northwest,NY5A
northwest,northwest,NY5B
northwest,northwest,NY5C
northwest,northwest,NY5D
northwest,northwest,NY5E
northwest,northwest,NY5F
northwest,northwest,NY5G
northwest,northwest,NY5H!
northwest,northwest,NY5I!
northwest,northwest,NY5I!
northwest,northwest wind,NY6A
northwest,northwest,NY6B
northwest,northwest,NY7A
northwest,northwest,NY7B
northwest,northwest,NY7C
northwest,northwest,NY7D
northwest,northwest,NY7E
northwest,northwest,NY7F
northwest,northwest,NY7G
northwest,northwest,NY7H
northwest,northwest,NY7I
northwest,northwest,NY7J!
northwest,northwest,NY7K!
northwest,northwest,NY7L!
northwest,northwest,NY7M!
northwest,northwest,NY8
northwest,northwest,NY9A
northwest,northwest,NY9B
northwest,northwest,NY9C
northwest,northwest,NY10A
northwest,northwest,NY10B!
northwest,northwest,NY11
northwest,northwest,NY12A
northwest,northwest,NY12B
northwest,northwest,NY12C!
northwest,northwest,NY13A
northwest,northwest,NY13B!
northwest,northwest,NY14A
northwest,northwest,NY14B
northwest,northwest,NY15A
northwest,northwest,NY15B
northwest,northwest,NY16A
northwest,northwest,NY16B
northwest,northwest,NY17A
northwest,northwest,NY17B
northwest,northwest,NY18A
northwest,northwest,NY18B
northwest,northwest,NY18C!
northwest,northwest,NY19
northwest,northwest,NY20A
northwest,northwest,NY20B
northwest,northwest,NY21
northwest,northwest,NY22
northwest,,NY23A
northwest,northwest wind,NY23B
northwest,northwest,NY23C
northwest,northwest,NY24A
northwest,northwest,NY24B!
northwest,northwest wind,NY25A
northwest,kind of day,NY25A
northwest,northwest,NY25B
northwest,northwest,NY26A
northwest,northwester,NY26B
northwest,,NY26C
northwest,northwest wind,NY27A
northwest,,NY27B
northwest,northwest winds,NY27C
northwest,northwest,NY28A
northwest,northwest,NY28B
northwest,,NY28C
northwest,northwest,NY29A
northwest,northwest,NY29B
northwest,northwest,NY29C
northwest,northwest,NY30A
northwest,northwest,NY30B
northwest,,NY30C
northwest,,NY30D
northwest,northwest,NY30E
northwest,northwest,NY31A
northwest,northwest,NY31A
northwest,northwest,NY31B
northwest,northwest,NY32A
northwest,northwest,NY32B
northwest,,NY33A
northwest,northwest,NY33B
northwest,northwest,NY33C
northwest,northwest,NY34A
northwest,,NY34B
northwest,,NY34C
northwest,northwest,NY34D!
northwest,northwest,NY35A
northwest,northwest,NY35B
northwest,,NY35C!
northwest,northwest,NY36A
northwest,northwest,NY36B
northwest,northwest,NY37A
northwest,northwest,NY37B
northwest,northwest,NY37C!
northwest,northwest,NY38A
northwest,northwest,NY38B
northwest,,NY38C
northwest,northwest,NY39A
northwest,northwest,NY39B
northwest,northwest,NY40A
northwest,northwest,NY40B
northwest,northwest,NY41
northwest,northwest,NY42A
northwest,northwest,NY42B
northwest,,NY43A
northwest,northwest,NY43B
northwest,northwest,NY43C!
northwest,northwest,NY44A
northwest,northwest,NY44B
northwest,northwest,NY45A
northwest,,NY45B
northwest,,NY45C
northwest,northwest,NY45D!
northwest,northwest,NY45D!
northwest,northwest,NY46A
northwest,,NY46B
northwest,northwest,NY46C
northwest,northwest,NY47A
northwest,northwest,NY47B
northwest,northwest,NY48A
northwest,northwest,NY48A
northwest,,NY48B
northwest,northwest,NY48C
northwest,northwest,NY48D
northwest,,NY49A
northwest,,NY49B
northwest,northwest,NY49C
northwest,north wind,NY49C
northwest,northwest,NY49D
northwest,northwest,NY50A
northwest,northwest,NY50A
northwest,north,NY50A
northwest,northwest,NY50B
northwest,north,NY50B
northwest,northwest,NY50B
northwest,northwest,NY51A
northwest,northwest,NY51B
northwest,,NY51C
northwest,,NY51D
northwest,,NY51E!
northwest,northwest,NY52A
northwest,,NY52B
northwest,northwest,NY52C
northwest,northwest wind,NY53A
northwest,northwest,NY53B!
northwest,northwest,NY54A
northwest,north,NY54A
northwest,northwest wind,NY54B
northwest,pretty cold,NY55A
northwest,northwest wind,NY55A
northwest,northwest wind,NY55B
northwest,northwest,NY56A
northwest,northwest,NY56B
northwest,northwest,NY57A
northwest,,NY57B
northwest,northwest,NY57C!
northwest,northwest,NY58A
northwest,northwest,NY58B
northwest,northwest,NY58B
northwest,,NY58C
northwest,north,NY58D!
northwest,northwest,NY58D!
northwest,northwest,NY58E!
northwest,,NY58F!
northwest,northwest,NY59A
northwest,northwest,NY59B
northwest,northwest,NY60A
northwest,northwest,NY60B!
northwest,northwest,NY61A
northwest,northwest,NY61B
northwest,northwest,NY62A
northwest,northwest,NY62B
northwest,northwest,NY62B
northwest,northwest,NY62C
northwest,northwest,NY62D!
northwest,northwest,NY62D!
northwest,northwest,NY62D!
northwest,northwest,NY63A
northwest,northwest,NY63B
northwest,north,NY63B
northwest,northwest,NY63C
northwest,northwest,NY63D!
