Target,Response,Informant
of yeast,of yeast,NY1
of yeast,of yeast,NY2A
of yeast,a yeast cake,NY2B
of yeast,yeast,NY2B
of yeast,yeast,NY2C
of yeast,yeast,NY3A
of yeast,of yeast,NY3B
of yeast,of yeast,NY3C
of yeast,of yeast,NY3D
of yeast,yeast,NY4A
of yeast,yeast,NY4B
of yeast,yeast,NY4C
of yeast,yeast,NY5A
of yeast,yeast,NY5B
of yeast,yeast,NY5C
of yeast,yeast,NY5D
of yeast,of yeast,NY5E
of yeast,yeast,NY5F
of yeast,of yeast,NY5G
of yeast,of yeast,NY5H!
of yeast,yeast,NY5I!
of yeast,of yeast,NY6A
of yeast,of yeast,NY6B
of yeast,of yeast,NY7A
of yeast,of yeast,NY7B
of yeast,yeast,NY7C
of yeast,yeast,NY7D
of yeast,of yeast,NY7E
of yeast,of yeast,NY7F
of yeast,yeast,NY7G
of yeast,of yeast,NY7H
of yeast,of yeast,NY7I
of yeast,yeast,NY7J!
of yeast,yeast,NY7K!
of yeast,of yeast,NY7L!
of yeast,yeast,NY7L!
of yeast,of yeast,NY7M!
of yeast,yeast,NY8
of yeast,of yeast,NY9A
of yeast,emptins,NY9A
of yeast,yeast,NY9B
of yeast,turnpike,NY9B
of yeast,yeast,NY9C
of yeast,risen,NY10A
of yeast,yeast,NY10A
of yeast,turnpike,NY10A
of yeast,yeast,NY10B!
of yeast,yeast,NY11
of yeast,yeast,NY12A
of yeast,turnpike,NY12A
of yeast,of yeast,NY12A
of yeast,emptins,NY12B
of yeast,of yeast,NY12B
of yeast,yeast,NY12C!
of yeast,yeast,NY13A
of yeast,turnpike,NY13A
of yeast,yeast,NY13B!
of yeast,yeast,NY14A
of yeast,turnpike,NY14A
of yeast,yeast,NY14B
of yeast,turnpike yeast,NY15A
of yeast,yeast,NY15A
of yeast,of yeast,NY15B
of yeast,of yeast,NY16A
of yeast,turnpike,NY16A
of yeast,of yeast,NY16B
of yeast,turnpike,NY16B
of yeast,yeast,NY17A
of yeast,yeast,NY17B
of yeast,pound,NY18A
of yeast,of yeast,NY18B
of yeast,of yeast,NY18C!
of yeast,of yeast,NY19
of yeast,yeast,NY20A
of yeast,emptins,NY20A
of yeast,yeast,NY20B
of yeast,emptins,NY21
of yeast,yeast,NY21
of yeast,starter,NY21
of yeast,yeast,NY22
of yeast,railroad yeast,NY22
of yeast,yeast,NY23A
of yeast,hops,NY23B
of yeast,a yeast cake,NY23B
of yeast,yeast,NY23C
of yeast,yeast,NY24A
of yeast,yeast,NY24A
of yeast,yeast,NY24B!
of yeast,yeast cake,NY25A
of yeast,magic yeast cakes,NY25B
of yeast,yeast,NY25B
of yeast,yeast,NY26A
of yeast,a yeast cake,NY26B
of yeast,,NY26C
of yeast,yeast,NY27A
of yeast,yeast,NY27B
of yeast,yeast cake,NY27B
of yeast,hops,NY27B
of yeast,potato yeast,NY27C
of yeast,yeast,NY28A
of yeast,homemade emptins,NY28A
of yeast,yeast,NY28B
of yeast,yeast,NY28B
of yeast,hop yeast,NY28B
of yeast,,NY28C
of yeast,yeast,NY29A
of yeast,with yeast,NY29B
of yeast,hop yeast,NY29B
of yeast,homemade yeast,NY29C
of yeast,emptins,NY29C
of yeast,hop yeast,NY30A
of yeast,mother,NY30B
of yeast,hop yeast,NY30B
of yeast,hop emptins,NY30B
of yeast,,NY30C
of yeast,hop yeast,NY30D
of yeast,yeast,NY30D
of yeast,salt yeast,NY30D
of yeast,yeast,NY30E
of yeast,hop yeast,NY31A
of yeast,boiled,NY31A
of yeast,yeast,NY31A
of yeast,salt emptins,NY31A
of yeast,yeast,NY31A
of yeast,yeast,NY31B
of yeast,yeast,NY32A
of yeast,hop yeast,NY32A
of yeast,yeast,NY32B
of yeast,yeast,NY33A
of yeast,,NY33B
of yeast,potato yeast,NY33C
of yeast,yeast,NY34A
of yeast,,NY34B
of yeast,yeast cake,NY34C
of yeast,yeast,NY34D!
of yeast,of yeast,NY35A
of yeast,emptins,NY35A
of yeast,yeast,NY35B
of yeast,starter,NY35B
of yeast,emptins,NY35B
of yeast,yeast,NY35C!
of yeast,yeast,NY36A
of yeast,starter,NY36A
of yeast,emptins,NY36A
of yeast,emptins,NY36B
of yeast,yeast,NY36B
of yeast,starter,NY36B
of yeast,yeast,NY37A
of yeast,starter,NY37A
of yeast,yeast,NY37B
of yeast,yeast,NY37C!
of yeast,soft emptins,NY38A
of yeast,yeast,NY38A
of yeast,starter,NY38A
of yeast,yeast,NY38B
of yeast,starter,NY38B
of yeast,yeast,NY38C
of yeast,starter,NY38C
of yeast,yeast,NY39A
of yeast,starter,NY39A
of yeast,emptins,NY39A
of yeast,emptins,NY39B
of yeast,yeast,NY39B
of yeast,jug emptins,NY40A
of yeast,yeast,NY40A
of yeast,turnpikes,NY40A
of yeast,of yeast,NY40B
of yeast,starter,NY40B
of yeast,yeast,NY41
of yeast,emptins,NY42A
of yeast,yeast,NY42A
of yeast,starter,NY42A
of yeast,yeast,NY42B
of yeast,emptins,NY43A
of yeast,yeast,NY43A
of yeast,of yeast,NY43B
of yeast,yeast,NY43C!
