Target,Response,Informant
one,one,NY1
one,,NY2A
one,one,NY2B
one,,NY2C
one,one,NY3A
one,one,NY3B
one,one,NY3C
one,one,NY3D
one,one,NY4A
one,one,NY4B
one,one,NY4C
one,one,NY5A
one,one,NY5B
one,one,NY5C
one,one,NY5D
one,one,NY5E
one,one,NY5F
one,one,NY5G
one,one,NY5H!
one,one,NY5I!
one,one,NY6A
one,one,NY6B
one,one,NY7A
one,one,NY7B
one,one,NY7C
one,one,NY7D
one,one,NY7E
one,one,NY7F
one,one,NY7G
one,one,NY7H
one,one,NY7I
one,one,NY7J!
one,one,NY7K!
one,one,NY7L!
one,one,NY7M!
one,one,NY8
one,one,NY9A
one,one,NY9B
one,one,NY9C
one,one,NY10A
one,one,NY10B!
one,one,NY11
one,one,NY12A
one,one,NY12B
one,one,NY12C!
one,one,NY13A
one,one,NY13B!
one,one,NY14A
one,one,NY14B
one,one,NY15A
one,one,NY15B
one,one,NY16A
one,one,NY16B
one,one,NY17A
one,one,NY17B
one,one,NY18A
one,one,NY18B
one,one,NY18C!
one,one,NY19
one,one,NY20A
one,one,NY20B
one,one,NY21
one,one,NY22
one,one,NY23A
one,one,NY23B
one,one,NY23B
one,one,NY23C
one,one,NY24A
one,one,NY24B!
one,one,NY25A
one,one,NY25B
one,one,NY25B
one,one,NY26A
one,one,NY26A
one,one,NY26B
one,one,NY26C
one,one,NY27A
one,one,NY27B
one,one,NY27C
one,one,NY28A
one,one,NY28B
one,one,NY28B
one,,NY28C
one,one,NY29A
one,one,NY29B
one,one,NY29C
one,one,NY30A
one,one,NY30B
one,one,NY30C
one,one,NY30D
one,one,NY30E
one,one,NY30E
one,one,NY31A
one,one,NY31A
one,one,NY31A
one,one,NY31B
one,one,NY32A
one,one,NY32B
one,one,NY32B
one,one,NY33A
one,one,NY33B
one,one,NY33C
one,one,NY33C
one,one,NY34A
one,one,NY34A
one,one,NY34B
one,one,NY34B
one,one,NY34C
one,one,NY34D!
one,one,NY34D!
one,one,NY35A
one,one,NY35B
one,,NY35C!
one,one,NY36A
one,one,NY36B
one,one,NY37A
one,one,NY37B
one,one,NY37C!
one,one,NY38A
one,one,NY38B
one,,NY38C
one,one,NY39A
one,one,NY39B
one,one,NY40A
one,one,NY40B
one,one,NY41
one,one,NY42A
one,one,NY42B
one,,NY43A
one,one,NY43B
one,one,NY43C!
one,one,NY44A
one,one,NY44B
one,one,NY45A
one,,NY45B
one,,NY45C
one,one,NY45D!
one,one,NY46A
one,one,NY46B
one,one,NY46B
one,one,NY46B
one,one,NY46C
one,one,NY47A
one,one,NY47A
one,one,NY47B
one,one,NY48A
one,one,NY48A
one,one,NY48B
one,one,NY48C
one,one,NY48C
one,one,NY48D
one,one,NY49A
one,,NY49B
one,one,NY49C
one,one,NY49C
one,one,NY49C
one,one,NY49D
one,one,NY50A
one,one,NY50A
one,one,NY50B
one,one,NY51A
one,one,NY51A
one,one,NY51A
one,one,NY51B
one,one,NY51B
one,one,NY51C
one,one,NY51D
one,,NY51E!
one,one,NY52A
one,one,NY52B
one,one,NY52C
one,one,NY53A
one,one,NY53A
one,one,NY53B!
one,one,NY54A
one,one,NY54B
one,one,NY55A
one,one,NY55A
one,one,NY55B
one,one,NY55B
one,one,NY56A
one,one,NY56A
one,one,NY56A
one,one,NY56B
one,one,NY57A
one,one,NY57A
one,one,NY57B
one,one,NY57C!
one,one,NY58A
one,one,NY58B
one,one,NY58C
one,one,NY58D!
one,one,NY58E!
one,one,NY58E!
one,one,NY58F!
one,one,NY59A
one,one,NY59B
one,one,NY60A
one,one,NY60B!
one,one,NY61A
one,one,NY61B
one,one,NY61B
one,one,NY61B
one,one,NY62A
one,one,NY62B
one,one,NY62B
one,one,NY62C
one,one,NY62D!
one,,NY63A
one,one,NY63B
one,one,NY63C
one,one,NY63D!
one,one,NY64A
one,one,NY64B
one,one,NY64B
one,one,NY64C!
one,one,NJ1A
one,one,NJ1B
one,one,NJ2A
one,one,NJ2B
one,one,NJ3A
one,one,NJ3B
one,one,NJ4A
one,one,NJ4B
one,one,NJ5A
one,one,NJ5B
one,one,NJ6A
one,one,NJ6B
one,one,NJ7A
one,one,NJ7B!
one,one,NJ8A
one,one,NJ8A
one,one,NJ8B
one,one,NJ9A
one,one,NJ9B
one,one,NJ10A
one,one,NJ10B
one,one,NJ10C
one,one,NJ10D!
one,one,NJ11A
one,one,NJ11B
one,one,NJ11C
one,one,NJ12A
one,one,NJ12B
one,one,NJ13A
one,one,NJ13A
one,one,NJ13B
one,one,NJ14A
one,one,NJ14B
one,one,NJ15A
one,one,NJ15B
one,one,NJ16A
one,one,NJ16B
one,one,NJ17A
one,one,NJ17B
one,one,NJ18A
one,one,NJ18B
one,one,NJ18C!
one,one,NJ18D!
one,one,NJ19A
one,one,NJ19B!
one,one,NJ20A
one,een,NJ20A
one,one,NJ20B
one,one,NJ21A
one,one,NJ21B
one,one,PA1A
one,one,PA1B
one,one,PA1C
one,one,PA1D
one,one,PA1E!
one,one,PA1F!
one,one,PA1G!
one,one,PA1H!
one,one,PA2A
one,one,PA2B
one,one,PA3A
one,one,PA3B
one,one,PA3C
one,one,PA4A
one,one,PA4B!
one,one,PA5A
one,one,PA5B
one,one,PA5C
one,one,PA5D
one,one,PA5E!
one,one,PA6A
one,one,PA6B
one,one,PA6C
one,one,PA6D!
one,one,PA7A
one,one,PA7B
one,one,PA7C
one,one,PA7D!
one,one,PA8A
one,one,PA8B
one,one,PA8C
one,one,PA8D!
one,one,PA9A
one,one,PA9B
one,one,PA9C!
one,one,PA10
one,one,PA11A
one,one,PA11B
one,one,PA12A
one,one,PA12B
one,one,PA13A
one,one,PA13B
one,one,PA14A
one,one,PA14B
