Target,Response,Informant
other bread from cornmeal,johnny cake,NY1
other bread from cornmeal,hoecake,NY2A
other bread from cornmeal,corn meal,NY2A
other bread from cornmeal,corn pone,NY2B
other bread from cornmeal,corn pone,NY2C
other bread from cornmeal,johnny cake,NY2C
other bread from cornmeal,johnny cake,NY3A
other bread from cornmeal,,NY3B
other bread from cornmeal,,NY3C
other bread from cornmeal,corn bread,NY3D
other bread from cornmeal,,NY4A
other bread from cornmeal,,NY4B
other bread from cornmeal,,NY4C
other bread from cornmeal,,NY5A
other bread from cornmeal,,NY5B
other bread from cornmeal,,NY5C
other bread from cornmeal,,NY5D
other bread from cornmeal,johnny cake,NY5E
other bread from cornmeal,,NY5F
other bread from cornmeal,,NY5G
other bread from cornmeal,,NY5H!
other bread from cornmeal,,NY5I!
other bread from cornmeal,,NY6A
other bread from cornmeal,,NY6B
other bread from cornmeal,,NY7A
other bread from cornmeal,,NY7B
other bread from cornmeal,,NY7C
other bread from cornmeal,,NY7D
other bread from cornmeal,,NY7E
other bread from cornmeal,,NY7F
other bread from cornmeal,,NY7G
other bread from cornmeal,,NY7H
other bread from cornmeal,,NY7I
other bread from cornmeal,,NY7J!
other bread from cornmeal,,NY7K!
other bread from cornmeal,,NY7L!
other bread from cornmeal,,NY8
other bread from cornmeal,,NY9A
other bread from cornmeal,,NY9B
other bread from cornmeal,,NY9C
other bread from cornmeal,,NY10A
other bread from cornmeal,,NY10B!
other bread from cornmeal,,NY11
other bread from cornmeal,,NY12A
other bread from cornmeal,,NY12A
other bread from cornmeal,,NY12B
other bread from cornmeal,,NY12C!
other bread from cornmeal,,NY13A
other bread from cornmeal,,NY13B!
other bread from cornmeal,,NY14A
other bread from cornmeal,,NY14B
other bread from cornmeal,,NY15A
other bread from cornmeal,,NY15B
other bread from cornmeal,,NY16A
other bread from cornmeal,,NY16B
other bread from cornmeal,,NY17A
other bread from cornmeal,,NY17B
other bread from cornmeal,,NY18A
other bread from cornmeal,,NY18B
other bread from cornmeal,,NY18C!
other bread from cornmeal,,NY19
other bread from cornmeal,,NY20A
other bread from cornmeal,,NY20B
other bread from cornmeal,,NY21
other bread from cornmeal,,NY22
other bread from cornmeal,,NY23A
other bread from cornmeal,sally rages,NY23B
other bread from cornmeal,rye bread,NY23B
other bread from cornmeal,,NY23C
other bread from cornmeal,,NY24A
other bread from cornmeal,,NY24B!
other bread from cornmeal,muffin,NY25A
other bread from cornmeal,cupcakes,NY25A
other bread from cornmeal,corn meal muffins,NY25B
other bread from cornmeal,corn bread,NY26A
other bread from cornmeal,wheat and indian,NY26B
other bread from cornmeal,muffin pan,NY26B
other bread from cornmeal,,NY26C
other bread from cornmeal,corn muffin,NY27A
other bread from cornmeal,muffin,NY27A
other bread from cornmeal,brown bread,NY27B
other bread from cornmeal,hoecakes,NY27C
other bread from cornmeal,brown bread,NY28A
other bread from cornmeal,indian corn bread,NY28A
other bread from cornmeal,blueberry muffins,NY28A
other bread from cornmeal,corn meal,NY28A
other bread from cornmeal,rye grain,NY28A
other bread from cornmeal,corn muffins,NY28A
