Target,Response,Informant
other bread from wheat flour,,NY1
other bread from wheat flour,dumb bread,NY2A
other bread from wheat flour,sheepskin bread,NY2A
other bread from wheat flour,muffins,NY2B
other bread from wheat flour,rolls,NY2C
other bread from wheat flour,,NY3A
other bread from wheat flour,,NY3B
other bread from wheat flour,,NY3C
other bread from wheat flour,,NY3D
other bread from wheat flour,,NY4A
other bread from wheat flour,,NY4B
other bread from wheat flour,,NY4C
other bread from wheat flour,,NY5A
other bread from wheat flour,,NY5B
other bread from wheat flour,,NY5C
other bread from wheat flour,,NY5D
other bread from wheat flour,,NY5E
other bread from wheat flour,butter cakes,NY5F
other bread from wheat flour,,NY5G
other bread from wheat flour,,NY5H!
other bread from wheat flour,,NY5I!
other bread from wheat flour,,NY6A
other bread from wheat flour,,NY6B
other bread from wheat flour,,NY7A
other bread from wheat flour,,NY7B
other bread from wheat flour,,NY7C
other bread from wheat flour,,NY7D
other bread from wheat flour,,NY7E
other bread from wheat flour,,NY7F
other bread from wheat flour,,NY7G
other bread from wheat flour,,NY7H
other bread from wheat flour,,NY7I
other bread from wheat flour,,NY7J!
other bread from wheat flour,,NY7K!
other bread from wheat flour,rolls,NY7L!
other bread from wheat flour,,NY8
other bread from wheat flour,,NY9A
other bread from wheat flour,,NY9B
other bread from wheat flour,,NY9C
other bread from wheat flour,,NY10A
other bread from wheat flour,,NY10B!
other bread from wheat flour,,NY11
other bread from wheat flour,,NY12A
other bread from wheat flour,,NY12A
other bread from wheat flour,,NY12B
other bread from wheat flour,,NY12C!
other bread from wheat flour,,NY13A
other bread from wheat flour,,NY13B!
other bread from wheat flour,,NY14A
other bread from wheat flour,,NY14B
other bread from wheat flour,,NY15A
other bread from wheat flour,,NY15B
other bread from wheat flour,,NY16A
other bread from wheat flour,,NY16B
other bread from wheat flour,,NY17A
other bread from wheat flour,,NY17B
other bread from wheat flour,,NY18A
other bread from wheat flour,,NY18B
other bread from wheat flour,,NY18C!
other bread from wheat flour,,NY19
other bread from wheat flour,,NY20A
other bread from wheat flour,,NY20B
other bread from wheat flour,,NY21
other bread from wheat flour,,NY22
other bread from wheat flour,,NY23A
other bread from wheat flour,muffin,NY23B
other bread from wheat flour,yeast,NY23C
other bread from wheat flour,baking powder biscuits,NY23C
other bread from wheat flour,raise biscuits,NY23C
other bread from wheat flour,yeast biscuits,NY23C
other bread from wheat flour,,NY24A
other bread from wheat flour,,NY24B!
other bread from wheat flour,raise biscuits,NY25A
other bread from wheat flour,turnover,NY25A
other bread from wheat flour,parker house rolls,NY25B
other bread from wheat flour,rolls,NY25B
other bread from wheat flour,dumplings,NY26A
other bread from wheat flour,rolls,NY26A
other bread from wheat flour,scones,NY26A
other bread from wheat flour,raise biscuit,NY26B
other bread from wheat flour,sour milk biscuit,NY26B
other bread from wheat flour,,NY26C
other bread from wheat flour,godad,NY27A
other bread from wheat flour,fried dough,NY27B
other bread from wheat flour,rolls,NY27C
other bread from wheat flour,muffins,NY27C
other bread from wheat flour,cloverleaf buns,NY28A
other bread from wheat flour,finger rolls,NY28A
other bread from wheat flour,raise biscuits,NY28A
other bread from wheat flour,warm bread,NY28B
other bread from wheat flour,muffins,NY28B
other bread from wheat flour,raise biscuit,NY28B
other bread from wheat flour,warm bread,NY28B
other bread from wheat flour,,NY28C
other bread from wheat flour,rolls,NY29A
other bread from wheat flour,buns,NY29B
other bread from wheat flour,rolls,NY29B
other bread from wheat flour,roll,NY29C
other bread from wheat flour,muffins,NY29C
other bread from wheat flour,raised biscuit,NY30A
other bread from wheat flour,shortcakes,NY30A
other bread from wheat flour,rolls,NY30B
other bread from wheat flour,buns,NY30B
other bread from wheat flour,,NY30C
other bread from wheat flour,riz biscuit,NY30D
other bread from wheat flour,raised biscuit,NY30E
other bread from wheat flour,buns,NY30E
other bread from wheat flour,muffins,NY30E
other bread from wheat flour,bran muffins,NY31A
other bread from wheat flour,saltcheese bread,NY31B
other bread from wheat flour,rolls,NY31B
other bread from wheat flour,jims,NY31B
other bread from wheat flour,salt emptings bread,NY31B
other bread from wheat flour,jims,NY32A
other bread from wheat flour,brown bread,NY32A
other bread from wheat flour,graham,NY32A
other bread from wheat flour,jims,NY32B
other bread from wheat flour,graham flour,NY32B
other bread from wheat flour,buns,NY33A
other bread from wheat flour,rolls,NY33A
other bread from wheat flour,,NY33B
other bread from wheat flour,hot breads,NY33C
other bread from wheat flour,graham muffins,NY33C
other bread from wheat flour,rolls,NY33C
other bread from wheat flour,hot rolls,NY33C
other bread from wheat flour,muffins,NY34A
other bread from wheat flour,,NY34B
other bread from wheat flour,rolls,NY34C
other bread from wheat flour,buns,NY34C
other bread from wheat flour,rolls,NY34D!
other bread from wheat flour,waffles,NY34D!
other bread from wheat flour,muffins,NY34D!
other bread from wheat flour,,NY35A
other bread from wheat flour,,NY35B
other bread from wheat flour,,NY35C!
other bread from wheat flour,,NY36A
other bread from wheat flour,,NY36B
other bread from wheat flour,,NY37A
other bread from wheat flour,,NY37B
other bread from wheat flour,rolls,NY37C!
other bread from wheat flour,,NY38A
other bread from wheat flour,,NY38B
other bread from wheat flour,,NY38C
other bread from wheat flour,,NY39A
other bread from wheat flour,,NY39B
other bread from wheat flour,,NY40A
other bread from wheat flour,,NY40B
other bread from wheat flour,,NY41
other bread from wheat flour,,NY42A
other bread from wheat flour,,NY42B
other bread from wheat flour,,NY43A
other bread from wheat flour,,NY43B
other bread from wheat flour,,NY43C!
other bread from wheat flour,,NY44A
other bread from wheat flour,,NY44B
other bread from wheat flour,biscuit,NY45A
other bread from wheat flour,cinnamon rolls,NY45A
other bread from wheat flour,,NY45B
other bread from wheat flour,muffins,NY45C
other bread from wheat flour,rolls,NY45C
other bread from wheat flour,russ,NY45D!
other bread from wheat flour,hot cross buns,NY45D!
other bread from wheat flour,jims,NY45D!
other bread from wheat flour,yeast bread,NY46A
other bread from wheat flour,,NY46B
other bread from wheat flour,oat flake bread,NY46C
other bread from wheat flour,yeast bread,NY46C
other bread from wheat flour,muffin pans,NY47A
other bread from wheat flour,biscuits,NY47A
other bread from wheat flour,,NY47B
other bread from wheat flour,,NY48A
other bread from wheat flour,salt rising bread,NY48C
other bread from wheat flour,muffins,NY48C
other bread from wheat flour,cinnamon rolls,NY48C
other bread from wheat flour,pan rolls,NY48D
other bread from wheat flour,,NY49A
other bread from wheat flour,,NY49B
other bread from wheat flour,raising bread,NY49C
other bread from wheat flour,fried bread,NY49C
other bread from wheat flour,sour dough bread,NY49C
other bread from wheat flour,rye bread,NY49C
other bread from wheat flour,rolls,NY49C
other bread from wheat flour,french fried bread,NY49C
other bread from wheat flour,Polish bread,NY49D
other bread from wheat flour,brown bread,NY49D
other bread from wheat flour,biscuit,NY50A
other bread from wheat flour,sour cream biscuit,NY50A
other bread from wheat flour,raise biscuit,NY50A
other bread from wheat flour,gem irons,NY50B
other bread from wheat flour,gems,NY50B
other bread from wheat flour,rolls,NY50B
other bread from wheat flour,yeast bread,NY51A
other bread from wheat flour,bannock bread,NY51A
other bread from wheat flour,,NY51B
other bread from wheat flour,,NY51C
other bread from wheat flour,,NY51D
other bread from wheat flour,gems,NY51E!
other bread from wheat flour,muffins,NY51E!
other bread from wheat flour,rolls,NY51E!
other bread from wheat flour,gems,NY52A
other bread from wheat flour,cinnamon rolls,NY52A
other bread from wheat flour,muffins,NY52A
other bread from wheat flour,buns,NY52A
other bread from wheat flour,salt rising bread,NY52B
other bread from wheat flour,gems,NY52B
other bread from wheat flour,rolls,NY52B
other bread from wheat flour,brown bread,NY52C
other bread from wheat flour,rolls,NY52C
other bread from wheat flour,wheat rising bread,NY53A
other bread from wheat flour,rising bread,NY53A
other bread from wheat flour,gems,NY53A
other bread from wheat flour,Sally Lunn,NY53B!
other bread from wheat flour,gems,NY53B!
other bread from wheat flour,popovers,NY53B!
other bread from wheat flour,waffles,NY54A
other bread from wheat flour,rolls,NY54A
other bread from wheat flour,salt rising bread,NY54A
other bread from wheat flour,cloverleaf rolls,NY54B
other bread from wheat flour,cinnamon rolls,NY54B
other bread from wheat flour,parker house rolls,NY54B
other bread from wheat flour,honey rolls,NY54B
other bread from wheat flour,,NY55A
other bread from wheat flour,raised biscuits,NY55B
other bread from wheat flour,gems,NY56A
other bread from wheat flour,gem tins,NY56A
other bread from wheat flour,yeast bread,NY56A
other bread from wheat flour,graham,NY56A
other bread from wheat flour,gem irons,NY56A
other bread from wheat flour,,NY56B
other bread from wheat flour,rolls,NY57A
other bread from wheat flour,white bread,NY57B
other bread from wheat flour,rolls,NY57B
other bread from wheat flour,wheat bread,NY57B
other bread from wheat flour,popover,NY57B
other bread from wheat flour,raised biscuits,NY57C!
other bread from wheat flour,hot bread,NY58A
other bread from wheat flour,waffles,NY58B
other bread from wheat flour,muffin,NY58B
other bread from wheat flour,,NY58C
other bread from wheat flour,Sally Lunn,NY58D!
other bread from wheat flour,popovers,NY58D!
other bread from wheat flour,buns,NY58E!
other bread from wheat flour,crumpets,NY58E!
other bread from wheat flour,popovers,NY58E!
other bread from wheat flour,hot cross buns,NY58E!
other bread from wheat flour,muffins,NY58F!
other bread from wheat flour,hot bread,NY58F!
other bread from wheat flour,rolls,NY58F!
other bread from wheat flour,raise biscuits,NY59A
other bread from wheat flour,biscuits,NY59A
other bread from wheat flour,muffins,NY59A
other bread from wheat flour,,NY59B
other bread from wheat flour,raise biscuit,NY60A
other bread from wheat flour,waffles,NY60B!
other bread from wheat flour,muffins,NY60B!
other bread from wheat flour,bread biscuits,NY61A
other bread from wheat flour,rolls,NY61A
other bread from wheat flour,muffins,NY61B
other bread from wheat flour,rolls,NY61B
other bread from wheat flour,,NY62A
other bread from wheat flour,,NY62B
other bread from wheat flour,rolls,NY62C
other bread from wheat flour,rusks,NY62D!
other bread from wheat flour,rolls,NY62D!
other bread from wheat flour,muffins,NY63A
other bread from wheat flour,rolls,NY63A
other bread from wheat flour,rolls,NY63B
other bread from wheat flour,,NY63C
other bread from wheat flour,rolls,NY63D!
other bread from wheat flour,muffins,NY63D!
other bread from wheat flour,raise biscuits,NY64A
other bread from wheat flour,rolls,NY64B
other bread from wheat flour,raise biscuit,NY64C!
other bread from wheat flour,rolls,NJ1A
other bread from wheat flour,rolls,NJ1B
other bread from wheat flour,rolls,NJ2A
other bread from wheat flour,,NJ2B
other bread from wheat flour,rolls,NJ3A
other bread from wheat flour,rolls,NJ3B
other bread from wheat flour,rolls,NJ4A
other bread from wheat flour,rolls,NJ4B
other bread from wheat flour,rolls,NJ5A
other bread from wheat flour,rolls,NJ5B
other bread from wheat flour,,NJ6A
other bread from wheat flour,rolls,NJ6B
other bread from wheat flour,,NJ7A
other bread from wheat flour,,NJ7B!
other bread from wheat flour,,NJ8A
other bread from wheat flour,,NJ8B
other bread from wheat flour,,NJ9A
other bread from wheat flour,,NJ9B
other bread from wheat flour,,NJ10A
other bread from wheat flour,,NJ10B
other bread from wheat flour,,NJ10C
other bread from wheat flour,,NJ10D!
other bread from wheat flour,,NJ11A
other bread from wheat flour,,NJ11B
other bread from wheat flour,,NJ11C
other bread from wheat flour,,NJ12A
other bread from wheat flour,,NJ12B
other bread from wheat flour,,NJ13A
other bread from wheat flour,,NJ13B
other bread from wheat flour,,NJ14A
other bread from wheat flour,,NJ14B
other bread from wheat flour,,NJ15A
other bread from wheat flour,,NJ15B
other bread from wheat flour,,NJ16A
other bread from wheat flour,,NJ16B
other bread from wheat flour,,NJ17A
other bread from wheat flour,,NJ17B
other bread from wheat flour,,NJ18A
other bread from wheat flour,,NJ18B
other bread from wheat flour,,NJ18C!
other bread from wheat flour,,NJ18D!
other bread from wheat flour,,NJ19A
other bread from wheat flour,,NJ19B!
other bread from wheat flour,,NJ20A
other bread from wheat flour,,NJ20B
other bread from wheat flour,,NJ21A
other bread from wheat flour,,NJ21B
other bread from wheat flour,,PA1A
other bread from wheat flour,,PA1B
other bread from wheat flour,,PA1C
other bread from wheat flour,,PA1D
other bread from wheat flour,rolls,PA1E!
other bread from wheat flour,,PA1F!
other bread from wheat flour,,PA1G!
other bread from wheat flour,rolls,PA1H!
other bread from wheat flour,,PA2A
other bread from wheat flour,,PA2B
other bread from wheat flour,rolls,PA3A
other bread from wheat flour,,PA3B
other bread from wheat flour,,PA3C
other bread from wheat flour,,PA4A
other bread from wheat flour,rolls,PA4B!
other bread from wheat flour,,PA5A
other bread from wheat flour,,PA5B
other bread from wheat flour,,PA5C
other bread from wheat flour,rolls,PA5D
other bread from wheat flour,rolls,PA5E!
other bread from wheat flour,,PA6A
other bread from wheat flour,,PA6B
other bread from wheat flour,,PA6C
other bread from wheat flour,,PA6D!
other bread from wheat flour,,PA7A
other bread from wheat flour,,PA7B
other bread from wheat flour,,PA7C
other bread from wheat flour,,PA7D!
other bread from wheat flour,rolls,PA8A
other bread from wheat flour,rolls,PA8B
other bread from wheat flour,,PA8C
other bread from wheat flour,rolls,PA8D!
other bread from wheat flour,,PA9A
other bread from wheat flour,,PA9B
other bread from wheat flour,,PA9C!
other bread from wheat flour,,PA10
other bread from wheat flour,,PA11A
other bread from wheat flour,,PA11B
other bread from wheat flour,,PA11B
other bread from wheat flour,,PA12A
other bread from wheat flour,,PA12B
other bread from wheat flour,,PA13A
other bread from wheat flour,,PA13B
other bread from wheat flour,,PA14A
other bread from wheat flour,,PA14B
other bread from wheat flour,,PA14C
other bread from wheat flour,,PA15A
other bread from wheat flour,,PA15B
other bread from wheat flour,,PA15C!
other bread from wheat flour,,PA16A
other bread from wheat flour,,PA16B
other bread from wheat flour,,PA16C
other bread from wheat flour,,PA17A
other bread from wheat flour,,PA17B
other bread from wheat flour,,PA18A
other bread from wheat flour,,PA18B!
other bread from wheat flour,,PA19A
other bread from wheat flour,,PA19B
other bread from wheat flour,,PA20A
other bread from wheat flour,,PA20B
other bread from wheat flour,,PA21A
other bread from wheat flour,,PA21B
other bread from wheat flour,,PA22A
other bread from wheat flour,,PA22B
other bread from wheat flour,,PA23A
other bread from wheat flour,,PA23B
other bread from wheat flour,,PA24A
other bread from wheat flour,,PA24B
other bread from wheat flour,,PA25A
other bread from wheat flour,,PA25B
other bread from wheat flour,,PA26A
other bread from wheat flour,,PA26B
other bread from wheat flour,,PA27A
other bread from wheat flour,,PA27B
other bread from wheat flour,,PA28A
other bread from wheat flour,,PA28B!
other bread from wheat flour,,PA29A
other bread from wheat flour,,PA29B
other bread from wheat flour,,PA30A
other bread from wheat flour,,PA30B
other bread from wheat flour,,PA31A
other bread from wheat flour,,PA31B
other bread from wheat flour,rolls,PA32A
other bread from wheat flour,,PA32B
other bread from wheat flour,,PA33A
other bread from wheat flour,,PA33B
other bread from wheat flour,,PA34A
other bread from wheat flour,,PA34B
other bread from wheat flour,,PA34C!
other bread from wheat flour,,PA35A
other bread from wheat flour,,PA35B
other bread from wheat flour,,PA35C
other bread from wheat flour,,PA36A
other bread from wheat flour,,PA36B
other bread from wheat flour,,PA37A
other bread from wheat flour,,PA37B
other bread from wheat flour,,PA37C
other bread from wheat flour,,PA38A
other bread from wheat flour,,PA38B
other bread from wheat flour,,PA39A
other bread from wheat flour,,PA39B
other bread from wheat flour,,PA40A
other bread from wheat flour,rolls,PA40B
other bread from wheat flour,,PA41A
other bread from wheat flour,,PA41B
other bread from wheat flour,,PA42A
other bread from wheat flour,,PA42B
other bread from wheat flour,,PA43A
other bread from wheat flour,,PA43B
other bread from wheat flour,,PA44A
other bread from wheat flour,rolls,PA44B
other bread from wheat flour,,PA45A
other bread from wheat flour,,PA45B
other bread from wheat flour,,PA46A
other bread from wheat flour,,PA46B
other bread from wheat flour,,PA47A
other bread from wheat flour,,PA47B
other bread from wheat flour,,PA48A
other bread from wheat flour,,PA48B
other bread from wheat flour,buns,PA48C
other bread from wheat flour,,PA49A
other bread from wheat flour,,PA49B
other bread from wheat flour,,PA50A
other bread from wheat flour,,PA50B
other bread from wheat flour,,PA50C!
other bread from wheat flour,muffins,PA51A
other bread from wheat flour,muffins,PA51B
other bread from wheat flour,,PA52A
other bread from wheat flour,buns,PA52B!
other bread from wheat flour,,PA53A
other bread from wheat flour,,PA53B
other bread from wheat flour,,PA54A
other bread from wheat flour,,PA54B
other bread from wheat flour,,PA55A
other bread from wheat flour,buns,PA55B
other bread from wheat flour,,PA56A
other bread from wheat flour,,PA56B
other bread from wheat flour,,PA57A
other bread from wheat flour,,PA57B
other bread from wheat flour,,PA58A
other bread from wheat flour,,PA58B
other bread from wheat flour,,PA59A
other bread from wheat flour,,PA59B
other bread from wheat flour,,PA60A
other bread from wheat flour,,PA60B
other bread from wheat flour,,PA61A
other bread from wheat flour,,PA61B
other bread from wheat flour,,PA62A
other bread from wheat flour,,PA62B
other bread from wheat flour,,PA63A
other bread from wheat flour,bins,PA63B
other bread from wheat flour,,PA64A
other bread from wheat flour,,PA64B
other bread from wheat flour,,PA65A
other bread from wheat flour,,PA65B
other bread from wheat flour,light cakes,PA66A
other bread from wheat flour,,PA66B
other bread from wheat flour,,PA67A
other bread from wheat flour,,PA67B
other bread from wheat flour,rolls,WV1!
other bread from wheat flour,light rolls,WV2
other bread from wheat flour,rolls,WV3
other bread from wheat flour,,WV4A
other bread from wheat flour,flat cake,WV4B
other bread from wheat flour,rolls,WV4B
other bread from wheat flour,rolls,WV5
other bread from wheat flour,rolls,WV6A
other bread from wheat flour,rolls,WV6B
other bread from wheat flour,,WV7A
other bread from wheat flour,rolls,WV7B
other bread from wheat flour,,WV8A
other bread from wheat flour,,WV8B
other bread from wheat flour,,WV9A
other bread from wheat flour,,WV9B
other bread from wheat flour,,WV10A
other bread from wheat flour,,WV10B
other bread from wheat flour,,WV10C
other bread from wheat flour,,WV11A
other bread from wheat flour,,WV11B!
other bread from wheat flour,,WV12A
other bread from wheat flour,,WV12B
other bread from wheat flour,,WV13A
other bread from wheat flour,,WV13B
other bread from wheat flour,,WV14A
other bread from wheat flour,,WV14B
other bread from wheat flour,,WV15A
other bread from wheat flour,,WV15B
other bread from wheat flour,,WV16A
other bread from wheat flour,,WV16B
other bread from wheat flour,,WV17A
other bread from wheat flour,,WV17B
other bread from wheat flour,,WV17C
other bread from wheat flour,,WV18A
other bread from wheat flour,,WV18B
other bread from wheat flour,,WV19A
other bread from wheat flour,,WV19B
other bread from wheat flour,,WV20A
other bread from wheat flour,,WV20B
other bread from wheat flour,,WV21A
other bread from wheat flour,,WV21B
other bread from wheat flour,,WV22A
other bread from wheat flour,,WV22B
other bread from wheat flour,,WV23A
other bread from wheat flour,,WV23B
other bread from wheat flour,,WV24A
other bread from wheat flour,,WV24B
other bread from wheat flour,,WV25A
other bread from wheat flour,,WV25B
other bread from wheat flour,,WV26A
other bread from wheat flour,,WV26B
other bread from wheat flour,,WV27A
other bread from wheat flour,,WV27B
other bread from wheat flour,,WV28A
other bread from wheat flour,,WV28B
other bread from wheat flour,,WV29A
other bread from wheat flour,,WV29B
other bread from wheat flour,,WV30A
other bread from wheat flour,,WV30B
other bread from wheat flour,,WV31A
other bread from wheat flour,,WV31B
other bread from wheat flour,,WV32A
other bread from wheat flour,,WV32B
other bread from wheat flour,,WV33A
other bread from wheat flour,,WV33B
other bread from wheat flour,,WV34A
other bread from wheat flour,,WV34B
other bread from wheat flour,,WV35A
other bread from wheat flour,,WV35B
other bread from wheat flour,,WV36A
other bread from wheat flour,,WV36B
other bread from wheat flour,,WV37A
other bread from wheat flour,,WV37B!
other bread from wheat flour,,WV38A
other bread from wheat flour,,WV38B
other bread from wheat flour,,WV39A
other bread from wheat flour,,WV39B
other bread from wheat flour,rolls,WV39C!
other bread from wheat flour,,WV40A
other bread from wheat flour,,WV40B
other bread from wheat flour,,WV41A
other bread from wheat flour,,WV41B
other bread from wheat flour,,WV42A
other bread from wheat flour,,WV42B
other bread from wheat flour,,WV43A
other bread from wheat flour,,WV43B
other bread from wheat flour,,WV44A
other bread from wheat flour,,WV44B
other bread from wheat flour,,WV45A
other bread from wheat flour,,WV45B
other bread from wheat flour,,WV46A
other bread from wheat flour,,WV46B
other bread from wheat flour,,WV47A
other bread from wheat flour,,WV47B
other bread from wheat flour,,WV48A
other bread from wheat flour,,WV48B
other bread from wheat flour,,WV48C
other bread from wheat flour,,WV48D
other bread from wheat flour,,WV49A
other bread from wheat flour,,WV49B
