Target,Response,Informant
over there,yonder,NY1
over there,yonder,NY2B
over there,yonder,NY2C
over there,over yonder,NY3A
over there,yonder,NY3B
over there,over there,NY3B
over there,over yonder,NY3C
over there,over there,NY3C
over there,yonder,NY3D
over there,over there,NY3D
over there,over yonder,NY4A
over there,over yonder,NY4B
over there,over there,NY4C
over there,over there,NY5A
over there,over there,NY5B
over there,over there,NY5C
over there,over there,NY5D
over there,over there,NY5E
over there,over there,NY5F
over there,over there,NY5G
over there,over there,NY5H!
over there,over there,NY5I!
over there,over there,NY6A
over there,over there,NY6B
over there,over there,NY7A
over there,over there,NY7B
over there,over there,NY7C
over there,over yonder,NY7D
over there,over there,NY7E
over there,over yonder,NY7F
over there,over yonder,NY7G
over there,over there,NY7H
over there,over there,NY7I
over there,over yonder,NY7J!
over there,over there,NY7K!
over there,over there,NY7L!
over there,over there,NY7M!
over there,over there,NY8
over there,over there,NY9A
over there,over yonder,NY9A
over there,over there,NY9B
over there,over there,NY9C
over there,over yonder,NY10A
over there,over yonder,NY10B!
over there,over there,NY11
over there,over yonder,NY11
over there,over yonder,NY12A
over there,over yonder,NY12A
over there,over there,NY12B
over there,over there,NY12C!
over there,over there,NY13A
over there,over yonder,NY13A
over there,over yonder,NY13B!
over there,over there,NY14A
over there,over there,NY14B
over there,over there,NY15A
over there,over yonder,NY15B
over there,over there,NY15B
over there,over yonder,NY16A
over there,over yonder,NY16B
over there,over yonder,NY17A
over there,over there,NY17A
over there,yonder,NY17B
over there,over there,NY17B
over there,back yonder,NY18A
over there,over there,NY18B
over there,over there,NY18C!
over there,over there,NY19
over there,over there,NY20A
over there,over there,NY20B
over there,yonder,NY20B
over there,over there,NY21
over there,over yonder,NY22
over there,over there,NY22
over there,out there,NY23A
over there,back yonder,NY23A
over there,over there,NY23A
over there,up yonder,NY23B
over there,in yonder,NY23B
over there,up there,NY23B
over there,across there,NY23B
over there,over here,NY23B
over there,over there,NY23C
over there,over yonder,NY24A
over there,over there,NY24B!
over there,over there,NY25A
over there,beyond,NY25A
over there,over yonder,NY25A
over there,way back there,NY25B
over there,up there,NY25B
over there,over there,NY25B
over there,over there,NY26A
over there,over there,NY26A
over there,over there,NY26B
over there,over there,NY26B
over there,over there,NY26B
over there,up there,NY26C
over there,up there,NY26C
over there,over there,NY27A
over there,up there,NY27A
over there,up there,NY27A
over there,up there,NY27A
over there,over there,NY27B
over there,up there,NY27C
over there,over there,NY28A
over there,over there,NY28B
over there,over there,NY28B
over there,down there,NY28B
over there,,NY28C
over there,up there,NY29A
over there,over there,NY29B
over there,over here,NY29B
over there,over yonder,NY29B
over there,over here,NY29B
over there,over there,NY29C
over there,beyond,NY30A
over there,over there,NY30A
over there,back in there,NY30A
over there,over there,NY30B
over there,up there,NY30C
over there,over there,NY30C
over there,over there,NY30D
over there,up there,NY30D
over there,over there,NY30E
over there,up there,NY31A
over there,down there,NY31A
over there,back there,NY31A
over there,down there,NY31A
over there,way back there,NY31A
over there,over there,NY31A
over there,over there,NY31B
over there,over there,NY32A
