Target,Response,Informant
pallet,,NY1
pallet,,NY2A
pallet,,NY2B
pallet,,NY2C
pallet,,NY3A
pallet,,NY3B
pallet,,NY3C
pallet,,NY3D
pallet,,NY4A
pallet,,NY4B
pallet,,NY4C
pallet,,NY5A
pallet,,NY5B
pallet,,NY5C
pallet,,NY5D
pallet,,NY5E
pallet,,NY5F
pallet,,NY5G
pallet,,NY5H!
pallet,,NY5I!
pallet,,NY6A
pallet,,NY6B
pallet,,NY7A
pallet,,NY7B
pallet,,NY7C
pallet,,NY7D
pallet,,NY7E
pallet,,NY7F
pallet,,NY7G
pallet,,NY7H
pallet,,NY7I
pallet,,NY7J!
pallet,,NY7K!
pallet,,NY7L!
pallet,bunk,NY7M!
pallet,,NY8
pallet,,NY9A
pallet,,NY9B
pallet,,NY9C
pallet,,NY10A
pallet,bunk,NY10B!
pallet,,NY11
pallet,bunk,NY12A
pallet,,NY12B
pallet,,NY12C!
pallet,bunk,NY13A
pallet,,NY13B!
pallet,,NY14A
pallet,bunk,NY14B
pallet,bunk,NY15A
pallet,bunk,NY15B
pallet,bunk,NY16A
pallet,,NY16B
pallet,bunk,NY17A
pallet,,NY17B
pallet,,NY18A
pallet,,NY18B
pallet,,NY18C!
pallet,,NY19
pallet,,NY20A
pallet,shakedown,NY20B
pallet,,NY21
pallet,bunk,NY22
pallet,,NY23A
pallet,,NY23B
pallet,,NY23C
pallet,,NY24A
pallet,,NY24B!
pallet,,NY25A
pallet,,NY25B
pallet,mattresses,NY26A
pallet,straw tick,NY26A
pallet,,NY26B
pallet,,NY26C
pallet,,NY27A
pallet,,NY27B
pallet,,NY27C
pallet,,NY28A
pallet,,NY28B
pallet,,NY28C
pallet,,NY29A
pallet,,NY29B
pallet,straw ticks,NY29C
pallet,tick,NY30A
pallet,,NY30B
pallet,,NY30C
pallet,,NY30D
pallet,,NY30E
pallet,,NY31A
pallet,,NY31B
pallet,,NY32A
pallet,,NY32B
pallet,,NY33A
pallet,,NY33B
pallet,,NY33C
pallet,,NY34A
pallet,,NY34B
pallet,featherbed,NY34C
pallet,,NY34D!
pallet,,NY35A
pallet,,NY35B
pallet,,NY35C!
pallet,,NY36A
pallet,,NY36B
pallet,,NY37A
pallet,,NY37B
pallet,bunk,NY37C!
pallet,,NY38A
pallet,,NY38B
pallet,,NY38C
pallet,,NY39A
pallet,,NY39B
pallet,bunk,NY40A
pallet,,NY40B
pallet,,NY41
pallet,,NY42A
pallet,,NY42B
pallet,bunk,NY43A
pallet,,NY43B
pallet,,NY43C!
pallet,,NY44A
pallet,,NY44B
pallet,,NY45A
pallet,,NY45B
pallet,,NY45C
pallet,,NY45D!
pallet,,NY46A
pallet,bollick,NY46B
pallet,trumble bed,NY46B
pallet,bollick,NY46B
pallet,bunk,NY46C
pallet,feather tick,NY47A
pallet,,NY47B
pallet,,NY48A
pallet,,NY48B
pallet,,NY48C
pallet,,NY48D
pallet,feather tick,NY49A
pallet,,NY49B
pallet,,NY49C
pallet,,NY49D
pallet,,NY50A
pallet,,NY50B
pallet,mattress,NY51A
pallet,featherbeds,NY51A
pallet,,NY51B
pallet,,NY51C
pallet,,NY51D
pallet,,NY51E!
pallet,,NY52A
pallet,,NY52B
pallet,,NY52C
pallet,trundle bed,NY53A
pallet,,NY53B!
pallet,,NY54A
pallet,,NY54B
pallet,,NY55A
pallet,featherbeds,NY55B
pallet,over floor,NY56A
pallet,,NY56B
pallet,cord bedstead,NY57A
pallet,featherbed,NY57B
pallet,,NY57C!
pallet,,NY58A
pallet,featherbed,NY58B
pallet,bed,NY58C
pallet,,NY58D!
pallet,,NY58E!
pallet,,NY58F!
pallet,straw mattresses,NY59A
pallet,bunk,NY59B
pallet,,NY60A
pallet,,NY60B!
pallet,,NY61A
pallet,featherbed,NY61B
pallet,,NY62A
pallet,cord bedstead,NY62B
pallet,featherbeds,NY62B
pallet,,NY62C
pallet,,NY62D!
pallet,featherbed,NY63A
pallet,,NY63B
pallet,bunk,NY63C
pallet,,NY63D!
pallet,featherbed,NY64A
pallet,straw ticks,NY64A
pallet,,NY64B
pallet,,NY64C!
pallet,,NJ1A
pallet,,NJ1B
pallet,,NJ2A
pallet,,NJ2B
pallet,floor bed,NJ3A
pallet,,NJ3B
pallet,,NJ4A
pallet,,NJ4B
pallet,bunk,NJ5A
pallet,bunk,NJ5B
pallet,,NJ6A
pallet,,NJ6B
pallet,,NJ7A
pallet,,NJ7B!
pallet,bunk,NJ8A
pallet,shakedown,NJ8B
pallet,,NJ9A
pallet,,NJ9B
pallet,,NJ10A
pallet,bunk,NJ10B
pallet,bunk,NJ10C
pallet,,NJ10D!
pallet,,NJ11A
pallet,,NJ11B
pallet,,NJ11C
pallet,,NJ12A
pallet,bunk,NJ12B
pallet,bunk,NJ13A
pallet,,NJ13B
pallet,bunk,NJ14A
pallet,,NJ14B
pallet,bunk,NJ15A
pallet,bunk,NJ15B
pallet,bunk,NJ16A
pallet,bunk,NJ16B
pallet,bunk,NJ17A
pallet,,NJ17B
pallet,,NJ18A
pallet,,NJ18B
pallet,,NJ18C!
pallet,,NJ18D!
pallet,,NJ19A
pallet,,NJ19B!
pallet,,NJ20A
pallet,,NJ20B
pallet,,NJ21A
pallet,,NJ21B
pallet,bunk,PA1A
pallet,bunk,PA1B
pallet,,PA1C
pallet,bunk,PA1D
pallet,shakedown,PA1E!
pallet,bunk,PA1E!
pallet,,PA1F!
pallet,bunk,PA1G!
pallet,,PA1H!
pallet,,PA2A
pallet,,PA2B
pallet,,PA3A
pallet,,PA3B
pallet,bunk,PA3C
pallet,,PA4A
pallet,bunk,PA4B!
pallet,bunk,PA5A
pallet,bunk,PA5A
pallet,,PA5B
pallet,bunk,PA5C
pallet,bunk,PA5D
pallet,bunk,PA5E!
pallet,strawback,PA6A
pallet,Sprausack,PA6A
pallet,,PA6B
pallet,,PA6C
pallet,,PA6D!
pallet,bunk,PA7A
pallet,bunk,PA7B
pallet,,PA7C
pallet,,PA7D!
pallet,bunk,PA8A
pallet,bunk,PA8B
pallet,bunk,PA8C
pallet,shakedown,PA8D!
pallet,,PA9A
pallet,,PA9B
pallet,pallet,PA9C!
pallet,bunk,PA10
pallet,,PA11A
pallet,bunk,PA11B
pallet,bunk,PA12A
pallet,bunk,PA12B
pallet,bunk,PA13A
pallet,bunk,PA13B
pallet,,PA14A
pallet,bunk,PA14B
pallet,,PA14C
pallet,bunk,PA15A
pallet,bunk,PA15B
pallet,shakedown,PA15C!
pallet,,PA16A
pallet,,PA16B
pallet,bunk,PA16C
pallet,,PA17A
pallet,,PA17B
pallet,bunk,PA18A
pallet,,PA18B!
pallet,bunk,PA19A
pallet,bunk,PA19B
pallet,bunk,PA20A
pallet,,PA20B
pallet,bunk,PA21A
pallet,bunk,PA21B
pallet,bunk,PA22A
pallet,bunk,PA22B
pallet,bunk,PA23A
pallet,bunk,PA23B
pallet,bunk,PA24A
pallet,bunk,PA24B
pallet,bunk,PA25A
pallet,bunk,PA25B
pallet,bunk,PA26A
pallet,bunk,PA26B
pallet,bunk,PA27A
pallet,bunk,PA27B
pallet,bunk,PA28A
pallet,bunk,PA28B!
pallet,bunk,PA29A
pallet,,PA29B
pallet,bunk,PA30A
pallet,bunk,PA30B
pallet,,PA31A
pallet,,PA31B
pallet,bunk,PA32A
pallet,bunk,PA32B
pallet,,PA33A
pallet,,PA33B
pallet,bunk,PA34A
pallet,bunk,PA34B
pallet,bunk,PA34C!
pallet,bunk,PA35A
pallet,bunk,PA35B
pallet,,PA35C
pallet,bunk,PA36A
pallet,bunk,PA36B
pallet,,PA37A
pallet,bunk,PA37B
pallet,bunk,PA37C
pallet,,PA38A
pallet,bunk,PA38B
pallet,bunk,PA39A
pallet,bunk,PA39B
pallet,bunk,PA40A
pallet,bunk,PA40B
pallet,bunk,PA41A
pallet,bunk,PA41B
pallet,bunk,PA42A
pallet,bunk,PA42B
pallet,,PA43A
pallet,bunk,PA43B
pallet,bunk,PA44A
pallet,bunk,PA44B
pallet,,PA45A
pallet,,PA45B
pallet,,PA46A
pallet,,PA46B
pallet,,PA47A
pallet,,PA47B
pallet,,PA48A
pallet,bunk,PA48B
pallet,,PA48C
pallet,,PA49A
pallet,,PA49B
pallet,,PA50A
pallet,,PA50B
pallet,,PA50C!
pallet,,PA51A
pallet,,PA51B
pallet,,PA52A
pallet,,PA52B!
pallet,,PA53A
pallet,,PA53B
pallet,,PA54A
pallet,,PA54B
pallet,bunk,PA55A
pallet,,PA55B
pallet,,PA56A
pallet,,PA56B
pallet,,PA57A
pallet,,PA57B
pallet,,PA58A
pallet,,PA58B
pallet,,PA59A
pallet,,PA59B
pallet,,PA60A
pallet,,PA60B
pallet,,PA61A
pallet,,PA61B
pallet,,PA62A
pallet,,PA62B
pallet,,PA63A
pallet,,PA63B
pallet,,PA64A
pallet,,PA64B
pallet,,PA65A
pallet,,PA65B
pallet,,PA66A
pallet,,PA66B
pallet,,PA67A
pallet,,PA67B
pallet,pallet,WV1!
pallet,bunk,WV2
pallet,pallet,WV3
pallet,pallet,WV4A
pallet,pallet,WV4B
pallet,,WV5
pallet,pallet,WV6A
pallet,pallet,WV6B
pallet,pallet,WV7A
pallet,pallet,WV7B
pallet,bunk,WV8A
pallet,,WV8B
pallet,,WV9A
pallet,bunk,WV9B
pallet,bunk,WV10A
pallet,bunk,WV10B
pallet,bunk,WV10C
pallet,,WV11A
pallet,pallet,WV11B!
pallet,bunk,WV12A
pallet,pallet,WV12A
pallet,,WV12B
pallet,pallet,WV13A
pallet,pallet,WV13B
pallet,bunk,WV14A
pallet,,WV14B
pallet,pallet,WV15A
pallet,,WV15B
pallet,,WV16A
pallet,bunk,WV16B
pallet,bunk,WV17A
pallet,bunk,WV17B
pallet,bunk,WV17C
pallet,pallet,WV18A
pallet,bunk,WV18B
pallet,pallet,WV19A
pallet,bunk,WV19B
pallet,,WV20A
pallet,pallet,WV20B
pallet,pallet,WV21A
pallet,pallet,WV21B
pallet,pallet,WV22A
pallet,bunk,WV22B
pallet,pallet,WV23A
pallet,pallet,WV23B
pallet,pallet,WV24A
pallet,pallet,WV24B
pallet,pallet,WV25A
pallet,pallet,WV25B
pallet,pallet,WV26A
pallet,pallet,WV26B
pallet,pallet,WV27A
pallet,pallet,WV27B
pallet,pallet,WV28A
pallet,pallet,WV28B
pallet,pallet,WV29A
pallet,pallet,WV29B
pallet,pallet,WV30A
pallet,pallet,WV30B
pallet,pallet,WV31A
pallet,pallet,WV31B
pallet,pallet,WV32A
pallet,pallet,WV32B
pallet,pallet,WV33A
pallet,pallet,WV33B
pallet,pallet,WV34A
pallet,pallet,WV34B
pallet,pallet,WV35A
pallet,pallet,WV35B
pallet,pallet,WV36A
pallet,pallet,WV36B
pallet,pallet,WV37A
pallet,pallet,WV37B!
pallet,pallet,WV38A
pallet,pallet,WV38B
pallet,pallet,WV39A
pallet,bunk,WV39A
pallet,pallet,WV39B
pallet,pallet,WV39C!
pallet,pallet,WV40A
pallet,pallet,WV40B
pallet,pallet,WV41A
pallet,pallet,WV41B
pallet,pallet,WV42A
pallet,pallet,WV42B
pallet,bunk,WV42B
pallet,pallet,WV43A
pallet,pallet,WV43B
pallet,pallet,WV44A
pallet,bunk,WV44B
pallet,pallet,WV44B
pallet,bunk,WV45A
pallet,bunk,WV45B
pallet,bunk,WV46A
pallet,bunk,WV46B
pallet,pallet,WV47A
pallet,bunk,WV47B
pallet,bunk,WV48A
pallet,bunk,WV48B
pallet,bunk,WV48C
pallet,bunk,WV48D
pallet,bunk,WV49A
pallet,bunk,WV49B
pallet,bunk,WV50A
pallet,bunk,WV50B
pallet,bunk,WV51A
pallet,bunk,WV51B
pallet,bunk,WV52A
pallet,bunk,WV52B
pallet,bunk,WV52C!
pallet,bunk,WV53A
pallet,,WV53B
pallet,pallet,WV53C!
pallet,,WV54A
pallet,,WV54B
pallet,,DE1A
pallet,,DE1B
pallet,,DE1C!
pallet,,DE2A
pallet,,DE2B
pallet,pallet,DE2C
pallet,bunk,DE3A
pallet,,DE3B
pallet,lodge,DE3C!
pallet,lodge,DE4
pallet,bunk,DE5A
pallet,spread,DE5B
pallet,,DE6A
pallet,,DE6B
pallet,,MD1A
pallet,,MD1B
pallet,pallet,MD2A
pallet,bunk,MD2B
pallet,floor bed,MD3A
pallet,,MD3B
pallet,bunk,MD4A
pallet,bunk,MD4B
pallet,,MD4C
pallet,,MD5A
pallet,,MD5B
pallet,pallet,MD6A
pallet,bunk,MD6B
pallet,spread,MD7A
pallet,lodge,MD7A
pallet,bunk,MD7A
pallet,lodge,MD7B
pallet,,MD7C!
pallet,lodge,MD8A
pallet,spread,MD8B
pallet,bunk,MD8B
pallet,lodge,MD9N
pallet,pad,MD9A
pallet,spread,MD9A
pallet,,MD9B
pallet,,MD10A
pallet,bunk,MD10B
pallet,bunk,MD11
pallet,pallet,MD12A
pallet,bunk,MD12B
pallet,pallet,MD13A
pallet,bunk,MD13B
pallet,bunk,MD13C
pallet,pallet,MD13D!
pallet,pallet,MD13E!
pallet,pallet,MD13F!
pallet,pallet,MD13G
pallet,,MD14
pallet,pallet,MD15A
pallet,bunk,MD15A
pallet,pallet,MD15B
pallet,bed on the floor,MD16
pallet,,MD17A
pallet,,MD17B
pallet,pallet,MD18A
pallet,pallet,MD18B
pallet,pallet,MD19A
pallet,pallet,MD19B
pallet,pallet,MD20A
pallet,pallet,MD20B
pallet,,MD20C!
pallet,pallet,MD21A
pallet,pallet,MD21B
pallet,pallet,MD22N
pallet,pallet,MD22M
pallet,pallet,MD22A
pallet,pallet,MD22B
pallet,pallet,MD22C!
pallet,pallet,MD23A
pallet,pallet,MD23B
pallet,pallet,MD23C
pallet,pallet,MD24
pallet,bunk,MD25
pallet,,MD26A
pallet,pallet,MD26B
pallet,pallet,MD27A
pallet,,MD27B
pallet,pallet,DC1A
pallet,pallet,DC1B!
pallet,pallet,VA1!
pallet,pallet,VA2A
pallet,pallet,VA2B
pallet,pallet,VA3A
pallet,pallet,VA3B
pallet,bunk,VA3B
pallet,,VA3C
pallet,pallet,VA4N
pallet,pallet,VA5A
pallet,pallet,VA5B
pallet,pallet,VA6A
pallet,pallet,VA6B
pallet,pallet,VA7A
pallet,pallet,VA7B
pallet,pallet,VA8A
pallet,pallet,VA8B
pallet,pallet,VA8C!
pallet,pallet,VA9A
pallet,pallet,VA9B!
pallet,pallet,VA10A
pallet,pallet,VA10B
pallet,pallet,VA11A
pallet,pallet,VA11B
pallet,pallet,VA12N
pallet,pallet,VA12A
pallet,pallet,VA12B!
pallet,pallet,VA13A
pallet,pallet,VA13B
pallet,pallet,VA14A
pallet,pallet,VA14B
pallet,pallet,VA14C
pallet,pallet,VA15N
pallet,pallet,VA15A
pallet,pallet,VA15B
pallet,pallet,VA16A
pallet,pallet,VA16B
pallet,pallet,VA17A
pallet,pallet,VA17B
pallet,bunk,VA17B
pallet,pallet,VA18
pallet,,VA19A
pallet,pallet,VA19B
pallet,pallet,VA19C!
pallet,pallet,VA20A
pallet,pallet,VA20B
pallet,pallet,VA20C
pallet,pallet,VA21N
pallet,pallet,VA21A
pallet,,VA21B
pallet,pallet,VA22
pallet,pallet,VA23A
pallet,pallet,VA23B
pallet,pallet,VA24
pallet,lodge,VA25
pallet,lodge,VA25
pallet,pallet,VA26A
pallet,lodge,VA26A
pallet,lodge,VA26B
pallet,pallet,VA26C
pallet,lodge,VA27
pallet,lodge,VA27
pallet,pallet,VA28A
pallet,pallet,VA28B
pallet,pallet,VA29
pallet,pallet,VA30A
pallet,pallet,VA30B!
pallet,pallet,VA30C!
pallet,pallet,VA30D!
pallet,pallet,VA30E!
pallet,pallet,VA31A
pallet,pallet,VA31A
pallet,pallet,VA31B
pallet,,VA31C
pallet,pallet,VA32!
pallet,pallet,VA33A
pallet,pallet,VA33B
pallet,pallet,VA34A
pallet,pallet,VA34B
pallet,pallet,VA35A
pallet,pallet,VA35B
pallet,pallet,VA36A
pallet,pallet,VA36B
pallet,pallet,VA37
pallet,pallet,VA38
pallet,pallet,VA39!
pallet,pallet,VA40A
pallet,pallet,VA40B
pallet,pallet,VA41A
pallet,pallet,VA41B
pallet,pallet,VA42A
pallet,pallet,VA42B
pallet,pallet,VA43N
pallet,pallet,VA43A
pallet,pallet,VA43B
pallet,pallet,VA44A
pallet,pallet,VA44B
pallet,pallet,VA45A
pallet,pallet,VA45B
pallet,,VA46N
pallet,pallet,VA46A
pallet,pallet,VA46B!
pallet,pallet,VA47
pallet,pallet,VA48A
pallet,pallet,VA48B
pallet,pallet,VA49A
pallet,pallet,VA49B
pallet,pallet,VA50A
pallet,pallet,VA50B
pallet,pallet,VA51A
pallet,,VA51B
pallet,pallet,VA51C
pallet,pallet,VA52A
pallet,pallet,VA52B
pallet,pallet,VA52C!
pallet,bed on the floor,VA53A
pallet,pallet,VA53B
pallet,pallet,VA54A
pallet,pallet,VA54B
pallet,pallet,VA55A
pallet,pallet,VA55A
pallet,pallet,VA55B
pallet,bunk,VA56A
pallet,pallet,VA56B
pallet,pallet,VA57A
pallet,pallet,VA57B
pallet,pallet,VA58
pallet,pallet,VA58
pallet,pallet,VA59N
pallet,,VA59A
pallet,pallet,VA59B!
