Target,Response,Informant
pancakes,griddle cakes,NY1
pancakes,pancakes,NY1
pancakes,griddle cakes,NY2A
pancakes,pancakes,NY2A
pancakes,flapjacks,NY2A
pancakes,pancakes,NY2B
pancakes,flapjacks,NY2B
pancakes,griddle cakes,NY2B
pancakes,griddle cakes,NY2C
pancakes,pancakes,NY2C
pancakes,flapjacks,NY2C
pancakes,pancakes,NY3A
pancakes,wheat cakes,NY3A
pancakes,griddle cakes,NY3A
pancakes,Indian cakes,NY3A
pancakes,pancakes,NY3B
pancakes,flapjacks,NY3B
pancakes,pancakes,NY3C
pancakes,griddle cakes,NY3D
pancakes,pancakes,NY3D
pancakes,flapjacks,NY3D
pancakes,wheat cakes,NY4A
pancakes,flapjacks,NY4A
pancakes,my favorite,NY4B
pancakes,pancakes,NY4B
pancakes,flapjacks,NY4B
pancakes,pancakes,NY4C
pancakes,pancakes,NY5A
pancakes,griddle cakes,NY5B
pancakes,pancakes,NY5B
pancakes,pancakes,NY5C
pancakes,griddle cakes,NY5C
pancakes,pancake,NY5D
pancakes,pancakes,NY5E
pancakes,griddle cakes,NY5E
pancakes,griddle cakes,NY5F
pancakes,pancakes,NY5F
pancakes,pancakes,NY5G
pancakes,griddle cakes,NY5G
pancakes,wheat cakes,NY5H!
pancakes,pancakes,NY5H!
pancakes,corn fritters,NY5H!
pancakes,wheat cakes,NY5I!
pancakes,griddle cakes,NY5I!
pancakes,wheat cakes,NY5I!
pancakes,flapjacks,NY6A
pancakes,pancakes,NY6A
pancakes,pancakes,NY6B
pancakes,pancakes,NY7A
pancakes,flapjacks,NY7A
pancakes,pancakes,NY7B
pancakes,flapjacks,NY7B
pancakes,pancake,NY7C
pancakes,pat-a-cakes,NY7C
pancakes,pancakes,NY7D
pancakes,pancakes,NY7E
pancakes,flapjacks,NY7F
pancakes,pancakes,NY7F
pancakes,pancakes,NY7G
pancakes,pancakes,NY7H
pancakes,wheat cakes,NY7H
pancakes,griddle cakes,NY7I
pancakes,pancakes,NY7I
pancakes,griddle cakes,NY7J!
pancakes,pancakes,NY7J!
pancakes,pancakes,NY7K!
pancakes,flapjacks,NY7K!
pancakes,pancakes,NY7L!
pancakes,griddle cakes,NY7M!
pancakes,griddle cakes,NY8
pancakes,pancakes,NY8
pancakes,pancakes,NY9A
pancakes,griddle cakes,NY9B
pancakes,pancakes,NY9B
pancakes,griddle cakes,NY9C
pancakes,pancakes,NY9C
pancakes,pancakes,NY10A
pancakes,pancakes,NY10B!
pancakes,griddle cakes,NY10B!
pancakes,griddle cakes,NY11
pancakes,pancakes,NY11
pancakes,pancakes,NY12A
pancakes,pancakes,NY12A
pancakes,flapjacks,NY12A
pancakes,pancakes,NY12B
pancakes,pancakes,NY12B
pancakes,pancakes,NY12C!
pancakes,griddle cakes,NY12C!
pancakes,olie koek,NY12C!
pancakes,pancakes,NY13A
pancakes,griddles,NY13A
pancakes,pancakes,NY13B!
pancakes,pancakes,NY13B!
pancakes,pancakes,NY14A
pancakes,pancakes,NY14A
pancakes,pancake,NY14B
pancakes,pancakes,NY15A
pancakes,pancakes,NY15B
pancakes,pancakes,NY15B
pancakes,pancakes,NY16A
pancakes,pancakes,NY16A
pancakes,pancakes,NY16B
pancakes,pancakes,NY17A
pancakes,griddle cakes,NY17A
pancakes,pancakes,NY17B
pancakes,pancake,NY18A
pancakes,pancake,NY18B
pancakes,pancakes,NY18C!
pancakes,griddle cakes,NY18C!
pancakes,pancakes,NY19
pancakes,pancake,NY20A
pancakes,pancakes,NY20B
pancakes,pancake,NY21
pancakes,pancake,NY22
pancakes,pancake,NY22
pancakes,pancakes,NY23A
pancakes,pancakes,NY23B
pancakes,buckwheat,NY23B
pancakes,flapjacks,NY23B
pancakes,pancakes,NY23B
pancakes,potato cakes,NY23B
pancakes,buckwheat cakes,NY23C
pancakes,pancakes,NY23C
pancakes,pancakes,NY24A
