Target,Response,Informant
parlor,sitting room,NY1
parlor,living room,NY1
parlor,rented,NY1
parlor,setting room,NY2A
parlor,rented,NY2A
parlor,sitting room,NY2B
parlor,rented,NY2B
parlor,living room,NY2C
parlor,sitting room,NY2C
parlor,rented,NY2C
parlor,sitting room,NY2C
parlor,living room,NY2C
parlor,sitting room,NY3A
parlor,living room,NY3B
parlor,parlor,NY3B
parlor,sitting room,NY3B
parlor,sitting room,NY3C
parlor,living room,NY3C
parlor,parlor,NY3D
parlor,setting room,NY3D
parlor,parlor,NY4A
parlor,sitting room,NY4A
parlor,setting room,NY4B
parlor,sitting room,NY4C
parlor,living room,NY4C
parlor,sitting room,NY5A
parlor,parlor,NY5B
parlor,setting room,NY5B
parlor,living room,NY5B
parlor,front room,NY5C
parlor,living room,NY5C
parlor,parlor,NY5D
parlor,living room,NY5D
parlor,parlor,NY5E
parlor,living room,NY5E
parlor,best room,NY5E
parlor,living room,NY5F
parlor,parlor,NY5F
parlor,living room,NY5G
parlor,parlor,NY5G
parlor,living room,NY5H!
parlor,sitting room,NY5H!
parlor,parlor,NY5H!
parlor,parlor,NY5H!
parlor,sitting room,NY5I!
parlor,living room,NY5I!
parlor,sitting room,NY6A
parlor,living room,NY6B
parlor,front room,NY7A
parlor,living room,NY7A
parlor,living room,NY7B
parlor,parlor,NY7B
parlor,front room,NY7B
parlor,front room,NY7C
parlor,living room,NY7C
parlor,parlor,NY7D
parlor,living room,NY7D
parlor,sitting room,NY7E
parlor,living room,NY7F
parlor,parlor,NY7F
parlor,living room,NY7G
parlor,front room,NY7G
parlor,parlor,NY7G
parlor,living room,NY7H
parlor,front room,NY7H
parlor,parlor,NY7H
parlor,parlor,NY7I
parlor,living room,NY7I
parlor,drawing room,NY7J!
parlor,parlor,NY7J!
parlor,living room,NY7J!
parlor,library,NY7J!
parlor,library,NY7K!
parlor,front parlor,NY7K!
parlor,living room,NY7K!
parlor,back parlor,NY7K!
parlor,second drawing room,NY7L!
parlor,drawing room,NY7L!
parlor,living room,NY7L!
parlor,library,NY7L!
parlor,parlor,NY7M!
parlor,library,NY7M!
parlor,living room,NY7M!
parlor,parlor,NY8
parlor,sitting room,NY8
parlor,living room,NY8
parlor,parlor,NY9A
parlor,living room,NY9A
parlor,front parlor,NY9B
parlor,back parlor,NY9B
parlor,sitting room,NY9B
parlor,sitting room,NY9C
parlor,front parlor,NY9C
parlor,back parlor,NY9C
parlor,front room,NY10A
parlor,parlor,NY10A
parlor,living room,NY10A
parlor,library,NY10B!
parlor,sitting room,NY10B!
parlor,living room,NY10B!
parlor,living room,NY11
parlor,parlor,NY11
parlor,living room,NY12A
parlor,parlor,NY12A
parlor,parlor,NY12A
parlor,setting room,NY12A
parlor,parlor,NY12B
parlor,living room,NY12B
parlor,sitting room,NY12B
parlor,back parlor,NY12C!
parlor,living room,NY12C!
parlor,back parlor,NY12C!
parlor,parlor,NY13A
parlor,front room,NY13A
parlor,little sitting room,NY13B!
parlor,living room,NY13B!
parlor,setting room,NY14A
parlor,sitting room,NY14B
parlor,living room,NY14B
parlor,setting room,NY15A
parlor,parlor,NY15A
parlor,living room,NY15B
parlor,sitting room,NY15B
parlor,living room,NY16A
parlor,parlor,NY16A
parlor,sitting room,NY16B
parlor,setting room,NY17A
parlor,living room,NY17A
parlor,parlor,NY17B
parlor,living room,NY17B
parlor,sitting room,NY17B
parlor,front room,NY18A
parlor,setting room,NY18A
parlor,parlor,NY18A
parlor,living room,NY18B
parlor,front room,NY18B
parlor,parlor,NY18C!
parlor,living room,NY18C!
parlor,library,NY18C!
parlor,sitting room,NY18C!
parlor,parlor,NY19
parlor,sitting room,NY20A
parlor,parlor,NY20A
parlor,living room,NY20B
parlor,parlor,NY20B
parlor,setting room,NY21
parlor,living room,NY21
parlor,parlor,NY21
parlor,setting room,NY22
parlor,living room,NY22
parlor,parlor,NY23A
parlor,setting room,NY23A
parlor,big room,NY23B
parlor,parlor,NY23B
parlor,living room,NY23B
parlor,parlor,NY23C
parlor,front room,NY23C
parlor,sitting room,NY23C
parlor,sitting room,NY24A
parlor,front room,NY24B!
parlor,living room,NY24B!
parlor,parlor,NY24B!
parlor,living room,NY25A
parlor,living room,NY25A
parlor,parlor,NY25A
parlor,parlor,NY25B
parlor,living room,NY25B
parlor,sitting room,NY25B
parlor,setting room,NY26A
parlor,dining room,NY26A
parlor,parlor,NY26A
parlor,sitting room,NY26B
parlor,living room,NY26B
parlor,living room,NY26B
parlor,parlor,NY26B
parlor,living room,NY26C
parlor,living room,NY27A
parlor,parlor,NY27A
parlor,living room,NY27B
parlor,parlor,NY27B
parlor,sitting room,NY27B
parlor,living room,NY27C
parlor,sitting room,NY27C
parlor,parlor,NY27C
parlor,parlors,NY28A
parlor,living room,NY28A
parlor,parlor,NY28B
parlor,living room,NY28B
parlor,sitting room,NY28B
parlor,parlor,NY28C
parlor,living room,NY28C
parlor,parlor,NY29A
parlor,sitting room,NY29A
parlor,parlor,NY29B
parlor,front room,NY29B
parlor,front room,NY29B
parlor,parlor,NY29B
parlor,living room,NY29C
parlor,sitting room,NY29C
parlor,parlor,NY29C
parlor,setting room,NY29C
parlor,parlor,NY30A
parlor,living room,NY30B
parlor,parlor,NY30B
parlor,sitting room,NY30B
parlor,parlor,NY30C
parlor,no man's lands,NY30C
parlor,living room,NY30C
parlor,sitting room,NY30D
parlor,parlor,NY30D
parlor,parlors,NY30E
parlor,living room,NY30E
parlor,morgue,NY30E
parlor,living room,NY31A
parlor,parlor,NY31A
parlor,front room,NY31A
parlor,living room,NY31B
parlor,parlor,NY31B
parlor,sitting room,NY32A
parlor,living room,NY32A
parlor,parlor,NY32B
parlor,parlor,NY32B
parlor,living room,NY32B
parlor,front room,NY33A
parlor,living room,NY33A
parlor,parlor,NY33B
parlor,living room,NY33B
parlor,living room,NY33C
parlor,sitting room,NY34A
parlor,parlor,NY34A
parlor,front parlor,NY34B
parlor,back parlor,NY34B
parlor,parlor,NY34C
parlor,living room,NY34C
parlor,double parlor,NY34D!
parlor,sitting room,NY34D!
parlor,living rooms,NY34D!
parlor,drawing room,NY34D!
parlor,parlor,NY35A
parlor,living room,NY35A
parlor,living room,NY35B
parlor,parlor,NY35B
parlor,living room,NY35C!
parlor,library,NY35C!
parlor,setting room,NY36A
parlor,sitting room,NY36B
parlor,living room,NY36B
parlor,setting room,NY37A
parlor,living room,NY37A
parlor,parlor,NY37A
parlor,living room,NY37B
parlor,living room,NY37C!
parlor,parlor,NY37C!
parlor,living room,NY38A
parlor,sitting room,NY38A
parlor,living room,NY38B
parlor,parlor,NY38C
parlor,living room,NY38C
parlor,setting room,NY39A
parlor,parlor,NY39B
parlor,living room,NY39B
parlor,setting room,NY40A
parlor,parlor,NY40A
parlor,living room,NY40B
parlor,sitting room,NY40B
parlor,parlor,NY40B
parlor,parlor,NY41
parlor,living room,NY41
parlor,sitting room,NY41
parlor,parlor,NY42A
parlor,living room,NY42A
parlor,front room,NY42B
parlor,setting room,NY43A
parlor,sitting room,NY43B
parlor,living room,NY43C!
parlor,living room,NY44A
parlor,parlor,NY44A
parlor,sitting room,NY44B
parlor,living room,NY45A
parlor,parlor,NY45A
parlor,living room,NY45A
parlor,sitting room,NY45B
parlor,sitting room,NY45B
parlor,living room,NY45B
parlor,parlor,NY45B
parlor,parlor,NY45C
parlor,living room,NY45C
parlor,front room,NY45D!
parlor,living room,NY45D!
parlor,parlor,NY45D!
parlor,sitting room,NY46A
parlor,front room,NY46A
parlor,parlor,NY46A
parlor,setting room,NY46A
parlor,living room,NY46B
parlor,parlor,NY46C
parlor,living room,NY46C
parlor,front room,NY46C
parlor,setting room,NY47A
parlor,setting room,NY47A
parlor,living room,NY47A
parlor,living room,NY47B
parlor,sitting room,NY48A
parlor,parlor,NY48B
parlor,parlor,NY48C
parlor,front parlor,NY48C
parlor,living room,NY48D
parlor,parlor,NY48D
parlor,parlor,NY48D
parlor,parlor,NY49A
parlor,setting room,NY49B
parlor,parlor,NY49C
parlor,parlor,NY49C
parlor,living room,NY49C
parlor,living room,NY49C
parlor,living room,NY49D
parlor,den,NY49D
parlor,living room,NY50A
parlor,parlor,NY50A
parlor,parlor,NY50A
parlor,parlor,NY50B
parlor,living room,NY50B
parlor,parlor,NY50B
parlor,sitting room,NY51A
parlor,parlor,NY51A
parlor,living rooms,NY51B
parlor,parlor,NY51B
parlor,sitting room,NY51C
parlor,parlor,NY51C
parlor,living room,NY51D
parlor,parlor,NY51D
parlor,parlor,NY51E!
parlor,parlor,NY51E!
parlor,living room,NY52A
parlor,double doors,NY52A
parlor,parlor,NY52A
parlor,living room,NY52B
parlor,parlor,NY52B
parlor,living room,NY52C
parlor,sitting room,NY52C
parlor,setting room,NY53A
