Target,Response,Informant
Pennsylvania,,NY1
Pennsylvania,,NY2A
Pennsylvania,,NY2B
Pennsylvania,,NY2C
Pennsylvania,Pennsylvania,NY3A
Pennsylvania,Pennsylvania,NY3B
Pennsylvania,Pennsylvania,NY3C
Pennsylvania,Pennsylvania,NY3D
Pennsylvania,Pennsylvania,NY4A
Pennsylvania,Pennsylvania,NY4B
Pennsylvania,Pennsylvania,NY4C
Pennsylvania,Pennsylvania,NY5A
Pennsylvania,Pennsylvania,NY5B
Pennsylvania,Pennsylvania,NY5C
Pennsylvania,Pennsylvania,NY5D
Pennsylvania,Pennsylvania,NY5E
Pennsylvania,Pennsylvania,NY5F
Pennsylvania,Pennsylvania,NY5G
Pennsylvania,Pennsylvania,NY5H!
Pennsylvania,Pennsylvania,NY5I!
Pennsylvania,Pennsylvania,NY6A
Pennsylvania,Pennsylvania,NY6B
Pennsylvania,Pennsylvania,NY7A
Pennsylvania,Pennsylvania,NY7B
Pennsylvania,Pennsylvania,NY7C
Pennsylvania,Pennsylvania,NY7D
Pennsylvania,Pennsylvania,NY7E
Pennsylvania,Pennsylvania,NY7F
Pennsylvania,Pennsylvania,NY7F
Pennsylvania,Pennsylvania,NY7G
Pennsylvania,Pennsylvania,NY7H
Pennsylvania,Pennsylvania,NY7I
Pennsylvania,Pennsylvania,NY7J!
Pennsylvania,Pennsylvania,NY7K!
Pennsylvania,Pennsylvania,NY7L!
Pennsylvania,Pennsylvania,NY7M!
Pennsylvania,Pennsylvania,NY8
Pennsylvania,Pennsylvania,NY9A
Pennsylvania,Pennsylvania,NY9B
Pennsylvania,Pennsylvania,NY9C
Pennsylvania,Pennsylvania,NY10A
Pennsylvania,Pennsylvania,NY10B!
Pennsylvania,Pennsylvania,NY11
Pennsylvania,Pennsylvania,NY12A
Pennsylvania,Pennsylvania,NY12B
Pennsylvania,Pennsylvania,NY12C!
Pennsylvania,Pennsylvania,NY13A
Pennsylvania,Pennsylvania,NY13B!
Pennsylvania,Pennsylvania,NY14A
Pennsylvania,Pennsylvania,NY14B
Pennsylvania,Pennsylvania,NY15A
Pennsylvania,Pennsylvania,NY15B
Pennsylvania,Pennsylvania,NY16A
Pennsylvania,Pennsylvania,NY16B
Pennsylvania,Pennsylvania,NY17A
Pennsylvania,Pennsylvania,NY17B
Pennsylvania,Pennsylvania,NY18A
Pennsylvania,Pennsylvania,NY18B
Pennsylvania,Pennsylvania,NY18C!
Pennsylvania,Pennsylvania,NY19
Pennsylvania,Pennsylvania,NY20A
Pennsylvania,Pennsylvania,NY20B
Pennsylvania,Pennsylvania,NY21
Pennsylvania,Pennsylvania,NY22
Pennsylvania,,NY23A
Pennsylvania,Pennsylvania,NY23B
Pennsylvania,Pennsylvania,NY23C
Pennsylvania,Pennsylvania,NY24A
Pennsylvania,Pennsylvania,NY24B!
Pennsylvania,Pennsylvania,NY25A
Pennsylvania,Pennsylvania,NY25B
Pennsylvania,Pennsylvania,NY26A
Pennsylvania,Pennsylvania,NY26B
Pennsylvania,,NY26C
Pennsylvania,Pennsylvania,NY27A
Pennsylvania,,NY27B
Pennsylvania,Pennsylvania,NY27C
Pennsylvania,Pennsylvania,NY28A
Pennsylvania,Pennsylvania,NY28B
Pennsylvania,,NY28C
Pennsylvania,,NY29A
Pennsylvania,Pennsylvania,NY29B
Pennsylvania,Pennsylvania,NY29C
Pennsylvania,Pennsylvania,NY30A
Pennsylvania,Pennsylvania,NY30B
Pennsylvania,,NY30C
Pennsylvania,,NY30D
Pennsylvania,Pennsylvania,NY30E
Pennsylvania,Pennsylvania,NY31A
Pennsylvania,Pennsylvania,NY31B
Pennsylvania,Pennsylvania,NY31B
Pennsylvania,Pennsylvania,NY31B
Pennsylvania,Pennsylvania,NY32A
Pennsylvania,Pennsylvania,NY32A
Pennsylvania,Pennsylvania,NY32A
Pennsylvania,Pennsylvania,NY32B
Pennsylvania,,NY33A
Pennsylvania,Pennsylvania,NY33B
Pennsylvania,Pennsylvania,NY33C
Pennsylvania,Pennsylvania Dutch,NY34A
Pennsylvania,Pennsylvania,NY34A
Pennsylvania,,NY34B
Pennsylvania,,NY34C
Pennsylvania,Pennsylvania,NY34D!
Pennsylvania,Pennsylvania,NY35A
Pennsylvania,Pennsylvania,NY35B
Pennsylvania,,NY35C!
Pennsylvania,Pennsylvania,NY36A
Pennsylvania,Pennsylvania,NY36B
Pennsylvania,Pennsylvania,NY37A
Pennsylvania,Pennsylvania,NY37B
Pennsylvania,Pennsylvania,NY37C!
Pennsylvania,Pennsylvania,NY38A
Pennsylvania,Pennsylvania,NY38B
Pennsylvania,,NY38C
Pennsylvania,Pennsylvania,NY39A
Pennsylvania,Pennsylvania,NY39B
Pennsylvania,Pennsylvania,NY40A
Pennsylvania,Pennsylvania,NY40B
Pennsylvania,Pennsylvania,NY41
Pennsylvania,Pennsylvania,NY42A
Pennsylvania,Pennsylvania,NY42B
