Target,Response,Informant
Philadelphia,,NY1
Philadelphia,,NY2A
Philadelphia,,NY2B
Philadelphia,,NY2C
Philadelphia,Philadelphia,NY3A
Philadelphia,Philadelphia,NY3B
Philadelphia,Philadelphia,NY3C
Philadelphia,Philadelphia,NY3D
Philadelphia,Philadelphia,NY4A
Philadelphia,Philadelphia,NY4B
Philadelphia,Philadelphia,NY4C
Philadelphia,Philadelphia,NY5A
Philadelphia,Philadelphia,NY5B
Philadelphia,Philadelphia,NY5C
Philadelphia,Philadelphia,NY5D
Philadelphia,Philadelphia,NY5E
Philadelphia,Philadelphia,NY5F
Philadelphia,Philadelphia,NY5G
Philadelphia,Philadelphia,NY5H!
Philadelphia,Philadelphia,NY5I!
Philadelphia,Philadelphia,NY6A
Philadelphia,Philadelphia,NY6B
Philadelphia,Philly,NY7A
Philadelphia,Philadelphia,NY7A
Philadelphia,Philadelphia,NY7B
Philadelphia,Philadelphia,NY7C
Philadelphia,Philadelphia,NY7D
Philadelphia,Philadelphia,NY7E
Philadelphia,Philadelphia,NY7F
Philadelphia,Philadelphia,NY7G
Philadelphia,Philadelphia,NY7H
Philadelphia,Philadelphia,NY7I
Philadelphia,Philadelphia,NY7J!
Philadelphia,Philadelphia,NY7K!
Philadelphia,Philadelphia,NY7L!
Philadelphia,Philadelphia,NY7M!
Philadelphia,Philadelphia,NY8
Philadelphia,Philadelphia,NY9A
Philadelphia,Philadelphia,NY9B
Philadelphia,Philadelphia,NY9C
Philadelphia,Philadelphia,NY10A
Philadelphia,Philadelphia,NY10B!
Philadelphia,Philadelphia,NY11
Philadelphia,Philadelphia,NY12A
Philadelphia,Philadelphia,NY12B
Philadelphia,Philadelphia,NY12C!
Philadelphia,Philadelphia,NY13A
Philadelphia,Philadelphia,NY13B!
Philadelphia,Philadelphia,NY14A
Philadelphia,Philadelphia,NY14B
Philadelphia,Philadelphia,NY15A
Philadelphia,Philadelphia,NY15B
Philadelphia,Philadelphia,NY16A
Philadelphia,Philadelphia,NY16B
Philadelphia,Philadelphia,NY17A
Philadelphia,Philadelphia,NY17B
Philadelphia,Philadelphia,NY18A
Philadelphia,Philadelphia,NY18B
Philadelphia,Philadelphia,NY18C!
Philadelphia,Philadelphia,NY19
Philadelphia,Philadelphia,NY20A
Philadelphia,Philadelphia,NY20B
Philadelphia,Philadelphia,NY21
Philadelphia,Philadelphia,NY22
Philadelphia,,NY23A
Philadelphia,Philadelphia,NY23B
Philadelphia,Philadelphia,NY23C
Philadelphia,Philadelphia,NY24A
Philadelphia,Philadelphia,NY24B!
Philadelphia,Philadelphia,NY25A
Philadelphia,Philadelphia,NY25B
Philadelphia,Philadelphia,NY26A
Philadelphia,Philadelphia,NY26B
Philadelphia,,NY26C
Philadelphia,Philadelphia,NY27A
Philadelphia,,NY27B
Philadelphia,,NY27C
Philadelphia,Philadelphia,NY28A
Philadelphia,Philadelphia,NY28B
Philadelphia,,NY28C
Philadelphia,,NY29A
Philadelphia,Philadelphia,NY29B
Philadelphia,Philadelphia,NY29C
Philadelphia,Philadelphia,NY30A
Philadelphia,Philadelphia,NY30B
Philadelphia,,NY30C
Philadelphia,,NY30D
Philadelphia,Philadelphia,NY30E
Philadelphia,Philadelphia,NY31A
Philadelphia,Philadelphia,NY31B
Philadelphia,Philadelphia,NY31B
Philadelphia,Philadelphia,NY32A
Philadelphia,Philadelphia,NY32B
Philadelphia,,NY33A
Philadelphia,Philadelphia,NY33B
Philadelphia,Philadelphia,NY33C
Philadelphia,Philadelphia,NY34A
Philadelphia,,NY34B
Philadelphia,,NY34C
Philadelphia,Philadelphia,NY34D!
Philadelphia,Philadelphia,NY35A
Philadelphia,Philadelphia,NY35B
Philadelphia,,NY35C!
Philadelphia,Philadelphia,NY36A
Philadelphia,Philadelphia,NY36B
Philadelphia,Philadelphia,NY37A
Philadelphia,Philadelphia,NY37B
Philadelphia,Philadelphia,NY37C!
Philadelphia,Philadelphia,NY38A
Philadelphia,Philadelphia,NY38B
Philadelphia,,NY38C
Philadelphia,Philadelphia,NY39A
Philadelphia,Philadelphia,NY39B
Philadelphia,Philadelphia,NY40A
Philadelphia,Philadelphia,NY40B
Philadelphia,Philadelphia,NY41
Philadelphia,Philadelphia,NY42A
Philadelphia,Philadelphia,NY42B
Philadelphia,Philadelphia,NY43A
Philadelphia,Philadelphia,NY43B
Philadelphia,Philadelphia,NY43C!
