Target,Response,Informant
poached,poached eggs,NY1
poached,poached eggs,NY2A
poached,poached eggs,NY2B
poached,poached eggs,NY2C
poached,poached eggs,NY3A
poached,poached eggs,NY3B
poached,poached eggs,NY3C
poached,poached eggs,NY3D
poached,poached eggs,NY4A
poached,poached eggs,NY4B
poached,poached eggs,NY4C
poached,poached eggs,NY5A
poached,poached eggs,NY5B
poached,poached eggs,NY5C
poached,poached eggs,NY5D
poached,poached eggs,NY5E
poached,poached eggs,NY5F
poached,poached eggs,NY5G
poached,poached eggs,NY5H!
poached,poached eggs,NY5I!
poached,poached eggs,NY6A
poached,poached eggs,NY6B
poached,poached eggs,NY7A
poached,poached eggs,NY7B
poached,poached eggs,NY7C
poached,poached eggs,NY7D
poached,poached eggs,NY7E
poached,poached eggs,NY7F
poached,poached eggs,NY7G
poached,poached eggs,NY7H
poached,poached eggs,NY7I
poached,poached eggs,NY7J!
poached,poached eggs,NY7K!
poached,poached eggs,NY7L!
poached,poached eggs,NY7M!
poached,poached eggs,NY8
poached,poached eggs,NY9A
poached,poached eggs,NY9B
poached,poached eggs,NY9C
poached,poached eggs,NY10A
poached,poached eggs,NY10B!
poached,poached eggs,NY11
poached,poached eggs,NY12A
poached,NR,NY12A
poached,poached eggs,NY12B
poached,poached eggs,NY12C!
poached,poached egg,NY13A
poached,poached eggs,NY13B!
poached,boiled,NY14A
poached,poached eggs,NY14A
poached,poached eggs,NY14B
poached,poached eggs,NY15A
poached,poached eggs,NY15B
poached,poached eggs,NY16A
poached,poached eggs,NY16B
poached,poached eggs,NY17A
poached,dropped eggs,NY17A
poached,poached eggs,NY17B
poached,eggs on toast,NY18A
poached,poached eggs,NY18A
poached,poached eggs,NY18B
poached,poached egg,NY18C!
poached,poached eggs,NY19
poached,poached eggs,NY20A
poached,poached eggs,NY20B
poached,poached eggs,NY21
poached,poached eggs,NY22
poached,poached eggs,NY23A
poached,fried,NY23B
poached,poached egg,NY23B
poached,dropped,NY23B
poached,poached eggs,NY23C
poached,poached eggs,NY24A
poached,dropped eggs,NY24A
poached,dropped eggs,NY24B!
poached,soft boiled eggs,NY25A
poached,boiled,NY25A
poached,poached eggs,NY25A
poached,coddled eggs,NY25B
poached,poached eggs,NY25B
poached,poached eggs,NY26A
poached,scrambled eggs,NY26A
poached,poached eggs,NY26B
poached,omelettes,NY26B
poached,NR,NY26C
poached,poached eggs,NY27A
poached,poached eggs,NY27B
poached,soft boiled eggs,NY27B
poached,poached egg,NY27C
poached,dropped egg,NY27C
poached,poached eggs,NY28A
poached,easiest digested,NY28B
poached,dropped eggs,NY28B
poached,NR,NY28C
poached,poached eggs,NY29A
poached,scrambled eggs,NY29A
poached,poached eggs,NY29B
