Target,Response,Informant
porch,porch,NY1
porch,piazza,NY1
porch,stoop,NY1
porch,piazza,NY2A
porch,stoop,NY2A
porch,porch,NY2B
porch,piazza,NY2B
porch,veranda,NY2B
porch,stoop,NY2B
porch,porch,NY2C
porch,stoop,NY2C
porch,veranda,NY2C
porch,piazza,NY2C
porch,platform,NY2C
porch,porch,NY3A
porch,stoop,NY3A
porch,piazza,NY3A
porch,porch,NY3B
porch,stoop,NY3B
porch,piazza,NY3B
porch,stoop,NY3C
porch,porch,NY3C
porch,stoop,NY3D
porch,piazza,NY3D
porch,porch,NY3D
porch,piazza,NY4A
porch,stoop,NY4A
porch,stoop,NY4B
porch,porch,NY4B
porch,stoop,NY4C
porch,porch,NY4C
porch,stoop,NY5A
porch,porch,NY5B
porch,stoop,NY5B
porch,stoop,NY5C
porch,porch,NY5C
porch,porch,NY5D
porch,stoop,NY5D
porch,porch,NY5E
porch,stoop,NY5E
porch,porch,NY5F
porch,stoop,NY5F
porch,porch,NY5G
porch,stoop,NY5G
porch,porch,NY5H!
porch,stoop,NY5H!
porch,piazza,NY5H!
porch,stoop,NY5I!
porch,porch,NY5I!
porch,stoop,NY6A
porch,porch,NY6A
porch,porch,NY6B
porch,porch,NY7A
porch,stoop,NY7A
porch,stoop,NY7B
porch,porch,NY7B
porch,porch,NY7C
porch,stoop,NY7C
porch,porch,NY7D
porch,stoop,NY7D
porch,veranda,NY7E
porch,stoop,NY7E
porch,porch,NY7E
porch,stoop,NY7F
porch,porch,NY7F
porch,stoop,NY7G
porch,porch,NY7G
porch,porch,NY7H
porch,veranda,NY7H
porch,stoop,NY7H
porch,stoop,NY7I
porch,porch,NY7I
porch,piazza,NY7J!
porch,stoop,NY7J!
porch,porch,NY7K!
porch,stoop,NY7K!
porch,piazza,NY7K!
porch,stoop,NY7L!
porch,piazza,NY7L!
porch,porch,NY7L!
porch,piazza,NY7M!
porch,stoop,NY7M!
porch,porch,NY7M!
porch,porch,NY8
porch,stoop,NY8
porch,porch,NY9A
porch,stoop,NY9A
porch,stoop,NY9A
porch,stoop,NY9B
porch,piazza,NY9B
porch,piazza,NY9C
porch,stoop,NY9C
porch,stoop,NY10A
porch,porch,NY10A
porch,porch,NY10B!
porch,stoop,NY10B!
porch,piazza,NY10B!
porch,porch,NY11
porch,porch,NY12A
porch,stoop,NY12A
porch,piazza,NY12A
porch,stoop,NY12A
porch,porch,NY12A
porch,stoop,NY12B
porch,porch,NY12B
porch,veranda,NY12C!
porch,stoop,NY12C!
porch,porch,NY12C!
porch,piazza,NY13A
porch,stoop,NY13A
porch,stoop,NY13B!
porch,porch,NY13B!
porch,porch,NY14A
porch,stoop,NY14A
porch,porch,NY14B
porch,stoop,NY14B
porch,piazza,NY14B
porch,veranda,NY15A
porch,stoop,NY15A
porch,porch,NY15A
porch,porch,NY15B
porch,piazza,NY16A
porch,stoop,NY16A
porch,stoop,NY16B
porch,porch,NY16B
porch,piazza,NY17A
porch,porch,NY17A
porch,stoop,NY17A
porch,porch,NY17A
porch,stoop,NY17A
porch,piazza,NY17A
porch,porch,NY17B
porch,piazza,NY17B
porch,stoop,NY17B
porch,piazza,NY18A
porch,stoop,NY18A
porch,stoop,NY18B
porch,porch,NY18B
porch,porch,NY18C!
porch,steps,NY18C!
porch,stoop,NY18C!
porch,piazza,NY18C!
porch,veranda,NY18C!
porch,porch,NY19
porch,stoop,NY20A
porch,porch,NY20A
porch,porch,NY20B
porch,piazza,NY21
porch,stoop,NY21
porch,porch,NY21
porch,porch,NY22
porch,stoop,NY22
porch,stoop,NY23A
porch,porch,NY23A
porch,stoop,NY23B
porch,porch,NY23B
porch,lean-to,NY23B
porch,piazza,NY23B
porch,step,NY23B
porch,piazza,NY23C
porch,porch,NY23C
porch,stoop,NY23C
porch,piazza,NY23C
porch,stoop,NY24A
porch,porch,NY24A
porch,piazza,NY24A
porch,piazza,NY24B!
porch,stoop,NY24B!
porch,porch,NY25A
porch,stoops,NY25A
porch,veranda,NY25A
porch,outside porch,NY25A
porch,piazza,NY25A
porch,stoop,NY25B
porch,porch,NY25B
porch,piazza,NY25B
porch,porch,NY26A
porch,veranda,NY26A
porch,stoop,NY26A
porch,porch,NY26B
porch,porch,NY26B
porch,stoop,NY26B
porch,porch,NY26C
porch,stoops,NY26C
porch,side porch,NY26C
porch,porches,NY27A
porch,stoop,NY27A
porch,porch,NY27B
porch,stoop,NY27B
porch,piazza,NY27C
porch,stoop,NY27C
porch,porch,NY27C
porch,porch,NY28A
porch,piazzas,NY28A
porch,stoop,NY28A
porch,steps,NY28B
porch,piazza,NY28B
porch,piazza,NY28B
porch,piazza,NY28B
porch,stoop,NY28C
porch,screen porch,NY28C
porch,steps,NY28C
porch,back stoop,NY28C
porch,front stoop,NY28C
porch,platform,NY28C
porch,porch,NY28C
porch,stoop,NY29A
porch,entry,NY29A
porch,steps,NY29A
porch,piazzas,NY29A
porch,back porch,NY29B
porch,porch,NY29B
porch,stoop,NY29B
porch,back stoop,NY29C
porch,steps,NY29C
porch,storm houses,NY29C
porch,piazza,NY29C
porch,stoop,NY29C
porch,porch,NY29C
porch,porch,NY30A
porch,piazza,NY30B
porch,back porch,NY30B
porch,piazza,NY30B
porch,porch,NY30C
porch,a steps,NY30C
porch,piazza,NY30C
porch,piazza,NY30D
porch,piazza,NY30D
porch,piazza,NY30E
porch,stoop,NY30E
porch,portico,NY30E
porch,porch,NY31A
porch,porch,NY31A
porch,stoop,NY31A
porch,steps,NY31B
porch,piazza,NY31B
porch,porch,NY31B
porch,stoop,NY31B
porch,front porch,NY31B
porch,veranda,NY32A
porch,porch,NY32A
porch,stoop,NY32A
porch,steps,NY32B
porch,piazza,NY32B
porch,veranda,NY33A
porch,back porch,NY33A
porch,porch,NY33A
porch,back stoop,NY33A
porch,veranda,NY33B
porch,porch,NY33B
porch,back stoop,NY33B
porch,front porch,NY33C
porch,stoop,NY33C
porch,veranda,NY33C
porch,a stone steps,NY34A
porch,porch,NY34A
porch,porch,NY34A
porch,stoop,NY34A
porch,porch,NY34B
porch,veranda,NY34B
porch,side steps,NY34B
porch,piazza,NY34C
porch,porch,NY34C
porch,porch,NY34D!
porch,piazza,NY34D!
porch,porch,NY34D!
porch,stoop,NY35A
porch,porch,NY35A
porch,veranda,NY35B
porch,porch,NY35B
porch,stoop,NY35B
porch,porch,NY35C!
porch,stoop,NY35C!
porch,veranda,NY35C!
porch,stoop,NY36A
porch,porch,NY36A
porch,piazza,NY36A
porch,porch,NY36B
porch,stoop,NY36B
porch,piazza,NY37A
porch,porch,NY37A
porch,stoop,NY37A
porch,porch,NY37B
porch,stoop,NY37C!
porch,porch,NY37C!
porch,veranda,NY37C!
porch,veranda,NY38A
porch,porch,NY38A
porch,stoop,NY38A
porch,piazza,NY38A
porch,piazza,NY38B
porch,stoop,NY38B
porch,porch,NY38B
porch,stoop,NY38C
porch,porch,NY38C
porch,piazza,NY39A
porch,porch,NY39A
porch,stoop,NY39B
porch,piazza,NY39B
porch,porch,NY39B
porch,stoop,NY40A
porch,veranda,NY40A
porch,piazza,NY40A
porch,stoop,NY40B
porch,porch,NY40B
porch,veranda,NY41
porch,porch,NY41
porch,stoop,NY41
porch,porch,NY42A
porch,stoop,NY42A
porch,porch,NY42B
porch,stoop,NY43A
porch,stoop,NY43B
porch,porch,NY43B
porch,stoop,NY43C!
porch,porch,NY43C!
porch,stoop,NY44A
porch,porch,NY44A
porch,veranda,NY44B
porch,porch,NY44B
porch,stoop,NY44B
porch,stoop,NY45A
porch,porch,NY45A
porch,stoop,NY45A
porch,porch,NY45B
porch,porch,NY45C
porch,stoop,NY45C
porch,back porch,NY45D!
porch,piazza,NY45D!
porch,porch,NY45D!
porch,stoop,NY46A
porch,porch,NY46A
porch,stoop,NY46B
porch,porch,NY46B
porch,porch,NY46C
porch,porch,NY46C
porch,stoop,NY46C
porch,stoop,NY47A
porch,porch,NY47A
porch,porch,NY47A
porch,porch,NY47A
porch,porch,NY47B
porch,stoop,NY47B
porch,porch,NY48A
porch,stoop,NY48A
porch,porch,NY48B
porch,porch,NY48B
porch,stoop,NY48C
porch,porch,NY48D
porch,kitchen stoop,NY48D
porch,stoop,NY48D
porch,stoop,NY49A
porch,porch,NY49A
porch,porch,NY49A
porch,porch,NY49B
porch,stoop,NY49B
porch,porches,NY49C
porch,front porch,NY49C
porch,patio,NY49C
porch,back porch,NY49C
porch,porch,NY49D
porch,entrance,NY49D
porch,back porch,NY49D
porch,side porch,NY49D
porch,front porch,NY49D
porch,stoop,NY50A
porch,porch,NY50A
porch,stoop,NY50B
porch,porch,NY50B
porch,stoop,NY51A
porch,porch,NY51A
porch,stoops,NY51B
porch,dining room porch,NY51B
porch,piazza,NY51C
porch,porch,NY51C
porch,porch,NY51C
porch,stoop,NY51C
porch,sun porch,NY51D
porch,stoop,NY51D
porch,small porch,NY51E!
porch,storm porch,NY51E!
porch,piazza,NY51E!
porch,veranda,NY51E!
