Target,Response,Informant
quarter to eleven,quarter to eleven,NY1
quarter to eleven,quarter to eleven,NY2A
quarter to eleven,quarter to eleven,NY2B
quarter to eleven,quarter of eleven,NY2B
quarter to eleven,,NY2C
quarter to eleven,quarter to eleven,NY3A
quarter to eleven,quarter of eleven,NY3B
quarter to eleven,quarter of eleven,NY3C
quarter to eleven,quarter to eleven,NY3D
quarter to eleven,quarter to eleven,NY4A
quarter to eleven,quarter of eleven,NY4B
quarter to eleven,quarter of eleven,NY4C
quarter to eleven,quarter of eleven,NY5A
quarter to eleven,quarter to eleven,NY5B
quarter to eleven,quarter to eleven,NY5C
quarter to eleven,quarter of eleven,NY5D
quarter to eleven,quarter of eleven,NY5E
quarter to eleven,quarter of eleven,NY5F
quarter to eleven,quarter of eleven,NY5G
quarter to eleven,quarter of eleven,NY5H!
quarter to eleven,quarter of eleven,NY5I!
quarter to eleven,quarter to eleven,NY6A
quarter to eleven,quarter of eleven,NY6B
quarter to eleven,quarter to eleven,NY7A
quarter to eleven,quarter to eleven,NY7B
quarter to eleven,quarter of eleven,NY7C
quarter to eleven,quarter to eleven,NY7D
quarter to eleven,quarter to eleven,NY7E
quarter to eleven,quarter of eleven,NY7F
quarter to eleven,quarter to eleven,NY7G
quarter to eleven,quarter to eleven,NY7H
quarter to eleven,quarter of eleven,NY7I
quarter to eleven,quarter of eleven,NY7J!
quarter to eleven,quarter to eleven,NY7K!
quarter to eleven,quarter to eleven,NY7L!
quarter to eleven,quarter of eleven,NY7M!
quarter to eleven,quarter of eleven,NY8
quarter to eleven,quarter of eleven,NY9A
quarter to eleven,quarter of eleven,NY9B
quarter to eleven,quarter of eleven,NY9C
quarter to eleven,quarter to eleven,NY10A
quarter to eleven,quarter of eleven,NY10B!
quarter to eleven,quarter of eleven,NY11
quarter to eleven,quarter of eleven,NY12A
quarter to eleven,quarter of eleven,NY12B
quarter to eleven,quarter of eleven,NY12C!
quarter to eleven,quarter of eleven,NY13A
quarter to eleven,quarter of eleven,NY13B!
quarter to eleven,quarter of eleven,NY14A
quarter to eleven,quarter of eleven,NY14B
quarter to eleven,quarter of eleven,NY15A
quarter to eleven,quarter of eleven,NY15B
quarter to eleven,quarter to eleven,NY16A
quarter to eleven,quarter of eleven,NY16B
quarter to eleven,quarter to eleven,NY17A
quarter to eleven,quarter of eleven,NY17B
quarter to eleven,quarter to eleven,NY17B
quarter to eleven,quarter to eleven,NY18A
quarter to eleven,quarter of eleven,NY18B
quarter to eleven,quarter of eleven,NY18C!
quarter to eleven,quarter of eleven,NY19
quarter to eleven,quarter of eleven,NY20A
quarter to eleven,quarter of eleven,NY20B
quarter to eleven,quarter of eleven,NY21
quarter to eleven,quarter of eleven,NY22
quarter to eleven,,NY23A
quarter to eleven,quarter to eleven,NY23B
quarter to eleven,quarter of eleven,NY23C
