Target,Response,Informant
quilt,comfortable,NY1
quilt,quilt,NY1
quilt,comfortable,NY2A
quilt,quilt,NY2A
quilt,quilt,NY2B
quilt,comfortable,NY2B
quilt,quilt,NY2C
quilt,comfortable,NY2C
quilt,comforter,NY3A
quilt,quilt,NY3A
quilt,comfortable,NY3B
quilt,quilt,NY3B
quilt,quilt,NY3C
quilt,comfortable,NY3C
quilt,quilt,NY3D
quilt,quilt,NY4A
quilt,comfortable,NY4B
quilt,quilt,NY4B
quilt,quilt,NY4C
quilt,comfortable,NY4C
quilt,quilt,NY5A
quilt,comfortable,NY5A
quilt,comforters,NY5B
quilt,quilt,NY5B
quilt,quilt,NY5C
quilt,comfortable,NY5C
quilt,comforter,NY5C
quilt,quilt,NY5D
quilt,comfortable,NY5D
quilt,quilt,NY5E
quilt,comfortable,NY5E
quilt,comfortable,NY5F
quilt,quilt,NY5F
quilt,comforter,NY5G
quilt,quilt,NY5G
quilt,quilt,NY5H!
quilt,comfortable,NY5H!
quilt,quilt,NY5I!
quilt,quilt,NY6A
quilt,comfortable,NY6A
quilt,comforter,NY6B
quilt,quilt,NY6B
quilt,quilt,NY7A
quilt,comforter,NY7A
quilt,quilt,NY7B
quilt,comforter,NY7B
quilt,comforter,NY7C
quilt,quilts,NY7C
quilt,comforter,NY7D
quilt,quilt,NY7D
quilt,puff,NY7E
quilt,quilt,NY7E
quilt,comforter,NY7E
quilt,quilt,NY7F
quilt,comforter,NY7F
quilt,quilt,NY7G
quilt,comforter,NY7G
quilt,quilt,NY7H
quilt,comforter,NY7I
quilt,quilt,NY7I
quilt,comfortable,NY7J!
quilt,puff,NY7J!
quilt,quilt,NY7J!
quilt,quilt,NY7K!
quilt,comfortable,NY7K!
quilt,comforter,NY7L!
quilt,quilt,NY7L!
quilt,comforter,NY7M!
quilt,quilt,NY7M!
quilt,comfortable,NY8
quilt,quilt,NY8
quilt,quilt,NY9A
quilt,comfortable,NY9A
quilt,quilt,NY9B
quilt,comfortable,NY9B
quilt,comfortable,NY9C
quilt,quilt,NY9C
quilt,comfortable,NY10A
quilt,quilt,NY10A
quilt,quilt,NY10B!
quilt,comfortable,NY10B!
quilt,quilt,NY11
quilt,comfortable,NY11
quilt,comforter,NY11
quilt,bed quilt,NY12A
quilt,comfort,NY12A
quilt,quilt,NY12A
quilt,tack,NY12A
quilt,quilt,NY12B
quilt,tack,NY12B
quilt,quilt,NY12C!
quilt,comfortable,NY13A
quilt,quilt,NY13A
quilt,quilt,NY13B!
quilt,comfortable,NY13B!
quilt,comfortable,NY14A
quilt,tackdown,NY14A
quilt,quilt,NY14A
quilt,quilt,NY14B
quilt,comfortable,NY14B
quilt,quilt,NY15A
quilt,comfortable,NY15A
quilt,comforter,NY15B
quilt,quilt,NY15B
quilt,comfortable,NY16A
quilt,quilt,NY16A
quilt,quilt,NY16B
quilt,comfortable,NY17A
quilt,comforter,NY17A
quilt,quilt,NY17A
quilt,bed quilt,NY17A
quilt,quilt,NY17B
quilt,comfortable,NY17B
quilt,comforter,NY17B
quilt,quilt,NY18A
quilt,comfortable,NY18A
quilt,comforter,NY18B
quilt,quilt,NY18B
quilt,comforter,NY18C!
quilt,quilt,NY18C!
quilt,comfortable,NY19
quilt,quilt,NY19
quilt,comfortable,NY20A
quilt,quilt,NY20A
quilt,quilt,NY20B
quilt,comfortable,NY20B
quilt,quilt,NY21
quilt,comfortable,NY21
quilt,comfortable,NY22
quilt,quilt,NY22
quilt,quilt,NY23A
quilt,quilt,NY23A
quilt,patch quilt,NY23B
quilt,quilted,NY23B
