Target,Response,Informant
rancid,,NY1
rancid,loppered milk,NY2A
rancid,lapper,NY2B
rancid,,NY2C
rancid,rancid,NY3A
rancid,rancid,NY3B
rancid,rancid,NY3C
rancid,frowy,NY3D
rancid,rancid,NY4A
rancid,strong,NY4A
rancid,strong,NY4B
rancid,strong,NY4C
rancid,rancid,NY5A
rancid,rancid,NY5B
rancid,rancid,NY5C
rancid,rancid,NY5D
rancid,rancid,NY5E
rancid,rancid,NY5F
rancid,rancid,NY5G
rancid,rancid,NY5H!
rancid,rancid,NY5I!
rancid,strong,NY6A
rancid,rancid,NY6B
rancid,rancid,NY7A
rancid,tainted,NY7B
rancid,rank,NY7B
rancid,strong,NY7C
rancid,rank,NY7D
rancid,rancid,NY7E
rancid,rancid,NY7F
rancid,rancid,NY7G
rancid,rancid,NY7H
rancid,rancid,NY7I
rancid,rancid,NY7J!
rancid,rancid,NY7K!
rancid,rancid,NY7L!
rancid,rancid,NY7M!
rancid,rancid,NY8
rancid,strong,NY9A
rancid,rancid,NY9A
rancid,rancid,NY9B
rancid,strong,NY9C
rancid,strong,NY10A
rancid,strong,NY10B!
rancid,rancid,NY10B!
rancid,rancid,NY11
rancid,strong,NY12A
rancid,strong,NY12A
rancid,rancid,NY12B
rancid,rancid,NY12C!
rancid,strong,NY13A
rancid,strong,NY13B!
rancid,rancid,NY14A
rancid,strong,NY14A
rancid,rancid,NY14B
rancid,rancid,NY15A
rancid,rank,NY15B
rancid,strong,NY16A
rancid,strong,NY16B
rancid,rank,NY17A
rancid,strong,NY17B
rancid,tainted,NY18A
rancid,strong,NY18A
rancid,strong,NY18B
rancid,strong,NY18C!
rancid,strong,NY19
rancid,strong,NY20A
rancid,rancid,NY20B
rancid,strong,NY21
rancid,strong,NY22
rancid,musty,NY23A
rancid,stale,NY23B
rancid,stale,NY23C
rancid,rancid,NY23C
rancid,moldy,NY23C
rancid,rancid,NY23C
rancid,frowy,NY24A
rancid,rancid,NY24B!
rancid,moldy,NY25A
rancid,,NY25B
rancid,rank,NY26A
rancid,rancid,NY26B
rancid,,NY26C
rancid,frowy,NY27A
rancid,rancid,NY27A
rancid,frowy,NY27B
rancid,strong,NY27B
rancid,frowy,NY27C
rancid,frowy,NY27C
rancid,frowy butter,NY28A
rancid,strong,NY28B
rancid,frowy,NY28B
rancid,,NY28C
rancid,frowy,NY29A
rancid,stagnant,NY29A
rancid,rancid,NY29B
rancid,rancid,NY29B
rancid,spoiled,NY29B
rancid,rancid,NY29C
rancid,frowy,NY29C
rancid,stale,NY30A
rancid,frowy,NY30A
rancid,rancid,NY30B
rancid,tainty,NY30B
rancid,,NY30C
rancid,rank,NY30D
rancid,rancid,NY30E
rancid,frowy,NY30E
rancid,rancid,NY31A
rancid,frowy,NY31A
rancid,strong,NY31A
rancid,rancid,NY31B
rancid,rancid,NY32A
rancid,rancid,NY32B
rancid,rotten,NY33A
rancid,,NY33B
rancid,rancid,NY33C
rancid,rancid,NY34A
rancid,,NY34B
rancid,frowy,NY34C
rancid,rancid,NY34C
rancid,rancid,NY34D!
rancid,rancid,NY35A
rancid,rancid,NY35B
rancid,frowy,NY35B
rancid,rancid,NY35C!
rancid,frowy,NY36A
rancid,frowy,NY36A
rancid,rancid,NY36B
rancid,rancid,NY37A
rancid,frowy,NY37B
rancid,tainted,NY37C!
rancid,rancid,NY37C!
rancid,strong,NY38A
rancid,frowy,NY38A
rancid,rancid,NY38B
rancid,rancid,NY38C
rancid,strong,NY39A
rancid,old,NY39B
rancid,stale,NY39B
rancid,rancid,NY40A
rancid,strong,NY40A
rancid,strong,NY40B
rancid,old,NY41
rancid,strong,NY41
rancid,stale,NY41
rancid,frowy,NY41
rancid,rancid,NY42A
rancid,rancid,NY42B
rancid,stale,NY43A
rancid,strong,NY43A
rancid,frowy,NY43B
rancid,frowy,NY43C!
rancid,frowy,NY44A
rancid,rancid,NY44B
rancid,strong,NY44B
rancid,strong,NY45A
rancid,,NY45B
rancid,rancid,NY45C
rancid,rancid,NY45D!
rancid,strong,NY46A
rancid,strong butter,NY46A
rancid,stale,NY46B
rancid,rancid,NY46C
rancid,strong,NY46C
rancid,rancid,NY47A
rancid,rancid,NY47A
rancid,frowy,NY47A
rancid,rancid,NY47B
rancid,frowy,NY48A
rancid,rancid,NY48A
rancid,,NY48B
rancid,rancid,NY48C
rancid,greasy,NY48C
rancid,rancid butter,NY48D
rancid,,NY49A
rancid,strong,NY49B
rancid,rancid,NY49C
rancid,rank,NY49D
rancid,rancid,NY49D
rancid,frowy,NY50A
rancid,rancid,NY50B
rancid,rancid,NY51A
rancid,frowy,NY51A
rancid,rancid,NY51B
rancid,rancid,NY51C
rancid,frowy,NY51C
rancid,,NY51D
rancid,rancid,NY51E!
rancid,rare,NY52A
rancid,rank,NY52A
rancid,strong,NY52B
rancid,rancid,NY52B
rancid,rancid,NY52C
rancid,frowy,NY53A
rancid,rancid,NY53A
rancid,rancid,NY53B!
rancid,tainted,NY54A
rancid,rancid,NY54B
rancid,frowy,NY55A
rancid,frowy,NY55B
rancid,rancid,NY55B
rancid,rancid,NY56A
rancid,rancid,NY56A
rancid,frowy,NY56A
rancid,frowy,NY56B
rancid,tainted,NY57A
rancid,rancid,NY57A
rancid,frowy,NY57B
rancid,rancid,NY57B
rancid,frowy,NY57C!
rancid,rancid,NY57C!
rancid,rancid,NY58A
rancid,rancid,NY58A
rancid,frowy,NY58B
rancid,rancid,NY58B
rancid,,NY58C
rancid,rancid,NY58D!
rancid,rancid,NY58E!
rancid,rancid,NY58F!
rancid,rancid,NY59A
rancid,frowy,NY59A
rancid,strong,NY59A
rancid,frowy,NY59B
rancid,rancid,NY59B
rancid,rancid,NY60A
rancid,rancid,NY60A
rancid,cowy,NY60B!
rancid,strong,NY60B!
rancid,rancid lard,NY60B!
rancid,strong,NY61A
rancid,rancid,NY61A
rancid,rancid,NY61B
rancid,rotten,NY61B
rancid,rancid,NY62A
rancid,rancid,NY62B
rancid,tainted,NY62B
rancid,rancid,NY62C
rancid,rancid,NY62D!
rancid,strong,NY63A
rancid,rancid,NY63A
rancid,frowy,NY63A
rancid,rancid,NY63B
rancid,frowy,NY63C
rancid,butter bowl,NY63D!
rancid,rancid,NY63D!
rancid,rancid,NY63D!
rancid,rancid,NY64A
rancid,frowy,NY64B
rancid,frowy,NY64C!
rancid,strong,NJ1A
rancid,strong,NJ1B
rancid,rancid,NJ1B
rancid,strong,NJ2A
rancid,strong,NJ2B
rancid,strong,NJ3A
rancid,strong,NJ3B
rancid,strong,NJ4A
rancid,strong,NJ4B
rancid,strong,NJ5A
rancid,strong,NJ5B
rancid,strong,NJ6A
rancid,strong,NJ6B
rancid,strong,NJ7A
rancid,rancid,NJ7B!
rancid,strong,NJ8A
rancid,rancid,NJ8B
rancid,strong,NJ9A
rancid,rancid,NJ9B
rancid,strong,NJ10A
rancid,strong,NJ10B
rancid,rancid,NJ10C
rancid,rancid,NJ10D!
rancid,strong,NJ11A
rancid,rancid,NJ11B
rancid,strong,NJ11C
rancid,rancid,NJ12A
rancid,strong,NJ12B
rancid,strong,NJ13A
rancid,old,NJ13A
rancid,strong,NJ13B
rancid,rancid,NJ14A
rancid,rancid,NJ14B
rancid,rancid,NJ15A
rancid,strong,NJ15B
rancid,strong,NJ16A
rancid,spoilt,NJ16B
rancid,rancid,NJ16B
rancid,rancid,NJ17A
rancid,strong,NJ17B
rancid,rancid,NJ18A
rancid,rancid,NJ18B
rancid,rancid,NJ18C!
rancid,rancid,NJ18D!
rancid,strong,NJ19A
rancid,rancid,NJ19B!
rancid,rancid,NJ20A
rancid,rancid,NJ20B
rancid,strong,NJ21A
rancid,rancid,NJ21A
rancid,strong,NJ21B
rancid,strong,PA1A
rancid,rancid,PA1B
rancid,strong,PA1C
rancid,rank,PA1D
rancid,rancid,PA1E!
rancid,rancid,PA1F!
rancid,rancid,PA1G!
rancid,stale,PA1H!
rancid,rancid,PA1H!
rancid,strong,PA2A
rancid,strong,PA2B
rancid,strong,PA3A
rancid,rancid,PA3B
rancid,strong,PA3C
rancid,strong,PA4A
rancid,rancid,PA4B!
rancid,strong,PA5A
rancid,,PA5B
rancid,strong,PA5C
rancid,strong,PA5D
rancid,strong,PA5E!
rancid,stale,PA6A
rancid,rancid,PA6B
rancid,strong,PA6B
rancid,strong,PA6C
rancid,rancid,PA6D!
rancid,strong,PA7A
rancid,rancid,PA7A
rancid,strong,PA7B
rancid,strong,PA7C
rancid,rancid,PA7D!
rancid,strong,PA8A
rancid,strong,PA8B
rancid,rancid,PA8C
rancid,rancid,PA8D!
rancid,strong,PA9A
rancid,strong,PA9B
rancid,strong,PA9C!
rancid,strong,PA10
rancid,strong,PA11A
rancid,strong,PA11B
rancid,strong,PA11B
rancid,strong,PA12A
rancid,strong,PA12B
rancid,strong,PA13A
rancid,strong,PA13B
rancid,strong,PA14A
rancid,rancid,PA14B
rancid,,PA14C
rancid,strong,PA15A
rancid,strong,PA15B
rancid,rancid,PA15C!
rancid,strong,PA16A
rancid,taint,PA16B
rancid,strong,PA16B
rancid,strong,PA16C
rancid,strong,PA17A
rancid,strong,PA17B
rancid,strong,PA18A
rancid,rancid,PA18B!
rancid,strong,PA19A
rancid,strong,PA19B
rancid,strong,PA20A
rancid,rancid,PA20B
rancid,strong,PA21A
rancid,rancid,PA21B
rancid,strong,PA22A
rancid,strong,PA22B
rancid,frowy,PA23A
rancid,strong,PA23A
rancid,frowy,PA23B
rancid,strong,PA23B
rancid,rancid,PA24A
rancid,strong,PA24B
rancid,rank,PA24B
rancid,strong,PA25A
rancid,strong,PA25B
rancid,strong,PA26A
rancid,tainted,PA26A
rancid,rank,PA26B
rancid,turned round,PA27A
rancid,frowy,PA27A
rancid,strong,PA27A
rancid,rank,PA27B
rancid,stale,PA27B
rancid,strong,PA28A
rancid,strong,PA28B!
rancid,strong,PA29A
rancid,strong,PA29B
rancid,frowy,PA30A
rancid,stale,PA30A
rancid,frowy,PA30B
rancid,strong,PA31A
rancid,strong,PA31B
rancid,rank,PA31B
rancid,strong,PA32A
rancid,stout,PA32B
rancid,strong,PA33A
rancid,strong,PA33B
rancid,strong,PA34A
rancid,strong,PA34B
rancid,rancid,PA34C!
rancid,strong,PA35A
rancid,strong,PA35B
rancid,,PA35C
rancid,strong,PA36A
rancid,strong,PA36B
rancid,strong,PA37A
rancid,strong,PA37B
rancid,,PA37C
rancid,strong,PA38A
rancid,strong,PA38B
rancid,rancid,PA39A
rancid,strong,PA39B
rancid,strong,PA40A
rancid,strong,PA40B
rancid,strong,PA41A
rancid,strong,PA41B
rancid,strong,PA42A
rancid,strong,PA42B
rancid,strong,PA43A
rancid,strong,PA43B
rancid,strong,PA44A
rancid,rancid,PA44A
rancid,strong,PA44B
rancid,spoilt,PA45A
rancid,strong,PA45A
rancid,strong,PA45B
rancid,,PA46A
rancid,strong,PA46B
rancid,strong,PA47A
rancid,strong,PA47B
rancid,old,PA48A
rancid,strong,PA48A
rancid,rancid,PA48B
rancid,strong,PA48C
rancid,strong,PA49A
rancid,old,PA49B
rancid,strong,PA49B
rancid,,PA50A
rancid,ponhaus,PA50B
rancid,tainted,PA50C!
rancid,stale,PA50C!
rancid,stale,PA51A
rancid,rancid,PA51B
rancid,strong,PA52A
rancid,rancid,PA52B!
rancid,stale,PA53A
rancid,strong,PA53B
rancid,spoilt,PA53B
rancid,old,PA54A
rancid,stale,PA54A
rancid,strong,PA54B
rancid,strong,PA55A
rancid,old,PA55B
rancid,rancid,PA55B
rancid,strong,PA56A
rancid,strong,PA56B
rancid,old,PA57A
rancid,stale,PA57A
rancid,strong,PA57B
rancid,strong,PA58A
rancid,stale,PA58B
rancid,strong,PA58B
rancid,strong,PA59A
rancid,strong,PA59B
rancid,old,PA59B
rancid,strong,PA60A
rancid,strong,PA60B
rancid,strong,PA61A
rancid,strong,PA61B
rancid,stale,PA61B
rancid,strong,PA62A
rancid,strong,PA62B
rancid,strong,PA63A
rancid,tainted,PA63B
rancid,old,PA63B
rancid,strong,PA64A
rancid,strong,PA64B
rancid,frowy,PA65A
rancid,rancid,PA65B
rancid,stale,PA66A
rancid,strong,PA66A
rancid,rancid,PA66B
rancid,frowy,PA67A
rancid,rancid,PA67B
rancid,rancid,WV1!
rancid,strong,WV2
rancid,strong,WV3
rancid,strong,WV4A
rancid,rancid,WV4B
rancid,strong,WV4B
rancid,strong,WV5
rancid,strong,WV6A
rancid,strong,WV6B
rancid,strong,WV7A
rancid,strong,WV7B
rancid,stale,WV7B
rancid,strong,WV8A
rancid,strong,WV8B
rancid,strong,WV9A
rancid,strong,WV9B
rancid,strong,WV10A
rancid,strong,WV10B
rancid,,WV10C
rancid,strong,WV11A
rancid,strong,WV11B!
rancid,strong,WV12A
rancid,strong,WV12B
rancid,strong,WV13A
rancid,rancid,WV13A
rancid,strong,WV13B
rancid,strong,WV14A
rancid,strong,WV14B
rancid,strong,WV15A
rancid,strong,WV15B
rancid,strong,WV16A
rancid,strong,WV16B
rancid,,WV17A
rancid,strong,WV17B
rancid,spoilt,WV17C
rancid,strong,WV17C
rancid,strong,WV18A
rancid,strong,WV18B
rancid,spoilt,WV19A
rancid,strong,WV19A
rancid,strong,WV19B
rancid,strong,WV20A
rancid,old,WV20A
rancid,strong,WV20B
rancid,old,WV20B
rancid,strong,WV20B
rancid,old,WV21A
rancid,strong,WV21A
rancid,strong,WV21B
rancid,stale,WV21B
rancid,old,WV22A
rancid,tainted,WV22B
rancid,strong,WV23A
rancid,strong,WV23B
rancid,strong,WV24A
rancid,old,WV25A
rancid,strong,WV25B
rancid,strong,WV26A
rancid,strong,WV26B
rancid,strong,WV27A
rancid,strong,WV27B
rancid,sour,WV28A
rancid,strong,WV28A
rancid,old,WV28B
rancid,strong,WV29A
rancid,old,WV29A
rancid,strong,WV29B
rancid,old,WV29B
