Target,Response,Informant
rice,,NY1
rice,,NY2A
rice,,NY2B
rice,,NY2C
rice,,NY3A
rice,,NY3B
rice,,NY3C
rice,,NY3D
rice,,NY4A
rice,,NY4B
rice,,NY4C
rice,,NY5A
rice,,NY5B
rice,,NY5C
rice,,NY5D
rice,,NY5E
rice,,NY5F
rice,,NY5G
rice,,NY5H!
rice,,NY5I!
rice,,NY6A
rice,,NY6B
rice,,NY7A
rice,,NY7B
rice,,NY7C
rice,,NY7D
rice,,NY7E
rice,,NY7F
rice,,NY7G
rice,,NY7H
rice,,NY7I
rice,,NY7J!
rice,,NY7K!
rice,,NY7L!
rice,,NY7M!
rice,,NY8
rice,,NY9A
rice,,NY9B
rice,,NY9C
rice,,NY10A
rice,,NY10B!
rice,,NY11
rice,,NY12A
rice,,NY12B
rice,,NY12C!
rice,,NY13A
rice,,NY13B!
rice,,NY14A
rice,,NY14B
rice,,NY15A
rice,,NY15B
rice,,NY16A
rice,,NY16B
rice,,NY17A
rice,,NY17B
rice,,NY18A
rice,,NY18B
rice,,NY18C!
rice,,NY19
rice,,NY20A
rice,,NY20B
rice,,NY21
rice,,NY22
rice,,NY23A
rice,,NY23B
rice,,NY23C
rice,,NY24A
rice,,NY24B!
rice,,NY25A
rice,,NY25B
rice,,NY26A
rice,,NY26B
rice,,NY26C
rice,,NY27A
rice,,NY27B
rice,,NY27C
rice,,NY28A
rice,,NY28B
rice,,NY28C
rice,,NY29A
rice,,NY29B
rice,,NY29C
rice,,NY30A
rice,,NY30B
rice,,NY30C
rice,,NY30D
rice,,NY30E
rice,,NY31A
rice,,NY31B
rice,,NY32A
rice,,NY32B
rice,,NY33A
rice,,NY33B
rice,,NY33C
rice,,NY34A
rice,,NY34B
rice,,NY34C
rice,,NY34D!
rice,,NY35A
rice,,NY35B
rice,,NY35C!
rice,,NY36A
rice,,NY36B
rice,,NY37A
rice,,NY37B
rice,,NY37C!
rice,,NY38A
rice,,NY38B
rice,,NY38C
rice,,NY39B
rice,,NY40A
rice,,NY40B
rice,,NY41
rice,,NY42A
rice,,NY42B
rice,,NY43A
rice,,NY43B
rice,,NY43C!
rice,,NY44A
rice,,NY44B
rice,,NY45A
rice,,NY45B
rice,,NY45C
rice,,NY45D!
rice,,NY46A
rice,,NY46B
rice,,NY46C
rice,,NY47A
rice,,NY47B
rice,,NY48A
rice,,NY48B
rice,,NY48C
rice,,NY48D
rice,,NY49A
rice,,NY49B
rice,,NY49C
rice,,NY49D
rice,,NY50A
rice,,NY50B
rice,,NY51A
rice,,NY51B
rice,,NY51C
rice,,NY51D
rice,,NY51E!
rice,,NY52A
rice,,NY52B
rice,,NY52C
rice,,NY53A
rice,,NY53B!
rice,,NY54A
rice,,NY54B
rice,,NY55A
rice,,NY55B
rice,,NY56A
rice,,NY56B
rice,,NY57A
rice,,NY57B
rice,,NY57C!
rice,,NY58A
rice,,NY58B
rice,,NY58C
rice,,NY58D!
rice,,NY58E!
rice,,NY58F!
rice,,NY59A
rice,,NY59B
rice,,NY60A
rice,,NY60B!
rice,,NY61A
rice,,NY61B
rice,,NY62A
rice,,NY62B
rice,,NY62C
rice,,NY62D!
rice,grits,NY63A
rice,,NY63B
rice,,NY63C
rice,,NY64A
rice,,NY64B
rice,,NY64C!
rice,,NJ1A
rice,,NJ1B
rice,,NJ2A
rice,,NJ2B
rice,,NJ3A
rice,,NJ3B
rice,,NJ4A
rice,,NJ4B
rice,,NJ5A
rice,,NJ5B
rice,,NJ6A
rice,,NJ6B
rice,,NJ7A
rice,,NJ7B!
rice,,NJ8A
rice,,NJ8B
rice,,NJ9A
rice,,NJ9B
rice,,NJ10A
rice,,NJ10B
rice,,NJ10C
rice,,NJ10D!
rice,,NJ11A
rice,,NJ11B
rice,,NJ11C
rice,,NJ12A
rice,,NJ12B
rice,,NJ13A
rice,,NJ13B
rice,,NJ14A
rice,,NJ14B
rice,,NJ15A
rice,,NJ15B
rice,,NJ16A
rice,,NJ16B
rice,,NJ17A
rice,,NJ17B
rice,,NJ18A
rice,,NJ18B
rice,,NJ18C!
rice,,NJ18D!
rice,,NJ19A
rice,,NJ19B!
rice,,NJ20A
rice,,NJ20B
rice,,NJ21A
rice,,NJ21B
rice,,PA1A
rice,,PA1B
rice,,PA1C
rice,,PA1D
rice,,PA1E!
rice,,PA1F!
rice,,PA1G!
rice,,PA1H!
rice,,PA2A
rice,,PA2B
rice,,PA3A
rice,,PA3B
rice,,PA3C
rice,,PA4A
rice,,PA4B!
rice,,PA5A
rice,,PA5B
rice,,PA5C
rice,,PA5D
rice,,PA5E!
rice,,PA6A
rice,,PA6B
rice,,PA6C
rice,,PA6D!
rice,,PA7A
rice,,PA7B
rice,,PA7C
rice,,PA7D!
rice,,PA8A
rice,,PA8B
rice,,PA8C
rice,,PA8D!
rice,,PA9A
rice,,PA9B
rice,,PA9C!
rice,,PA10
rice,,PA11A
rice,,PA11B
rice,,PA12A
rice,,PA12B
rice,,PA13A
rice,,PA13B
rice,,PA14A
rice,,PA14B
rice,,PA14C
rice,,PA15A
rice,,PA15B
rice,,PA15C!
rice,,PA16A
rice,,PA16B
rice,,PA16C
rice,,PA17A
rice,,PA17B
rice,,PA18A
rice,,PA18B!
rice,,PA19A
rice,,PA19B
rice,,PA20A
rice,,PA20B
rice,,PA21A
rice,,PA21B
rice,,PA22A
rice,,PA22B
rice,,PA23A
rice,,PA23B
rice,,PA24A
rice,,PA24B
rice,,PA25A
rice,,PA25B
rice,,PA26A
rice,,PA26B
rice,,PA27A
rice,,PA27B
rice,,PA28A
rice,,PA28B!
rice,,PA29A
rice,,PA29B
rice,,PA30A
rice,,PA30B
rice,,PA31A
rice,,PA31B
rice,,PA32A
rice,,PA32B
rice,,PA33A
rice,,PA33B
rice,,PA34A
rice,,PA34B
rice,,PA34C!
rice,,PA35A
rice,,PA35B
rice,,PA35C
rice,,PA36A
rice,,PA36B
rice,,PA37A
rice,,PA37B
rice,,PA37C
rice,,PA38A
rice,,PA38B
rice,,PA39A
rice,,PA39B
rice,,PA40A
rice,,PA40B
rice,,PA41A
rice,,PA41B
rice,,PA42A
rice,,PA42B
rice,,PA43A
rice,,PA43B
rice,,PA44A
rice,,PA44B
rice,,PA45A
rice,,PA45B
rice,,PA46A
rice,,PA46B
rice,,PA47A
rice,,PA47B
rice,,PA48A
rice,,PA48B
rice,,PA48C
rice,,PA49A
rice,,PA49B
rice,,PA50A
rice,,PA50B
rice,,PA50C!
rice,,PA51A
rice,,PA51B
rice,,PA52A
rice,,PA52B!
rice,,PA53A
rice,,PA53B
rice,,PA54A
rice,,PA54B
rice,,PA55A
rice,,PA55B
rice,,PA56A
rice,,PA56B
rice,,PA57A
rice,,PA57B
rice,,PA58A
rice,,PA58B
rice,,PA59A
rice,,PA59B
rice,,PA60A
rice,,PA60B
rice,,PA61A
rice,,PA61B
rice,,PA62A
rice,,PA62B
rice,,PA63A
rice,,PA63B
rice,,PA64A
rice,,PA64B
rice,,PA65A
rice,,PA65B
rice,,PA66A
rice,,PA66B
rice,,PA67A
rice,,PA67B
rice,,WV1!
rice,,WV2
rice,,WV3
rice,,WV4A
rice,,WV4B
rice,,WV5
rice,,WV6A
rice,,WV6B
rice,,WV7A
rice,,WV7B
rice,,WV8A
rice,,WV8B
rice,,WV9A
rice,,WV9B
rice,garden,WV10A
rice,,WV10B
rice,,WV10C
rice,,WV11A
rice,,WV11B!
rice,,WV12A
rice,,WV12B
rice,,WV13A
rice,,WV13B
rice,,WV14A
rice,,WV14B
rice,,WV15A
rice,,WV15B
rice,,WV16A
rice,,WV16B
rice,,WV17A
rice,,WV17B
rice,,WV17C
rice,,WV18A
rice,,WV18B
rice,,WV19A
rice,,WV19B
rice,,WV20A
rice,,WV20B
rice,,WV21A
rice,,WV21B
rice,,WV22A
rice,,WV22B
rice,,WV23A
rice,,WV23B
rice,,WV24A
rice,,WV24B
rice,,WV25A
rice,,WV25B
rice,,WV26A
rice,,WV26B
rice,,WV27A
rice,,WV27B
rice,,WV28A
rice,,WV28B
rice,,WV29A
rice,,WV29B
rice,,WV30A
rice,,WV30B
rice,,WV31A
rice,,WV31B
rice,,WV32A
rice,,WV32B
rice,,WV33A
rice,,WV33B
rice,,WV34A
rice,,WV34B
rice,,WV35A
rice,,WV35B
rice,,WV36A
rice,,WV36B
rice,,WV37A
rice,,WV37B!
rice,,WV38A
rice,,WV38B
rice,,WV39A
rice,,WV39B
rice,,WV39C!
rice,,WV40A
rice,,WV40B
rice,,WV41A
rice,,WV41B
rice,,WV42A
rice,,WV42B
rice,,WV43A
rice,,WV43B
rice,,WV44A
rice,,WV44B
