Target,Response,Informant
rind,bacon rind,NY1
rind,bacon rind,NY2A
rind,bacon rind,NY2B
rind,bacon skin,NY2C
rind,bacon rind,NY2C
rind,rind,NY3A
rind,rind,NY3B
rind,rind,NY3C
rind,rind,NY3D
rind,skin,NY4A
rind,hide,NY4A
rind,rind,NY4B
rind,rind,NY4C
rind,rind,NY5A
rind,rind,NY5B
rind,rind,NY5C
rind,rind,NY5D
rind,rind,NY5E
rind,rind,NY5E
rind,rind,NY5F
rind,rind,NY5G
rind,rind,NY5H!
rind,rind,NY5I!
rind,rind,NY6A
rind,skin,NY6A
rind,rind,NY6B
rind,rind,NY7A
rind,skin,NY7A
rind,rind,NY7B
rind,skin,NY7B
rind,rind,NY7C
rind,rind,NY7D
rind,rind,NY7E
rind,rind,NY7F
rind,rind,NY7G
rind,rind,NY7H
rind,rind,NY7H
rind,rind,NY7I
rind,rind,NY7J!
rind,rind,NY7K!
rind,rind,NY7L!
rind,rind,NY7M!
rind,rind,NY8
rind,rind,NY9A
rind,rind,NY9B
rind,rind,NY9C
rind,rind,NY10A
rind,rind,NY10B!
rind,rind,NY11
rind,rind,NY12A
rind,rind,NY12A
rind,rind,NY12B
rind,rind,NY12C!
rind,rind,NY13A
rind,rind,NY13B!
rind,rind,NY14A
rind,rind,NY14B
rind,rind,NY15A
rind,rind,NY15B
rind,rind,NY16A
rind,rind,NY16B
rind,rind,NY17A
rind,rind,NY17B
rind,rind,NY18A
rind,rind,NY18B
rind,rind,NY18C!
rind,rind,NY19
rind,rind,NY20A
rind,rind,NY20B
rind,rind,NY21
rind,rind,NY22
rind,,NY23A
rind,,NY23B
rind,the rind,NY23C
rind,rind,NY24A
rind,rind,NY24B!
rind,skin,NY25A
rind,rind,NY25A
rind,rind,NY25B
rind,rind,NY25B
rind,skin,NY26A
rind,rind,NY26A
rind,the rind,NY26B
rind,,NY26C
rind,rind,NY27A
rind,the rind,NY27B
rind,rind,NY27C
rind,the rind,NY28A
rind,the rind,NY28B
rind,salt beef,NY28B
rind,streak of lean and streak of fat,NY28B
rind,,NY28C
rind,the rind,NY29A
rind,ham rind,NY29A
rind,rind,NY29B
rind,skin,NY29B
rind,rind,NY29C
rind,rind,NY30A
rind,the rind,NY30B
rind,the hide,NY30B
rind,the rind,NY30B
rind,,NY30C
rind,rind,NY30D
rind,the rind,NY30E
rind,rind,NY31A
rind,the rind,NY31B
rind,rind,NY32A
rind,skin,NY32A
rind,rind,NY32B
rind,rind,NY33A
rind,,NY33B
rind,the rind,NY33C
rind,rind,NY34A
rind,,NY34B
rind,bacon rind,NY34C
rind,rind,NY34D!
rind,rind,NY35A
rind,rind,NY35B
rind,rind,NY35C!
rind,rind,NY36A
rind,rind,NY36B
rind,rind,NY37A
rind,rind,NY37B
rind,rind,NY37C!
rind,rind,NY38A
rind,rind,NY38B
rind,rind,NY38C
rind,rind,NY39A
rind,rind,NY39B
rind,rind,NY40A
rind,rind,NY40B
rind,rind,NY41
rind,rind,NY42A
rind,rind,NY42B
rind,rind,NY43A
rind,rind,NY43B
rind,rind,NY43C!
rind,rind,NY44A
rind,rind,NY44B
rind,rind,NY45A
rind,,NY45B
rind,skin,NY45C
rind,rind,NY45C
rind,rind,NY45D!
rind,the skin of the bacon,NY46A
rind,the rind,NY46A
rind,dried beef,NY46B
rind,jerky,NY46B
rind,rind,NY46B
rind,jerked beef,NY46B
rind,rind,NY46C
rind,meat rind,NY47A
rind,rind,NY47A
rind,rind,NY47B
rind,rind,NY48A
rind,,NY48B
rind,rind,NY48C
rind,rind,NY48D
rind,the rind,NY49A
rind,ham rinds,NY49A
rind,rind,NY49B
rind,skin,NY49C
rind,rind,NY49D
rind,skins,NY50A
rind,the skin,NY50A
rind,the rind,NY50B
rind,rind,NY51A
rind,rind,NY51B
rind,rind,NY51B
rind,the skin,NY51C
rind,,NY51D
rind,the rind,NY51E!
rind,rind,NY52A
rind,the rind,NY52B
rind,the rind,NY52B
rind,rind,NY52C
rind,rind,NY53A
rind,rind,NY53B!
rind,rind,NY54A
rind,rind,NY54B
rind,rind,NY55A
rind,the skin,NY55B
rind,rind,NY56A
rind,rind,NY56B
rind,rind,NY57A
rind,the rind,NY57B
rind,skin,NY57C!
rind,the rind,NY58A
rind,pork rind,NY58B
rind,the rind,NY58B
rind,bacon rind,NY58B
rind,,NY58C
rind,the rind,NY58D!
rind,rind of bacon,NY58E!
rind,rind,NY58F!
rind,the skin,NY58F!
rind,rind,NY58F!
rind,rind,NY59A
rind,rind,NY59B
rind,the rind,NY60A
rind,rind,NY60B!
rind,rind,NY60B!
rind,the rind,NY61A
rind,the rind,NY61B
rind,the rind,NY62A
rind,the rind,NY62B
rind,the rind,NY62C
rind,the rind,NY62D!
rind,rind,NY63A
rind,rind,NY63B
rind,rind,NY63C
rind,rind,NY63D!
rind,rind,NY64A
rind,the rind,NY64A
rind,rind,NY64B
rind,the rind,NY64C!
rind,rind,NJ1A
rind,hide,NJ1B
rind,rind,NJ2A
rind,rind,NJ2B
rind,rind,NJ3A
rind,rind,NJ3B
rind,rind,NJ4A
rind,rind,NJ4B
rind,rind,NJ5A
rind,rind,NJ5B
rind,rind,NJ6A
rind,rind,NJ6B
rind,rind,NJ7A
rind,rind,NJ7B!
rind,skin,NJ8A
rind,rind,NJ8B
rind,rind,NJ9A
rind,skin,NJ9A
rind,skin,NJ9B
rind,rind,NJ10A
rind,skin,NJ10B
rind,rind,NJ10C
rind,rind,NJ10D!
rind,rind,NJ11A
rind,rind,NJ11B
rind,rind,NJ11C
rind,skin,NJ12A
rind,skin,NJ12B
rind,rind,NJ13A
rind,rind,NJ13B
rind,rind,NJ14A
rind,rind,NJ14B
rind,rind,NJ15A
rind,rind,NJ15B
rind,rind,NJ16A
rind,rind,NJ16B
rind,rind,NJ17A
rind,rind,NJ17B
rind,rind,NJ18A
rind,rind,NJ18B
rind,rind,NJ18C!
rind,rind,NJ18D!
rind,rind,NJ19A
rind,rind,NJ19B!
rind,rind,NJ20A
rind,rind,NJ20B
rind,rind,NJ21A
rind,rind,NJ21B
rind,rind,PA1A
rind,rind,PA1B
rind,rind,PA1C
rind,rind,PA1D
rind,rind,PA1E!
rind,rind,PA1F!
rind,rind,PA1G!
rind,rind,PA1H!
rind,skin,PA2A
rind,skin,PA2B
rind,bacon,PA2B
rind,skin,PA3A
rind,rind,PA3B
rind,skin,PA3C
rind,skin,PA4A
rind,hide,PA4A
rind,rind,PA4B!
rind,rind,PA5A
rind,skin,PA5A
rind,,PA5B
rind,skin,PA5C
rind,rind,PA5D
rind,skin,PA5E!
rind,the schwarte,PA6A
rind,skin,PA6A
rind,rind,PA6B
rind,skin,PA6C
rind,schwarte,PA6C
rind,skin,PA6D!
rind,skin,PA7A
rind,skin,PA7B
rind,skin,PA7C
rind,rind,PA7D!
rind,skin,PA8A
rind,skin,PA8B
rind,skin,PA8C
rind,rind,PA8D!
rind,skin,PA9A
rind,skin,PA9B
rind,rind,PA9C!
rind,skin,PA9C!
rind,schwarte,PA10
