Target,Response,Informant
roof,roof,NY1
roof,roof,NY2A
roof,roof,NY2B
roof,roof,NY2B
roof,roof,NY2B
roof,roof,NY2C
roof,roof,NY3A
roof,roof,NY3B
roof,roof,NY3C
roof,roof,NY3D
roof,roof,NY4A
roof,roof,NY4B
roof,roof,NY4C
roof,roof,NY5A
roof,roof,NY5B
roof,roof,NY5C
roof,roof,NY5D
roof,roof,NY5E
roof,roof,NY5F
roof,roof,NY5G
roof,roof,NY5H!
roof,roof,NY5I!
roof,roof,NY6A
roof,roof,NY6B
roof,roof,NY7A
roof,roof,NY7B
roof,roof,NY7C
roof,roof,NY7D
roof,roof,NY7E
roof,roof,NY7F
roof,roof,NY7G
roof,roof,NY7H
roof,roof,NY7I
roof,roof,NY7J!
roof,roof,NY7K!
roof,roof,NY7L!
roof,roof,NY7M!
roof,roof,NY8
roof,roof,NY9A
roof,roof,NY9B
roof,roof,NY9C
roof,roof,NY10A
roof,roof,NY10A
roof,roof,NY10B!
roof,roof,NY11
roof,roof,NY12A
roof,roof,NY12A
roof,roof,NY12B
roof,roof,NY12C!
roof,roof,NY13A
roof,roof,NY13B!
roof,roof,NY14A
roof,roof,NY14B
roof,roof,NY15A
roof,roof,NY15B
roof,roof,NY16A
roof,roof,NY16B
roof,roof,NY17A
roof,roof,NY17A
roof,roof,NY17B
roof,roof,NY18A
roof,roof,NY18B
roof,roof,NY18C!
roof,roof,NY19
roof,roof,NY20A
roof,roof,NY20B
roof,roof,NY21
roof,roof,NY22
roof,roof,NY23A
roof,roof,NY23A
roof,roof,NY23B
roof,roof,NY23C
roof,flat roofs,NY23C
roof,roof,NY24A
roof,shave shingles,NY24B!
roof,roof,NY24B!
roof,rack,NY24B!
roof,roof,NY25A
roof,roof,NY25B
roof,roof,NY26A
roof,roof,NY26B
roof,roof,NY26C
roof,roof,NY27A
roof,half roof,NY27A
roof,roofs,NY27A
roof,roof,NY27B
roof,roof,NY27C
roof,shingles,NY28A
roof,roof,NY28A
roof,roof,NY28B
roof,roof,NY28B
roof,shingles,NY28C
roof,roof,NY28C
roof,shingle mill,NY28C
roof,roof,NY29A
roof,roof,NY29B
roof,roof,NY29C
roof,shingled roof,NY29C
roof,roof,NY30A
roof,roof,NY30B
roof,shingles,NY30B
roof,roof,NY30B
roof,shingles,NY30B
roof,roof,NY30C
roof,roofs,NY30D
roof,cedar shingles,NY30D
roof,roof,NY30E
roof,roof,NY30E
roof,roof,NY31A
roof,shingles,NY31A
roof,roof,NY31B
roof,peaked roof,NY32A
roof,roof,NY32A
roof,shingles,NY32B
roof,roof,NY32B
roof,roof,NY33A
roof,roof,NY33B
roof,roof,NY33C
roof,roof,NY34A
roof,shingle,NY34B
roof,tin roof,NY34B
roof,roof,NY34B
roof,roof,NY34C
roof,roofs,NY34C
roof,hemlock shingle,NY34C
roof,roof,NY34D!
roof,roof,NY34D!
roof,roof,NY35A
roof,roof,NY35B
roof,roof,NY35C!
roof,roof,NY36A
roof,roof,NY36B
roof,roof,NY37A
roof,roof,NY37B
roof,roof,NY37C!
roof,roof,NY38A
roof,roof,NY38B
roof,roof,NY38C
roof,roof,NY39A
roof,roof,NY39B
roof,roof,NY40A
roof,roof,NY40B
roof,roof,NY41
roof,roof,NY42A
roof,roof,NY42B
roof,roof,NY43A
roof,roof,NY43B
roof,roof,NY43C!
roof,roof,NY44A
roof,roof,NY44B
roof,shave shingle,NY45A
roof,roofs,NY45A
roof,roof,NY45A
roof,straight roof,NY45B
roof,shed roof,NY45B
roof,roof,NY45B
roof,roofs,NY45C
roof,roof,NY45C
roof,roof,NY45D!
roof,roofs,NY45D!
roof,roof,NY46A
roof,gambrel roof,NY46A
roof,roof,NY46B
roof,roof,NY46C
roof,roofs,NY47A
roof,roof,NY47A
roof,roof,NY47A
roof,roof,NY47B
roof,roofs,NY48A
roof,split shingles,NY48A
roof,roofs,NY48B
roof,shingles,NY48B
roof,roof,NY48C
roof,roof,NY48C
roof,roof,NY48C
roof,shingle roof,NY48C
roof,roofs,NY48D
roof,roofs,NY48D
roof,shingle roofs,NY49A
roof,roofs,NY49B
roof,roof,NY49C
roof,roof,NY49C
roof,hip roof,NY49D
roof,roof,NY49D
roof,roof,NY50A
roof,roof,NY50B
roof,roofs,NY50B
roof,roofs,NY50B
roof,gambrel roof barns,NY50B
roof,roof,NY51A
roof,shingles,NY51A
roof,roof,NY51A
roof,shingle roof,NY51B
roof,roofing,NY51C
roof,roof,NY51D
roof,roof,NY51D
roof,shingle roof,NY51E!
roof,roof,NY52A
roof,felt roofing,NY52B
roof,roof,NY52B
roof,roofs,NY52B
roof,roof,NY52B
roof,peak,NY52C
roof,roof,NY52C
roof,pine shingles,NY53A
roof,roof,NY53A
roof,shaved,NY53A
roof,tin roof,NY53B!
roof,slate roofs,NY53B!
roof,roof,NY54A
roof,roof,NY54A
roof,roof,NY54B
roof,roof,NY55A
roof,roofing,NY55A
roof,unroofed,NY55A
roof,roof,NY55B
roof,shingles,NY55B
roof,roof,NY55B
roof,tin roof,NY55B
roof,roofs,NY56A
roof,roof,NY56A
roof,shingles,NY56A
roof,roof,NY56B
roof,shakes,NY56B
roof,shingle,NY56B
roof,unroof,NY56B
roof,roofs,NY57A
roof,hip roofs,NY57A
roof,roof,NY57A
roof,hip roof,NY57B
roof,tin roof,NY57B
roof,shave shingles,NY57B
roof,roof,NY57C!
roof,roof,NY58A
roof,roof,NY58A
roof,roof,NY58B
roof,roof,NY58C
roof,tin roof,NY58C
roof,roof,NY58D!
roof,slate roofs,NY58E!
roof,roofs,NY58E!
roof,roof,NY58F!
roof,roofs,NY59A
roof,roof,NY59B
roof,roofs,NY60A
roof,hemlock,NY60B!
roof,roof boards,NY60B!
roof,roof,NY61A
roof,roof,NY61B
roof,roof,NY61B
roof,roof,NY62A
roof,roof,NY62A
roof,shingle roof,NY62B
roof,roof,NY62B
roof,roof,NY62C
roof,roof,NY62D!
roof,roof,NY63A
roof,roof,NY63A
roof,roof,NY63B
roof,roof,NY63B
roof,roof,NY63B
roof,roof,NY63C
roof,roof,NY63D!
roof,roof,NY64A
roof,shakes,NY64A
roof,roof,NY64A
roof,roof,NY64B
roof,roofs,NY64C!
roof,roof,NJ1A
roof,roof,NJ1B
roof,roof,NJ2A
roof,roof,NJ2B
roof,roof,NJ3A
roof,roof,NJ3B
roof,roof,NJ4A
roof,roof,NJ4B
roof,roof,NJ5A
roof,roof,NJ5B
roof,roof,NJ6A
roof,roof,NJ6B
roof,roof,NJ7A
roof,roof,NJ7B!
roof,roof,NJ8A
roof,roof,NJ8B
roof,roof,NJ9A
roof,roof,NJ9B
roof,roof,NJ10A
roof,roof,NJ10B
roof,roof,NJ10C
roof,roof,NJ10D!
roof,roof,NJ11A
roof,roof,NJ11B
roof,roof,NJ11C
roof,roof,NJ12A
roof,roof,NJ12B
roof,roof,NJ13A
roof,roof,NJ13B
roof,roof,NJ14A
roof,roof,NJ14B
roof,roof,NJ15A
roof,roof,NJ15B
roof,roof,NJ16A
roof,roof,NJ16B
roof,roof,NJ17A
roof,roof,NJ17B
roof,roof,NJ18A
roof,roof,NJ18B
roof,roof,NJ18C!
roof,roof,NJ18D!
roof,roof,NJ19A
roof,roof,NJ19B!
roof,deck,NJ20A
roof,roof,NJ20A
roof,roof,NJ20B
roof,roof,NJ21A
roof,roof,NJ21B
roof,roof,PA1A
roof,roof,PA1B
roof,roof,PA1C
roof,roof,PA1D
roof,roof,PA1E!
roof,roof,PA1F!
roof,roof,PA1G!
roof,roof,PA1H!
roof,roof,PA2A
roof,roof,PA2B
roof,roof,PA3A
roof,roof,PA3B
roof,roof,PA3C
roof,roof,PA4A
roof,roof,PA4B!
roof,roof,PA5A
roof,roof,PA5B
roof,roof,PA5C
roof,roof,PA5D
roof,roof,PA5E!
roof,roof,PA6A
roof,roof,PA6B
roof,roof,PA6C
roof,roof,PA6D!
roof,roof,PA7A
roof,roof,PA7B
roof,roof,PA7C
roof,roof,PA7D!
roof,roof,PA8A
roof,roof,PA8B
roof,roof,PA8C
roof,roof,PA8D!
roof,roof,PA9A
roof,roof,PA9B
roof,roof,PA9C!
roof,roof,PA10
roof,roof,PA11A
roof,roof,PA11B
roof,roof,PA11B
roof,roof,PA12A
roof,roof,PA12B
roof,roof,PA13A
roof,roof,PA13B
roof,roof,PA14A
roof,roof,PA14A
roof,roof,PA14B
roof,roof,PA14C
roof,roof,PA15A
roof,roof,PA15B
roof,roof,PA15C!
roof,roof,PA16A
roof,roof,PA16B
roof,roof,PA16C
roof,roof,PA17A
roof,roof,PA17B
roof,roof,PA18A
roof,roof,PA18B!
roof,roof,PA19A
roof,roof,PA19B
roof,roof,PA20A
roof,roof,PA20B
roof,roof,PA21A
roof,roof,PA21B
roof,roof,PA22A
roof,roof,PA22B
roof,roof,PA23A
roof,roof,PA23B
roof,roof,PA24A
roof,roof,PA24B
roof,roof,PA25A
roof,roof,PA25B
roof,roof,PA26A
roof,roof,PA26B
roof,roof,PA27A
roof,roof,PA27B
roof,roof,PA28A
roof,roof,PA28B!
roof,roof,PA29A
roof,roof,PA29A
roof,roof,PA29B
roof,roof,PA30A
roof,roof,PA30B
roof,roof,PA31A
roof,roof,PA31B
roof,roof,PA32A
roof,roof,PA32B
roof,roof,PA33A
roof,roof,PA33B
roof,roof,PA34A
roof,roof,PA34B
roof,roof,PA34C!
roof,roof,PA35A
roof,roof,PA35B
roof,roof,PA35C
roof,roof,PA36A
roof,roof,PA36B
roof,roof,PA37A
roof,roof,PA37A
roof,roof,PA37B
roof,roof,PA37C
roof,roof,PA38A
roof,roof,PA38B
roof,roof,PA39A
roof,roof,PA39B
roof,roof,PA40A
roof,roof,PA40A
roof,roof,PA40B
roof,roof,PA41A
roof,roof,PA41B
roof,roof,PA42A
roof,roof,PA42B
roof,roof,PA43A
roof,roof,PA43B
roof,roof,PA44A
roof,roof,PA44B
roof,roof,PA45A
roof,roof,PA45B
roof,roof,PA46A
roof,roof,PA46B
roof,roof,PA47A
roof,roof,PA47B
roof,roof,PA48A
roof,roof,PA48B
roof,roof,PA48C
roof,roof,PA49A
roof,roof,PA49B
roof,roof,PA50A
roof,roof,PA50B
roof,roof,PA50C!
roof,roof,PA51A
roof,roof,PA51B
roof,roof,PA52A
roof,roof,PA52B!
roof,roof,PA53A
roof,roof,PA53B
roof,roof,PA54A
roof,roof,PA54B
roof,roof,PA55A
roof,roof,PA55B
roof,roof,PA56A
roof,roof,PA56B
roof,roof,PA57A
roof,roof,PA57B
roof,roof,PA58A
roof,roof,PA58B
roof,roof,PA59A
roof,roof,PA59B
roof,roof,PA60A
roof,roof,PA60B
roof,roof,PA61A
roof,roof,PA61B
roof,roof,PA62A
roof,roof,PA62B
roof,roof,PA63A
roof,roof,PA63B
roof,roof,PA64A
