Target,Response,Informant
rose,rose,NY1
rose,,NY2A
rose,rose,NY2B
rose,,NY2C
rose,rose,NY3A
rose,rose,NY3B
rose,rose,NY3C
rose,rose,NY3D
rose,rose,NY4A
rose,rose,NY4B
rose,rose,NY4C
rose,rose,NY5A
rose,rose,NY5B
rose,rose,NY5C
rose,rose,NY5D
rose,rose,NY5E
rose,rose,NY5F
rose,rose,NY5G
rose,rose,NY5H!
rose,rose,NY5I!
rose,rose,NY6A
rose,rose,NY6B
rose,rose,NY7A
rose,came up,NY7B
rose,rose,NY7B
rose,rose,NY7C
rose,rose,NY7D
rose,rose,NY7E
rose,rose,NY7F
rose,rose,NY7G
rose,rose,NY7H
rose,rose,NY7I
rose,rose,NY7J!
rose,rose,NY7K!
rose,rose,NY7L!
rose,rose,NY7M!
rose,rose,NY8
rose,rose,NY9A
rose,rose,NY9B
rose,rose,NY9C
rose,rose,NY10A
rose,rose,NY10B!
rose,rose,NY11
rose,came up,NY11
rose,rose,NY12A
rose,rose,NY12B
rose,rose,NY12C!
rose,raised,NY13A
rose,rose,NY13B!
rose,came up,NY13B!
rose,rose,NY14A
rose,come up,NY14A
rose,rose,NY14B
rose,came up,NY14B
rose,rose,NY15A
rose,rose,NY15B
rose,rose,NY16A
rose,rose,NY16B
rose,rose,NY17A
rose,rose,NY17B
rose,rose,NY18A
rose,rose,NY18B
rose,came up,NY18B
rose,rose,NY18C!
rose,rose,NY19
rose,rose,NY20A
rose,rose,NY20B
rose,rose,NY21
rose,rose,NY22
rose,,NY23A
rose,come up,NY23B
rose,rose,NY23B
rose,come up,NY23B
rose,rose,NY23C
rose,rose,NY24A
rose,rose,NY24B!
rose,come up,NY25A
rose,rose,NY25A
rose,come over,NY25B
rose,came up,NY25B
rose,come up,NY26A
rose,rised,NY26A
rose,rised,NY26B
rose,,NY26C
rose,come up,NY27A
rose,raised,NY27A
rose,rose,NY27A
rose,,NY27B
rose,came up,NY27C
rose,sun was up,NY28A
rose,came up,NY28A
rose,came up,NY28B
rose,raised,NY28B
rose,,NY28C
rose,come up,NY29A
rose,rised,NY29B
rose,come up,NY29C
rose,rose,NY30A
rose,came up,NY30A
rose,riz,NY30A
rose,came up,NY30B
rose,,NY30C
rose,,NY30D
rose,arose,NY30E
rose,rose,NY30E
rose,rose,NY31A
rose,came up,NY31B
rose,rose,NY32A
rose,rose,NY32B
rose,,NY33A
rose,came up,NY33B
rose,came up,NY33C
rose,arose,NY34A
rose,,NY34B
rose,,NY34C
rose,rose,NY34D!
rose,rose,NY35A
rose,came up,NY35A
rose,rose,NY35B
rose,,NY35C!
rose,rose,NY36A
rose,rose,NY36B
rose,rose,NY37A
rose,rose,NY37B
rose,rose,NY37C!
rose,rose,NY38A
rose,rose,NY38B
rose,,NY38C
rose,rose,NY39A
rose,rose,NY39B
rose,rose,NY40A
rose,rose,NY40B
rose,came up,NY40B
rose,rose,NY41
rose,came up,NY41
rose,rose,NY42A
rose,rose,NY42B
rose,,NY43A
rose,came up,NY43B
rose,rose,NY43B
rose,rose,NY43C!
rose,rose,NY44A
rose,rose,NY44B
rose,rose,NY45A
rose,,NY45B
rose,,NY45C
rose,came up,NY45D!
rose,rose,NY46A
rose,,NY46B
rose,,NY46C
rose,rose,NY47A
rose,came up,NY47B
rose,rose,NY47B
rose,rose,NY48A
rose,,NY48B
rose,came up,NY48C
rose,rose,NY48C
rose,arose,NY48D
rose,rose,NY48D
rose,,NY49A
rose,,NY49B
rose,rises,NY49C
rose,rose,NY49C
rose,rose,NY49D
rose,came up,NY50A
rose,came up,NY50B
rose,rose,NY51A
rose,came up,NY51B
rose,,NY51C
rose,,NY51D
rose,rose,NY51E!
rose,arose,NY52A
rose,,NY52B
rose,rised,NY52C
rose,rose,NY52C
rose,rose,NY53A
rose,rose,NY53B!
rose,came up,NY53B!
rose,rose,NY54A
rose,rose,NY54B
rose,rose,NY55A
rose,rose,NY55B
rose,came up,NY56A
rose,sun was up,NY56A
rose,came up,NY56B
rose,rose,NY57A
rose,,NY57B
rose,rose,NY57C!
rose,rose,NY58A
rose,come up,NY58B
rose,raised,NY58B
rose,,NY58C
rose,came up,NY58D!
rose,rose,NY58D!
rose,rose,NY58E!
rose,rose,NY58F!
rose,rose,NY59A
rose,rose,NY59B
rose,rose,NY60A
rose,rose,NY60B!
rose,come up,NY61A
rose,rose,NY61B
rose,come up,NY61B
rose,rose,NY62A
rose,rose,NY62A
rose,rose,NY62B
rose,came up,NY62C
rose,raised,NY62C
rose,rose,NY62D!
rose,came up,NY63A
rose,arose,NY63B
rose,rose,NY63C
rose,riz,NY63D!
rose,rose,NY63D!
rose,got up,NY64A
rose,come up,NY64A
rose,came up,NY64A
rose,come up,NY64B
rose,rose,NY64B
rose,came up,NY64C!
rose,rose,NJ1A
rose,rose,NJ1B
rose,rose,NJ2A
rose,rose,NJ2B
rose,riz,NJ3A
rose,rose,NJ3B
rose,rose,NJ4A
rose,rose,NJ4B
rose,rose,NJ5A
rose,rose,NJ5B
rose,rose,NJ6A
rose,rose,NJ6B
rose,rose,NJ7A
rose,rose,NJ7B!
rose,rose,NJ8A
rose,rose,NJ8B
rose,raised,NJ9A
rose,rose,NJ9B
rose,rose,NJ10A
rose,riz,NJ10A
rose,rose,NJ10B
rose,rose,NJ10C
rose,rose,NJ10D!
rose,rose,NJ11A
rose,rose,NJ11B
rose,came up,NJ11B
rose,rose,NJ11C
rose,came up,NJ11C
rose,rose,NJ12A
rose,rose,NJ12B
rose,came up,NJ12B
rose,rised,NJ13A
rose,rose,NJ13B
rose,rose,NJ14A
rose,rose,NJ14B
rose,rose,NJ15A
rose,rose,NJ15B
rose,rose,NJ16A
rose,came up,NJ16A
rose,rose,NJ16B
rose,rose,NJ17A
rose,rose,NJ17B
rose,rose,NJ18A
rose,rose,NJ18B
rose,came up,NJ18C!
rose,rose,NJ18C!
rose,rose,NJ18D!
rose,rose,NJ19A
rose,rose,NJ19B!
rose,rose,NJ20A
rose,rose,NJ20B
rose,rose,NJ21A
rose,rose,NJ21B
rose,rose,PA1A
rose,rose,PA1B
rose,rose,PA1C
rose,rose,PA1D
rose,rose,PA1E!
rose,rose,PA1F!
rose,rose,PA1G!
rose,rose,PA1H!
rose,rose,PA2A
rose,rose,PA2B
rose,rose,PA3A
rose,rose,PA3B
rose,rose,PA3C
rose,rose,PA4A
rose,rose,PA4B!
rose,raised,PA5A
rose,rose,PA5B
rose,rose,PA5C
rose,rose,PA5D
rose,rose,PA5E!
rose,did rise,PA6A
rose,rose,PA6B
rose,rose,PA6C
rose,rose,PA6D!
rose,got up,PA7A
rose,rose,PA7A
rose,rose,PA7B
rose,rose,PA7C
rose,rose,PA7D!
rose,riz,PA8A
rose,rose,PA8B
rose,rose,PA8C
rose,rose,PA8D!
rose,rose,PA9A
rose,did rise,PA9A
rose,rose,PA9B
rose,rose,PA9C!
rose,rose,PA10
rose,rose,PA11A
rose,rised,PA11A
rose,rose,PA11B
rose,come up,PA11B
rose,raised,PA12A
rose,rose,PA12B
rose,raised,PA13A
rose,rose,PA13B
rose,rose,PA14A
rose,rose,PA14B
rose,,PA14C
rose,rose,PA15A
rose,rose,PA15B
rose,rose,PA15C!
rose,rose,PA16A
rose,rose,PA16B
rose,,PA16C
rose,rose,PA17A
rose,rose,PA17B
rose,rose,PA18A
rose,rose,PA18B!
rose,riz,PA19A
rose,rose,PA19B
rose,raised,PA20A
rose,rose,PA20B
rose,rose,PA21A
rose,rose,PA21B
rose,,PA22A
rose,rose,PA22B
rose,rose,PA23A
rose,rose,PA23B
rose,rose,PA24A
rose,rose,PA24B
rose,rose,PA25A
rose,rose,PA25B
rose,rose,PA26A
rose,riz,PA26B
rose,rose,PA26B
rose,rose,PA27A
rose,rose,PA27B
rose,rose,PA28A
rose,rose,PA28B!
rose,rose,PA29A
rose,rose,PA29B
rose,come up,PA30A
rose,rised,PA30A
rose,rose,PA30B
rose,rose,PA31A
rose,come up,PA31A
rose,rose,PA31B
rose,rose,PA32A
rose,rose,PA32B
rose,come up,PA32B
rose,raised,PA33A
rose,rose,PA33B
rose,raised,PA34A
rose,come up,PA34B
rose,rose,PA34B
rose,,PA34C!
rose,rose,PA35A
rose,rose,PA35B
rose,,PA35C
rose,raised,PA36A
rose,rised,PA36A
rose,rose,PA36B
rose,rose,PA37A
rose,rose,PA37B
rose,,PA37C
rose,rose,PA38A
rose,come up,PA38A
rose,rose,PA38B
rose,rose,PA39A
rose,rose,PA39B
rose,rose,PA40A
rose,rose,PA40B
rose,come up,PA41A
rose,rose,PA41A
rose,rose,PA41B
rose,rose,PA42A
rose,raised,PA42A
rose,rose,PA42B
rose,rose,PA43A
rose,rose,PA43B
rose,rose,PA44A
rose,rose,PA44B
rose,rose,PA45A
rose,rose,PA45B
rose,come up,PA45B
rose,rose,PA46A
rose,rose,PA46B
rose,rose,PA47A
rose,rose,PA47B
rose,raised,PA48A
rose,rose,PA48B
rose,rose,PA48C
rose,rose,PA49A
rose,rose,PA49B
rose,,PA50A
rose,rose,PA50B
rose,rose,PA50C!
rose,rose,PA51A
rose,rose,PA51B
rose,rose,PA52A
rose,rose,PA52B!
rose,come up,PA53A
rose,rose,PA53A
rose,rose,PA53B
rose,rose,PA54A
rose,rose,PA54B
rose,rose,PA55A
rose,rose,PA55B
rose,come up,PA56A
rose,riz,PA56B
rose,riz,PA57A
rose,rose,PA57B
rose,rose,PA58A
rose,rose,PA58B
rose,rose,PA59A
rose,rose,PA59B
rose,rose,PA60A
rose,rose,PA60B
rose,raised,PA61A
rose,come up,PA61A
rose,rose,PA61B
rose,rose,PA62A
rose,rose,PA62B
rose,rose,PA63A
rose,rose,PA63B
rose,rose,PA64A
rose,rose,PA64B
rose,raised,PA65A
rose,rose,PA65B
rose,rose,PA66A
rose,rose,PA66B
rose,rose,PA67A
rose,come up,PA67A
rose,rose,PA67B
rose,came up,PA67B
rose,rose,WV1!
rose,rose,WV2
rose,raised,WV3
rose,raised,WV4A
rose,rose,WV4B
rose,riz,WV4B
rose,rose,WV5
rose,raised,WV6A
rose,rose,WV6B
rose,rised,WV7A
rose,rose,WV7B
rose,come up,WV8A
rose,raised,WV8A
rose,came up,WV8B
rose,rose,WV8B
rose,raised,WV9A
rose,raised,WV9B
rose,come up,WV9B
rose,raised,WV10A
rose,come up,WV10B
rose,raised,WV10B
rose,rose,WV10C
rose,rose,WV11A
rose,rose,WV11B!
rose,raised,WV12A
rose,rose,WV12B
rose,come up,WV12B
rose,rose,WV13A
rose,rised,WV13B
rose,rose,WV13B
rose,rose,WV14A
rose,rose,WV14B
rose,rose,WV15A
rose,rose,WV15B
rose,raised,WV16A
rose,raised,WV16B
rose,,WV17A
rose,rose,WV17B
rose,come up,WV17C
rose,rose,WV17C
rose,raise,WV18A
rose,rose,WV18B
rose,came up,WV18B
rose,rised,WV19A
rose,raised,WV19B
rose,rose,WV19B
rose,raised,WV20A
rose,rised,WV20A
rose,rose,WV20B
rose,come up,WV21A
rose,raised,WV21A
rose,rose,WV21B
rose,come up,WV22A
rose,raised,WV22A
rose,rose,WV22B
rose,came up,WV22B
rose,raised,WV23A
rose,come up,WV23B
rose,rose,WV23B
rose,riz,WV24A
rose,rose,WV24B
rose,rised,WV25A
rose,come up,WV25A
rose,raised,WV25A
rose,come up,WV25B
rose,rose,WV25B
rose,riz,WV26A
rose,come up,WV26A
rose,rised,WV26B
rose,raised,WV26B
rose,come up,WV26B
rose,come up,WV27A
rose,rose,WV27A
rose,rose,WV27B
rose,rised,WV28A
rose,rose,WV28B
rose,raised,WV29A
rose,rose,WV29B
rose,come up,WV30A
rose,riz,WV30A
rose,raised,WV30B
rose,raised,WV31A
rose,raised,WV31B
rose,raised,WV32A
rose,raised,WV32B
rose,raised,WV33A
rose,rose,WV33A
rose,raised,WV33B
rose,come up,WV34A
rose,rose,WV34A
rose,rised,WV34B
rose,rose,WV35A
rose,rose,WV35B
rose,riz,WV36A
rose,rose,WV36B
rose,raised,WV37A
rose,rose,WV37B!
rose,rose,WV38A
rose,raised,WV38B
rose,rose,WV38B
rose,rose,WV39A
rose,rose,WV39B
rose,rose,WV39C!
rose,rose,WV40A
rose,rose,WV40B
rose,riz,WV41A
rose,rose,WV41B
rose,rose,WV42A
rose,came up,WV42A
rose,rose,WV42B
rose,come up,WV43A
rose,rose,WV43A
rose,rised,WV43B
rose,rose,WV43B
rose,come up,WV44A
rose,rose,WV44A
rose,raised,WV44B
rose,rised,WV44B
rose,rose,WV45A
rose,rose,WV45B
rose,come up,WV46A
rose,raised,WV46A
rose,rose,WV46B
rose,rose,WV47A
rose,raised,WV47B
rose,came up,WV48A
rose,rose,WV48A
rose,,WV48B
rose,,WV48C
rose,raised,WV48D
rose,rised,WV49A
rose,rose,WV49B
rose,rose,WV50A
rose,rose,WV50B
rose,rose,WV51A
rose,come up,WV51A
rose,rose,WV51B
rose,raised,WV52A
rose,rised,WV52A
rose,rose,WV52B
rose,rose,WV52C!
rose,rose,WV53A
rose,,WV53B
rose,came up,WV53C!
rose,rose,WV53C!
rose,rised,WV54A
rose,rised,WV54B
rose,got up,WV54B
rose,rose,DE1A
rose,rose,DE1B
rose,rose,DE1C!
rose,rose,DE2A
rose,got up,DE2A
rose,riz,DE2A
rose,rose,DE2B
rose,,DE2C
rose,rose,DE3A
rose,rose,DE3B
rose,come up,DE3B
rose,rose,DE3C!
rose,riz,DE4
rose,riz,DE5A
rose,raised,DE5B
rose,rose,DE5B
rose,rose,DE6A
rose,rose,DE6B
rose,rose,MD1A
rose,rose,MD1B
rose,riz,MD2A
rose,rose,MD2B
rose,rose,MD3A
rose,riz,MD3B
rose,rose,MD4A
rose,rose,MD4B
rose,rose,MD4C
rose,rose,MD5A
rose,riz,MD5A
rose,rose,MD5B
rose,riz,MD6A
rose,rose,MD6B
rose,riz,MD7A
rose,rose,MD7B
rose,rose,MD7C!
rose,riz,MD8A
rose,rose,MD8B
rose,riz,MD9N
rose,riz,MD9A
rose,rose,MD9B
rose,rose,MD10A
rose,rose,MD10B
rose,rised,MD11
rose,rose,MD12A
rose,rose,MD12B
rose,got up,MD12B
rose,rose,MD13A
rose,rised,MD13B
rose,rose,MD13C
rose,rose,MD13D!
rose,rose,MD13E!
rose,rose,MD13F!
rose,rose,MD13F!
rose,,MD13G
rose,rose,MD14
rose,raised,MD15A
rose,raised,MD15B
rose,come up,MD15B
rose,rose,MD16
rose,rose,MD17A
rose,rose,MD17B
rose,rose,MD18A
rose,rose,MD18B
rose,riz,MD19A
rose,rose,MD19A
rose,rose,MD19B
rose,,MD20A
rose,rose,MD20B
rose,rose,MD20C!
rose,rose,MD21A
rose,raised,MD21A
rose,rose,MD21B
rose,,MD22N
rose,rised,MD22M
rose,riz,MD22A
rose,rose,MD22A
rose,rose,MD22B
rose,rose,MD22C!
rose,rose,MD23A
rose,,MD23B
rose,rose,MD23C
rose,rose,MD24
rose,raised,MD24
rose,rose,MD25
rose,raised,MD26A
rose,,MD26B
rose,rose,MD27A
rose,rose,MD27B
rose,rose,DC1A
rose,rose,DC1B!
rose,rose,VA1!
rose,rose,VA2A
rose,riz,VA2B
rose,rose,VA2B
rose,raised,VA3A
rose,rose,VA3B
rose,,VA3C
rose,riz,VA4N
rose,rose,VA5A
rose,riz,VA5A
rose,rose,VA5B
rose,riz,VA6A
rose,rose,VA6B
rose,riz,VA7A
rose,rose,VA7A
rose,rose,VA7B
rose,riz,VA8A
rose,rose,VA8B
rose,rose,VA8C!
rose,rose,VA9A
rose,rose,VA9B!
rose,riz,VA10A
rose,rose,VA10B
rose,riz,VA11A
rose,rose,VA11B
rose,riz,VA11B
rose,riz,VA12N
rose,rose,VA12A
rose,rose,VA12B!
rose,riz,VA13A
rose,rose,VA13B
rose,riz,VA14A
rose,rose,VA14A
rose,riz,VA14B
rose,rose,VA14B
rose,rose,VA14C
rose,,VA15N
rose,riz,VA15A
rose,rose,VA15B
rose,rose,VA16A
rose,rose,VA16B
rose,riz,VA17A
rose,rose,VA17B
rose,rose,VA18
rose,riz,VA19A
rose,rose,VA19A
rose,riz,VA19B
rose,rose,VA19C!
rose,riz,VA20A
rose,rose,VA20B
rose,,VA20C
rose,rise,VA21N
rose,riz,VA21N
rose,rose,VA21A
rose,rose,VA21B
rose,riz,VA22
rose,riz,VA23A
rose,rose,VA23B
rose,rose,VA24
rose,riz,VA25
rose,,VA26A
rose,riz,VA26B
rose,rose,VA26C
rose,riz,VA27
rose,riz,VA28A
rose,rose,VA28B
rose,riz,VA29
rose,riz,VA30A
rose,,VA30B!
rose,rose,VA30C!
rose,rose,VA30D!
rose,rose,VA30E!
rose,,VA31A
rose,rose,VA31B
rose,riz,VA31C
rose,rose,VA32!
rose,riz,VA33A
rose,rose,VA33B
rose,rose,VA34A
rose,riz,VA34A
rose,rose,VA34B
rose,riz,VA35A
rose,rose,VA35B
rose,riz,VA36A
rose,rose,VA36A
rose,riz,VA36B
rose,rose,VA36B
rose,riz,VA37
rose,rose,VA37
rose,riz,VA38
rose,rose,VA38
rose,rose,VA39!
rose,riz,VA40A
rose,rose,VA40B
rose,rose,VA40B
rose,riz,VA41A
rose,rose,VA41B
rose,riz,VA41B
rose,riz,VA42A
rose,rose,VA42B
rose,riz,VA43N
rose,riz,VA43A
rose,rose,VA43B
rose,rose,VA44A
rose,riz,VA44A
rose,rose,VA44B
rose,riz,VA45A
rose,rose,VA45B
rose,,VA46N
rose,riz,VA46A
rose,rose,VA46B!
rose,riz,VA47
rose,riz,VA48A
rose,rose,VA48B
rose,riz,VA49A
rose,rose,VA49B
rose,riz,VA50A
rose,rose,VA50B
rose,riz,VA51A
rose,rose,VA51B
rose,,VA51C
rose,rose,VA52A
rose,rose,VA52B
rose,,VA52C!
rose,rised,VA53A
rose,rose,VA53B
rose,riz,VA54A
rose,rose,VA54A
rose,rose,VA54B
rose,riz,VA55A
rose,rose,VA55B
rose,rose,VA56A
rose,rose,VA56B
rose,rose,VA57A
rose,rose,VA57B
rose,riz,VA58
rose,rose,VA59N
rose,riz,VA59N
rose,rose,VA59A
rose,rose,VA59B!
rose,rose,VA60
rose,riz,VA60
rose,rose,VA61A
rose,riz,VA61A
rose,rose,VA61B!
rose,,VA61C
rose,rised,VA62A
rose,rose,VA62B
rose,riz,VA63A
rose,raised,VA63B
rose,rose,VA64A
rose,riz,VA64A
rose,rose,VA64B
rose,,VA65A
rose,riz,VA65B
rose,rose,VA65C!
rose,riz,VA66A
rose,rose,VA66B
rose,rose,VA67A
rose,raised,VA67A
rose,rose,VA67B
rose,riz,VA68A
rose,riz,VA68B
rose,riz,VA69A
rose,rose,VA69B
rose,riz,VA70A
rose,rose,VA70B
rose,riz,VA71A
rose,rose,VA71B
rose,rose,VA71B
rose,raised,VA72A
rose,raised,VA72B
rose,riz,VA73
rose,rose,VA74A
rose,rose,VA74B!
rose,riz,VA75A
rose,rose,VA75B
rose,riz,NC1
rose,riz,NC2A
rose,rose,NC2A
rose,rose,NC2B
rose,riz,NC3A
rose,rose,NC3B
rose,riz,NC4A
rose,riz,NC4B
rose,riz,NC5A
rose,rose,NC5B
rose,rose,NC6!
rose,rose,NC7A
rose,rise,NC7A
rose,riz,NC7A
rose,rose,NC7B
rose,riz,NC8N
rose,riz,NC8A
rose,rose,NC8B
rose,riz,NC9A
rose,rose,NC9B
rose,,NC10A
rose,riz,NC10B
rose,rose,NC10C
rose,riz,NC11A
rose,rose,NC11B
rose,riz,NC12A
rose,rose,NC12B
rose,riz,NC13A
rose,rose,NC13B
rose,riz,NC14N
rose,riz,NC14A
rose,rose,NC14B
rose,riz,NC14B
rose,rose,NC14C!
rose,riz,NC15A
rose,riz,NC15B
rose,,NC15C
rose,riz,NC16A
rose,rose,NC16B
rose,riz,NC17A
rose,rose,NC17B
rose,riz,NC18A
rose,riz,NC18B
rose,riz,NC19A
rose,rose,NC19B
rose,riz,NC20A
rose,riz,NC20B
rose,rose,NC20C
rose,riz,NC21A
rose,riz,NC21B
rose,riz,NC22A
rose,rose,NC22A
rose,riz,NC22B
rose,riz,NC23A
rose,rose,NC23B
rose,rose,NC23C!
rose,,NC23D!
rose,riz,NC24N
rose,rise,NC24N
rose,riz,NC24A
rose,riz,NC24B
rose,riz,NC25N
rose,rise,NC25N
rose,riz,NC25A
rose,rose,NC25B
rose,riz,NC25B
rose,riz,NC26A
rose,rose,NC26B
rose,rose,NC26C!
rose,riz,NC27A
rose,rose,NC27B
rose,riz,NC28A
rose,rose,NC28B
rose,riz,NC28B
rose,rose,NC28C
rose,riz,NC29A
rose,riz,NC29B
rose,riz,NC30A
rose,rose,NC30B
rose,riz,NC31A
rose,rose,NC31B
rose,riz,NC31B
rose,riz,NC32A
rose,rose,NC32B!
rose,riz,NC33A
rose,riz,NC33B
rose,rose,NC33B
rose,riz,NC34A
rose,rose,NC34B
rose,riz,NC35A
rose,rose,NC35B
rose,riz,NC36N
rose,riz,NC36A
rose,rose,NC36B
rose,riz,NC37A
rose,rose,NC37B
rose,riz,NC38N
rose,,NC38A
rose,rose,NC38B
rose,riz,NC39A
rose,riz,NC39B!
rose,riz,NC40A
rose,rose,NC40B
rose,rose,NC41!
rose,riz,NC42A
rose,,NC42B
rose,riz,NC43A
rose,rose,NC43B
rose,rose,NC44
rose,rose,NC45A
rose,riz,NC45A
rose,,NC45B
rose,riz,NC46A
rose,rose,NC46B
rose,rose,NC46C!
rose,rose,NC47
rose,rose,NC48
rose,rose,NC49
rose,rose,NC50A
rose,rose,NC50B!
rose,riz,NC51A
rose,rose,NC51B
rose,rose,NC52N
rose,riz,NC52N
rose,rose,NC52A
rose,riz,NC52A
rose,rose,NC52B
rose,riz,NC53A
rose,rose,NC53B
rose,riz,NC54A
rose,riz,NC54B
rose,rose,NC55
rose,rose,NC56A
rose,rose,NC56B!
rose,rose,NC57A
rose,riz,NC57A
rose,rose,NC57B
rose,riz,NC58A
rose,rose,NC58A
rose,rose,NC58B
rose,rose,NC59
rose,riz,NC59
rose,rose,NC60
rose,riz,NC61A
rose,rose,NC61B
rose,riz,NC62A
rose,rose,NC62A
rose,rose,NC62B
rose,rose,NC63A
rose,riz,NC63A
rose,rose,NC63B
rose,riz,NC64A
rose,rose,NC64B
rose,riz,NC65A
rose,riz,NC65B
rose,riz,NC66A
rose,rose,NC66B
rose,rose,NC67A
rose,riz,NC67B
rose,riz,NC68A
rose,rose,NC68B
rose,rose,NC69A
rose,riz,NC69A
rose,riz,NC69B
rose,riz,NC70A
rose,rose,NC70B
rose,riz,NC71A
rose,rose,NC71B
rose,rose,NC71C!
rose,riz,NC72A
rose,rose,NC72B
rose,rose,NC73A
rose,riz,NC73A
rose,riz,NC73B
rose,riz,NC74A
rose,rose,NC74B
rose,riz,NC75A
rose,rose,NC75B
rose,riz,SC1A
rose,rose,SC1B
rose,riz,SC2A
rose,,SC2B
rose,,SC2C
rose,riz,SC3A
rose,rose,SC3B
rose,riz,SC3B
rose,rose,SC3C!
rose,riz,SC3C!
rose,come up,SC4A
rose,it raises,SC4B
rose,rose,SC4B
rose,rose,SC4B
rose,rose,SC4C
rose,rose,SC5A
rose,rose,SC5B
rose,,SC5C
rose,rose,SC5D!
rose,was up,SC5D!
rose,came up,SC5D!
rose,,SC6N
rose,riz,SC6A
rose,rose,SC6B
rose,rose,SC6C!
rose,,SC6D
rose,,SC7N
rose,riz,SC7A
rose,rose,SC7B
rose,,SC7C!
rose,rose,SC7D!
rose,riz,SC7D!
rose,riz,SC8A
rose,riz up,SC8A
rose,come up,SC8A
rose,riz,SC8B
rose,come up,SC8C
rose,rose,SC8C
rose,came up,SC9A
rose,rose,SC9A
rose,came up,SC9B
rose,rose,SC9C!
rose,rose,SC9C!
rose,,SC9D!
rose,,SC10A
rose,rose,SC10B!
rose,,SC10C!
rose,rise,SC11N
rose,rose,SC11M!
rose,came up,SC11A
rose,breakfast,SC11A
rose,rised,SC11B
rose,the sun rise,SC11C
rose,came up,SC11C
rose,peek out,SC11C
rose,rose,SC11D
rose,,SC11E
rose,,SC11F
rose,rose,SC11G!
rose,,SC11H!
rose,rose,SC11I!
rose,rose,SC11J!
rose,riz,SC12A
rose,rose,SC12B
rose,did rise at six o'clock,SC12B
rose,did rise,SC12B
rose,yesterday morning the sun,SC12B
rose,rose,SC13
rose,rose,SC14A
rose,riz,SC14B
rose,rose,SC14B
rose,come up,SC15A
rose,rose,SC15A
rose,rose,SC15A
rose,sun was a-rising,SC15A
rose,rose,SC15B
rose,,SC15C
rose,got up,SC16N
rose,rise,SC16N
rose,rose,SC16
rose,got up,SC17A
rose,,SC17B
rose,,SC17C
rose,riz,SC17D
rose,rose,SC17D
rose,sun was up,SC18N
rose,come up,SC18N
rose,come up,SC18N
rose,rose,SC18A
rose,came up,SC18A
rose,rose,SC18B
rose,rose,SC18C!
rose,,SC18D!
rose,,SC19N
rose,rose up,SC19A
rose,rise,SC19B
rose,rose,SC19B
rose,rose,SC19C
rose,,SC19D!
