Target,Response,Informant
Russia,Asia,NY1
Russia,Russia,NY1
Russia,,NY2A
Russia,Russia,NY2B
Russia,Asia,NY2B
Russia,Russia,NY2B
Russia,,NY2C
Russia,Russia,NY3A
Russia,Russia,NY3B
Russia,Russia,NY3C
Russia,Russia,NY3D
Russia,Russia,NY4A
Russia,Russia,NY4B
Russia,Russia,NY4C
Russia,Russia,NY5A
Russia,Russia,NY5B
Russia,Russia,NY5C
Russia,Russia,NY5D
Russia,Russia,NY5E
Russia,Russia,NY5F
Russia,Russia,NY5G
Russia,Russia,NY5H!
Russia,Russia,NY5I!
Russia,Russia,NY6A
Russia,Russia,NY6B
Russia,Russia,NY7A
Russia,Russia,NY7B
Russia,Russia,NY7C
Russia,Russia,NY7D
Russia,Russia,NY7E
Russia,Russia,NY7F
Russia,Russia,NY7G
Russia,Russia,NY7H
Russia,Russia,NY7I
Russia,Russia,NY7J!
Russia,Russia,NY7K!
Russia,Russia,NY7L!
Russia,Russia,NY7M!
Russia,Russia,NY8
Russia,Russia,NY9A
Russia,Russia,NY9B
Russia,Russia,NY9C
Russia,Russia,NY10A
Russia,Russia,NY10B!
Russia,Russia,NY11
Russia,Russia,NY12A
Russia,Russia,NY12B
Russia,Russia,NY12C!
Russia,Russia,NY13A
Russia,Russia,NY13B!
Russia,Russia,NY14A
Russia,Russia,NY14B
Russia,Russia,NY15A
Russia,Russia,NY15B
Russia,Russia,NY16A
Russia,Russia,NY16B
Russia,Russia,NY17A
Russia,Russia,NY17B
Russia,Russia,NY18A
Russia,Russia,NY18B
Russia,Russia,NY18C!
Russia,Russia,NY19
Russia,Russia,NY20A
Russia,Russia,NY20B
Russia,Russia,NY21
Russia,Russia,NY22
Russia,,NY23A
Russia,Russia,NY23B
Russia,Canadian,NY23C
Russia,Russia,NY23C
Russia,Russia,NY24A
Russia,Russia,NY24B!
Russia,Canada,NY25A
Russia,Russia,NY25A
Russia,Russia,NY25B
Russia,Russia,NY26A
Russia,Russia,NY26B
Russia,Russia,NY26B
Russia,,NY26C
Russia,Russia,NY27A
Russia,,NY27B
Russia,Russia,NY27C
Russia,Russia,NY28A
Russia,Russia,NY28B
Russia,,NY28C
Russia,,NY29A
Russia,Canada,NY29A
Russia,Russia,NY29B
Russia,Russia,NY29C
Russia,Albany,NY30A
Russia,Russia,NY30A
Russia,Russia,NY30B
Russia,,NY30C
Russia,,NY30D
Russia,Russia,NY30E
Russia,Russia,NY31A
Russia,Russia,NY31B
Russia,Russia,NY32A
Russia,Russia,NY32B
Russia,,NY33A
Russia,Russians,NY33B
Russia,Canadians,NY33B
Russia,Russian,NY33B
Russia,Russia,NY33C
Russia,Russia,NY34A
Russia,,NY34B
Russia,,NY34C
Russia,Russia,NY34D!
Russia,Russia,NY35A
Russia,Russia,NY35B
Russia,,NY35C!
Russia,Russia,NY36A
Russia,Russia,NY36B
Russia,Russia,NY37A
Russia,Russia,NY37B
Russia,Russia,NY37C!
Russia,Russia,NY38A
Russia,Russia,NY38B
Russia,,NY38C
Russia,Russia,NY39A
Russia,Russia,NY39B
Russia,Russia,NY40A
Russia,Russia,NY40B
Russia,Russia,NY41
Russia,Russia,NY42A
Russia,Russia,NY42B
Russia,Russia,NY43A
Russia,Russia,NY43B
Russia,Russia,NY43C!
Russia,Russia,NY44A
Russia,Russia,NY44B
Russia,,NY45A
Russia,,NY45B
Russia,,NY45C
Russia,Russia,NY45D!
Russia,Russia,NY46A
Russia,,NY46B
Russia,Russia,NY46C
Russia,Asia,NY46C
Russia,Russia,NY47A
Russia,Canada,NY47A
Russia,Russia,NY47B
Russia,Russia,NY48A
Russia,,NY48B
Russia,Russia,NY48C
Russia,Russia,NY48D
Russia,,NY49A
Russia,,NY49B
Russia,Russia,NY49C
Russia,Russia,NY49C
Russia,Canada,NY49D
Russia,Russia,NY49D
Russia,Russian,NY50A
Russia,Russia,NY50B
Russia,Russia,NY50B
Russia,Russia,NY51A
Russia,Russia,NY51A
Russia,Russia,NY51B
Russia,,NY51C
Russia,,NY51D
Russia,,NY51E!
Russia,Russia,NY52A
Russia,,NY52B
Russia,Canada,NY52C
Russia,Russia,NY52C
Russia,Russia,NY53A
Russia,Russia,NY53B!
Russia,Russia,NY54A
Russia,Russia,NY54B
Russia,Russia,NY55A
Russia,Russia,NY55B
Russia,Russia,NY56A
Russia,Russia,NY56B
Russia,Russia,NY57A
Russia,Russia,NY57A
Russia,Canada,NY57A
Russia,,NY57B
Russia,Russia,NY57C!
Russia,Russia,NY58A
Russia,Russia,NY58B
Russia,,NY58C
Russia,Russia,NY58D!
Russia,Russia,NY58E!
Russia,,NY58F!
Russia,Russia,NY59A
Russia,Russia,NY59B
Russia,Russia,NY60A
Russia,Russia,NY60B!
Russia,Russians,NY61A
Russia,Russia,NY61B
Russia,,NY62A
Russia,Russia,NY62B
Russia,Vienna,NY62C
Russia,Russia,NY62C
Russia,Russia,NY62D!
Russia,Russia,NY63A
Russia,Canada,NY63A
Russia,Russia,NY63B
Russia,Russia,NY63C
Russia,Russia,NY63D!
Russia,Russia iron,NY63D!
Russia,Russia iron,NY63D!
Russia,Russia,NY64A
Russia,Russia,NY64B
Russia,Russian,NY64B
Russia,,NY64C!
Russia,Russia,NJ1A
Russia,Russia,NJ1B
Russia,Russia,NJ2A
Russia,Russia,NJ2B
Russia,Russia,NJ3A
Russia,Russia,NJ3B
Russia,Russia,NJ4A
Russia,Russia,NJ4B
Russia,Russia,NJ5A
Russia,Russia,NJ5B
Russia,Russia,NJ6A
Russia,Russia,NJ6B
Russia,Russia,NJ7A
Russia,Russia,NJ7B!
Russia,Russia,NJ8A
Russia,Russia,NJ8B
Russia,Russia,NJ9A
Russia,Russia,NJ9B
Russia,Russia,NJ10A
Russia,Russia,NJ10B
Russia,Russia,NJ10C
Russia,Russia,NJ10D!
Russia,Russia,NJ11A
Russia,Russia,NJ11B
Russia,Russia,NJ11C
Russia,Russia,NJ12A
Russia,Russia,NJ12B
Russia,Russia,NJ13A
Russia,Russia,NJ13B
Russia,Russia,NJ14A
Russia,Russia,NJ14B
Russia,Russia,NJ15A
Russia,Russia,NJ15B
Russia,Russia,NJ16A
Russia,Russia,NJ16B
Russia,Russia,NJ17A
Russia,Russia,NJ17B
Russia,Russia,NJ18A
Russia,Russia,NJ18B
Russia,Russia,NJ18C!
Russia,Russia,NJ18D!
Russia,Russia,NJ19A
Russia,Russia,NJ19B!
Russia,Russia,NJ20A
Russia,Russia,NJ20B
Russia,Russia,NJ21A
Russia,Russia,NJ21B
Russia,Russia,PA1A
Russia,Russia,PA1B
Russia,Russia,PA1C
Russia,Russia,PA1D
Russia,Russia,PA1E!
Russia,Russia,PA1F!
Russia,Russia,PA1G!
Russia,Russia,PA1H!
Russia,Russia,PA2A
Russia,Russia,PA2B
Russia,Russia,PA3A
Russia,Russia,PA3B
Russia,Russia,PA3C
Russia,Russia,PA4A
Russia,Russia,PA4B!
Russia,Russia,PA5A
Russia,Russia,PA5B
Russia,Russia,PA5C
Russia,Russia,PA5D
Russia,Russia,PA5E!
Russia,Russia,PA6A
Russia,Russia,PA6B
Russia,Russia,PA6C
Russia,Russia,PA6D!
Russia,Russia,PA7A
Russia,Russia,PA7B
Russia,Russia,PA7C
Russia,Russia,PA7D!
Russia,Russia,PA8A
Russia,Russia,PA8B
Russia,Russia,PA8C
Russia,Russia,PA8D!
Russia,Russia,PA9A
Russia,Russia,PA9B
Russia,Russia,PA9C!
Russia,Russia,PA10
Russia,Russia,PA11A
Russia,Russia,PA11B
Russia,Russia,PA12A
Russia,Russia,PA12B
Russia,Russia,PA13A
Russia,Russia,PA13B
Russia,Russia,PA14A
Russia,Russia,PA14B
Russia,,PA14C
Russia,Russia,PA15A
Russia,Russia,PA15B
Russia,Russia,PA15C!
Russia,Russia,PA16A
Russia,Russia,PA16B
Russia,,PA16C
Russia,Russia,PA17A
Russia,Russia,PA17B
Russia,Russia,PA18A
Russia,Russia,PA18B!
Russia,Russia,PA19A
Russia,Russia,PA19B
Russia,Russia,PA20A
Russia,Russia,PA20B
Russia,Russia,PA21A
Russia,Russia,PA21B
Russia,Russia,PA22A
Russia,Russia,PA22B
Russia,Russia,PA23A
Russia,Russia,PA23B
Russia,Russia,PA24A
Russia,Russia,PA24B
Russia,Russia,PA25A
Russia,Russia,PA25B
Russia,Russia,PA26A
Russia,Russia,PA26B
Russia,Russia,PA27A
Russia,Russia,PA27B
Russia,Russia,PA28A
Russia,Russia,PA28B!
Russia,Russia,PA29A
Russia,Russia,PA29B
Russia,Russia,PA30A
Russia,Russia,PA30B
Russia,Russia,PA31A
Russia,Russia,PA31B
Russia,Russia,PA32A
Russia,Russia,PA32B
Russia,Russia,PA33A
Russia,Russia,PA33B
Russia,Russia,PA34A
Russia,Russia,PA34B
Russia,Russia,PA34C!
Russia,Russia,PA35A
Russia,Russia,PA35B
Russia,,PA35C
Russia,Russia,PA36A
Russia,Russia,PA36B
Russia,Russia,PA37A
Russia,Russia,PA37B
Russia,,PA37C
Russia,Russia,PA38A
Russia,Russia,PA38B
Russia,Russia,PA39A
Russia,Russia,PA39B
Russia,Russia,PA40A
Russia,Russia,PA40B
Russia,Russia,PA41A
Russia,Russia,PA41B
Russia,Russia,PA42A
Russia,Russia,PA42B
Russia,Russia,PA43A
Russia,Russia,PA43B
Russia,Russia,PA44A
Russia,Russia,PA44B
Russia,Russia,PA45A
Russia,Russia,PA45B
Russia,Russia,PA46A
Russia,Russia,PA46B
Russia,Russia,PA47A
Russia,Russia,PA47B
Russia,Russia,PA48A
Russia,Russia,PA48B
Russia,Russia,PA48B
Russia,Russia,PA48C
Russia,Russia,PA49A
Russia,Russia,PA49B
Russia,,PA50A
Russia,Russia,PA50B
Russia,Russia,PA50C!
Russia,Russia,PA51A
Russia,Russia,PA51B
Russia,Russia,PA52A
Russia,Russia,PA52B!
Russia,Russia,PA53A
Russia,Russia,PA53B
Russia,Russia,PA54A
Russia,Russia,PA54B
Russia,Russia,PA55A
Russia,Russia,PA55B
Russia,Russia,PA56A
Russia,Russia,PA56B
Russia,Russia,PA57A
Russia,Russia,PA57B
Russia,Russia,PA58A
Russia,Russia,PA58B
Russia,Russia,PA59A
