Target,Response,Informant
salad,fruit salad,NY1
salad,fruit salad,NY2A
salad,fruit salad,NY2B
salad,fruit salad,NY2C
salad,fruit salad,WV4B
salad,fruit salad,DE2A
salad,fruit salad,DE5A
salad,fruit salad,MD4C
salad,fruit salad,MD13E!
salad,fruit salad,MD16
salad,fruit salad,MD20A
salad,fruit salad,MD22A
salad,fruit salad,DC1A
salad,fruit salad,VA8A
salad,fruit salad,VA14A
salad,fruit salad,VA23B
salad,fruit salad,VA26A
salad,fruit salad,VA30C!
salad,fruit,VA34A
salad,fruit salad,VA38
salad,fruit salad,VA45A
salad,fruit salad,VA46A
salad,fruit salad,VA54A
salad,fruit salad,VA55A
salad,fruit salad,VA61C
salad,fruit salad,VA65A
salad,fruit,VA65B
salad,fruit salad,VA70A
salad,fruit,NC7A
salad,fruit salad,NC10A
salad,fruit salad,NC14B
salad,fruit salad,NC20A
salad,fruit salad,NC25B
salad,fruit salad,NC29A
salad,fruit salad,NC32A
salad,fruit,NC35A
salad,fruit salad,NC40A
salad,fruit salad,NC47
salad,fruit salad,NC54A
salad,fruit salad,NC59
salad,fruit salad,NC65B
salad,fruit salad,NC67B
salad,fruit salad,NC69B
salad,fruit salad,NC73B
salad,fruit salad,SC6A
salad,fruit salad,SC11I!
salad,fruit salad,SC12B
salad,fruit salad,SC14A
salad,fruit salad,SC22B
salad,fruit salad,SC25A
salad,salad,SC27B
salad,fruit salad,SC30A
salad,fruit salad,SC33A
salad,fruit salad,SC41A
salad,salad,SC42D!
salad,fruit salad,SC42D!
salad,fruit salad,GA1F!
salad,fruit salad,GA3A
salad,fruit salad,GA10A
salad,fruit salad,GA13A
salad,fruit salad,GA15A
salad,fruit salad,GA24A
salad,fruit salad,GA34A
salad,fruit salad,GA43
